,open,high,low,close,volume
2015-05-15,84.0,84.93,83.39,84.0,12084.0
2015-05-18,83.25,84.56,81.71,83.06,12520.0
2015-05-19,84.84,84.84,82.64,84.04,18234.0
2015-05-20,83.53,84.37,83.3,84.18,7462.0
2015-05-21,83.81,84.56,82.22,84.0,25158.0
2015-05-22,83.53,84.93,83.2,84.42,110150.0
2015-05-25,84.0,84.0,82.27,83.16,3711.0
2015-05-26,82.97,84.51,82.22,83.86,22379.0
2015-05-27,83.06,84.56,82.5,84.0,19340.0
2015-05-28,83.11,84.14,80.59,84.0,30578.0
2015-05-29,83.06,84.0,81.38,82.08,4420.0
2015-06-01,83.9,84.56,80.68,81.66,515261.0
2015-06-02,81.71,82.36,78.4,79.61,13586.0
2015-06-03,79.8,80.26,77.0,79.19,17340.0
2015-06-04,80.96,81.2,77.09,79.14,4591.0
2015-06-05,79.8,80.73,78.86,79.8,2551.0
2015-06-08,79.33,80.17,75.27,79.24,72005.0
2015-06-09,78.4,80.17,77.14,79.38,4345.0
2015-06-10,80.17,85.44,78.86,83.53,40308.0
2015-06-11,84.0,84.0,80.87,82.64,31907.0
2015-06-12,82.13,84.65,81.24,82.88,3125.0
2015-06-15,82.6,84.79,81.2,83.95,14493.0
2015-06-16,83.06,83.95,81.43,82.13,1941.0
2015-06-17,82.18,83.81,81.66,82.22,1775.0
2015-06-18,81.94,84.0,80.26,82.04,4385.0
2015-06-19,83.81,83.81,78.72,79.19,12320.0
2015-06-22,77.65,81.52,77.65,80.45,9001.0
2015-06-23,80.26,82.04,80.03,80.96,10474.0
2015-06-24,81.94,82.97,80.96,82.27,6157.0
2015-06-25,81.24,82.83,81.2,82.36,8209.0
2015-06-26,82.83,82.83,81.01,81.29,4403.0
2015-06-29,80.26,84.37,79.52,84.0,44332.0
2015-06-30,84.37,84.98,81.34,83.39,523765.0
2015-07-01,84.0,84.65,83.06,84.0,315406.0
2015-07-02,84.84,85.3,83.9,84.65,133487.0
2015-07-03,84.0,84.84,83.06,84.42,16738.0
2015-07-06,81.9,84.46,78.4,84.0,14879.0
2015-07-07,83.16,84.46,83.16,84.09,32167.0
2015-07-08,84.0,84.46,81.66,83.86,14396.0
2015-07-09,83.34,84.0,82.46,83.25,5690.0
2015-07-10,84.88,84.88,83.06,83.2,20341.0
2015-07-13,82.6,90.9,82.32,87.68,548806.0
2015-07-14,88.66,89.5,86.14,87.17,16582.0
2015-07-15,86.8,90.76,83.72,84.18,21461.0
2015-07-16,85.82,88.43,83.3,84.0,1145987.0
2015-07-17,84.93,87.82,84.09,86.8,49765.0
2015-07-20,88.1,88.1,84.46,85.54,16107.0
2015-07-21,86.8,86.8,84.04,84.46,12469.0
2015-07-22,83.58,85.86,83.58,84.93,5746.0
2015-07-23,85.86,85.86,84.18,84.56,11213.0
2015-07-24,85.77,85.77,83.9,84.04,11125.0
2015-07-27,86.7,86.7,82.41,83.06,26046.0
2015-07-28,84.65,84.65,81.66,82.46,11417.0
2015-07-29,80.73,84.0,80.36,81.76,10605.0
2015-07-30,82.6,83.34,80.5,81.01,15910.0
2015-07-31,81.99,84.46,80.68,84.14,37207.0
2015-08-03,84.46,84.7,82.36,84.32,34175.0
2015-08-04,84.0,84.0,83.06,83.95,35947.0
2015-08-05,84.0,85.49,82.69,83.06,24079.0
2015-08-06,83.95,83.95,82.18,83.06,14141.0
2015-08-07,82.6,83.02,82.13,82.64,7338.0
2015-08-10,82.13,83.9,82.13,82.88,10714.0
2015-08-11,84.0,84.0,79.8,81.2,58166.0
2015-08-12,81.2,82.92,80.36,81.2,8626.0
2015-08-13,81.2,81.94,80.36,81.2,16508.0
2015-08-14,80.73,81.2,80.22,80.5,2565.0
2015-08-17,79.38,80.92,73.26,80.31,13417.0
2015-08-18,80.26,82.41,80.17,80.68,5008.0
2015-08-19,82.27,84.74,82.27,84.0,91088.0
2015-08-20,84.0,84.46,82.13,83.95,120003.0
2015-08-21,83.25,84.09,81.2,83.58,130268.0
2015-08-24,83.25,83.25,77.0,78.12,10703.0
2015-08-25,74.85,79.47,74.85,77.93,67484.0
2015-08-26,79.14,79.33,77.46,78.02,1123.0
2015-08-27,77.98,79.8,77.0,77.6,64601.0
2015-08-28,77.74,81.2,77.18,77.56,64336.0
2015-08-31,79.66,80.17,76.95,77.93,171000.0
2015-09-01,77.56,78.16,75.69,76.53,8085.0
2015-09-02,78.86,78.86,71.63,74.71,8058.0
2015-09-03,74.66,76.48,74.66,75.55,5522.0
2015-09-04,77.88,78.35,75.5,77.78,12301.0
2015-09-07,76.93,79.59,74.36,78.83,196538.0
2015-09-08,77.88,78.64,76.45,76.93,16271.0
2015-09-09,76.45,78.59,76.17,76.59,8408.0
2015-09-10,76.17,79.54,74.55,79.4,36976.0
2015-09-11,79.54,79.54,77.88,77.97,1860.0
2015-09-14,79.78,79.78,76.36,77.4,13512.0
2015-09-15,76.93,78.68,75.98,77.59,2309.0
2015-09-16,76.93,76.93,75.12,75.98,4790.0
2015-09-18,76.26,79.54,76.07,76.21,21666.0
2015-09-21,75.98,77.69,75.6,76.59,6391.0
2015-09-22,76.59,78.83,75.03,76.59,9776.0
2015-09-23,77.21,77.21,74.84,76.36,32879.0
2015-09-24,75.98,76.93,75.22,75.79,9062.0
2015-09-28,75.03,76.93,74.6,75.98,10847.0
2015-09-29,75.5,75.88,74.5,75.6,3502.0
2015-09-30,75.36,76.78,75.36,75.5,4763.0
2015-10-01,76.88,77.26,74.27,76.69,13776.0
2015-10-05,74.17,77.69,74.17,77.02,22778.0
2015-10-06,77.12,80.72,75.6,80.11,14748.0
2015-10-07,79.78,81.67,77.97,78.54,1588.0
2015-10-08,78.02,79.3,78.02,78.11,3832.0
2015-10-09,79.73,79.73,76.17,77.45,7021.0
2015-10-12,77.88,77.88,76.21,76.64,3396.0
2015-10-13,77.88,78.83,75.98,76.55,26742.0
2015-10-14,78.64,78.64,75.93,75.98,4441.0
2015-10-15,76.02,76.93,75.6,76.26,7156.0
2015-10-16,76.17,76.93,76.02,76.69,1735.0
2015-10-19,77.88,77.88,75.12,76.5,3802.0
2015-10-20,76.5,79.35,76.45,78.83,6487.0
2015-10-21,77.5,82.24,77.12,79.63,8114.0
2015-10-23,80.82,80.82,78.87,79.16,2986.0
2015-10-26,78.83,79.78,76.45,77.45,2569.0
2015-10-27,78.83,78.83,76.64,77.16,8239.0
2015-10-28,75.98,77.88,75.98,76.64,6210.0
2015-10-29,77.83,77.83,75.98,76.07,3487.0
2015-10-30,76.02,77.78,75.98,76.02,6312.0
2015-11-02,76.93,76.93,75.64,75.98,3573.0
2015-11-03,75.98,76.45,75.03,75.17,5143.0
2015-11-04,82.62,82.62,74.65,76.69,1010.0
2015-11-05,75.03,76.07,75.03,75.93,7970.0
2015-11-06,75.5,75.5,73.65,74.12,11055.0
2015-11-09,74.03,74.93,73.22,73.89,7869.0
2015-11-10,80.72,80.72,72.65,75.22,7209.0
2015-11-11,80.72,80.72,72.65,75.22,7209.0
2015-11-13,75.12,75.12,73.79,74.6,2204.0
2015-11-16,74.08,74.31,72.46,73.84,4823.0
2015-11-17,74.98,75.03,72.65,73.13,5757.0
2015-11-18,72.75,72.89,71.32,72.08,12239.0
2015-11-19,73.6,73.6,72.18,72.27,5350.0
2015-11-20,72.27,73.89,72.27,73.17,5587.0
2015-11-23,73.36,74.88,72.75,74.03,4428.0
2015-11-24,74.46,75.83,71.42,73.22,7082.0
2015-11-26,73.13,74.08,72.41,72.94,20765.0
2015-11-27,72.51,78.64,72.41,75.07,637348.0
2015-11-30,75.07,78.64,74.17,75.22,25970.0
2015-12-01,75.22,76.93,75.22,76.26,9138.0
2015-12-02,76.02,76.93,74.27,75.03,9853.0
2015-12-03,75.98,75.98,75.17,75.88,7423.0
2015-12-04,75.03,76.36,74.08,75.93,12928.0
2015-12-07,76.93,79.3,75.17,75.22,10661.0
2015-12-08,75.03,75.93,73.22,74.41,6651.0
2015-12-09,74.08,75.03,72.94,74.03,3793.0
2015-12-10,73.98,76.64,71.23,75.74,23049.0
2015-12-11,75.74,76.88,73.36,76.55,12441.0
2015-12-14,75.5,79.68,74.79,76.26,3797.0
2015-12-15,75.12,75.98,75.12,75.55,939.0
