,open,high,low,close,volume
2015-05-15,13247.04,13511.7,13247.04,13432.84,3019.0
2015-05-18,13511.6,14188.3,13453.59,14132.03,11097.0
2015-05-19,14188.29,14744.24,14159.43,14258.56,12097.0
2015-05-20,14289.45,14659.31,14091.78,14299.29,4953.0
2015-05-21,14419.65,14560.86,14130.38,14187.52,3736.0
2015-05-22,14188.29,14526.11,14188.29,14277.09,4765.0
2015-05-25,14286.07,14424.77,14193.12,14326.03,5421.0
2015-05-26,14410.29,14573.12,14092.94,14145.83,4604.0
2015-05-27,14154.51,14244.95,13779.06,14008.09,6678.0
2015-05-28,14009.25,14906.4,14007.8,14683.63,10724.0
2015-05-29,14868.75,15925.64,14868.75,15640.71,39541.0
2015-06-01,15731.63,16408.23,15536.66,16292.21,24898.0
2015-06-02,16408.23,16408.23,14845.59,15024.15,41847.0
2015-06-03,15047.32,15095.58,14140.04,14743.28,22491.0
2015-06-04,15003.24,15225.7,14698.92,15176.22,17929.0
2015-06-05,15171.39,15365.64,14881.47,15078.13,14319.0
2015-06-08,15077.65,15077.65,14379.92,14427.37,16083.0
2015-06-09,14428.24,14428.24,13751.76,14087.78,15347.0
2015-06-10,14012.69,14415.67,13928.51,14336.62,14235.0
2015-06-11,14437.9,14486.22,13461.84,13551.24,17511.0
2015-06-12,13529.49,13549.79,13046.3,13400.48,15845.0
2015-06-15,13250.4,13964.37,13250.4,13633.09,12478.0
2015-06-16,13664.79,14003.02,13432.85,13945.72,10167.0
2015-06-17,13983.7,14282.02,13773.12,13982.54,14797.0
2015-06-18,14015.59,14563.53,14004.86,14404.08,15158.0
2015-06-19,14447.56,14929.79,14447.56,14554.64,18255.0
2015-06-22,14684.33,14737.48,14447.76,14506.51,22358.0
2015-06-23,14476.55,14631.18,14261.05,14417.51,12991.0
2015-06-24,14423.5,14689.16,14360.59,14423.79,7213.0
2015-06-25,14433.07,14642.58,14399.25,14588.46,16670.0
2015-06-26,14574.65,14784.84,14303.09,14651.96,8042.0
2015-06-29,14495.88,14544.2,14123.82,14448.53,9653.0
2015-06-30,14303.57,14651.47,14303.57,14607.21,14052.0
2015-07-01,14679.5,14784.83,14495.88,14567.78,12691.0
2015-07-02,14582.86,14879.15,14553.86,14718.05,20706.0
2015-07-03,14747.14,15104.71,14747.14,14865.24,18305.0
2015-07-06,14495.88,14872.78,14437.9,14801.07,9737.0
2015-07-07,14881.47,14929.79,14710.42,14797.59,8770.0
2015-07-08,14602.67,14737.48,14061.01,14384.75,17472.0
2015-07-09,14495.88,14544.2,14165.38,14216.3,13270.0
2015-07-10,14383.78,14399.25,14120.44,14185.38,19643.0
2015-07-13,14395.38,14494.92,13529.49,14237.08,10346.0
2015-07-14,14167.31,14292.94,13926.68,14141.6,10415.0
2015-07-15,14181.81,14431.14,14114.16,14370.06,9768.0
2015-07-16,14399.25,14526.81,14321.94,14422.15,6889.0
2015-07-17,14424.37,14544.2,14418.57,14480.71,7025.0
2015-07-20,14497.82,14738.45,14423.41,14490.57,16601.0
2015-07-21,14590.11,14665.0,13842.41,14176.3,31164.0
2015-07-22,14301.64,14390.55,14176.01,14242.01,3876.0
2015-07-23,14341.26,14341.26,14123.82,14236.12,6359.0
2015-07-24,14213.89,14301.64,14110.39,14174.37,8023.0
2015-07-27,14174.36,14249.45,13560.9,13788.29,9754.0
2015-07-28,13835.45,13990.85,13452.18,13531.04,11739.0
2015-07-29,13529.49,13674.35,12904.91,12992.18,21630.0
2015-07-30,13046.3,13519.73,13044.36,13296.11,37132.0
2015-07-31,13432.85,13722.77,12990.53,13238.61,19603.0
2015-08-03,13239.57,13529.49,13066.59,13172.22,16610.0
2015-08-04,13302.39,13895.76,13151.15,13748.09,69660.0
