,open,high,low,close,volume
2015-05-15,678.39,723.59,675.07,716.47,142200.0
2015-05-18,716.29,726.41,702.43,713.1,62152.0
2015-05-19,716.24,730.98,706.4,716.66,126480.0
2015-05-20,742.17,758.62,720.91,724.33,651764.0
2015-05-21,724.56,729.78,715.46,721.97,57655.0
2015-05-22,724.42,738.01,721.83,734.45,96430.0
2015-05-25,734.45,738.93,728.53,734.4,46084.0
2015-05-26,739.16,739.16,722.76,726.59,67619.0
2015-05-27,723.64,723.64,693.74,702.33,98852.0
2015-05-28,713.52,713.52,688.65,691.43,90056.0
2015-05-29,694.29,738.84,692.26,727.06,575122.0
2015-06-01,716.29,716.29,704.5,707.51,37959.0
2015-06-02,709.82,714.44,689.49,697.76,103087.0
2015-06-03,697.76,712.59,679.32,703.21,49672.0
2015-06-04,703.44,716.29,697.8,699.61,40684.0
2015-06-05,699.65,706.72,693.28,696.05,23235.0
2015-06-08,694.25,705.29,674.79,691.01,41027.0
2015-06-09,688.56,711.57,683.94,690.96,50204.0
2015-06-10,693.0,699.33,686.48,689.9,31979.0
2015-06-11,703.35,703.35,678.9,683.43,37347.0
2015-06-12,683.43,685.74,657.65,671.51,40866.0
2015-06-15,671.97,679.32,662.68,668.41,73624.0
2015-06-16,673.45,683.02,663.65,672.62,141034.0
2015-06-17,672.85,685.65,670.08,671.14,47005.0
2015-06-18,675.53,679.27,663.61,665.87,147250.0
2015-06-19,668.97,674.61,656.21,659.49,55816.0
2015-06-22,665.36,669.8,659.17,662.59,38290.0
2015-06-23,661.16,677.47,652.52,665.46,68491.0
2015-06-24,633.11,633.11,572.11,580.52,1841685.0
2015-06-25,582.83,596.04,560.09,564.11,1260036.0
2015-06-26,576.64,581.16,562.86,563.83,872418.0
2015-06-29,553.62,553.62,532.36,537.31,756376.0
2015-06-30,536.89,572.94,536.15,554.82,548694.0
2015-07-01,559.72,567.35,558.29,562.22,323613.0
2015-07-02,567.21,581.16,563.1,577.98,244674.0
