,open,high,low,close,volume
2015-05-15,97.58,97.99,94.96,96.79,2757156.0
2015-05-18,97.4,98.44,96.18,97.92,1763686.0
2015-05-19,97.22,98.65,96.29,97.08,1968410.0
2015-05-20,97.94,98.94,97.31,97.95,2006302.0
2015-05-21,97.95,98.87,96.88,97.85,3669058.0
2015-05-22,97.94,100.32,97.79,99.68,2720192.0
2015-05-25,99.08,101.47,98.46,100.82,1741702.0
2015-05-26,100.79,101.08,98.46,99.1,1343258.0
2015-05-27,97.72,100.23,97.36,99.46,1689424.0
2015-05-28,99.46,101.67,97.94,100.59,5777968.0
2015-05-29,101.49,101.49,97.54,97.79,3811860.0
2015-06-01,97.58,97.58,95.86,96.88,3381206.0
2015-06-02,96.86,97.52,95.52,96.05,4249546.0
2015-06-03,96.56,96.56,91.84,93.58,3510230.0
2015-06-04,94.35,94.35,90.06,91.75,2998462.0
2015-06-05,91.8,94.89,90.76,94.44,3833692.0
2015-06-08,94.46,95.01,91.62,93.42,2276108.0
2015-06-09,92.59,95.07,92.48,93.69,1672924.0
2015-06-10,94.31,96.48,93.99,94.94,3042712.0
2015-06-11,95.5,96.25,91.84,92.56,2548996.0
2015-06-12,91.84,94.06,91.68,92.9,1548002.0
2015-06-15,92.77,95.0,92.47,93.83,1735672.0
2015-06-16,94.24,95.05,93.72,94.76,2032912.0
2015-06-17,95.08,97.06,95.08,95.73,2083454.0
2015-06-18,95.32,95.86,93.43,93.61,1901236.0
2015-06-19,94.94,96.0,94.08,95.5,3193182.0
2015-06-22,96.0,98.58,94.51,97.29,2945532.0
2015-06-23,97.94,100.27,97.85,99.59,2378466.0
2015-06-24,100.47,100.99,97.94,98.92,1720118.0
2015-06-25,98.3,98.82,97.04,97.86,3634212.0
2015-06-26,97.31,97.83,95.12,95.96,2241886.0
2015-06-29,94.03,94.6,91.57,92.7,2734116.0
2015-06-30,93.22,93.9,91.23,91.84,3751292.0
2015-07-01,92.81,93.85,91.87,93.0,2968992.0
2015-07-02,93.54,94.21,92.16,92.3,2177824.0
2015-07-03,92.57,94.26,92.57,93.74,1768258.0
2015-07-06,92.91,94.12,91.55,93.79,2672306.0
2015-07-07,93.99,94.83,92.2,92.52,3471390.0
2015-07-08,91.84,92.11,89.69,91.6,3514212.0
2015-07-09,91.6,92.86,90.94,92.21,1826780.0
2015-07-10,92.63,93.52,91.66,92.47,3156794.0
2015-07-13,92.81,94.33,92.81,94.03,2044910.0
2015-07-14,94.21,94.96,92.75,93.65,1819118.0
2015-07-15,94.3,94.58,92.61,93.02,1308040.0
2015-07-16,93.63,97.0,93.27,96.54,3169842.0
2015-07-17,96.79,97.11,95.14,95.44,1629290.0
2015-07-20,94.96,96.25,94.85,95.84,1567012.0
2015-07-21,96.14,97.04,91.84,92.38,1925752.0
2015-07-22,92.23,95.5,91.91,94.47,2091058.0
2015-07-23,94.39,94.89,92.95,93.31,2463656.0
2015-07-24,93.95,94.35,92.41,93.11,3135422.0
2015-07-27,92.57,93.11,90.3,91.21,5613314.0
2015-07-28,90.39,90.67,87.89,88.13,21056832.0
2015-07-29,88.32,88.57,85.99,87.44,9421274.0
2015-07-30,87.69,88.93,86.47,87.26,7923108.0
2015-07-31,87.89,88.57,86.51,88.3,4983012.0
2015-08-03,88.3,89.13,87.96,88.32,3784074.0
2015-08-04,88.75,90.04,87.98,89.83,4445372.0
2015-08-05,90.17,90.35,88.97,89.15,2880878.0
2015-08-06,89.31,90.01,88.79,89.34,3354034.0
2015-08-07,89.22,90.26,88.61,90.04,4616922.0
2015-08-10,90.28,90.85,87.71,88.38,3694562.0
2015-08-11,88.66,89.22,88.04,88.77,4044328.0
2015-08-12,88.57,89.29,82.91,85.56,7290802.0
2015-08-13,86.08,87.0,85.42,85.95,3016074.0
2015-08-14,86.33,87.78,85.63,87.23,4481708.0
2015-08-17,87.28,88.0,85.94,86.22,2605312.0
2015-08-18,86.56,87.34,85.4,86.03,1558538.0
2015-08-19,85.87,86.31,83.8,84.27,1575458.0
2015-08-20,83.84,84.63,82.71,83.01,2348052.0
2015-08-21,82.65,82.82,79.89,81.74,4103590.0
2015-08-24,80.25,80.25,68.45,69.99,4672098.0
2015-08-25,71.39,77.2,66.55,76.54,5987462.0
2015-08-26,75.34,81.08,73.72,75.84,7755408.0
2015-08-27,77.63,79.28,76.7,78.64,5611002.0
2015-08-28,80.5,80.97,76.77,78.85,2755202.0
2015-08-31,78.49,81.2,76.68,80.41,3848316.0
2015-09-01,79.03,82.49,78.46,80.0,7069520.0
2015-09-02,80.75,81.97,77.26,78.1,3129054.0
2015-09-03,78.82,79.73,77.43,78.92,4672928.0
2015-09-04,79.28,79.44,72.99,73.72,5717112.0
2015-09-07,74.1,76.02,72.11,74.78,2791838.0
2015-09-08,75.34,77.76,73.94,76.13,2529488.0
2015-09-09,77.49,80.36,76.86,79.82,3277850.0
2015-09-10,77.85,80.41,76.54,79.37,3763608.0
2015-09-11,80.3,80.61,77.78,78.64,1756890.0
2015-09-14,79.44,81.2,77.92,78.98,3600042.0
2015-09-15,79.36,81.47,79.03,79.34,4334910.0
2015-09-16,80.6,82.21,80.13,81.75,3039196.0
2015-09-18,82.6,84.55,82.19,83.14,4634060.0
2015-09-21,82.96,88.66,82.24,88.05,3460834.0
2015-09-22,88.37,88.55,85.34,85.94,4707444.0
2015-09-23,84.41,85.6,83.97,84.69,2961378.0
2015-09-24,84.41,87.26,84.41,85.13,6767986.0
2015-09-28,85.13,86.05,81.97,82.73,2000066.0
2015-09-29,82.15,83.65,80.94,82.06,5889836.0
2015-09-30,82.96,83.86,82.28,83.0,5304302.0
2015-10-01,84.37,84.41,80.08,81.65,4802648.0
2015-10-05,83.05,91.49,83.05,90.63,10274576.0
2015-10-06,91.58,91.58,87.44,88.25,5468042.0
2015-10-07,88.7,88.86,85.49,85.96,5058076.0
2015-10-08,86.8,87.44,83.76,84.84,3430732.0
2015-10-09,85.85,86.66,83.9,84.39,2596448.0
2015-10-12,84.77,86.71,84.21,86.3,3403476.0
2015-10-13,86.73,88.37,85.34,88.01,5327292.0
2015-10-14,87.29,87.54,85.15,86.05,2948622.0
2015-10-15,86.48,87.96,86.32,87.29,2439148.0
2015-10-16,87.53,87.8,85.36,87.29,3018126.0
2015-10-19,88.37,88.55,86.89,87.96,2049220.0
2015-10-20,88.01,90.47,87.74,88.45,3926524.0
2015-10-21,88.59,89.55,87.29,89.2,1943352.0
2015-10-23,89.82,90.18,88.55,89.74,3866614.0
2015-10-26,89.47,90.11,87.0,87.58,2325234.0
2015-10-27,87.65,89.31,86.82,88.54,1832436.0
2015-10-28,87.71,88.91,86.84,87.83,2233250.0
