,open,high,low,close,volume
2015-05-15,1924.65,1937.91,1898.04,1909.83,8453.0
2015-05-18,1925.49,1951.25,1894.58,1941.41,5972.0
2015-05-19,1950.37,1950.37,1924.69,1933.12,5197.0
2015-05-20,1939.68,1976.09,1924.65,1947.62,4375.0
2015-05-21,1934.54,1994.54,1928.15,1964.91,8565.0
2015-05-22,1955.69,2024.87,1946.86,1973.52,6360.0
2015-05-25,1951.74,1991.17,1937.99,1962.21,3470.0
2015-05-26,1968.55,1995.6,1946.82,1980.61,6930.0
2015-05-27,1999.15,2027.75,1923.54,1989.21,14286.0
2015-05-28,2008.15,2021.23,1951.25,1968.64,7912.0
2015-05-29,1986.73,1986.73,1940.61,1966.2,21479.0
2015-06-01,1950.23,1961.9,1937.95,1945.05,5172.0
2015-06-02,1943.49,1945.31,1906.82,1922.38,7124.0
2015-06-03,1924.65,1931.74,1867.35,1891.47,28021.0
2015-06-04,1889.17,1889.17,1842.16,1864.6,73465.0
2015-06-05,1864.51,1884.69,1838.61,1854.4,6293.0
2015-06-08,1849.26,1861.23,1782.74,1797.86,7691.0
2015-06-09,1779.23,1808.46,1755.15,1778.35,11094.0
2015-06-10,1773.87,1819.85,1423.53,1770.1,17816.0
2015-06-11,1775.77,1782.74,1736.84,1748.01,11008.0
2015-06-12,1739.72,1745.49,1689.61,1718.88,17608.0
2015-06-15,1718.88,1734.27,1703.8,1719.76,8599.0
2015-06-16,1718.88,1751.69,1705.57,1728.99,19667.0
2015-06-17,1739.1,1782.74,1712.23,1751.43,41718.0
2015-06-18,1769.12,1795.06,1749.03,1774.75,8535.0
2015-06-19,1783.36,1812.01,1763.22,1778.35,10462.0
2015-06-22,1794.27,1794.27,1757.02,1771.92,13361.0
2015-06-23,1790.72,1790.72,1760.61,1767.44,9292.0
2015-06-24,1765.0,1827.97,1761.45,1783.98,14445.0
2015-06-25,1791.56,1809.34,1775.42,1796.4,16792.0
2015-06-26,1796.04,1801.1,1778.75,1793.56,11266.0
2015-06-29,1781.85,1781.85,1749.03,1757.15,8200.0
2015-06-30,1783.3,1822.62,1763.71,1801.38,10154.0
2015-07-01,1826.28,1827.97,1780.67,1786.87,16059.0
2015-07-02,1798.52,1807.36,1784.46,1790.84,6629.0
2015-07-03,1789.14,1809.66,1774.32,1778.63,11133.0
2015-07-06,1778.63,1793.63,1773.87,1782.22,9016.0
2015-07-07,1791.83,1839.43,1781.95,1796.86,13939.0
2015-07-08,1795.42,1796.37,1754.74,1784.47,101657.0
2015-07-09,1773.87,1823.18,1773.87,1802.88,18159.0
2015-07-10,1808.49,1840.87,1774.05,1825.24,51919.0
2015-07-13,1840.33,1888.56,1834.04,1869.3,25165.0
2015-07-14,1879.85,1908.59,1858.74,1898.35,32520.0
2015-07-15,1913.08,1917.53,1886.09,1895.12,10219.0
2015-07-16,1904.1,1922.11,1867.01,1887.08,33104.0
2015-07-17,1906.8,1919.82,1886.14,1903.29,7967.0
2015-07-20,1886.14,1904.1,1869.57,1892.6,15403.0
2015-07-21,1895.12,1902.71,1876.21,1885.87,36547.0
2015-07-22,1877.16,1905.9,1877.16,1888.7,13429.0
2015-07-23,1900.51,1900.51,1884.34,1886.77,11844.0
2015-07-24,1890.22,1920.22,1884.66,1890.4,16174.0
2015-07-27,1933.74,1949.01,1872.67,1887.35,33377.0
2015-07-28,1891.53,1895.25,1870.37,1886.72,14246.0
2015-07-29,1881.15,1940.03,1881.15,1917.53,15779.0
2015-07-30,1917.57,1931.09,1890.58,1905.94,11192.0
2015-07-31,1921.08,1984.94,1886.05,1954.31,34704.0
2015-08-03,1957.99,2090.02,1949.19,2059.39,58787.0
2015-08-04,2083.46,2115.17,2031.73,2070.17,20731.0
2015-08-05,2095.23,2234.62,2079.24,2210.87,61346.0
2015-08-06,2211.27,2265.16,2165.2,2178.76,35082.0
2015-08-07,2158.28,2175.3,2110.68,2119.53,16929.0
2015-08-10,2152.89,2152.89,2070.31,2078.21,22310.0
2015-08-11,2110.68,2110.68,1984.98,2035.46,49993.0
2015-08-12,2032.76,2079.15,2010.08,2057.19,64935.0
2015-08-13,2078.34,2106.19,2011.88,2021.98,25866.0
2015-08-14,2029.98,2084.63,2021.04,2058.14,15374.0
2015-08-17,2061.28,2096.67,2006.9,2059.21,21691.0
2015-08-18,2040.8,2091.77,2029.48,2061.01,13017.0
2015-08-19,2066.71,2103.85,2022.66,2051.62,24471.0
2015-08-20,2056.79,2070.26,1995.71,2028.77,23879.0
2015-08-21,2028.77,2064.87,1985.16,2039.95,9875.0
2015-08-24,1998.41,2009.9,1931.05,1954.85,29836.0
2015-08-25,1975.95,2065.81,1868.17,1995.58,24139.0
2015-08-26,1998.45,2020.86,1967.06,1981.52,9548.0
2015-08-27,2011.7,2074.75,1975.95,2054.5,19477.0
2015-08-28,2087.33,2110.68,2038.83,2074.08,18325.0
2015-08-31,2032.49,2162.77,2032.49,2119.97,28382.0
2015-09-01,2121.41,2126.8,2088.22,2108.79,16671.0
2015-09-02,2101.7,2111.58,2061.28,2076.82,10473.0
2015-09-03,2118.76,2155.59,2074.75,2101.88,25334.0
2015-09-04,2089.57,2118.72,2054.99,2078.48,14453.0
2015-09-07,2092.71,2092.71,1986.73,2009.28,21872.0
2015-09-08,2007.39,2007.43,1949.01,1991.67,21444.0
2015-09-09,2020.86,2083.73,1993.96,2072.82,19912.0
2015-09-10,2054.99,2065.77,2009.23,2034.06,18759.0
2015-09-11,2047.81,2065.77,1998.45,2062.85,8383.0
2015-09-14,2097.21,2108.61,2030.74,2080.32,14910.0
2015-09-15,2057.1,2082.43,2038.06,2052.25,73197.0
2015-09-16,2058.72,2073.72,2034.33,2047.9,9237.0
2015-09-18,2029.84,2380.13,2029.84,2306.03,394840.0
2015-09-21,2304.68,2369.35,2272.35,2312.54,91716.0
2015-09-22,2312.76,2447.4,2312.76,2364.0,117226.0
2015-09-23,2359.47,2414.26,2292.11,2311.6,56812.0
2015-09-24,2332.93,2357.58,2278.63,2311.19,28024.0
2015-09-28,2312.76,2321.52,2256.18,2270.86,17795.0
2015-09-29,2257.08,2257.08,2201.12,2216.35,20249.0
2015-09-30,2227.44,2263.32,2130.62,2178.26,42238.0
2015-10-01,2196.0,2244.46,2182.53,2208.71,23122.0
2015-10-05,2222.95,2253.49,2207.68,2218.77,17350.0
2015-10-06,2227.44,2296.96,2206.42,2265.39,40356.0
2015-10-07,2265.16,2288.42,2246.3,2249.35,12538.0
2015-10-08,2269.65,2269.65,2189.72,2200.72,13390.0
2015-10-09,2233.73,2241.81,2185.23,2200.0,11981.0
2015-10-12,2220.25,2220.25,2156.48,2184.78,15882.0
2015-10-13,2172.56,2200.49,2133.13,2145.57,25034.0
2015-10-14,2151.1,2163.67,2134.03,2145.71,14538.0
2015-10-15,2154.64,2154.91,2121.9,2138.88,11386.0
2015-10-16,2139.96,2267.86,2138.52,2192.41,58776.0
2015-10-19,2209.48,2247.2,2183.43,2241.54,58731.0
2015-10-20,2240.91,2299.29,2229.77,2280.97,33242.0
2015-10-21,2280.43,2311.87,2274.14,2286.54,26914.0
2015-10-23,2289.41,2303.78,2231.93,2259.28,9821.0
2015-10-26,2281.33,2297.45,2219.45,2285.37,19881.0
2015-10-27,2290.31,2298.39,2236.42,2253.44,7793.0
2015-10-28,2276.84,2276.84,2224.74,2247.38,8152.0
2015-10-29,2247.42,2332.52,2236.42,2260.04,30137.0
2015-10-30,2269.65,2317.25,2263.41,2287.71,16295.0
2015-11-02,2290.31,2303.74,2253.08,2296.96,7947.0
2015-11-03,2308.23,2348.69,2255.82,2305.53,15063.0
2015-11-04,2305.85,2321.75,2267.86,2286.13,9155.0
2015-11-05,2304.05,2307.2,2247.24,2263.95,6828.0
2015-11-06,2272.35,2290.31,2201.39,2218.1,10377.0
2015-11-09,2200.49,2267.86,2156.48,2194.16,15675.0
2015-11-10,2337.01,2337.01,2182.58,2196.63,52410.0
2015-11-11,2337.01,2337.01,2182.58,2196.63,52410.0
2015-11-13,2218.46,2218.46,2166.59,2189.58,11536.0
2015-11-16,2209.48,2209.48,2128.91,2167.04,9650.0
2015-11-17,2198.7,2198.7,2129.09,2153.79,15299.0
2015-11-18,2169.01,2186.08,2137.62,2146.69,8947.0
2015-11-19,2173.55,2217.56,2146.69,2180.46,9841.0
2015-11-20,2200.49,2200.49,2142.11,2157.11,35729.0
2015-11-23,2162.59,2205.88,2155.54,2193.67,16271.0
2015-11-24,2281.33,2375.64,2236.87,2247.47,206196.0
2015-11-26,2275.04,2275.04,2246.75,2256.85,21559.0
2015-11-27,2266.91,2267.86,2215.76,2227.17,13756.0
2015-11-30,2249.89,2267.86,2200.49,2204.98,20271.0
2015-12-01,2236.42,2267.86,2214.06,2221.92,11195.0
2015-12-02,2241.81,2245.4,2218.46,2234.53,10976.0
2015-12-03,2236.33,2236.33,2193.31,2205.16,9597.0
2015-12-04,2179.84,2288.51,2179.03,2262.2,22607.0
2015-12-07,2280.43,2283.71,2213.92,2224.07,12711.0
2015-12-08,2231.88,2240.91,2200.94,2216.62,9886.0
2015-12-09,2182.53,2222.99,2146.96,2169.55,13896.0
2015-12-10,2169.96,2195.06,2120.56,2169.6,12889.0
2015-12-11,2155.63,2191.51,2138.57,2160.26,6845.0
2015-12-14,2143.06,2178.04,2119.66,2144.4,12222.0
2015-12-15,2124.15,2153.74,2119.66,2132.77,9966.0
2015-12-16,2134.07,2161.78,2119.66,2127.47,25503.0
2015-12-17,2135.83,2141.22,2119.61,2130.35,12399.0
2015-12-18,2119.79,2159.18,2119.79,2135.15,10954.0
2015-12-21,2164.57,2182.53,2137.67,2174.63,9921.0
2015-12-22,2155.59,2178.04,2146.65,2154.6,8406.0
2015-12-23,2151.27,2160.08,2134.34,2146.38,9228.0
2015-12-24,2159.13,2159.13,2120.56,2122.98,42927.0
