,open,high,low,close,volume
2015-05-15,6523.05,6639.4,6520.53,6558.06,16304.0
2015-05-18,6539.95,6629.16,6472.28,6493.34,1188.0
2015-05-19,6587.24,6587.24,6400.8,6452.43,3797.0
2015-05-20,6493.34,6518.65,6375.68,6393.75,1749.0
2015-05-21,6467.45,6467.45,6359.36,6385.05,513.0
2015-05-22,6398.67,6451.03,6367.81,6425.48,1173.0
2015-05-25,6501.21,6501.21,6375.68,6389.98,1002.0
2015-05-26,6459.1,6459.1,6069.99,6287.05,4514.0
2015-05-27,6287.05,6395.0,6217.98,6313.76,3163.0
2015-05-28,6421.08,6421.08,6186.05,6204.89,10107.0
2015-05-29,6197.94,6277.1,6134.18,6158.62,3780.0
2015-06-01,6240.44,6257.34,6158.33,6212.71,24462.0
2015-06-02,6218.95,6451.03,6183.44,6205.08,4664.0
2015-06-03,6216.92,6327.43,6167.84,6251.69,2489.0
2015-06-04,6250.1,6252.47,6087.81,6155.0,15111.0
2015-06-05,6118.14,6268.84,6118.09,6169.34,1737.0
2015-06-08,6169.39,6230.78,6126.55,6163.06,2185.0
2015-06-09,6160.21,6212.09,6061.78,6164.85,1771.0
2015-06-10,6114.86,6205.37,6092.16,6113.17,2100.0
2015-06-11,6124.52,6180.55,6070.52,6092.3,4268.0
2015-06-12,6158.33,6158.33,5994.11,6048.64,1949.0
2015-06-15,6091.38,6119.69,6050.13,6100.8,1170.0
2015-06-16,6090.42,6143.84,5926.82,6014.05,4761.0
2015-06-17,6060.91,6121.52,6024.44,6107.85,17420.0
2015-06-18,6093.8,6182.48,6093.8,6144.51,3758.0
2015-06-19,6183.44,6230.78,6111.57,6172.05,998.0
2015-06-22,6192.14,6229.52,6175.38,6214.89,6984.0
2015-06-23,6221.31,6307.63,6192.24,6277.78,2066.0
2015-06-24,6277.78,6288.74,6100.37,6191.03,2810.0
2015-06-25,6195.04,6274.44,6163.21,6244.83,959.0
2015-06-26,6188.28,6393.07,6188.28,6342.4,7098.0
2015-06-29,6310.19,6310.19,6238.65,6290.72,2088.0
2015-06-30,6321.59,6757.26,6274.88,6602.69,5601.0
2015-07-01,6601.73,6750.49,6451.51,6540.29,5165.0
2015-07-02,6562.56,6622.98,6431.71,6456.05,2311.0
2015-07-03,6472.33,6546.33,6313.23,6368.68,1762.0
2015-07-06,6327.38,6396.35,6280.14,6343.66,8269.0
2015-07-07,6404.66,6537.97,6299.37,6465.13,3334.0
2015-07-08,6388.24,6514.74,6328.35,6368.15,1891.0
2015-07-09,6399.06,6399.06,6133.21,6294.3,1598.0
2015-07-10,6280.77,6345.45,6157.36,6192.77,2120.0
2015-07-13,6238.8,6238.8,6109.06,6221.41,1577.0
2015-07-14,6247.15,6268.31,6183.64,6206.97,1351.0
2015-07-15,6184.41,6259.76,6110.03,6144.47,2805.0
2015-07-16,6192.14,6267.44,6180.21,6216.14,1346.0
2015-07-17,6218.7,6265.02,6172.82,6210.88,1645.0
2015-07-20,6286.81,6443.11,6192.19,6224.26,3514.0
2015-07-21,6191.95,6278.11,6134.18,6146.06,1799.0
2015-07-22,6143.89,6249.81,6140.41,6149.88,1532.0
2015-07-23,6210.49,6336.51,6088.1,6151.52,8026.0
2015-07-24,6096.5,6137.95,6059.02,6081.82,4725.0
2015-07-27,6083.12,6119.64,5980.78,5998.6,21888.0
2015-07-28,6018.45,6066.56,5903.3,5981.16,23519.0
2015-07-29,5974.79,6084.91,5944.84,6035.45,1281.0
2015-07-30,6084.91,6124.52,6046.27,6109.64,1054.0
2015-07-31,6119.69,6199.58,6086.84,6149.59,1284.0
2015-08-03,6195.96,6245.27,5956.63,6020.0,5729.0
2015-08-04,6110.03,6153.35,5989.28,6110.85,3379.0
2015-08-05,6133.16,6268.45,6110.03,6233.73,3048.0
2015-08-06,6250.1,6317.72,6231.75,6249.09,2921.0
2015-08-07,6264.59,6332.21,6250.05,6310.52,1440.0
2015-08-10,6326.42,6337.04,6281.06,6298.5,1501.0
2015-08-11,6279.08,6349.31,6279.08,6307.29,1786.0
2015-08-12,6260.0,6346.56,6159.29,6246.82,1275.0
2015-08-13,6327.33,6327.38,6136.11,6153.69,2506.0
2015-08-14,6201.7,6201.7,6144.8,6148.72,30504.0
2015-08-17,6201.8,6224.02,6037.53,6084.52,2852.0
2015-08-18,6132.25,6132.25,6068.49,6080.32,2090.0
2015-08-19,6086.36,6086.36,6049.65,6064.82,2251.0
2015-08-20,6110.03,6145.63,6037.67,6061.29,2505.0
2015-08-21,6052.07,6152.29,5909.1,6069.55,3667.0
2015-08-24,6069.55,6069.55,5844.38,5888.23,16683.0
2015-08-25,5892.68,5989.28,5747.77,5837.13,11694.0
2015-08-26,5863.7,5863.7,5776.75,5800.04,2538.0
2015-08-27,5892.68,5914.99,5796.07,5808.87,12029.0
2015-08-28,5892.39,5902.05,5825.15,5839.83,3475.0
2015-08-31,5883.02,5883.02,5829.88,5839.98,1411.0
2015-09-01,5618.67,5863.41,5618.67,5828.1,10654.0
2015-09-02,5843.84,5892.39,5771.92,5860.51,4432.0
2015-09-03,5917.74,6035.65,5842.88,5950.54,2819.0
2015-09-04,6018.26,6018.26,5786.41,5964.59,2358.0
2015-09-07,6022.12,6022.12,5776.75,5795.3,4762.0
2015-09-08,5796.07,5796.07,5660.83,5718.21,1875.0
2015-09-09,5809.6,5815.49,5772.07,5780.09,4114.0
2015-09-10,5747.77,5796.07,5700.44,5753.52,2945.0
2015-09-11,5795.11,5805.44,5720.0,5784.38,1449.0
2015-09-14,5770.86,5791.2,5723.62,5749.9,1346.0
2015-09-15,5784.48,5796.07,5699.47,5701.4,36222.0
2015-09-16,5762.26,5766.08,5699.47,5723.96,1526.0
2015-09-18,5723.96,5819.93,5722.66,5801.1,2806.0
2015-09-21,5844.37,5976.62,5747.77,5886.88,44481.0
2015-09-22,5902.38,5906.49,5734.83,5797.62,3728.0
2015-09-23,5839.54,5839.54,5763.23,5829.98,1317.0
2015-09-24,5834.71,5892.53,5752.6,5782.26,3447.0
2015-09-28,5832.78,5842.44,5771.92,5794.92,3356.0
2015-09-29,5796.07,5827.08,5747.92,5810.52,781.0
2015-09-30,5969.96,6182.48,5747.77,6034.97,8213.0
2015-10-01,6085.88,6146.69,5989.28,6030.38,1927.0
2015-10-05,6027.92,6109.06,6019.22,6048.44,1414.0
2015-10-06,6085.88,6085.88,5979.62,6025.21,10684.0
2015-10-07,6037.58,6047.24,5896.25,5943.44,3348.0
2015-10-08,6018.26,6018.26,5916.83,5978.94,861.0
2015-10-09,5979.66,6037.58,5942.33,5990.19,6049.0
2015-10-12,6032.75,6032.75,5870.46,5888.04,22242.0
2015-10-13,5863.79,5945.81,5844.37,5880.6,450.0
2015-10-14,5891.66,5892.68,5859.83,5871.62,817.0
2015-10-15,5877.99,5919.63,5875.29,5909.63,757.0
2015-10-16,5920.54,5984.45,5920.54,5969.96,812.0
2015-10-19,5999.32,6056.6,5941.56,5965.01,1175.0
2015-10-20,6037.13,6047.86,5951.75,5999.32,1177.0
2015-10-21,6004.71,6017.77,5921.66,5934.23,872.0
2015-10-23,5979.95,6018.74,5944.96,5965.68,909.0
2015-10-26,5942.53,6018.74,5938.07,5967.92,12822.0
2015-10-27,5938.21,6006.55,5937.19,5966.8,595.0
2015-10-28,5966.36,5983.74,5913.9,5924.43,23730.0
2015-10-29,5970.05,6106.01,5960.49,6020.05,5790.0
2015-10-30,6076.98,6076.98,5873.12,5902.2,21368.0
2015-11-02,5901.27,5994.47,5878.07,5908.8,1881.0
2015-11-03,5894.48,6163.77,5894.48,6066.35,3536.0
2015-11-04,6115.76,6115.81,6039.56,6067.47,4507.0
2015-11-05,6112.32,6112.9,5926.56,5963.79,5168.0
2015-11-06,5970.2,5970.2,5739.54,5764.93,6922.0
2015-11-09,5752.8,5899.14,5455.69,5711.93,31234.0
2015-11-10,5714.89,5714.89,5453.75,5492.63,20394.0
2015-11-11,5714.89,5714.89,5453.75,5492.63,20394.0
2015-11-13,5630.43,5630.43,5488.7,5549.66,1783.0
2015-11-16,5557.62,5653.73,5539.23,5636.35,1171.0
2015-11-17,5666.35,5688.73,5646.98,5673.73,2069.0
2015-11-18,5647.66,5697.75,5588.69,5638.44,819.0
2015-11-19,5591.7,5678.97,5591.7,5647.86,727.0
2015-11-20,5659.51,5693.53,5620.72,5673.87,876.0
2015-11-23,5679.02,5686.78,5642.18,5654.17,590.0
2015-11-24,5654.75,5755.66,5640.24,5658.63,2220.0
2015-11-26,5727.51,5727.51,5630.92,5657.52,4829.0
2015-11-27,5657.71,5698.09,5630.43,5683.48,857.0
2015-11-30,5632.37,5685.76,5632.37,5678.97,53231.0
2015-12-01,5674.07,5682.85,5522.68,5560.49,4020.0
2015-12-02,5562.62,5601.21,5470.26,5488.36,4638.0
2015-12-03,5489.72,5528.4,5451.37,5462.59,3277.0
2015-12-04,5479.82,5521.71,5466.37,5489.86,1084.0
2015-12-07,5509.09,5531.37,5468.36,5495.16,655.0
2015-12-08,5518.79,5557.62,5484.82,5496.22,1457.0
2015-12-09,5504.18,5504.23,5436.28,5444.34,1646.0
2015-12-10,5531.41,5531.41,5426.57,5434.34,32359.0
2015-12-11,5503.36,5508.11,5416.86,5431.13,1954.0
2015-12-14,5484.77,5502.29,5412.06,5473.8,897.0
2015-12-15,5494.33,5555.29,5442.1,5533.79,2026.0
2015-12-16,5579.81,5581.89,5543.01,5579.85,1835.0
2015-12-17,5544.28,5596.45,5463.46,5496.61,13659.0
2015-12-18,5496.47,5542.19,5484.82,5502.39,12020.0
2015-12-21,5484.82,5522.68,5484.23,5486.71,558.0
2015-12-22,5526.22,5528.5,5455.69,5465.45,8431.0
2015-12-23,5463.51,5509.09,5463.46,5493.85,11926.0
2015-12-24,5494.18,5523.6,5436.28,5437.35,11957.0
2015-12-28,5465.4,5484.82,5447.15,5471.32,1020.0
2015-12-29,5494.52,5522.68,5459.29,5491.37,11652.0
2015-12-30,5499.38,5499.38,5450.89,5459.92,1371.0
2015-12-31,5480.06,5547.92,5436.28,5465.35,18278.0
2016-01-01,5466.37,5475.11,5436.28,5439.43,2337.0
2016-01-04,5484.77,5512.0,5412.45,5436.28,56260.0
2016-01-05,5436.28,5481.9,5305.22,5362.16,7784.0
2016-01-06,5436.18,5513.94,5326.58,5475.25,7260.0
2016-01-07,5484.82,5484.82,5379.05,5449.09,52683.0
2016-01-08,5482.83,5543.45,5475.11,5532.09,5904.0
2016-01-11,5562.48,5562.48,5455.69,5529.33,1733.0
2016-01-12,5532.34,5576.07,5437.25,5476.95,2012.0
2016-01-13,5473.12,5499.43,5339.2,5396.82,2985.0
2016-01-14,5378.03,5439.14,5378.03,5422.49,1914.0
2016-01-15,5470.16,5470.16,5389.97,5403.42,1862.0
2016-01-18,5387.79,5387.79,5027.25,5102.34,26357.0
2016-01-19,5102.34,5239.21,5102.34,5156.46,1406.0
2016-01-20,5194.02,5194.02,5028.56,5130.49,11367.0
2016-01-21,5089.72,5156.7,5067.39,5114.81,2532.0
2016-01-22,5107.19,5280.96,5077.1,5260.23,1971.0
2016-01-25,5261.54,5316.83,5251.83,5290.66,1536.0
2016-01-27,5329.49,5363.47,5193.54,5333.47,3608.0
2016-01-28,5310.08,5380.9,5268.34,5348.38,747.0
2016-01-29,5351.34,5412.01,5319.79,5392.79,632.0
2016-02-01,5342.21,5431.42,5342.21,5364.83,1588.0
2016-02-02,5364.44,5410.99,5234.6,5288.92,5904.0
2016-02-03,5242.13,5387.69,5242.13,5297.31,2785.0
2016-02-04,5296.97,5348.81,5220.77,5242.27,7944.0
2016-02-05,5266.25,5378.03,5266.25,5332.99,1592.0
2016-02-08,5790.61,5873.12,5591.65,5687.85,27109.0
2016-02-09,5669.26,5800.32,5596.45,5727.8,8016.0
2016-02-10,5727.51,5766.39,5685.76,5733.77,2761.0
2016-02-11,5727.41,5824.58,5678.97,5727.6,6776.0
2016-02-12,5728.53,5768.28,5601.36,5688.09,4800.0
2016-02-15,5744.98,5744.98,5643.05,5666.25,3709.0
2016-02-16,5700.13,5700.13,5631.4,5679.89,4418.0
2016-02-17,5688.53,5727.51,5630.92,5717.56,2586.0
2016-02-18,5765.37,5765.37,5665.67,5737.56,2346.0
2016-02-19,5659.6,5753.91,5593.59,5739.74,5821.0
2016-02-22,5756.63,5756.63,5703.38,5728.96,1697.0
2016-02-23,5751.73,5756.63,5641.5,5727.85,1477.0
2016-02-24,5727.51,5853.8,5610.09,5747.46,2473.0
2016-02-25,5749.88,5756.63,5703.24,5729.16,15990.0
2016-02-26,5733.77,5733.77,5606.16,5699.55,3145.0
