,open,high,low,close,volume
2015-05-15,348.56,350.99,346.42,349.87,21090.0
2015-05-18,355.28,361.32,352.55,357.47,122587.0
2015-05-19,356.45,366.19,351.72,356.55,707676.0
2015-05-20,356.55,364.19,356.5,357.67,2528.0
2015-05-21,355.72,356.5,348.75,349.92,4644.0
2015-05-22,349.44,355.43,341.16,346.42,6858.0
2015-05-25,345.69,348.61,344.32,345.78,25824.0
2015-05-26,346.66,348.56,345.25,347.15,1819.0
2015-05-27,347.05,355.43,344.57,350.07,3063.0
2015-05-28,346.71,359.76,346.71,357.96,9839.0
2015-05-29,354.5,376.27,337.55,364.87,31604.0
2015-06-01,365.21,373.0,365.02,370.13,7039.0
2015-06-02,374.76,374.76,363.56,367.4,88197.0
2015-06-03,367.65,367.65,362.29,363.56,96552.0
2015-06-04,358.4,364.0,348.75,349.63,2064.0
2015-06-05,349.68,355.47,347.97,350.12,3465.0
2015-06-08,350.6,350.6,333.22,343.3,3644.0
2015-06-09,342.81,343.84,338.14,339.4,1064.0
2015-06-10,337.36,341.01,328.3,332.25,22462.0
2015-06-11,342.76,342.81,331.27,335.36,109281.0
2015-06-12,332.54,357.42,332.54,351.77,17529.0
2015-06-15,352.89,363.27,349.0,350.6,205848.0
2015-06-16,350.31,355.43,349.09,355.08,197674.0
2015-06-17,355.91,360.34,349.14,356.55,6316.0
2015-06-18,359.08,367.16,356.45,364.39,28042.0
2015-06-19,371.15,375.93,360.34,366.87,38346.0
2015-06-22,370.91,379.82,366.33,372.27,55958.0
2015-06-23,370.13,370.13,365.7,367.4,33572.0
2015-06-24,369.16,369.16,363.75,367.65,29665.0
2015-06-25,367.65,368.13,366.67,367.16,66759.0
2015-06-26,363.85,370.08,363.85,367.31,45682.0
2015-06-29,363.27,368.13,361.32,366.09,22371.0
2015-06-30,365.99,369.98,363.27,368.43,4051.0
2015-07-01,365.26,368.13,348.95,355.77,60968.0
2015-07-02,353.92,367.01,353.48,365.12,43199.0
2015-07-03,364.87,366.24,362.29,364.53,18930.0
2015-07-06,360.93,363.95,358.88,360.64,11844.0
2015-07-07,365.16,369.98,358.88,361.8,29501.0
2015-07-08,361.46,364.29,357.42,361.32,26848.0
2015-07-09,363.31,370.08,357.71,361.27,233112.0
2015-07-10,359.37,361.8,339.89,353.19,266617.0
2015-07-13,352.11,355.38,349.63,351.19,27006.0
2015-07-14,354.01,355.18,350.56,354.26,27579.0
2015-07-15,355.47,362.29,352.11,359.91,16410.0
2015-07-16,359.37,364.87,357.91,363.65,16778.0
2015-07-17,363.65,370.08,363.51,367.31,471032.0
2015-07-20,370.03,375.88,365.07,370.13,5048.0
2015-07-21,370.03,374.76,348.22,354.26,33461.0
2015-07-22,354.55,357.86,350.65,352.65,28171.0
2015-07-23,348.71,356.45,348.66,353.33,2052.0
2015-07-24,348.66,352.55,335.02,351.09,17864.0
2015-07-27,350.51,351.48,341.84,347.0,26998.0
2015-07-28,360.25,360.25,344.47,349.19,12274.0
2015-07-29,350.7,352.65,347.29,349.05,5198.0
2015-07-30,343.79,350.21,341.16,346.81,18197.0
2015-07-31,350.56,362.0,347.44,349.83,131973.0
2015-08-03,342.81,358.4,342.81,352.84,38702.0
2015-08-04,350.65,355.47,350.6,351.92,3583.0
2015-08-05,353.33,356.45,350.65,355.08,261262.0
2015-08-06,355.28,356.35,352.07,353.33,20779.0
2015-08-07,350.75,354.99,342.81,346.85,10691.0
2015-08-10,348.56,348.56,341.94,342.76,2502.0
2015-08-11,347.2,350.56,343.01,346.81,3682.0
2015-08-12,347.63,357.08,334.53,350.02,18651.0
2015-08-13,350.36,352.55,346.71,350.99,53650.0
2015-08-14,357.57,358.4,348.66,354.26,98185.0
2015-08-17,356.3,356.3,350.9,353.67,6647.0
2015-08-18,354.94,355.47,346.81,348.9,2446.0
2015-08-19,353.28,353.28,347.68,348.41,3826.0
2015-08-20,348.61,348.66,337.94,339.65,5017.0
2015-08-21,337.94,344.27,331.13,340.57,2962.0
2015-08-24,336.0,336.0,321.97,324.16,758.0
2015-08-25,322.36,339.89,308.78,321.39,4396.0
2015-08-26,316.57,338.92,296.65,308.78,32467.0
2015-08-27,327.18,340.87,311.65,336.87,22442.0
2015-08-28,336.87,343.54,327.52,329.96,35062.0
2015-08-31,336.0,342.81,326.4,331.18,49940.0
2015-09-01,334.97,340.87,317.54,323.68,10489.0
2015-09-02,333.33,338.23,314.66,320.49,19828.0
2015-09-03,327.3,327.3,314.8,317.16,33203.0
2015-09-04,317.16,321.52,291.18,299.12,25593.0
2015-09-07,312.65,312.65,290.69,294.07,286275.0
2015-09-08,300.0,313.73,291.18,307.5,6491.0
2015-09-09,306.86,342.16,306.86,331.81,66046.0
2015-09-10,325.49,331.37,321.37,325.69,3874.0
2015-09-11,334.31,334.31,319.12,324.36,4943.0
2015-09-14,333.23,333.23,323.48,325.69,3798.0
2015-09-15,323.58,326.47,320.78,323.53,4949.0
2015-09-16,323.53,330.29,321.91,324.46,63993.0
2015-09-18,328.43,330.39,323.14,328.63,144107.0
2015-09-21,331.23,331.27,319.61,329.66,19466.0
2015-09-22,328.43,333.33,326.52,329.85,17807.0
2015-09-23,328.43,332.4,323.58,324.61,2979.0
2015-09-24,328.38,329.85,323.53,328.43,2807.0
2015-09-28,324.51,328.43,318.63,325.44,12535.0
2015-09-29,319.61,323.53,310.29,318.48,9898.0
2015-09-30,323.63,343.09,315.88,317.5,150745.0
2015-10-01,320.59,322.74,310.88,312.01,25622.0
2015-10-05,312.01,320.49,312.01,316.72,26395.0
2015-10-06,317.65,327.11,316.67,321.72,57920.0
2015-10-07,329.75,330.39,325.49,328.09,129808.0
2015-10-08,328.43,328.43,319.61,320.73,102850.0
2015-10-09,319.66,322.55,313.97,316.72,131962.0
2015-10-12,320.1,320.1,315.0,317.16,2763.0
2015-10-13,314.12,323.33,314.12,317.4,2266.0
2015-10-14,314.71,320.59,314.71,318.82,1848.0
2015-10-15,319.8,321.62,318.14,318.87,2957.0
2015-10-16,322.35,322.4,318.63,320.54,1997.0
2015-10-19,321.57,323.04,317.11,321.57,2433.0
2015-10-20,318.77,323.04,318.77,320.78,2741.0
2015-10-21,320.59,338.19,319.22,325.93,362982.0
2015-10-23,324.51,328.97,323.53,325.15,81605.0
2015-10-26,325.15,329.36,323.53,329.02,34908.0
2015-10-27,328.38,328.43,325.44,326.23,874.0
2015-10-28,325.98,326.23,318.73,322.6,1217.0
2015-10-29,321.62,322.55,319.61,321.18,1774.0
2015-10-30,318.82,330.34,318.82,327.4,2708.0
2015-11-02,326.47,329.41,323.53,328.23,15771.0
2015-11-03,323.63,333.28,323.63,331.23,4039.0
2015-11-04,331.23,335.24,326.08,332.4,83692.0
2015-11-05,334.07,336.18,325.49,331.62,33480.0
2015-11-06,336.27,336.27,330.39,332.89,3286.0
2015-11-09,330.39,333.33,318.63,323.19,5307.0
2015-11-10,329.26,333.33,322.6,327.89,479115.0
2015-11-11,329.26,333.33,322.6,327.89,479115.0
