,open,high,low,close,volume
2015-05-15,574.37,579.18,567.74,573.07,103642.0
2015-05-18,572.06,586.88,569.56,576.54,235325.0
2015-05-19,580.15,588.76,569.85,574.61,309998.0
2015-05-20,557.3,572.21,539.74,545.08,939980.0
2015-05-21,553.21,554.17,514.96,529.35,1379312.0
2015-05-22,533.0,536.85,523.86,529.64,403390.0
2015-05-25,530.55,534.49,525.69,530.12,130495.0
2015-05-26,526.75,533.48,526.27,528.05,336534.0
2015-05-27,525.69,533.44,524.63,529.4,264791.0
2015-05-28,530.07,543.2,529.15,530.55,205607.0
2015-05-29,534.83,543.01,529.2,531.13,461058.0
2015-06-01,531.56,543.15,528.48,533.0,385131.0
2015-06-02,533.48,537.43,524.49,526.22,437207.0
2015-06-03,526.56,527.09,514.72,521.36,384670.0
2015-06-04,521.99,525.79,510.01,518.91,262599.0
2015-06-05,518.57,529.15,514.82,521.46,120663.0
2015-06-08,522.08,526.17,511.36,516.21,88408.0
2015-06-09,513.71,521.07,501.78,516.36,167784.0
2015-06-10,514.72,534.93,514.53,529.11,239652.0
2015-06-11,529.4,531.08,512.94,518.91,580496.0
2015-06-12,518.86,521.36,514.92,517.42,262965.0
2015-06-15,511.21,525.6,511.21,515.01,93338.0
2015-06-16,515.01,517.18,501.35,505.92,343887.0
2015-06-17,507.99,516.17,502.22,512.94,250186.0
2015-06-18,519.49,523.38,513.76,521.89,130435.0
2015-06-19,522.52,536.85,521.99,533.15,337356.0
2015-06-22,535.89,540.51,521.46,529.64,420262.0
2015-06-23,530.5,534.93,526.36,529.2,254653.0
2015-06-24,529.15,533.97,520.5,523.82,119576.0
2015-06-25,523.82,538.29,518.96,533.77,379164.0
2015-06-26,536.66,546.33,533.97,542.05,381272.0
2015-06-29,533.0,538.49,520.06,534.06,191835.0
2015-06-30,527.71,540.32,527.71,529.54,249360.0
2015-07-01,530.12,545.32,530.12,533.68,199819.0
2015-07-02,535.02,540.65,521.79,524.01,239844.0
2015-07-03,527.13,530.21,522.23,524.68,128744.0
2015-07-06,520.59,526.99,515.06,520.02,301718.0
2015-07-07,524.34,552.73,524.34,544.5,849271.0
2015-07-08,545.22,556.09,533.58,541.52,511477.0
2015-07-09,541.52,542.05,524.34,525.69,337018.0
2015-07-10,529.2,532.76,521.94,524.83,180140.0
2015-07-13,527.18,535.07,523.33,530.36,206069.0
2015-07-14,533.97,533.97,526.27,528.58,276656.0
2015-07-15,530.98,533.0,527.42,530.07,173056.0
2015-07-16,530.93,543.49,529.49,539.35,493753.0
2015-07-17,543.59,546.91,533.97,539.16,245062.0
2015-07-20,542.62,542.62,533.97,539.59,174437.0
2015-07-21,539.74,539.74,522.61,524.54,184501.0
2015-07-22,524.34,529.54,520.5,527.62,138245.0
2015-07-23,527.13,534.06,524.83,527.66,167000.0
2015-07-24,527.23,528.43,521.46,524.3,170175.0
2015-07-27,525.31,525.69,510.88,518.24,172392.0
2015-07-28,520.98,527.95,517.8,521.7,352361.0
2015-07-29,543.54,543.92,529.54,538.05,826869.0
2015-07-30,538.73,545.27,533.34,537.53,389491.0
2015-07-31,542.53,544.55,535.41,537.0,270044.0
2015-08-03,538.25,542.43,530.45,532.62,285088.0
2015-08-04,533.0,573.89,530.17,569.32,1168958.0
2015-08-05,573.89,584.76,570.53,576.49,923082.0
2015-08-06,578.17,581.88,563.84,572.11,253560.0
2015-08-07,572.4,587.65,568.12,570.43,610107.0
2015-08-10,572.35,581.64,571.49,575.58,543061.0
2015-08-11,576.3,578.22,558.31,566.29,366483.0
2015-08-12,565.71,567.54,548.4,552.53,274796.0
2015-08-13,556.0,562.25,544.07,549.12,415751.0
2015-08-14,553.04,567.64,552.41,558.64,375094.0
2015-08-17,560.87,575.08,552.16,563.14,464413.0
2015-08-18,566.52,567.44,558.06,561.5,423020.0
2015-08-19,561.83,563.77,551.29,554.82,237747.0
2015-08-20,557.87,560.92,546.75,548.93,308880.0
2015-08-21,546.36,548.3,532.53,546.75,295170.0
2015-08-24,522.77,541.33,518.66,530.6,739635.0
2015-08-25,532.82,539.4,490.57,523.01,603460.0
2015-08-26,512.52,540.56,510.68,531.91,297168.0
2015-08-27,538.63,552.16,534.18,549.6,310246.0
2015-08-28,551.68,560.87,543.46,548.83,254152.0
2015-08-31,547.33,554.53,543.46,552.02,206639.0
2015-09-01,549.22,551.83,529.92,535.19,404477.0
2015-09-02,536.69,543.46,528.67,540.27,210935.0
2015-09-03,541.72,547.47,533.4,536.4,201971.0
2015-09-04,536.69,544.43,524.17,540.95,258703.0
2015-09-07,541.48,542.3,528.96,536.5,189016.0
2015-09-08,537.18,540.75,524.12,532.53,276221.0
2015-09-09,535.82,541.33,533.94,537.13,143142.0
2015-09-10,531.86,552.16,528.57,547.67,205359.0
2015-09-11,551.34,555.21,544.91,548.34,151439.0
2015-09-14,548.3,553.62,544.43,551.97,148280.0
2015-09-15,556.03,557.92,544.48,550.09,131996.0
2015-09-16,550.38,551.2,540.37,542.4,132471.0
2015-09-18,544.77,550.13,538.63,540.71,125539.0
2015-09-21,541.62,545.35,536.69,543.07,99102.0
2015-09-22,545.4,548.97,528.96,534.32,132067.0
2015-09-23,531.86,544.43,530.36,536.31,245003.0
2015-09-24,534.86,544.14,532.15,536.5,268068.0
2015-09-28,535.87,542.98,534.76,535.63,120490.0
2015-09-29,528.47,542.01,528.47,537.95,175992.0
2015-09-30,539.06,552.16,538.05,549.12,187428.0
2015-10-01,550.47,563.96,548.3,560.87,335068.0
2015-10-05,565.61,566.19,556.03,559.9,291417.0
2015-10-06,560.58,562.17,553.66,560.53,361542.0
2015-10-07,561.83,564.16,551.92,553.62,229634.0
2015-10-08,556.23,559.42,544.43,555.94,277534.0
2015-10-09,557.0,564.3,551.68,559.76,390156.0
2015-10-12,560.43,563.0,554.1,554.92,99800.0
2015-10-13,554.87,559.51,551.68,556.71,146492.0
2015-10-14,556.03,562.71,554.58,558.79,105982.0
2015-10-15,560.82,570.44,558.01,560.58,428503.0
2015-10-16,563.19,563.24,559.51,560.19,203570.0
2015-10-19,559.9,567.2,557.0,559.66,140883.0
2015-10-20,560.38,564.4,556.52,559.18,173847.0
2015-10-21,558.93,562.75,553.62,554.78,82960.0
2015-10-23,556.42,558.93,550.04,552.07,111197.0
2015-10-26,552.16,557.0,550.28,553.86,134868.0
2015-10-27,552.45,558.74,547.38,551.34,201034.0
2015-10-28,552.5,555.94,539.59,545.59,251587.0
2015-10-29,556.03,558.74,547.52,550.67,421652.0
2015-10-30,554.97,554.97,536.69,543.07,173468.0
2015-11-02,546.7,557.77,537.32,554.68,344274.0
2015-11-03,558.93,560.77,549.26,550.86,238717.0
2015-11-04,553.13,555.31,540.8,543.41,155699.0
2015-11-05,541.04,541.87,527.12,529.15,193111.0
2015-11-06,529.92,532.68,518.71,522.38,244921.0
2015-11-09,517.35,530.89,512.52,528.52,194470.0
2015-11-10,529.39,530.89,512.47,513.39,211724.0
2015-11-11,529.39,530.89,512.47,513.39,211724.0
2015-11-13,519.14,519.14,505.8,513.29,180494.0
2015-11-16,515.9,524.07,513.15,515.32,136412.0
2015-11-17,520.16,520.5,511.89,518.66,121101.0
2015-11-18,519.29,523.49,513.58,516.34,106446.0
2015-11-19,518.32,522.19,515.61,519.62,153079.0
2015-11-20,520.25,535.73,518.32,533.65,567224.0
2015-11-23,537.66,539.01,522.67,526.2,347640.0
2015-11-24,524.31,527.65,520.98,524.99,153230.0
2015-11-26,527.02,527.02,517.5,520.06,780705.0
2015-11-27,525.09,534.03,518.42,531.62,575956.0
2015-11-30,531.81,543.56,526.39,539.59,250586.0
2015-12-01,545.4,546.22,533.45,535.34,266066.0
2015-12-02,535.63,536.69,529.92,533.5,167338.0
2015-12-03,533.5,540.13,531.42,533.31,266223.0
2015-12-04,531.57,538.05,530.12,534.81,101502.0
2015-12-07,536.69,540.8,532.15,537.9,231885.0
2015-12-08,537.22,537.66,526.06,528.62,160761.0
2015-12-09,522.19,534.56,512.47,517.88,586846.0
2015-12-10,519.19,523.15,513.63,517.45,398436.0
2015-12-11,517.35,518.8,508.75,510.0,571723.0
2015-12-14,506.81,517.3,503.14,513.97,500580.0
2015-12-15,518.32,521.7,511.07,520.35,433122.0
2015-12-16,520.35,533.26,519.96,527.12,347351.0
2015-12-17,528.96,530.89,522.67,525.86,604098.0
2015-12-18,526.15,531.86,520.74,522.24,243365.0
2015-12-21,522.28,526.06,518.32,524.12,392537.0
2015-12-22,524.12,526.97,522.19,523.78,71884.0
2015-12-23,526.06,535.19,524.22,531.23,578625.0
2015-12-24,532.92,538.63,531.33,535.15,195868.0
2015-12-28,535.73,543.75,534.95,536.4,257293.0
2015-12-29,535.73,536.31,529.92,531.28,784594.0
2015-12-30,531.86,533.74,527.07,532.24,730182.0
2015-12-31,533.79,542.2,532.05,534.23,227626.0
2016-01-01,534.66,541.48,534.03,537.18,104742.0
2016-01-04,537.13,545.4,532.05,539.21,735318.0
2016-01-05,540.85,552.16,535.97,548.88,355348.0
2016-01-06,549.75,551.97,542.98,544.33,406843.0
2016-01-07,543.46,543.85,535.73,538.34,293971.0
2016-01-08,543.46,545.4,536.35,538.77,189052.0
2016-01-11,538.53,543.41,531.37,533.65,144125.0
2016-01-12,533.07,538.48,523.69,528.04,970716.0
2016-01-13,530.89,533.69,518.95,531.33,265835.0
2016-01-14,530.79,540.56,523.59,538.58,1166449.0
2016-01-15,539.59,543.36,534.76,537.61,574215.0
2016-01-18,533.79,536.45,517.4,521.66,539567.0
2016-01-19,525.96,526.2,514.06,521.95,354872.0
2016-01-20,517.45,520.2,511.07,517.11,653418.0
2016-01-21,522.19,525.28,511.79,512.76,483747.0
2016-01-22,518.32,527.02,516.39,522.38,317478.0
2016-01-25,529.92,529.92,520.64,526.1,247305.0
2016-01-27,530.75,546.8,527.12,544.96,776367.0
2016-01-28,550.23,556.9,535.82,538.43,383603.0
2016-01-29,543.36,552.94,537.71,547.57,205511.0
2016-02-01,560.87,560.87,548.15,550.96,391725.0
2016-02-02,551.1,566.52,549.41,551.44,671437.0
2016-02-03,550.62,555.84,539.59,548.3,200595.0
2016-02-04,555.94,567.15,549.26,563.24,368771.0
2016-02-05,566.19,578.27,565.7,577.26,449355.0
2016-02-08,578.95,592.78,577.02,581.18,605569.0
2016-02-09,575.37,579.97,554.63,557.39,532768.0
2016-02-10,559.9,576.24,552.16,568.85,672319.0
2016-02-11,570.44,574.41,555.84,560.87,565676.0
2016-02-12,563.67,571.5,549.46,563.53,462041.0
2016-02-15,569.57,580.01,566.77,570.1,557280.0
2016-02-16,566.19,575.37,557.34,560.38,397790.0
2016-02-17,567.64,583.11,561.5,580.69,820916.0
2016-02-18,588.91,604.29,587.85,600.56,1088265.0
2016-02-19,599.5,610.19,597.81,605.59,589737.0
2016-02-22,605.35,626.62,605.35,614.88,870344.0
2016-02-23,615.99,617.49,588.91,592.01,771830.0
2016-02-24,591.43,595.1,583.3,585.57,1207094.0
2016-02-25,588.91,588.91,569.62,580.4,597649.0
2016-02-26,598.58,598.58,559.9,562.8,546098.0
2016-02-29,566.67,573.2,560.96,567.3,397227.0
2016-03-01,572.96,575.18,563.82,565.7,498639.0
2016-03-02,570.05,587.94,567.73,580.21,1111198.0
2016-03-03,588.38,589.88,579.34,583.69,388668.0
2016-03-04,587.56,587.56,575.03,577.26,367156.0
2016-03-08,580.21,586.54,572.86,575.28,249135.0
2016-03-09,575.37,583.79,570.92,580.3,188001.0
2016-03-10,582.14,585.77,576.73,582.87,326159.0
2016-03-11,583.01,588.33,578.13,584.41,267964.0
2016-03-14,585.96,587.94,578.27,580.4,170437.0
2016-03-15,580.11,582.14,575.47,578.52,291153.0
2016-03-16,578.27,579.68,566.86,568.8,200765.0
2016-03-17,574.31,580.59,571.41,576.05,497807.0
2016-03-18,581.84,583.79,574.59,577.02,182274.0
2016-03-21,578.43,579.89,572.69,578.34,154682.0
2016-03-22,580.38,588.16,575.86,577.95,539917.0
2016-03-23,582.52,586.9,579.99,583.59,202533.0
2016-03-28,583.79,586.51,547.25,562.09,471430.0
2016-03-29,556.54,586.02,550.27,579.26,666945.0
2016-03-30,585.68,590.4,579.02,579.94,1500262.0
2016-03-31,583.79,584.22,569.19,573.37,474145.0
2016-04-01,572.11,581.6,570.5,572.98,213241.0
2016-04-04,574.06,577.41,569.48,571.33,257816.0
2016-04-05,571.57,576.93,566.66,574.06,159840.0
2016-04-06,576.88,588.55,573.52,583.2,668308.0
2016-04-07,585.63,588.65,575.95,577.51,176908.0
2016-04-08,578.53,588.16,576.73,580.43,226374.0
2016-04-11,582.08,592.54,582.08,587.48,306321.0
2016-04-12,591.57,595.27,585.73,588.11,257288.0
2016-04-13,592.54,601.3,591.71,597.7,345711.0
2016-04-18,599.35,610.74,598.91,608.84,556777.0
2016-04-20,612.78,616.62,601.3,603.78,468832.0
2016-04-21,607.91,608.01,587.68,589.67,306659.0
2016-04-22,588.16,589.82,580.18,582.67,231479.0
2016-04-25,582.81,591.96,571.14,586.17,443854.0
2016-04-26,586.61,594.49,579.02,589.48,676075.0
2016-04-27,589.28,597.36,586.85,590.01,256790.0
2016-04-28,590.11,593.37,581.26,583.79,209200.0
2016-04-29,583.88,590.01,582.91,586.75,113245.0
2016-05-02,585.29,593.17,579.11,587.58,145497.0
2016-05-03,588.31,594.49,578.97,581.16,264812.0
2016-05-04,578.92,586.02,569.34,571.43,434317.0
2016-05-05,576.34,577.95,567.49,573.23,253669.0
2016-05-06,573.08,579.5,567.88,577.41,338468.0
2016-05-09,578.09,586.8,571.96,582.42,284016.0
2016-05-10,582.81,586.22,576.39,580.57,220113.0
2016-05-11,578.92,588.46,576.15,585.34,283913.0
2016-05-12,584.13,592.59,584.13,588.65,304215.0
2016-05-13,586.22,592.88,579.36,590.64,290941.0
2016-05-16,594.97,594.97,586.22,589.33,149561.0
2016-05-17,590.06,593.42,588.65,590.45,190180.0
2016-05-18,590.45,593.42,583.83,592.2,247320.0
2016-05-19,597.36,604.17,594.44,599.89,633808.0
2016-05-20,613.66,639.0,611.08,636.03,3040399.0
2016-05-23,641.92,641.92,626.69,633.55,936423.0
2016-05-24,629.71,643.09,628.54,639.59,596068.0
2016-05-25,641.43,665.81,641.34,663.23,1329998.0
2016-05-26,665.66,674.76,657.44,662.26,1658153.0
