,open,high,low,close,volume
2015-05-15,654.81,669.83,652.33,666.82,77747.0
2015-05-18,679.16,680.04,658.16,662.05,221396.0
2015-05-19,662.05,703.86,657.73,688.54,220118.0
2015-05-20,699.77,699.97,684.41,691.27,182762.0
2015-05-21,696.66,696.66,671.19,679.26,38359.0
2015-05-22,682.47,704.83,677.61,694.77,136866.0
2015-05-25,733.8,737.78,695.64,702.45,248496.0
2015-05-26,705.56,705.56,563.86,661.57,190111.0
2015-05-27,661.08,666.91,640.76,661.32,97929.0
2015-05-28,663.02,675.08,653.4,659.48,41098.0
2015-05-29,665.84,666.57,658.55,663.07,215339.0
2015-06-01,668.86,670.75,653.35,660.84,125069.0
2015-06-02,668.37,668.86,633.86,645.04,111289.0
2015-06-03,640.91,657.09,637.8,646.89,88671.0
2015-06-04,653.79,656.02,644.46,652.09,90460.0
2015-06-05,653.25,654.27,641.64,647.27,171541.0
2015-06-08,649.41,654.27,638.72,641.15,46203.0
2015-06-09,648.93,648.93,634.83,637.99,56289.0
2015-06-10,647.47,647.47,625.69,632.6,57435.0
2015-06-11,636.0,646.01,613.54,616.02,55542.0
2015-06-12,607.61,626.08,582.38,597.5,106407.0
2015-06-15,616.36,628.03,589.82,592.35,204500.0
2015-06-16,594.05,646.5,594.05,617.43,366225.0
2015-06-17,622.14,639.69,622.14,632.21,119345.0
2015-06-18,633.37,645.96,624.53,631.67,121832.0
2015-06-19,636.44,640.96,624.14,627.39,84661.0
2015-06-22,633.37,639.01,627.59,631.04,201168.0
2015-06-23,627.05,634.64,623.85,631.57,72673.0
2015-06-24,633.91,633.91,623.16,625.4,57296.0
2015-06-25,626.08,633.86,623.16,631.23,70529.0
2015-06-26,631.23,638.09,627.1,630.65,281381.0
2015-06-29,628.03,630.65,613.69,621.42,65828.0
2015-06-30,626.23,638.09,622.34,626.52,61829.0
2015-07-01,631.91,646.98,627.25,642.22,103842.0
2015-07-02,641.64,651.36,640.37,644.12,117712.0
2015-07-03,644.12,651.6,644.12,646.84,52955.0
2015-07-06,646.84,670.8,631.91,658.5,102588.0
2015-07-07,664.97,664.97,648.54,650.48,53521.0
2015-07-08,651.36,654.66,612.47,627.49,988321.0
2015-07-09,628.03,633.91,615.87,621.37,53296.0
2015-07-10,621.37,643.53,616.55,638.53,82945.0
2015-07-13,641.64,657.19,639.69,646.5,69194.0
2015-07-14,653.79,653.79,636.87,642.61,35426.0
2015-07-15,642.61,651.36,640.66,644.26,50822.0
2015-07-16,651.07,680.52,642.27,658.65,225473.0
2015-07-17,664.97,665.31,647.47,650.39,58181.0
2015-07-20,651.36,656.22,632.16,651.11,69459.0
2015-07-21,651.36,653.79,635.9,639.01,43125.0
2015-07-22,645.87,645.87,634.83,636.97,35235.0
2015-07-23,634.83,645.52,634.83,636.34,60913.0
2015-07-24,631.96,643.58,628.71,633.57,82148.0
2015-07-27,630.94,637.75,623.8,628.85,66696.0
2015-07-28,632.35,636.19,624.14,631.23,98928.0
2015-07-29,650.39,650.39,631.91,637.41,290296.0
2015-07-30,643.34,646.5,635.07,639.93,498035.0
2015-07-31,644.94,647.57,632.89,637.8,157476.0
2015-08-03,635.8,641.83,627.05,627.54,125150.0
2015-08-04,628.51,664.68,622.14,644.02,1679347.0
2015-08-05,651.07,668.37,642.12,655.44,757151.0
