,open,high,low,close,volume
2015-05-15,120.59,121.88,119.82,120.47,3546636.0
2015-05-18,119.99,121.24,119.35,120.47,8419389.0
2015-05-19,120.42,123.78,118.79,119.35,3709872.0
2015-05-20,119.65,121.63,119.61,121.11,2907264.0
2015-05-21,120.85,121.24,119.3,119.99,1478701.0
2015-05-22,119.82,122.1,118.19,121.24,3026627.0
2015-05-25,121.93,123.35,121.33,123.09,3125865.0
2015-05-26,123.35,123.52,121.76,123.05,1249015.0
2015-05-27,123.05,123.52,121.97,123.17,639714.0
2015-05-28,124.08,124.08,120.9,123.17,2164797.0
2015-05-29,122.57,124.25,121.5,123.6,1953884.0
2015-06-01,126.14,126.36,122.36,123.09,8896408.0
2015-06-02,122.57,122.92,121.58,122.57,2607559.0
2015-06-03,122.27,123.65,121.07,123.17,3391462.0
2015-06-04,123.0,124.85,122.49,124.16,4818652.0
2015-06-05,123.86,125.84,123.0,124.64,4891526.0
2015-06-08,125.11,126.19,123.82,125.71,2371018.0
2015-06-09,125.58,127.43,124.98,126.74,1518561.0
2015-06-10,126.92,127.48,125.76,126.57,1617215.0
2015-06-11,126.1,126.74,124.59,125.58,1188736.0
2015-06-12,125.15,125.54,122.36,125.07,1470673.0
2015-06-15,124.72,124.72,120.98,121.45,2010450.0
2015-06-16,121.11,124.42,120.85,123.95,1521679.0
2015-06-17,123.6,124.16,120.81,121.97,1704495.0
2015-06-18,121.54,122.74,121.15,122.1,2559248.0
2015-06-19,122.1,122.49,119.3,120.42,5129809.0
2015-06-22,121.15,122.31,120.77,121.54,1040104.0
2015-06-23,121.28,121.97,119.69,119.91,2362531.0
2015-06-24,119.61,120.9,119.61,120.29,1744552.0
2015-06-25,120.59,122.06,119.43,121.54,6257761.0
2015-06-26,120.85,121.5,119.48,119.65,2353848.0
2015-06-29,118.53,120.59,118.44,119.99,1941928.0
2015-06-30,119.99,120.77,118.4,119.65,1456218.0
2015-07-01,119.69,123.09,119.05,122.44,1118472.0
2015-07-02,122.96,123.0,120.94,121.71,1668134.0
2015-07-03,120.85,122.96,120.85,121.71,1716355.0
2015-07-06,120.85,122.31,120.16,120.42,1172194.0
2015-07-07,121.28,121.71,118.92,119.22,1819404.0
2015-07-08,118.79,119.73,117.33,118.7,1372722.0
2015-07-09,118.79,119.18,117.76,117.84,1394007.0
2015-07-10,117.93,119.69,117.71,119.26,1631844.0
2015-07-13,119.05,120.77,117.88,120.42,906970.0
2015-07-14,120.51,121.24,119.39,120.59,1274035.0
2015-07-15,120.47,121.02,119.99,120.21,846494.0
2015-07-16,120.16,120.55,119.65,120.08,1027825.0
2015-07-17,120.12,121.93,119.99,121.45,954246.0
2015-07-20,121.93,121.93,120.47,120.59,938416.0
2015-07-21,120.55,121.2,120.12,120.42,740188.0
2015-07-22,120.16,123.22,119.39,122.83,1063200.0
2015-07-23,123.09,123.26,121.07,122.36,689275.0
2015-07-24,122.31,122.96,121.45,122.19,951910.0
2015-07-27,121.58,122.96,120.47,120.77,729175.0
2015-07-28,121.28,121.88,119.95,121.58,870273.0
2015-07-29,121.02,121.54,119.99,120.42,1069275.0
2015-07-30,120.59,123.22,120.34,122.49,1655434.0
2015-07-31,122.87,122.87,120.77,122.14,1100531.0
2015-08-03,121.33,122.92,120.68,120.94,848460.0
2015-08-04,120.85,122.57,120.38,121.28,563350.0
2015-08-05,121.28,121.67,120.51,121.07,623171.0
2015-08-06,120.68,122.06,120.59,121.33,728542.0
2015-08-07,120.9,122.4,119.86,120.08,1245303.0
2015-08-10,120.51,121.71,118.19,118.75,1446049.0
2015-08-11,120.42,121.11,116.64,118.66,2178682.0
2015-08-12,117.84,118.62,116.72,116.98,828294.0
2015-08-13,116.81,119.22,108.38,118.53,1389502.0
2015-08-14,118.53,119.61,118.44,119.0,733884.0
2015-08-17,119.13,119.95,117.8,118.79,457753.0
2015-08-18,118.79,119.3,117.54,118.19,822375.0
