,open,high,low,close,volume
2015-05-15,52.57,53.62,51.69,52.21,360092.0
2015-05-18,51.99,53.23,51.99,52.87,221466.0
2015-05-19,52.79,53.58,52.52,53.05,213565.0
2015-05-20,53.67,54.06,52.52,52.7,272235.0
2015-05-21,53.14,53.14,51.86,52.04,219071.0
2015-05-22,52.26,52.48,51.99,52.26,169556.0
2015-05-25,51.99,52.79,51.77,52.21,148382.0
2015-05-26,52.52,52.52,51.73,52.08,142819.0
2015-05-27,51.73,51.91,51.33,51.77,185481.0
2015-05-28,51.77,52.26,51.25,51.69,190452.0
2015-05-29,53.31,62.02,53.31,62.02,5892609.0
2015-06-01,65.98,68.18,61.19,64.71,5872204.0
2015-06-02,64.53,67.7,62.99,66.64,4363043.0
2015-06-03,66.42,66.77,59.91,64.4,2210862.0
2015-06-04,64.84,76.19,64.22,74.56,8605026.0
2015-06-05,73.37,78.56,72.54,76.28,6393954.0
2015-06-08,75.62,75.66,72.18,73.64,1808763.0
2015-06-09,73.28,75.57,69.76,73.06,2260259.0
2015-06-10,72.4,77.59,72.14,75.22,2444548.0
2015-06-11,75.66,76.45,71.92,72.62,854129.0
2015-06-12,72.54,79.88,71.7,78.78,3415194.0
2015-06-15,79.18,80.72,76.28,78.03,2756104.0
2015-06-16,76.98,77.95,74.08,75.53,1047548.0
2015-06-17,75.75,79.88,75.44,76.93,1982502.0
2015-06-18,77.51,79.0,75.0,75.4,1766111.0
2015-06-19,75.92,76.76,71.61,72.1,1365193.0
2015-06-22,72.32,75.44,72.32,74.69,1120720.0
2015-06-23,74.96,76.01,73.46,74.38,1049334.0
2015-06-24,74.47,77.59,73.2,74.87,1902312.0
2015-06-25,74.52,75.4,72.23,73.37,993130.0
2015-06-26,73.06,80.67,73.06,80.19,3726326.0
2015-06-29,76.98,86.52,76.14,84.9,8706044.0
2015-06-30,84.32,87.45,82.52,83.05,4002935.0
2015-07-01,82.96,85.56,82.08,82.87,1627421.0
2015-07-02,83.49,85.16,81.47,81.82,1114485.0
2015-07-03,82.7,87.8,82.48,84.06,4522004.0
2015-07-06,82.35,88.55,82.26,87.4,3934568.0
2015-07-07,87.45,89.03,83.75,84.72,2307951.0
2015-07-08,83.93,92.02,83.18,89.47,7335167.0
2015-07-09,90.84,93.61,87.23,88.5,4799281.0
2015-07-10,89.34,90.48,87.27,89.65,1992382.0
2015-07-13,88.86,91.36,87.8,88.2,1710795.0
