,open,high,low,close,volume
2015-05-15,104.76,106.93,99.37,100.66,750565.0
2015-05-18,101.79,101.79,99.86,100.75,187677.0
2015-05-19,100.31,102.48,100.06,101.0,143340.0
2015-05-20,101.64,102.24,101.0,101.69,135074.0
2015-05-21,100.51,101.99,98.83,100.8,255218.0
2015-05-22,101.2,101.54,98.93,99.22,107267.0
2015-05-25,98.93,104.56,98.14,101.94,3548336.0
2015-05-26,102.78,106.73,102.78,104.16,2630222.0
2015-05-27,102.78,113.16,100.61,108.61,1191364.0
2015-05-28,109.65,110.59,105.84,108.91,723724.0
2015-05-29,109.8,113.9,109.7,112.91,694407.0
2015-06-01,111.18,114.39,108.71,109.65,245004.0
2015-06-02,109.65,109.65,105.55,107.23,235935.0
2015-06-03,106.04,107.72,98.83,103.47,187973.0
2015-06-04,105.0,105.05,100.31,101.3,215934.0
2015-06-05,101.3,103.77,101.3,103.18,150768.0
2015-06-08,103.77,103.82,99.82,100.85,122000.0
2015-06-09,101.25,102.78,99.32,101.59,101710.0
2015-06-10,101.2,110.59,101.2,108.41,658321.0
2015-06-11,109.5,111.58,105.84,106.83,291689.0
2015-06-12,106.44,108.71,102.83,106.29,142644.0
2015-06-15,106.73,113.31,106.68,109.4,244854.0
2015-06-16,109.7,110.93,106.73,109.9,159870.0
2015-06-17,110.88,112.66,108.71,109.95,224923.0
2015-06-18,110.79,110.79,107.03,107.97,149945.0
2015-06-19,108.71,109.5,106.83,108.07,109647.0
2015-06-22,108.71,111.08,107.67,110.39,204646.0
2015-06-23,110.34,114.84,109.3,113.75,493153.0
2015-06-24,114.84,120.96,107.82,111.08,649505.0
2015-06-25,109.95,114.15,108.81,111.97,172960.0
2015-06-26,109.75,113.45,109.75,110.93,246997.0
2015-06-29,108.61,108.61,103.37,106.44,184043.0
2015-06-30,105.89,111.67,105.89,108.51,192297.0
2015-07-01,108.41,113.8,108.41,113.06,322019.0
2015-07-02,113.65,117.51,113.45,115.53,371231.0
2015-07-03,114.64,116.52,113.65,114.69,196754.0
2015-07-06,112.66,116.02,110.29,115.08,211923.0
2015-07-07,116.02,117.8,113.65,114.34,193052.0
2015-07-08,113.16,114.34,108.71,109.7,174524.0
2015-07-09,110.49,111.77,106.78,108.31,156472.0
2015-07-10,110.39,115.18,107.72,112.42,2508090.0
2015-07-13,111.77,115.43,111.18,114.0,229669.0
2015-07-14,114.64,114.64,111.77,112.56,117895.0
2015-07-15,112.42,117.41,112.42,115.97,760698.0
2015-07-16,116.47,119.53,115.92,118.49,565836.0
2015-07-17,124.52,126.1,120.07,121.36,1482052.0
2015-07-20,120.87,120.87,114.79,115.48,405381.0
2015-07-21,115.97,117.8,114.59,115.63,253723.0
2015-07-22,115.63,115.73,111.92,112.61,261082.0
2015-07-23,113.16,115.03,111.72,112.61,259480.0
2015-07-24,112.66,112.66,107.38,108.17,215485.0
2015-07-27,106.73,107.72,102.78,103.77,240669.0
2015-07-28,104.76,106.73,101.1,103.77,3009750.0
2015-07-29,103.18,103.57,101.3,102.48,314862.0
2015-07-30,103.22,106.04,102.78,103.37,433081.0
2015-07-31,104.16,106.73,103.82,106.19,379330.0
2015-08-03,106.63,107.72,103.77,104.26,293211.0
2015-08-04,105.05,107.72,102.78,107.38,363296.0
2015-08-05,107.72,108.46,97.84,101.69,633991.0
2015-08-06,98.83,101.69,96.06,99.86,668644.0
2015-08-07,100.26,101.5,97.54,97.99,1528199.0
2015-08-10,97.1,99.82,97.1,98.73,603069.0
2015-08-11,99.72,99.72,97.0,98.53,424395.0
2015-08-12,97.84,98.68,94.87,95.27,198531.0
2015-08-13,95.91,96.85,91.66,92.4,128384.0
2015-08-14,93.1,98.73,91.12,96.36,233997.0
2015-08-17,97.84,100.46,96.95,99.42,886706.0
2015-08-18,100.8,102.19,99.82,100.06,171353.0
2015-08-19,100.06,101.64,98.38,100.51,384305.0
2015-08-20,103.57,104.16,97.94,98.73,848944.0
2015-08-21,97.84,97.84,94.87,96.46,144567.0
2015-08-24,90.92,92.9,79.61,86.03,656467.0
2015-08-25,87.71,92.9,82.03,90.87,261251.0
