,open,high,low,close,volume
2015-05-15,55.29,55.41,54.51,54.92,654687.0
2015-05-18,55.25,55.33,54.39,54.68,1873514.0
2015-05-19,55.08,57.12,54.43,55.98,2070408.0
2015-05-20,56.26,57.16,55.82,55.98,1072718.0
2015-05-21,56.14,56.3,54.8,55.29,1127358.0
2015-05-22,55.74,56.14,54.92,55.12,1014910.0
2015-05-25,55.17,56.1,54.92,55.65,830717.0
2015-05-26,55.65,55.65,54.23,54.47,1463616.0
2015-05-27,53.86,54.8,53.13,54.64,683613.0
2015-05-28,54.64,56.14,54.03,55.29,4566428.0
2015-05-29,55.74,56.39,55.21,56.1,1281831.0
2015-06-01,55.45,56.79,55.45,56.3,859785.0
2015-06-02,56.71,56.71,53.94,54.35,889639.0
2015-06-03,54.35,54.39,49.59,51.63,2202846.0
2015-06-04,52.36,52.36,50.12,50.69,1545033.0
2015-06-05,50.45,52.24,50.08,51.95,1136047.0
2015-06-08,52.07,52.07,50.04,50.53,685390.0
2015-06-09,50.36,50.81,48.57,49.06,1112914.0
2015-06-10,49.39,50.16,48.82,49.39,905178.0
2015-06-11,49.63,50.73,48.41,48.78,1522958.0
2015-06-12,48.41,49.63,48.05,49.19,1123858.0
2015-06-15,49.51,50.28,48.94,49.92,859552.0
2015-06-16,50.28,51.75,49.35,51.5,1319767.0
2015-06-17,51.59,52.32,50.77,51.42,1101665.0
2015-06-18,51.87,54.11,51.5,53.74,3292859.0
2015-06-19,53.7,54.35,52.72,53.74,1679059.0
2015-06-22,53.82,54.51,53.42,53.9,976302.0
2015-06-23,53.99,54.31,52.72,53.21,1157480.0
2015-06-24,53.46,55.12,53.01,54.19,1217958.0
2015-06-25,54.43,56.22,53.78,55.74,1990973.0
2015-06-26,55.37,56.75,54.35,56.47,1472372.0
2015-06-29,55.33,55.33,53.82,54.35,1181699.0
2015-06-30,54.39,56.59,54.23,55.9,1024740.0
2015-07-01,55.9,58.05,55.74,57.57,1360552.0
2015-07-02,57.77,58.26,56.55,56.91,974740.0
2015-07-03,56.87,57.85,56.63,57.4,850373.0
2015-07-06,56.59,58.26,55.78,58.09,1134660.0
2015-07-07,58.34,60.98,58.22,59.03,2030905.0
2015-07-08,58.34,58.91,56.22,57.08,1502307.0
2015-07-09,57.04,58.05,56.83,57.32,1114868.0
2015-07-10,57.69,58.38,57.12,57.61,736553.0
2015-07-13,57.2,59.32,57.16,59.03,1312717.0
2015-07-14,59.07,59.27,57.81,58.38,1072678.0
2015-07-15,58.58,58.99,57.89,58.18,653000.0
2015-07-16,58.5,58.83,57.4,58.54,2440601.0
2015-07-17,58.58,59.56,57.93,58.91,984326.0
2015-07-20,58.99,59.15,57.57,57.85,892793.0
2015-07-21,57.53,58.5,56.35,56.59,1059709.0
2015-07-22,56.55,58.54,55.45,58.09,1042015.0
2015-07-23,58.54,58.75,57.48,58.22,848352.0
2015-07-24,58.18,58.46,57.44,57.73,531136.0
2015-07-27,57.36,57.4,55.33,55.65,1028738.0
2015-07-28,55.78,56.39,54.84,55.57,804285.0
2015-07-29,55.78,56.02,53.05,54.11,1761101.0
2015-07-30,54.43,56.26,53.7,55.69,2444977.0
2015-07-31,55.78,57.08,55.53,56.18,840826.0
2015-08-03,56.59,59.27,56.59,58.91,1411937.0
2015-08-04,59.48,59.84,58.46,58.95,1153269.0
2015-08-05,59.44,60.21,58.38,58.99,1457896.0
2015-08-06,58.58,59.84,56.75,57.61,1814964.0
2015-08-07,57.57,58.34,57.16,57.4,515433.0
2015-08-10,57.77,58.18,56.71,57.12,795502.0
2015-08-11,57.65,57.65,54.92,55.21,981831.0
2015-08-12,54.72,55.33,53.7,53.86,919465.0
