,open,high,low,close,volume
2015-05-15,636.62,646.62,630.34,643.7,30790.0
2015-05-18,634.3,653.0,631.72,643.35,13756.0
2015-05-19,641.72,660.03,633.85,639.59,25739.0
2015-05-20,653.05,658.59,641.32,643.7,26479.0
2015-05-21,652.7,652.7,643.55,650.18,11680.0
2015-05-22,646.67,652.85,646.67,648.79,5934.0
2015-05-25,653.1,653.1,638.35,647.66,6555.0
2015-05-26,653.1,659.04,643.85,652.8,221172.0
2015-05-27,643.2,667.94,634.79,649.19,13895.0
2015-05-28,653.25,660.97,642.21,644.93,13076.0
2015-05-29,648.15,662.94,646.96,658.79,46695.0
2015-06-01,609.56,688.03,609.56,665.57,101571.0
2015-06-02,661.51,679.82,643.25,667.6,34250.0
2015-06-03,663.64,664.23,630.83,643.25,41384.0
2015-06-04,647.95,667.94,635.44,661.76,33347.0
2015-06-05,666.7,670.86,655.08,662.65,17379.0
2015-06-08,662.99,710.49,653.2,658.39,132414.0
2015-06-09,651.12,663.98,648.2,659.73,14025.0
2015-06-10,692.68,693.67,633.31,638.45,434715.0
2015-06-11,642.86,643.2,614.61,640.14,130445.0
2015-06-12,643.7,670.91,633.31,642.46,209181.0
2015-06-15,646.07,649.39,633.31,637.41,28460.0
2015-06-16,641.22,647.51,633.51,640.83,29059.0
2015-06-17,643.7,655.08,633.46,649.39,39895.0
2015-06-18,654.53,662.99,643.5,648.89,45001.0
2015-06-19,653.05,658.54,643.25,649.73,30136.0
2015-06-22,652.9,655.08,649.14,651.47,10902.0
2015-06-23,650.13,660.03,645.18,649.14,41767.0
2015-06-24,648.15,653.89,646.22,648.4,13881.0
2015-06-25,653.84,658.59,644.19,647.31,27035.0
2015-06-26,646.02,646.02,628.36,633.11,195534.0
2015-06-29,625.39,631.03,611.64,613.32,31270.0
2015-06-30,624.4,631.33,619.45,628.36,27282.0
2015-07-01,636.23,649.54,625.64,644.59,177420.0
2015-07-02,647.16,662.94,646.22,659.63,29769.0
2015-07-03,662.94,717.27,658.1,700.7,418250.0
2015-07-06,688.97,696.89,673.19,693.32,51820.0
2015-07-07,693.67,700.6,678.18,684.27,88251.0
2015-07-08,682.69,689.27,668.93,673.04,37331.0
2015-07-09,682.78,686.74,658.05,678.03,48594.0
2015-07-10,682.78,707.52,669.48,674.52,49328.0
2015-07-13,677.94,720.29,677.94,702.53,340873.0
2015-07-14,707.52,739.19,694.86,723.16,330743.0
2015-07-15,717.42,766.9,717.42,752.55,614048.0
2015-07-16,756.01,772.83,740.18,750.62,380394.0
2015-07-17,756.9,778.77,756.9,774.37,488450.0
2015-07-20,778.62,805.14,777.78,798.81,414607.0
2015-07-21,805.44,821.07,798.51,806.53,241662.0
2015-07-22,812.41,860.9,812.41,848.88,2431120.0
2015-07-23,851.01,875.75,821.32,844.38,819917.0
2015-07-24,836.16,836.16,766.9,795.49,9673551.0
2015-07-27,802.52,809.25,794.7,798.02,710490.0
2015-07-28,803.36,807.47,777.29,789.8,377343.0
2015-07-29,800.14,825.28,796.38,819.24,899262.0
2015-07-30,823.4,836.16,823.2,832.95,319015.0
2015-07-31,838.54,841.11,828.94,834.83,238406.0
2015-08-03,838.14,839.92,806.48,820.92,228748.0
2015-08-04,826.07,836.16,821.32,829.48,261403.0
2015-08-05,833.59,846.06,820.83,828.84,197539.0
2015-08-06,834.93,834.93,822.31,828.74,67512.0
2015-08-07,826.22,842.84,813.85,840.91,216959.0
2015-08-10,841.26,842.99,817.66,827.95,95127.0
2015-08-11,835.17,835.17,792.62,800.79,144189.0
2015-08-12,800.24,834.93,790.6,818.4,180111.0
2015-08-13,815.38,830.03,795.1,807.71,99854.0
2015-08-14,825.28,825.28,779.76,785.85,157453.0
2015-08-17,791.44,804.5,788.67,801.18,105262.0
2015-08-18,806.08,818.35,797.72,809.45,228208.0
2015-08-19,811.43,846.06,807.42,830.72,360090.0
2015-08-20,839.13,857.93,823.94,829.14,389365.0
2015-08-21,821.27,855.95,814.44,828.4,338616.0
2015-08-24,807.47,807.47,742.16,764.77,349735.0
2015-08-25,771.84,782.04,753.64,774.32,433205.0
2015-08-26,778.77,806.48,762.94,776.44,163416.0
2015-08-27,795.59,811.43,793.51,808.26,93450.0
2015-08-28,816.37,831.32,816.32,825.18,292759.0
2015-08-31,816.37,833.89,816.37,824.09,67406.0
2015-09-01,821.27,846.11,793.17,804.94,258788.0
2015-09-02,816.37,835.92,794.6,798.02,167049.0
2015-09-03,809.4,833.2,806.48,828.1,122501.0
2015-09-04,832.01,832.01,796.58,808.75,90078.0
2015-09-07,809.45,826.17,768.78,776.44,147450.0
2015-09-08,791.14,791.63,771.84,782.23,135649.0
2015-09-09,791.63,825.28,791.63,820.23,113415.0
2015-09-10,814.74,814.74,791.68,803.71,60497.0
2015-09-11,807.52,819.34,803.31,810.39,76804.0
2015-09-14,818.45,848.63,812.71,844.77,367848.0
2015-09-15,852.99,852.99,816.52,820.73,197989.0
2015-09-16,824.29,828.25,801.53,804.75,104804.0
2015-09-18,812.42,831.69,802.76,808.96,82895.0
2015-09-21,807.47,820.35,801.48,816.54,243008.0
2015-09-22,817.38,824.71,797.56,802.32,223659.0
2015-09-23,800.54,814.8,795.38,808.71,61179.0
2015-09-24,808.61,814.36,802.17,804.4,40506.0
2015-09-28,807.52,813.42,785.67,791.22,67380.0
2015-09-29,787.56,797.56,774.78,794.69,75478.0
2015-09-30,804.5,823.37,804.45,808.76,98709.0
2015-10-01,815.99,822.23,808.46,811.48,82398.0
2015-10-05,815.4,835.16,815.4,827.24,100883.0
2015-10-06,832.98,843.14,821.34,838.18,217860.0
2015-10-07,842.05,852.1,825.5,830.95,81982.0
2015-10-08,838.09,838.09,818.57,826.89,120263.0
2015-10-09,844.08,845.12,817.38,820.65,61289.0
2015-10-12,824.31,832.19,807.47,815.79,76889.0
2015-10-13,804.1,830.26,804.1,822.28,88390.0
2015-10-14,827.24,834.22,819.51,830.56,62646.0
2015-10-15,833.87,844.08,829.66,841.35,57628.0
2015-10-16,843.14,866.92,842.39,845.12,516982.0
2015-10-19,849.08,853.05,843.24,846.61,118136.0
2015-10-20,854.04,854.04,833.73,844.87,92779.0
2015-10-21,846.16,847.6,838.18,841.45,65237.0
2015-10-23,848.09,852.05,800.04,814.21,140051.0
2015-10-26,832.24,832.24,812.42,816.68,78045.0
2015-10-27,820.15,827.29,817.38,822.78,75330.0
2015-10-28,827.14,831.05,815.0,824.21,47214.0
2015-10-29,831.94,838.18,826.29,835.95,92074.0
2015-10-30,841.16,841.95,809.06,820.8,75988.0
2015-11-02,814.9,861.02,814.9,852.45,224698.0
2015-11-03,859.98,879.7,826.49,835.16,1045538.0
2015-11-04,844.82,861.86,830.36,837.49,171758.0
2015-11-05,837.49,842.0,810.44,814.16,58699.0
2015-11-06,807.52,821.69,774.78,807.57,185205.0
2015-11-09,799.54,810.24,772.89,791.07,83109.0
2015-11-10,791.62,811.78,789.74,794.74,74683.0
2015-11-11,791.62,811.78,789.74,794.74,74683.0
2015-11-13,802.27,804.94,785.67,789.04,103651.0
2015-11-16,791.52,802.32,789.64,797.51,70016.0
2015-11-17,797.56,807.47,791.07,797.07,49966.0
2015-11-18,797.51,802.47,777.75,787.75,45775.0
2015-11-19,792.61,808.16,792.61,806.28,79353.0
2015-11-20,803.31,823.32,797.56,819.86,64155.0
2015-11-23,817.38,827.78,810.69,818.81,28754.0
2015-11-24,811.53,827.43,811.43,824.41,27565.0
