,open,high,low,close,volume
2015-05-15,86.44,86.44,84.64,85.32,34937.0
2015-05-18,84.98,86.97,84.54,86.0,57939.0
2015-05-19,85.03,86.44,85.03,85.76,35664.0
2015-05-20,85.85,86.39,84.59,84.78,51113.0
2015-05-21,85.17,88.38,85.12,87.65,207406.0
2015-05-22,86.82,91.29,86.82,88.77,444350.0
2015-05-25,87.41,88.28,85.12,87.36,148649.0
2015-05-26,88.62,88.62,85.46,86.14,112724.0
2015-05-27,85.37,85.51,84.01,84.54,64273.0
2015-05-28,84.74,85.32,83.72,84.1,45848.0
2015-05-29,84.01,85.46,83.76,84.15,63641.0
2015-06-01,84.15,84.54,83.13,83.47,78891.0
2015-06-02,83.52,84.1,80.85,82.84,150685.0
2015-06-03,83.72,83.86,81.24,82.94,109820.0
2015-06-04,82.4,84.88,80.12,84.25,161481.0
2015-06-05,84.01,86.14,83.13,85.56,78677.0
2015-06-08,87.02,87.02,83.28,83.47,78475.0
2015-06-09,85.42,85.42,82.55,82.7,31787.0
2015-06-10,83.33,83.33,81.34,81.63,92034.0
2015-06-11,83.42,83.42,79.64,80.27,69382.0
2015-06-12,79.98,80.56,77.69,77.89,101774.0
2015-06-15,78.67,80.22,77.74,78.71,74006.0
2015-06-16,79.15,79.54,77.69,78.52,111932.0
2015-06-17,79.98,81.24,78.03,80.66,80095.0
2015-06-18,81.53,82.31,81.05,81.48,27670.0
2015-06-19,81.24,82.31,79.2,79.59,60725.0
2015-06-22,79.69,81.87,79.05,80.85,137546.0
2015-06-23,81.43,81.43,79.39,79.59,77100.0
2015-06-24,80.27,81.29,79.3,79.64,95033.0
2015-06-25,80.37,80.37,77.31,78.08,153183.0
2015-06-26,78.08,80.12,78.08,78.57,59387.0
2015-06-29,76.72,78.91,76.43,77.99,76995.0
2015-06-30,77.74,80.32,77.74,79.39,149287.0
2015-07-01,79.93,80.8,78.86,79.44,105876.0
2015-07-02,79.64,80.37,78.96,79.3,61371.0
2015-07-03,79.98,80.61,78.71,78.91,103575.0
2015-07-06,78.57,81.24,77.84,80.61,154559.0
2015-07-07,81.43,86.68,80.85,85.56,1443206.0
2015-07-08,87.31,89.06,83.52,85.17,975575.0
2015-07-09,83.86,85.32,81.58,82.02,249976.0
2015-07-10,83.13,83.13,79.83,80.32,141556.0
2015-07-13,81.43,81.43,79.64,80.27,122408.0
2015-07-14,81.29,81.29,79.05,79.59,203335.0
2015-07-15,80.22,81.87,79.44,80.37,380938.0
2015-07-16,81.09,81.87,80.07,80.32,154172.0
2015-07-17,80.71,82.74,80.66,81.24,297094.0
2015-07-20,81.77,83.28,81.29,82.65,163954.0
2015-07-21,83.42,83.86,82.16,82.55,223708.0
2015-07-22,82.55,84.88,81.24,83.72,204108.0
2015-07-23,84.49,85.37,83.23,84.3,159278.0
2015-07-24,85.22,91.19,85.22,89.2,1012477.0
2015-07-27,88.57,89.06,85.9,86.48,258948.0
2015-07-28,87.36,88.13,84.64,85.22,123029.0
2015-07-29,85.32,89.83,85.32,89.06,406011.0
2015-07-30,89.35,92.26,87.75,90.17,497443.0
2015-07-31,90.32,93.14,89.35,91.49,478113.0
2015-08-03,91.53,92.26,89.83,90.51,136860.0
2015-08-04,90.51,92.65,89.35,91.49,246079.0
2015-08-05,91.29,93.04,90.32,91.29,251541.0
2015-08-06,91.29,96.63,90.22,94.74,819986.0
2015-08-07,94.93,99.93,92.8,96.0,1386047.0
2015-08-10,96.78,101.97,93.57,95.32,1304968.0
2015-08-11,97.12,97.85,91.87,92.31,511232.0
2015-08-12,92.75,93.14,89.59,92.26,350648.0
2015-08-13,93.14,93.67,88.57,89.35,573440.0
2015-08-14,90.22,95.42,88.09,92.55,302149.0
2015-08-17,92.6,94.06,89.88,91.44,174285.0
2015-08-18,91.58,92.84,89.45,89.69,199057.0
2015-08-19,88.67,92.26,88.67,90.42,212425.0
2015-08-20,89.35,94.5,89.35,91.44,390620.0
2015-08-21,90.9,91.68,88.13,90.51,170873.0
2015-08-24,88.38,89.25,81.43,87.5,451342.0
2015-08-25,86.58,89.69,80.61,86.39,223974.0
2015-08-26,86.87,90.27,84.88,87.7,643287.0
2015-08-27,91.29,93.72,89.4,90.9,228795.0
2015-08-28,92.26,92.84,88.38,88.57,229408.0
2015-08-31,88.43,89.11,86.53,86.92,74565.0
2015-09-01,86.34,86.82,83.33,83.86,90028.0
2015-09-02,83.28,87.75,83.28,85.03,712081.0
2015-09-03,86.44,86.44,83.91,84.3,68447.0
2015-09-04,84.44,84.49,81.68,82.4,71518.0
2015-09-07,82.4,83.72,79.01,80.66,85284.0
2015-09-08,81.48,82.06,78.67,81.53,95257.0
2015-09-09,82.16,85.95,82.16,84.93,80073.0
2015-09-10,83.62,83.91,81.58,82.7,64415.0
2015-09-11,83.38,85.27,82.74,83.28,69021.0
2015-09-14,83.13,84.2,82.26,82.7,60415.0
2015-09-15,83.47,83.47,81.63,81.77,35638.0
2015-09-16,82.55,82.7,81.19,81.68,33835.0
