,open,high,low,close,volume
2015-05-15,197.19,199.04,195.12,196.45,476481.0
2015-05-18,198.11,198.35,195.16,197.42,121273.0
2015-05-19,197.19,202.77,196.22,198.35,262047.0
2015-05-20,198.99,201.02,197.38,198.85,93281.0
2015-05-21,199.04,201.71,198.11,199.68,75157.0
2015-05-22,200.05,209.6,199.22,207.99,376080.0
2015-05-25,208.49,214.86,204.99,207.43,336332.0
2015-05-26,207.43,207.66,202.96,207.25,390184.0
2015-05-27,205.68,209.05,203.88,204.85,139413.0
2015-05-28,205.03,210.94,204.34,209.19,157728.0
2015-05-29,211.77,216.8,211.26,214.49,337406.0
2015-06-01,214.44,214.44,205.73,207.89,136725.0
2015-06-02,208.49,209.42,198.71,199.5,143676.0
2015-06-03,198.39,202.91,196.13,197.56,83380.0
2015-06-04,198.39,207.57,198.16,204.43,131235.0
2015-06-05,203.37,204.66,201.34,202.73,38992.0
2015-06-08,203.37,203.47,198.85,202.22,218157.0
2015-06-09,201.16,206.65,199.5,204.71,103952.0
2015-06-10,202.4,206.09,201.11,202.96,170899.0
2015-06-11,203.0,206.09,198.44,199.27,85581.0
2015-06-12,198.34,209.77,198.34,207.26,137972.0
2015-06-15,203.77,210.74,203.77,209.63,97919.0
2015-06-16,208.09,209.49,205.77,206.61,226700.0
2015-06-17,207.35,210.32,204.84,207.91,252037.0
2015-06-18,207.4,216.36,207.4,209.49,360446.0
2015-06-19,210.04,226.67,210.04,223.28,760665.0
2015-06-22,225.65,229.37,223.28,225.14,349614.0
2015-06-23,225.65,232.25,225.33,228.25,549663.0
2015-06-24,230.39,236.89,226.67,228.62,578287.0
2015-06-25,228.62,230.34,223.19,225.14,259392.0
2015-06-26,224.72,226.58,219.33,223.47,222956.0
2015-06-29,215.8,220.82,211.95,218.41,180430.0
2015-06-30,216.55,225.74,216.55,222.31,102841.0
2015-07-01,222.12,227.51,222.12,224.03,131717.0
2015-07-02,226.12,226.67,222.68,224.91,105618.0
