,open,high,low,close,volume
2015-05-15,284.47,286.85,281.99,283.35,133034.0
2015-05-18,282.96,285.78,280.19,282.91,33046.0
2015-05-19,282.23,291.42,281.99,290.11,24506.0
2015-05-20,290.5,291.71,285.0,286.07,8332.0
2015-05-21,286.85,291.71,284.08,290.79,12764.0
2015-05-22,288.79,305.23,288.79,294.82,70336.0
2015-05-25,296.28,298.71,293.66,296.23,15026.0
2015-05-26,294.82,300.46,293.66,299.44,23624.0
2015-05-27,300.32,311.06,294.09,309.51,34809.0
2015-05-28,311.06,311.06,299.0,303.91,27165.0
2015-05-29,300.03,349.08,300.03,314.12,899610.0
2015-06-01,332.55,332.55,309.51,311.06,125317.0
2015-06-02,311.16,319.96,302.5,318.06,125629.0
2015-06-03,317.48,324.77,307.27,317.77,149793.0
2015-06-04,316.02,319.18,312.91,316.51,85343.0
2015-06-05,313.2,318.55,311.16,316.17,53375.0
2015-06-08,317.97,320.1,309.7,313.15,374580.0
2015-06-09,315.05,315.05,297.11,308.39,466611.0
2015-06-10,316.02,316.02,304.35,307.76,159814.0
2015-06-11,308.24,312.81,298.03,304.26,299471.0
2015-06-12,308.0,309.21,300.51,305.71,80354.0
2015-06-15,311.89,311.89,301.97,305.76,21182.0
2015-06-16,310.04,310.04,303.38,305.13,53078.0
2015-06-17,305.28,309.17,302.6,305.52,153221.0
2015-06-18,304.69,323.8,304.69,316.99,394160.0
2015-06-19,322.63,322.63,313.59,315.88,69757.0
2015-06-22,313.1,334.5,311.01,331.14,122296.0
2015-06-23,335.13,336.59,331.09,335.47,484258.0
2015-06-24,336.39,336.73,327.74,332.6,25557.0
2015-06-25,332.55,332.55,319.42,323.95,84203.0
2015-06-26,326.72,329.93,319.96,324.77,118550.0
2015-06-29,325.74,331.58,299.2,315.58,153489.0
2015-06-30,322.78,331.53,316.41,327.3,857196.0
2015-07-01,327.3,345.68,327.3,343.15,108379.0
2015-07-02,346.16,346.16,330.85,335.27,78168.0
2015-07-03,338.39,338.39,325.21,326.77,64494.0
2015-07-06,327.59,333.13,326.33,329.78,184682.0
2015-07-07,332.89,341.98,330.85,340.43,73141.0
2015-07-08,340.62,343.05,336.05,338.29,169701.0
2015-07-09,338.39,339.11,327.4,330.56,376772.0
2015-07-10,331.58,332.55,325.02,330.51,149051.0
2015-07-13,335.47,340.52,328.76,334.54,398003.0
2015-07-14,340.23,346.46,335.95,343.64,95418.0
2015-07-15,340.33,344.95,337.61,338.48,84903.0
2015-07-16,340.33,344.12,335.71,341.11,28815.0
2015-07-17,339.11,346.31,339.11,344.75,39288.0
2015-07-20,344.75,356.76,335.47,354.09,132856.0
2015-07-21,354.92,354.92,338.97,348.55,111490.0
2015-07-22,348.11,348.55,339.36,344.71,231682.0
2015-07-23,344.32,348.01,340.38,345.73,69132.0
2015-07-24,343.49,357.83,342.76,353.55,63224.0
2015-07-27,352.97,354.92,342.03,352.05,81910.0
2015-07-28,356.86,356.86,348.11,350.15,217417.0
2015-07-29,352.98,357.33,344.68,349.76,317875.0
2015-07-30,352.25,357.38,347.61,349.37,159354.0
2015-07-31,351.52,356.35,347.61,353.37,184088.0
2015-08-03,356.35,356.35,346.73,348.93,150754.0
2015-08-04,348.93,355.13,348.93,350.1,85080.0
2015-08-05,350.54,358.11,348.25,351.52,123922.0
2015-08-06,369.09,370.85,351.32,355.52,385447.0
2015-08-07,361.04,361.04,353.47,356.01,193999.0
2015-08-10,361.18,361.18,342.73,348.34,187231.0
2015-08-11,348.59,348.59,336.92,341.27,90797.0
2015-08-12,344.68,350.54,327.11,329.84,1196745.0
2015-08-13,330.09,338.58,319.3,323.49,1201591.0
2015-08-14,321.25,346.39,321.25,343.36,102897.0
2015-08-17,337.75,341.75,335.7,340.63,15906.0
2015-08-18,337.02,352.49,332.97,338.87,37980.0
2015-08-19,336.82,347.51,335.9,345.32,53061.0
2015-08-20,346.78,354.3,336.24,348.54,138267.0
2015-08-21,341.75,352.59,339.7,347.71,37032.0
2015-08-24,343.71,343.71,317.34,326.52,106574.0
2015-08-25,326.37,341.17,315.39,332.77,194900.0
2015-08-26,332.43,334.43,314.51,317.15,1267089.0
2015-08-27,320.57,326.13,313.73,318.76,1006822.0
2015-08-28,324.23,326.86,312.56,314.71,146952.0
2015-08-31,312.95,322.23,312.95,317.29,93226.0
2015-09-01,314.41,316.22,306.41,312.22,382942.0
2015-09-02,311.39,311.39,284.14,306.31,162923.0
2015-09-03,306.6,315.98,306.6,313.14,187435.0
2015-09-04,312.36,314.07,310.51,311.14,36227.0
2015-09-07,311.14,314.9,308.95,310.12,177252.0
2015-09-08,309.53,321.1,300.69,311.53,46098.0
2015-09-09,311.73,327.06,311.73,324.91,110107.0
2015-09-10,322.23,322.23,312.95,318.03,42444.0
2015-09-11,314.02,319.3,313.44,316.12,27404.0
2015-09-14,312.46,321.88,312.46,317.83,98151.0
2015-09-15,314.51,320.57,309.53,310.21,34419.0
2015-09-16,312.27,317.05,312.27,314.36,44127.0
2015-09-18,318.61,328.52,303.87,309.29,145461.0
2015-09-21,309.53,315.05,308.75,309.68,80574.0
2015-09-22,309.82,314.41,306.41,312.51,95587.0
2015-09-23,312.51,314.41,308.6,312.41,35106.0
2015-09-24,312.46,317.34,308.8,311.48,45098.0
2015-09-28,318.27,318.71,306.7,309.43,172276.0
2015-09-29,308.9,311.97,304.84,310.56,38661.0
2015-09-30,313.68,321.59,310.7,319.39,76020.0
2015-10-01,320.27,331.01,317.34,327.79,47489.0
2015-10-05,331.99,336.29,326.18,328.47,30973.0
2015-10-06,331.16,337.65,329.21,333.94,84866.0
2015-10-07,335.9,337.8,330.04,335.16,18923.0
2015-10-08,332.97,336.92,328.72,333.36,22748.0
2015-10-09,333.94,335.9,323.2,327.11,19587.0
2015-10-12,322.27,335.85,322.27,325.15,84079.0
2015-10-13,331.01,331.01,322.37,326.08,125967.0
2015-10-14,329.26,334.48,322.71,325.2,1179104.0
2015-10-15,327.94,331.99,326.52,329.6,113594.0
2015-10-16,327.25,329.99,324.18,327.11,51678.0
2015-10-19,329.06,344.39,329.01,339.12,84661.0
2015-10-20,343.71,343.71,332.14,334.92,56875.0
2015-10-21,337.85,339.8,328.08,332.58,140474.0
2015-10-23,341.46,341.46,327.3,334.67,207060.0
2015-10-26,340.73,340.73,331.5,332.97,68480.0
2015-10-27,331.01,336.09,327.4,332.97,216767.0
2015-10-28,332.97,342.53,331.99,338.24,187872.0
2015-10-29,337.12,341.51,334.14,339.31,275966.0
2015-10-30,339.7,361.18,336.87,353.32,472821.0
2015-11-02,351.52,364.16,350.54,355.42,181635.0
2015-11-03,355.47,367.97,355.42,361.77,179654.0
2015-11-04,362.26,366.12,355.42,364.26,100102.0
2015-11-05,362.26,365.19,355.42,358.55,82314.0
2015-11-06,356.55,370.07,356.21,364.31,243336.0
2015-11-09,348.69,365.19,348.69,358.45,55382.0
2015-11-10,356.5,366.16,354.45,356.5,54340.0
2015-11-11,356.5,366.16,354.45,356.5,54340.0
2015-11-13,358.94,373.0,358.94,370.9,88494.0
2015-11-16,370.95,370.95,365.14,367.53,154191.0
2015-11-17,373.44,373.44,363.24,364.85,462712.0
2015-11-18,364.85,365.92,359.18,359.87,133789.0
2015-11-19,359.53,365.97,358.35,362.94,120422.0
2015-11-20,367.63,374.37,364.21,366.6,74172.0
2015-11-23,364.21,369.58,361.33,365.19,139118.0
2015-11-24,366.07,367.34,361.28,365.73,37157.0
2015-11-26,361.48,373.34,361.48,367.87,372343.0
2015-11-27,370.02,374.37,366.16,369.68,44834.0
2015-11-30,369.09,373.0,365.77,372.02,169259.0
2015-12-01,370.07,374.37,367.24,368.85,83449.0
2015-12-02,375.73,375.78,369.09,370.66,194594.0
2015-12-03,373.0,373.98,363.72,370.71,83009.0
2015-12-04,369.88,370.17,364.07,368.31,45803.0
2015-12-07,367.29,370.71,360.11,361.97,100428.0
2015-12-08,361.28,364.21,358.99,362.45,38809.0
2015-12-09,360.31,363.14,349.08,357.18,35179.0
2015-12-10,356.4,365.14,352.54,358.74,10189.0
2015-12-11,358.74,360.65,351.47,355.81,168375.0
2015-12-14,360.31,365.19,352.69,363.04,40312.0
2015-12-15,362.06,365.87,357.38,361.14,31026.0
2015-12-16,360.31,368.9,347.86,364.55,1020695.0
2015-12-17,368.12,369.39,358.94,360.55,145356.0
2015-12-18,360.35,361.43,354.45,355.81,41085.0
2015-12-21,360.31,361.28,354.5,356.79,227200.0
2015-12-22,360.21,360.21,353.81,357.43,42587.0
2015-12-23,360.31,360.31,351.76,355.03,62807.0
2015-12-24,357.38,357.38,352.49,354.11,10250.0
2015-12-28,354.45,367.14,352.59,363.58,110173.0
2015-12-29,363.58,366.16,357.91,365.33,23239.0
2015-12-30,366.16,374.95,364.21,367.68,68185.0
2015-12-31,371.93,395.26,369.09,379.93,1023723.0
2016-01-01,382.42,392.53,373.34,380.62,60581.0
2016-01-04,383.74,384.33,367.24,380.03,79920.0
