,open,high,low,close,volume
2015-05-15,415.9,418.24,412.39,413.22,37960.0
2015-05-18,415.31,424.96,413.56,423.5,95877.0
2015-05-19,423.11,432.66,419.75,421.01,84979.0
2015-05-20,423.74,426.43,414.34,417.07,106658.0
2015-05-21,418.24,420.19,411.95,414.19,70510.0
2015-05-22,414.34,417.21,408.58,409.32,105439.0
2015-05-25,409.46,414.34,408.0,409.07,40347.0
2015-05-26,409.85,413.07,404.68,407.22,87832.0
2015-05-27,407.22,416.25,402.9,412.72,248052.0
2015-05-28,414.19,425.19,411.54,422.29,122313.0
2015-05-29,423.03,427.15,420.33,424.7,90315.0
2015-06-01,426.17,433.54,419.35,428.58,65897.0
2015-06-02,431.03,438.94,426.76,432.8,129680.0
2015-06-03,432.06,435.79,416.89,422.64,84538.0
2015-06-04,418.95,431.77,397.6,402.8,187302.0
2015-06-05,402.41,412.33,397.69,406.92,169893.0
2015-06-08,409.43,414.29,404.32,411.54,66070.0
2015-06-09,410.66,413.8,404.67,413.11,88076.0
2015-06-10,413.5,422.15,408.59,419.94,51490.0
2015-06-11,421.21,454.45,418.41,436.83,564893.0
2015-06-12,436.68,442.86,427.4,439.72,132512.0
2015-06-15,443.85,451.6,435.21,441.93,88476.0
2015-06-16,441.98,449.64,435.01,443.11,68932.0
2015-06-17,445.81,453.37,438.69,445.91,143882.0
2015-06-18,447.97,463.49,446.79,460.74,167657.0
2015-06-19,463.98,465.45,452.78,456.07,57642.0
2015-06-22,457.5,462.5,448.51,449.84,131881.0
2015-06-23,451.21,463.49,447.38,459.17,96618.0
2015-06-24,460.54,466.28,451.7,454.01,68960.0
2015-06-25,452.19,454.65,444.19,452.44,78726.0
2015-06-26,448.76,459.36,447.97,454.6,44763.0
2015-06-29,443.85,448.27,435.99,442.28,55284.0
2015-06-30,442.57,465.16,436.97,457.64,114283.0
2015-07-01,461.52,480.18,459.75,462.21,182683.0
2015-07-02,463.49,471.34,455.63,463.44,87875.0
2015-07-03,464.37,470.16,459.56,461.57,51854.0
2015-07-06,456.02,476.2,454.16,474.73,192089.0
2015-07-07,477.23,502.27,477.23,498.35,602923.0
2015-07-08,493.63,509.05,474.98,477.58,325017.0
2015-07-09,479.34,492.94,478.22,484.06,128767.0
2015-07-10,487.05,497.95,484.21,487.89,147574.0
2015-07-13,489.02,493.68,483.13,485.83,67029.0
2015-07-14,487.05,502.67,486.07,495.6,204352.0
2015-07-15,499.52,500.16,481.16,486.66,102534.0
2015-07-16,495.89,498.84,488.08,489.16,80562.0
2015-07-17,486.56,492.75,479.39,481.11,78161.0
2015-07-20,485.58,487.74,479.39,481.51,101564.0
2015-07-21,481.51,484.11,456.91,461.72,85217.0
2015-07-22,462.5,465.35,447.09,450.82,185212.0
2015-07-23,451.9,470.16,451.9,462.31,146935.0
2015-07-24,462.01,474.93,462.01,465.25,145371.0
2015-07-27,468.74,473.26,461.52,464.12,169389.0
2015-07-28,464.86,470.36,456.61,458.87,90031.0
2015-07-29,456.27,466.43,456.27,459.12,68085.0
2015-07-30,461.47,462.5,449.25,451.16,110954.0
2015-07-31,459.46,469.38,456.61,459.95,401340.0
2015-08-03,454.65,475.27,443.85,471.83,277614.0
2015-08-04,472.32,475.07,463.54,467.95,139355.0
2015-08-05,468.4,473.31,445.37,447.63,359338.0
2015-08-06,456.61,461.57,448.76,452.24,129759.0
2015-08-07,461.52,464.37,452.78,454.21,198863.0
2015-08-10,452.98,458.58,443.85,445.91,93024.0
2015-08-11,449.35,451.65,436.97,438.15,91889.0
2015-08-12,435.99,441.88,427.15,429.12,94896.0
2015-08-13,432.01,442.77,427.15,429.46,111455.0
2015-08-14,433.49,449.74,429.17,446.25,157260.0
2015-08-17,451.11,451.31,438.94,440.8,48492.0
2015-08-18,443.75,447.68,440.02,441.34,54879.0
2015-08-19,442.86,452.68,439.28,444.73,81353.0
2015-08-20,443.8,449.54,431.77,432.95,87880.0
2015-08-21,429.71,436.78,414.39,433.98,178447.0
2015-08-24,424.21,424.21,377.52,383.6,115980.0
2015-08-25,392.78,403.59,362.49,379.77,183124.0
2015-08-26,378.99,390.23,368.63,384.93,82044.0
2015-08-27,389.5,400.64,386.89,388.96,167999.0
2015-08-28,397.69,403.98,389.84,391.26,143172.0
2015-08-31,391.8,395.73,383.55,385.71,42398.0
2015-09-01,382.97,409.48,378.6,382.82,163949.0
2015-09-02,385.32,390.67,378.06,379.97,67927.0
2015-09-03,383.46,395.34,383.46,392.29,109591.0
2015-09-04,392.78,398.58,379.04,380.36,140260.0
2015-09-07,381.93,384.93,368.24,368.97,106934.0
2015-09-08,372.07,376.68,363.33,373.19,59338.0
2015-09-09,380.95,390.62,380.02,385.67,72687.0
2015-09-10,381.0,387.87,373.15,386.01,62249.0
2015-09-11,389.45,395.63,378.55,381.44,67765.0
2015-09-14,382.52,387.48,380.31,384.29,48348.0
2015-09-15,384.88,387.87,378.69,378.74,30605.0
2015-09-16,382.82,387.68,381.0,385.27,33946.0
2015-09-18,389.54,402.65,386.16,399.81,114472.0
2015-09-21,401.52,403.54,398.82,402.11,85095.0
2015-09-22,402.51,405.55,381.98,384.19,52646.0
2015-09-23,380.51,387.38,378.25,380.95,43561.0
2015-09-24,381.93,386.84,379.77,381.64,43095.0
2015-09-28,386.79,397.3,384.88,393.77,103186.0
2015-09-29,386.89,409.67,386.89,405.65,290403.0
2015-09-30,410.36,422.24,407.51,419.54,219878.0
2015-10-01,422.24,432.06,422.24,428.72,113321.0
2015-10-05,432.01,449.74,428.38,446.01,312242.0
2015-10-06,449.64,450.43,434.32,438.2,65414.0
2015-10-07,438.94,449.25,437.17,438.59,58041.0
2015-10-08,439.33,444.24,428.33,430.39,55628.0
2015-10-09,434.03,437.56,424.35,426.17,50418.0
2015-10-12,427.45,434.81,420.82,430.88,30847.0
2015-10-13,431.18,444.04,425.78,428.48,91955.0
2015-10-14,427.69,446.74,424.21,442.57,113967.0
