,open,high,low,close,volume
2015-05-15,54.15,55.46,53.79,54.11,305107.0
2015-05-18,54.51,55.32,53.97,54.42,380575.0
2015-05-19,54.56,55.1,53.7,54.24,391294.0
2015-05-20,54.15,54.78,53.79,54.15,252947.0
2015-05-21,54.6,55.78,54.15,55.14,733201.0
2015-05-22,53.97,53.97,51.35,51.85,804189.0
2015-05-25,52.35,52.66,50.59,50.77,428017.0
2015-05-26,51.4,51.4,50.45,50.95,250562.0
2015-05-27,51.35,51.35,50.0,50.13,292588.0
2015-05-28,50.5,50.54,49.77,50.41,179792.0
2015-05-29,50.5,50.72,49.77,50.41,295232.0
2015-06-01,50.0,51.17,50.0,50.36,221781.0
2015-06-02,50.09,50.45,49.41,49.82,248375.0
2015-06-03,49.68,50.04,46.84,48.28,338429.0
2015-06-04,47.38,48.65,46.93,47.74,296225.0
2015-06-05,47.52,49.14,47.02,48.42,331769.0
2015-06-08,48.6,49.05,46.93,47.61,242945.0
2015-06-09,47.56,49.95,46.93,49.28,631343.0
2015-06-10,49.55,51.13,48.83,49.32,979468.0
2015-06-11,49.64,50.0,47.92,48.1,278740.0
2015-06-12,48.1,48.33,47.52,47.97,179801.0
2015-06-15,48.47,49.01,47.97,48.24,166603.0
2015-06-16,48.78,50.32,48.47,49.46,765772.0
2015-06-17,49.64,50.5,48.87,49.28,457122.0
2015-06-18,49.64,50.23,49.37,49.68,378851.0
2015-06-19,51.17,51.89,50.36,51.04,842894.0
2015-06-22,51.22,51.62,50.72,51.17,367369.0
2015-06-23,51.17,51.8,50.68,50.86,507786.0
2015-06-24,51.08,51.31,49.55,50.0,518482.0
2015-06-25,49.91,51.62,49.73,50.5,688942.0
2015-06-26,50.5,50.99,50.0,50.23,310642.0
2015-06-29,49.55,49.55,47.7,48.42,495625.0
2015-06-30,48.56,49.91,48.56,49.32,481094.0
2015-07-01,49.91,50.86,49.64,50.36,530961.0
2015-07-02,50.54,53.93,50.27,53.38,2228868.0
2015-07-03,54.33,55.37,52.3,52.62,2753546.0
2015-07-06,51.89,53.43,51.53,52.75,574580.0
2015-07-07,53.34,53.61,52.08,52.66,501728.0
2015-07-08,52.17,53.43,50.9,51.22,1002753.0
2015-07-09,51.67,51.89,50.32,50.45,707555.0
2015-07-10,50.54,51.08,49.19,49.77,552163.0
2015-07-13,49.86,51.58,49.68,50.32,970284.0
2015-07-14,50.99,51.76,50.13,50.45,1115662.0
2015-07-15,50.86,51.35,50.36,50.68,577367.0
2015-07-16,50.9,51.53,50.13,50.77,1107093.0
2015-07-17,51.17,51.76,50.68,51.08,920353.0
2015-07-20,51.22,51.89,50.59,50.81,1049549.0
2015-07-21,50.95,51.58,50.09,50.32,627386.0
2015-07-22,50.04,50.63,50.0,50.27,499178.0
2015-07-23,50.54,52.12,50.09,50.86,900789.0
2015-07-24,50.99,51.53,49.68,49.91,684473.0
2015-07-27,49.91,50.23,48.92,49.37,381659.0
2015-07-28,49.59,49.77,47.88,48.01,507081.0
2015-07-29,48.56,49.37,48.1,48.96,435888.0
2015-07-30,49.19,49.41,48.69,48.83,397646.0
2015-07-31,49.19,50.32,48.83,49.01,759246.0
2015-08-03,49.01,49.91,49.01,49.68,670078.0
2015-08-04,49.82,50.9,49.77,50.54,835774.0
2015-08-05,50.99,51.62,50.59,50.72,800313.0
2015-08-06,50.99,52.93,50.63,51.85,1653184.0
2015-08-07,51.53,52.12,51.04,51.49,642351.0
2015-08-10,51.58,54.56,50.95,51.49,4202093.0
