,open,high,low,close,volume
2015-05-15,91.26,91.44,88.65,89.57,2712202.0
2015-05-18,90.07,91.26,89.07,90.72,3853024.0
2015-05-19,90.41,91.56,89.71,90.66,3345246.0
2015-05-20,91.44,92.8,90.74,91.89,3670564.0
2015-05-21,92.03,92.97,89.89,92.71,4297826.0
2015-05-22,93.11,94.5,92.21,94.11,6131404.0
2015-05-25,93.5,94.06,92.64,92.82,2347870.0
2015-05-26,92.56,93.17,91.8,92.86,1902038.0
2015-05-27,91.92,92.32,90.74,91.53,3015284.0
2015-05-28,91.53,92.04,90.47,91.56,3200620.0
2015-05-29,91.48,92.53,89.25,89.9,4901524.0
2015-06-01,90.13,90.63,88.78,90.25,2771088.0
2015-06-02,90.25,90.25,87.25,87.72,4736212.0
2015-06-03,87.7,88.16,85.44,87.45,4737252.0
2015-06-04,88.28,88.52,84.53,85.91,4666624.0
2015-06-05,85.58,86.95,84.67,86.69,3620544.0
2015-06-08,87.33,87.92,84.73,85.75,3827404.0
2015-06-09,85.5,86.79,84.59,85.93,2892338.0
2015-06-10,86.02,87.7,85.88,86.54,4533780.0
2015-06-11,86.95,87.2,82.99,83.26,4014134.0
2015-06-12,83.15,83.76,82.27,82.76,3095228.0
2015-06-15,83.12,83.84,81.64,82.67,1882514.0
2015-06-16,82.55,83.43,81.18,82.68,2084484.0
2015-06-17,83.15,84.15,82.76,83.17,2899446.0
2015-06-18,83.46,83.65,82.47,82.73,3575106.0
2015-06-19,83.12,85.58,83.0,85.38,3847968.0
2015-06-22,86.19,87.36,84.7,86.81,3300158.0
2015-06-23,86.82,88.13,86.34,87.66,2712432.0
2015-06-24,88.31,88.83,86.69,87.46,3528100.0
2015-06-25,86.79,87.66,86.25,86.55,4981878.0
2015-06-26,86.31,87.08,85.28,86.01,1957314.0
2015-06-29,84.37,84.67,81.56,82.96,2653370.0
2015-06-30,83.15,83.96,82.39,83.5,3744466.0
2015-07-01,83.03,85.5,82.88,84.99,3982118.0
2015-07-02,84.97,86.26,84.37,85.19,2500142.0
2015-07-03,85.37,86.87,85.06,86.57,2763866.0
2015-07-06,85.57,88.01,84.99,87.51,2389328.0
2015-07-07,87.4,88.55,86.25,86.48,2794978.0
2015-07-08,85.88,86.04,83.46,85.32,3173252.0
2015-07-09,85.43,87.23,85.16,86.69,2208886.0
2015-07-10,87.01,87.54,85.58,86.23,2792500.0
2015-07-13,86.23,87.39,86.23,86.96,2597812.0
2015-07-14,87.39,87.61,85.9,86.49,1755214.0
2015-07-15,85.6,86.87,84.93,85.05,2371264.0
2015-07-16,85.63,90.31,85.13,89.94,4017712.0
2015-07-17,90.45,91.41,88.68,88.93,4850716.0
2015-07-20,89.43,89.48,87.33,88.22,2587784.0
2015-07-21,88.22,89.81,85.28,85.78,2772938.0
2015-07-22,85.58,89.16,85.28,88.68,3760230.0
2015-07-23,88.92,89.15,87.48,87.86,1922374.0
2015-07-24,87.86,88.4,86.28,86.51,3060134.0
2015-07-27,85.28,86.89,85.16,85.93,4217048.0
2015-07-28,86.11,86.31,83.0,83.76,3506102.0
2015-07-29,83.76,84.09,81.97,82.96,3155454.0
2015-07-30,83.61,84.67,82.48,83.62,12304518.0
2015-07-31,83.96,84.38,81.04,82.24,4410210.0
2015-08-03,82.76,83.26,81.74,82.53,3316788.0
2015-08-04,82.83,85.37,82.44,84.75,4490310.0
2015-08-05,85.06,85.58,82.82,83.18,3017548.0
2015-08-06,83.46,83.82,81.18,81.57,4348228.0
2015-08-07,81.33,82.64,80.57,80.75,3018070.0
2015-08-10,82.89,84.4,81.29,81.74,6682586.0
2015-08-11,82.38,83.3,81.6,82.2,5316934.0
2015-08-12,81.94,82.01,75.93,77.28,5245784.0
2015-08-13,78.13,78.66,75.79,76.37,3509776.0
2015-08-14,77.39,79.51,76.52,78.75,2081302.0
2015-08-17,78.78,81.27,77.63,79.94,2795410.0
2015-08-18,79.87,81.15,79.12,80.25,2523332.0
2015-08-19,80.27,80.41,77.63,78.07,1612218.0
2015-08-20,77.25,78.77,76.54,77.13,3757028.0
2015-08-21,76.48,77.37,74.76,76.89,3094532.0
2015-08-24,74.66,74.66,66.64,67.14,8259460.0
2015-08-25,68.56,72.52,64.09,70.95,9143968.0
2015-08-26,70.1,75.49,68.56,72.73,7994490.0
2015-08-27,73.14,77.36,73.14,76.81,6840004.0
2015-08-28,78.3,78.52,74.47,75.69,4425778.0
2015-08-31,74.29,77.3,73.84,76.86,6062426.0
2015-09-01,75.57,77.63,74.12,75.73,4484098.0
2015-09-02,76.34,77.39,73.49,74.0,3747302.0
2015-09-03,74.66,77.05,73.94,76.72,2852772.0
2015-09-04,76.04,76.11,71.36,71.95,5192872.0
2015-09-07,72.2,73.44,70.35,72.15,3553558.0
2015-09-08,72.09,74.84,71.62,73.82,2432072.0
2015-09-09,76.04,78.65,75.73,77.7,4205184.0
2015-09-10,76.66,78.34,74.92,77.99,4397554.0
2015-09-11,78.4,78.4,76.04,76.68,1814358.0
2015-09-14,77.13,79.33,76.16,78.24,2085730.0
2015-09-15,78.24,79.27,76.66,76.97,2480956.0
2015-09-16,78.15,78.83,77.28,78.62,2474730.0
2015-09-18,79.56,81.83,78.68,81.49,4063470.0
2015-09-21,81.32,85.97,80.09,85.27,4941236.0
2015-09-22,85.51,86.06,82.74,83.41,4949414.0
2015-09-23,81.69,83.33,81.69,82.56,2113970.0
2015-09-24,82.53,84.73,82.11,83.07,2319726.0
2015-09-28,83.18,83.94,80.38,80.71,1793408.0
2015-09-29,80.07,83.16,79.5,81.92,2516264.0
2015-09-30,83.16,85.51,81.94,85.06,3425174.0
2015-10-01,85.66,86.5,84.26,85.13,3460916.0
2015-10-05,86.41,92.35,86.36,91.17,6815388.0
2015-10-06,91.56,91.56,86.24,87.09,7557824.0
2015-10-07,87.52,87.83,83.86,84.19,6403514.0
2015-10-08,84.59,85.57,82.57,83.18,5121466.0
2015-10-09,83.92,84.3,81.19,81.73,4070718.0
2015-10-12,81.87,82.84,80.83,81.53,4477224.0
2015-10-13,81.53,82.46,80.57,81.78,5556200.0
2015-10-14,81.63,81.86,78.99,79.24,3796908.0
2015-10-15,79.92,80.82,79.69,80.37,2896700.0
2015-10-16,80.4,80.65,78.74,79.66,4254748.0
2015-10-19,80.6,81.01,79.33,79.83,3632672.0
2015-10-20,80.15,82.65,79.92,80.6,5835160.0
2015-10-21,80.85,81.86,79.83,80.99,3003192.0
2015-10-23,81.86,81.86,80.17,80.63,3507602.0
2015-10-26,81.01,81.19,78.04,78.21,4255210.0
2015-10-27,78.21,79.75,77.9,79.39,2307788.0
2015-10-28,78.9,79.62,78.04,78.57,3002776.0
2015-10-29,78.52,78.65,76.19,76.41,6539230.0
2015-10-30,76.38,78.96,76.38,77.47,4682092.0
2015-11-02,77.34,78.65,76.66,77.2,3462554.0
2015-11-03,78.52,80.31,78.26,79.93,5283448.0
2015-11-04,80.9,82.88,80.54,82.46,6963612.0
2015-11-05,82.87,84.05,81.08,82.6,4652532.0
2015-11-06,80.94,80.94,71.96,73.96,15340188.0
2015-11-09,72.94,74.64,70.72,72.87,4857370.0
2015-11-10,72.63,74.15,71.38,73.12,7850238.0
2015-11-11,72.63,74.15,71.38,73.12,7850238.0
2015-11-13,73.56,74.95,72.64,74.3,5701958.0
2015-11-16,73.96,74.74,72.94,73.17,3728660.0
2015-11-17,73.59,73.87,72.63,73.32,3361370.0
2015-11-18,74.07,74.16,70.58,70.87,5888258.0
2015-11-19,71.43,72.25,70.17,70.76,6336290.0
2015-11-20,70.92,72.0,70.48,71.23,3561950.0
2015-11-23,71.54,71.94,69.88,70.08,2526196.0
2015-11-24,69.94,71.37,69.94,70.25,2839022.0
2015-11-26,70.76,71.01,69.99,70.52,5048720.0
2015-11-27,70.84,72.7,70.76,72.58,4187748.0
2015-11-30,72.94,73.74,72.16,72.5,5383832.0
2015-12-01,72.9,73.39,70.92,71.85,6180764.0
2015-12-02,71.94,72.59,71.45,71.71,1910692.0
2015-12-03,71.73,72.35,71.18,71.49,3022434.0
2015-12-04,71.29,71.29,69.97,70.13,3410366.0
2015-12-07,70.19,70.67,69.15,69.66,2355102.0
2015-12-08,69.66,69.66,66.42,66.65,6753976.0
2015-12-09,66.73,67.58,65.8,66.78,5466888.0
2015-12-10,66.98,67.4,64.14,64.66,6667596.0
2015-12-11,64.59,66.7,64.4,65.49,5092320.0
2015-12-14,65.18,67.77,64.91,67.33,4165750.0
2015-12-15,67.5,67.71,66.11,66.68,2688240.0
2015-12-16,67.35,68.53,66.73,67.24,2285790.0
2015-12-17,67.91,69.06,67.43,68.85,2319558.0
2015-12-18,68.89,69.46,68.13,68.4,3101320.0
2015-12-21,68.4,70.36,68.3,69.82,2221892.0
2015-12-22,69.94,71.01,68.72,68.93,3934238.0
2015-12-23,69.75,70.22,69.21,69.55,1747500.0
2015-12-24,70.11,70.11,68.78,69.27,877216.0
2015-12-28,69.65,69.97,69.24,69.46,1809562.0
2015-12-29,69.51,70.34,69.24,69.35,2673528.0
2015-12-30,69.83,70.34,69.27,69.91,4335268.0
2015-12-31,70.3,71.23,69.69,70.31,23092274.0
2016-01-01,70.31,71.01,70.19,70.81,1041154.0
2016-01-04,70.7,71.51,69.21,69.38,1636222.0
2016-01-05,69.51,71.31,69.2,70.73,3575556.0
2016-01-06,70.76,71.79,70.28,70.86,3157140.0
2016-01-07,70.11,70.11,66.11,66.51,4043084.0
2016-01-08,66.73,67.6,66.43,66.76,1908568.0
2016-01-11,66.7,66.87,65.43,66.08,2997504.0
2016-01-12,66.29,67.09,64.87,65.49,3561810.0
2016-01-13,66.09,66.39,63.55,65.22,3131712.0
2016-01-14,64.56,64.74,63.31,63.87,1942010.0
2016-01-15,63.9,64.37,60.29,60.61,3005052.0
2016-01-18,60.52,60.66,56.95,57.46,2952310.0
2016-01-19,57.57,58.66,56.58,57.18,3695600.0
2016-01-20,56.7,56.73,54.9,55.21,4724454.0
2016-01-21,55.63,56.42,53.9,54.11,4279666.0
2016-01-22,55.2,57.36,54.5,56.97,4030388.0
2016-01-25,57.73,58.97,57.7,57.9,3861138.0
2016-01-27,58.02,58.97,56.84,58.04,5269318.0
2016-01-28,58.04,59.65,57.76,58.26,10409746.0
2016-01-29,58.36,60.21,58.04,59.84,4028530.0
2016-02-01,60.32,61.14,59.14,60.09,2668876.0
2016-02-02,59.9,60.34,57.42,57.65,4169848.0
2016-02-03,56.8,57.11,55.04,55.52,4028116.0
2016-02-04,56.11,57.85,55.77,56.67,2933736.0
2016-02-05,56.83,59.44,56.7,59.17,2856376.0
2016-02-08,59.89,61.82,59.53,59.76,3667420.0
2016-02-09,59.44,60.15,56.91,57.26,3916486.0
2016-02-10,57.11,57.34,52.67,53.46,14943958.0
2016-02-11,53.65,54.59,51.21,51.6,9167398.0
2016-02-12,52.67,52.7,48.82,50.29,10577232.0
