,open,high,low,close,volume
2015-05-15,88.73,93.95,88.73,93.05,270514.0
2015-05-18,93.79,96.74,92.38,95.87,186334.0
2015-05-19,96.85,96.85,93.4,94.26,60261.0
2015-05-20,95.32,96.66,94.19,94.74,151260.0
2015-05-21,95.01,98.03,94.62,97.8,204335.0
2015-05-22,98.7,98.9,96.3,96.97,90586.0
2015-05-25,97.05,99.88,97.01,98.03,120441.0
2015-05-26,99.48,101.25,97.64,100.98,281158.0
2015-05-27,100.39,102.03,99.21,100.19,272508.0
2015-05-28,99.92,100.46,91.71,96.46,1257618.0
2015-05-29,96.93,97.33,94.66,95.87,421494.0
2015-06-01,95.36,96.3,92.69,92.81,209073.0
2015-06-02,93.75,95.17,90.69,91.91,764454.0
2015-06-03,92.58,94.97,84.73,90.61,403902.0
2015-06-04,91.05,91.05,84.92,85.55,271352.0
2015-06-05,85.55,87.67,84.92,86.73,622380.0
2015-06-08,86.34,87.28,84.06,85.94,99224.0
2015-06-09,86.34,87.71,83.32,86.85,74336.0
2015-06-10,87.91,87.91,84.1,84.45,429922.0
2015-06-11,84.69,85.47,82.81,84.14,138535.0
2015-06-12,83.98,83.98,81.71,82.29,133042.0
2015-06-15,82.77,83.51,79.98,80.33,285471.0
2015-06-16,80.06,82.33,79.59,81.08,236590.0
2015-06-17,81.16,82.96,80.69,81.12,335399.0
2015-06-18,81.63,82.14,77.9,78.84,456319.0
2015-06-19,79.27,79.7,70.84,73.54,983464.0
2015-06-22,75.74,79.63,74.01,78.17,486138.0
2015-06-23,78.45,80.25,76.13,78.61,305051.0
2015-06-24,78.65,79.67,77.04,78.37,412283.0
2015-06-25,79.08,80.69,77.78,78.17,208086.0
2015-06-26,78.8,78.8,76.92,77.15,178906.0
2015-06-29,76.13,78.49,75.07,76.37,171210.0
2015-06-30,76.92,77.19,75.39,75.78,253729.0
2015-07-01,76.06,82.65,75.51,80.14,2728730.0
2015-07-02,80.84,82.77,79.0,79.27,2007840.0
2015-07-03,79.74,81.63,78.17,79.43,264883.0
2015-07-06,78.53,80.76,77.47,79.04,334843.0
2015-07-07,79.59,80.76,78.49,79.98,319386.0
2015-07-08,79.98,82.22,79.43,81.71,1128283.0
2015-07-09,82.26,84.41,80.06,80.76,323789.0
2015-07-10,81.43,81.94,78.13,78.68,233474.0
2015-07-13,79.43,79.43,77.39,79.04,206242.0
2015-07-14,79.67,81.35,79.04,79.39,161220.0
2015-07-15,79.9,80.84,79.04,79.55,111438.0
2015-07-16,79.59,82.61,79.43,80.65,1016669.0
2015-07-17,81.12,81.78,80.29,80.73,124011.0
2015-07-20,81.2,81.24,78.49,79.0,215535.0
2015-07-21,79.47,81.47,78.49,78.92,290406.0
2015-07-22,80.84,85.08,79.59,83.32,1253945.0
2015-07-23,82.88,88.3,82.41,87.08,1621558.0
2015-07-24,87.72,89.2,86.32,86.76,464157.0
2015-07-27,86.76,90.96,83.53,86.96,615705.0
2015-07-28,86.48,89.28,86.48,87.84,1004818.0
