,open,high,low,close,volume
2015-05-15,323.19,325.51,313.75,316.07,2394072.0
2015-05-18,316.87,323.19,316.51,322.71,1721099.0
2015-05-19,321.63,330.03,320.63,328.31,2782760.0
2015-05-20,328.87,332.27,324.59,327.15,2061007.0
2015-05-21,326.83,327.99,320.95,322.95,1376164.0
2015-05-22,323.11,325.75,316.67,318.27,2755949.0
2015-05-25,317.87,319.83,311.59,313.47,1782645.0
2015-05-26,313.67,315.59,308.99,310.43,1514113.0
2015-05-27,308.07,314.99,307.27,313.91,1831258.0
2015-05-28,313.99,315.27,308.15,309.67,2092307.0
2015-05-29,311.75,319.83,309.39,316.19,2604091.0
2015-06-01,322.87,324.11,317.31,319.15,3054428.0
2015-06-02,319.99,320.51,304.07,307.19,2456701.0
2015-06-03,306.87,307.19,268.06,290.9,4635426.0
2015-06-04,292.87,294.23,281.66,288.42,2536404.0
2015-06-05,288.86,295.99,285.22,291.03,1968909.0
2015-06-08,291.67,292.35,280.1,282.06,2556415.0
2015-06-09,282.22,288.82,280.7,286.46,2085693.0
2015-06-10,286.3,291.99,284.14,290.35,1752362.0
2015-06-11,292.71,293.87,273.82,275.58,2788770.0
2015-06-12,275.26,280.06,273.06,278.14,1828009.0
2015-06-15,278.46,283.98,275.58,282.22,1802204.0
2015-06-16,281.38,281.38,273.26,279.34,1751488.0
2015-06-17,281.66,284.66,278.1,279.58,1755876.0
2015-06-18,279.82,287.26,279.46,282.94,1846834.0
2015-06-19,284.46,285.62,278.14,282.54,1668562.0
2015-06-22,284.06,295.31,283.42,292.67,2115717.0
2015-06-23,293.59,296.87,289.38,293.39,1845690.0
2015-06-24,292.87,294.79,286.62,288.38,1658737.0
2015-06-25,287.46,292.71,285.66,291.74,2502620.0
2015-06-26,289.06,302.63,283.86,296.71,3921616.0
2015-06-29,290.06,290.06,281.46,284.62,3755294.0
2015-06-30,284.06,291.19,284.06,290.19,2579718.0
2015-07-01,290.22,294.47,289.3,291.87,1709297.0
2015-07-02,292.51,297.91,290.1,291.35,1956940.0
2015-07-03,291.74,294.47,287.3,288.86,1494797.0
2015-07-06,285.66,289.51,281.46,288.02,1799331.0
2015-07-07,289.18,298.87,288.06,294.87,3428323.0
2015-07-08,291.67,292.87,283.34,288.98,2567509.0
2015-07-09,291.26,297.91,289.78,292.87,2349716.0
2015-07-10,294.79,298.39,290.78,293.95,2146590.0
2015-07-13,294.47,300.47,293.03,298.11,2618827.0
2015-07-14,298.87,300.87,294.91,296.07,1638317.0
2015-07-15,296.75,299.15,292.07,293.79,1710395.0
2015-07-16,295.27,299.27,294.23,297.07,1665950.0
2015-07-17,297.67,308.03,296.23,306.79,3811889.0
2015-07-20,309.83,315.67,308.27,313.91,3336515.0
2015-07-21,313.83,315.55,301.67,304.03,2952883.0
2015-07-22,302.63,313.27,301.91,311.67,2260131.0
2015-07-23,311.59,319.63,309.51,314.47,2598724.0
2015-07-24,313.15,316.55,307.75,309.99,2030452.0
2015-07-27,307.27,309.19,297.07,298.35,1852697.0
2015-07-28,299.91,302.23,294.03,298.51,1929188.0
2015-07-29,299.47,301.83,293.47,299.95,1505692.0
2015-07-30,301.59,315.47,299.67,313.03,4402113.0
2015-07-31,315.19,316.71,307.71,312.27,2752614.0
2015-08-03,312.07,325.27,310.63,313.39,2679538.0
2015-08-04,313.99,321.35,310.15,314.79,2899837.0
2015-08-05,316.95,320.87,313.87,315.07,2713921.0
2015-08-06,315.91,317.19,309.35,310.51,2055512.0
2015-08-07,310.51,311.99,304.47,306.11,2342263.0
2015-08-10,306.11,310.63,297.27,301.19,2079113.0
2015-08-11,300.27,303.11,293.27,295.51,2165628.0
2015-08-12,293.07,293.91,276.46,278.78,3432310.0
2015-08-13,281.26,285.54,266.86,270.14,3739202.0
2015-08-14,273.02,286.22,268.66,281.14,4532232.0
2015-08-17,282.06,282.06,266.14,275.58,3830582.0
2015-08-18,276.42,279.9,270.22,272.9,2544790.0
2015-08-19,272.62,277.26,270.58,271.42,2866131.0
2015-08-20,269.66,271.9,260.22,262.78,3002385.0
2015-08-21,256.46,265.58,254.66,263.86,3087421.0
2015-08-24,253.98,258.3,224.53,228.33,5203147.0
2015-08-25,236.05,236.61,197.12,225.85,5326302.0
2015-08-26,226.05,242.33,220.17,234.49,4999898.0
2015-08-27,240.93,245.66,236.41,243.45,6135819.0
2015-08-28,245.18,251.98,239.49,246.5,3992261.0
2015-08-31,245.5,259.14,241.13,251.66,4333827.0
2015-09-01,247.25,250.86,241.09,243.09,3685521.0
2015-09-02,246.45,261.58,246.45,257.34,5039306.0
2015-09-03,259.26,264.62,256.22,261.26,3590002.0
2015-09-04,259.3,259.46,243.33,257.54,4175124.0
2015-09-07,259.1,276.06,258.46,263.74,3556274.0
2015-09-08,265.66,266.54,249.86,260.9,4161548.0
2015-09-09,267.98,273.66,261.9,269.94,3299802.0
2015-09-10,262.86,279.5,261.26,273.5,3496793.0
2015-09-11,275.86,278.26,268.06,270.7,2695819.0
2015-09-14,271.86,284.86,271.1,282.74,2748460.0
2015-09-15,280.22,281.38,273.82,275.54,2067721.0
2015-09-16,282.0,284.97,274.29,276.15,2292562.0
2015-09-18,278.95,288.52,277.14,284.23,2575648.0
2015-09-21,281.34,289.96,278.37,287.4,2584395.0
2015-09-22,288.68,290.29,273.22,276.72,2496063.0
2015-09-23,270.54,287.78,270.54,286.33,2634716.0
2015-09-24,283.77,294.87,279.98,292.85,4019786.0
2015-09-28,291.98,299.36,289.18,297.22,3447367.0
2015-09-29,291.98,308.4,289.59,302.58,4520573.0
2015-09-30,305.18,311.45,300.02,310.21,4501876.0
2015-10-01,313.43,314.66,304.68,307.28,2898706.0
2015-10-05,310.17,317.55,308.81,316.69,1863411.0
2015-10-06,319.16,319.53,311.36,313.96,1768479.0
2015-10-07,313.51,322.46,310.21,319.86,2542675.0
2015-10-08,319.94,319.94,309.63,313.51,1634769.0
2015-10-09,316.64,319.2,309.76,311.45,1700691.0
2015-10-12,313.43,318.25,308.64,312.48,1711341.0
2015-10-13,314.21,332.93,311.61,329.26,6673032.0
2015-10-14,329.39,333.8,325.02,326.25,2929020.0
2015-10-15,327.94,333.96,325.88,332.48,2105945.0
2015-10-16,333.8,341.72,329.96,335.49,3779279.0
2015-10-19,335.74,338.09,329.76,336.27,2342490.0
2015-10-20,334.79,339.0,327.37,329.06,2127612.0
2015-10-21,330.01,343.86,328.44,339.74,4974161.0
2015-10-23,344.77,346.01,337.76,341.47,2872860.0
2015-10-26,343.94,344.6,337.76,341.92,2721305.0
2015-10-27,340.48,348.07,340.48,346.21,2100127.0
2015-10-28,343.99,346.01,337.97,339.94,1861407.0
2015-10-29,340.44,342.67,336.81,338.09,2984269.0
2015-10-30,339.16,353.26,339.0,348.4,3554944.0
