,open,high,low,close,volume
2015-05-15,420.66,423.07,415.03,416.87,3808980.0
2015-05-18,417.32,426.43,416.03,425.26,4501964.0
2015-05-19,425.12,431.56,422.9,427.17,6634872.0
2015-05-20,429.49,434.54,428.2,433.52,3981412.0
2015-05-21,434.66,436.64,426.48,427.74,4918892.0
2015-05-22,427.86,431.97,427.86,431.13,3816904.0
2015-05-25,429.29,433.11,425.65,426.67,3025224.0
2015-05-26,426.91,427.39,421.04,421.95,4347766.0
2015-05-27,422.62,424.95,419.85,422.28,3693098.0
2015-05-28,422.55,426.55,415.94,417.75,12132678.0
2015-05-29,419.71,422.83,416.46,418.32,13384696.0
2015-06-01,419.76,431.63,418.8,430.37,8958164.0
2015-06-02,432.04,438.26,425.22,428.65,9225142.0
2015-06-03,428.82,434.28,423.81,427.55,7107236.0
2015-06-04,431.3,437.02,425.74,435.35,7283298.0
2015-06-05,434.02,437.38,431.42,432.99,5973490.0
2015-06-08,432.54,434.06,421.23,422.35,4958862.0
2015-06-09,421.45,424.84,418.49,421.52,4184606.0
2015-06-10,422.62,434.02,422.14,432.06,6176034.0
2015-06-11,432.16,433.83,416.73,418.4,6709574.0
2015-06-12,419.28,425.81,418.92,424.45,9849112.0
2015-06-15,426.86,431.68,424.52,430.13,5878506.0
2015-06-16,428.82,431.68,426.05,431.18,6368010.0
2015-06-17,431.7,449.5,426.43,444.18,11992678.0
2015-06-18,444.82,468.41,444.8,466.95,22568840.0
2015-06-19,468.65,480.05,468.65,475.4,20897502.0
2015-06-22,475.54,481.14,470.55,473.04,8866370.0
2015-06-23,473.49,478.28,472.7,474.61,7318090.0
2015-06-24,474.61,480.07,470.63,472.65,8504668.0
2015-06-25,470.79,481.29,469.84,479.16,12423550.0
2015-06-26,476.95,483.72,474.8,477.33,9585314.0
2015-06-29,471.22,474.06,463.64,472.63,9220564.0
2015-06-30,472.18,478.35,471.27,477.04,10599340.0
2015-07-01,477.47,481.98,477.47,479.69,6777156.0
2015-07-02,481.29,486.41,480.38,482.17,7283210.0
2015-07-03,481.65,483.58,478.45,480.43,6323112.0
2015-07-06,475.13,486.01,474.7,484.41,5594680.0
2015-07-07,482.24,484.91,476.99,478.54,5163694.0
2015-07-08,475.01,481.14,473.01,475.37,6944656.0
2015-07-09,475.09,477.47,468.96,470.98,7427064.0
2015-07-10,472.75,478.9,472.34,477.85,7365212.0
2015-07-13,477.85,482.96,474.68,480.33,4507774.0
2015-07-14,481.24,482.48,474.7,475.94,4545572.0
2015-07-15,476.88,483.86,476.78,482.31,6186792.0
2015-07-16,482.72,490.25,482.31,488.3,6790884.0
2015-07-17,489.04,491.85,485.58,487.35,4660876.0
2015-07-20,490.25,491.28,485.53,488.8,2902254.0
2015-07-21,490.35,490.56,478.31,480.71,3622284.0
2015-07-22,479.38,502.73,479.19,501.03,7913294.0
2015-07-23,502.51,509.36,496.65,498.6,8522914.0
2015-07-24,499.89,500.68,487.06,488.94,5988726.0
2015-07-27,488.87,491.26,477.83,479.55,9197526.0
2015-07-28,480.95,484.96,477.04,481.88,6118202.0
2015-07-29,481.53,483.05,473.23,475.09,6761866.0
2015-07-30,477.04,480.81,473.32,477.07,5349408.0
2015-07-31,476.99,480.76,472.22,477.88,7604624.0
2015-08-03,477.47,483.6,476.71,478.16,4520364.0
2015-08-04,478.62,479.69,467.45,471.27,5489138.0
2015-08-05,471.39,477.38,469.41,471.15,6558056.0
2015-08-06,472.7,473.18,466.26,466.95,3981022.0
2015-08-07,466.98,474.13,466.1,469.53,3935694.0
2015-08-10,469.6,471.65,460.06,462.16,4246570.0
2015-08-11,463.16,464.43,456.96,460.78,4005904.0
2015-08-12,459.63,460.78,448.64,449.76,4411804.0
2015-08-13,451.71,455.03,443.32,445.2,4270094.0
2015-08-14,448.49,463.64,445.66,461.23,5824010.0
2015-08-17,460.78,460.78,451.26,453.48,4963652.0
2015-08-18,456.01,456.01,449.42,450.33,3031166.0
2015-08-19,450.28,458.39,448.11,455.34,4058402.0
2015-08-20,457.89,457.89,435.85,437.07,8689858.0
2015-08-21,434.06,434.97,427.86,433.09,9166424.0
2015-08-24,419.76,419.76,390.18,395.69,16291446.0
2015-08-25,401.08,410.53,392.66,404.56,22631686.0
2015-08-26,404.4,417.27,400.68,407.07,8665824.0
2015-08-27,413.46,420.35,408.81,414.58,12342370.0
2015-08-28,417.37,421.19,413.12,416.13,4923780.0
2015-08-31,416.34,416.34,407.26,408.26,9467432.0
2015-09-01,407.31,407.31,398.34,400.6,9895684.0
2015-09-02,405.45,408.83,401.92,405.23,8984402.0
2015-09-03,407.38,410.57,402.77,407.28,5330550.0
2015-09-04,405.3,405.3,393.57,398.72,7406072.0
2015-09-07,399.84,402.58,394.81,397.43,4678930.0
2015-09-08,398.77,406.85,393.57,404.78,5897660.0
2015-09-09,410.69,419.13,405.68,416.92,7927582.0
2015-09-10,410.69,415.22,408.07,413.55,5062846.0
2015-09-11,415.94,417.89,408.4,410.67,4861888.0
2015-09-14,411.05,412.93,406.35,412.05,3640906.0
2015-09-15,411.17,414.99,408.12,413.55,5261888.0
2015-09-16,415.99,418.49,412.7,416.2,6137372.0
2015-09-18,419.02,429.06,418.4,427.1,15663184.0
2015-09-21,419.76,423.67,417.87,418.85,5820728.0
2015-09-22,419.76,422.09,402.82,404.44,7198324.0
2015-09-23,402.11,408.69,400.68,405.61,6958648.0
2015-09-24,404.49,404.49,398.17,399.41,13293018.0
2015-09-28,400.58,401.1,395.29,397.93,5314394.0
2015-09-29,395.91,405.56,394.05,401.03,7247674.0
2015-09-30,405.92,412.5,399.96,411.31,7905330.0
2015-10-01,416.87,416.87,409.55,412.46,3960612.0
2015-10-05,411.55,424.52,411.1,423.57,7321708.0
2015-10-06,427.22,429.53,422.5,428.36,5636996.0
2015-10-07,426.77,437.9,425.0,435.88,5264358.0
2015-10-08,436.4,436.4,422.74,424.1,4915978.0
2015-10-09,426.46,431.89,420.47,423.26,4264390.0
2015-10-12,423.57,430.06,423.57,425.36,2840098.0
2015-10-13,422.16,427.53,421.14,426.24,2817316.0
2015-10-14,427.29,431.68,426.41,430.7,3658514.0
2015-10-15,432.97,434.54,429.34,431.06,4136660.0
2015-10-16,431.44,436.35,431.06,436.35,6970386.0
2015-10-19,448.85,460.54,448.85,459.58,15317750.0
2015-10-20,460.3,461.11,454.58,456.34,8271006.0
2015-10-21,455.77,464.97,454.58,455.53,6585230.0
2015-10-23,459.8,464.14,448.92,455.84,5556136.0
2015-10-26,458.82,459.35,448.99,449.73,5000840.0
2015-10-27,447.8,452.31,447.13,448.16,5303952.0
2015-10-28,446.9,450.71,443.56,446.92,5467128.0
2015-10-29,446.47,450.76,445.97,448.85,6071344.0
2015-10-30,449.38,455.96,448.42,452.05,6110650.0
2015-11-02,452.67,458.63,450.86,457.82,3301676.0
2015-11-03,459.46,462.9,458.51,461.35,5199592.0
2015-11-04,461.73,465.07,451.33,453.76,4586836.0
2015-11-05,452.67,453.62,445.04,446.75,4922518.0
2015-11-06,448.11,455.41,447.37,454.29,3825198.0
2015-11-09,445.27,460.3,440.48,458.51,7786320.0
2015-11-10,456.48,457.68,437.07,440.15,5251122.0
2015-11-11,456.48,457.68,437.07,440.15,5251122.0
2015-11-13,436.47,447.68,436.21,445.06,6255098.0
2015-11-16,441.7,449.33,441.1,445.66,7015926.0
2015-11-17,447.44,447.85,441.79,442.53,3926210.0
2015-11-18,442.46,444.22,434.04,435.02,5142766.0
2015-11-19,438.31,447.75,437.52,445.87,5569752.0
2015-11-20,445.51,454.48,441.48,451.64,5167930.0
2015-11-23,453.14,456.91,451.33,454.93,4800026.0
2015-11-24,454.58,463.45,453.65,461.59,6768886.0
2015-11-26,463.16,473.15,461.85,471.58,10883224.0
2015-11-27,471.75,473.42,464.64,467.0,4979394.0
2015-11-30,466.74,469.55,459.01,461.3,13678054.0
2015-12-01,459.82,466.88,458.51,460.73,5934650.0
2015-12-02,460.9,467.31,460.06,466.48,3462408.0
2015-12-03,465.02,471.72,464.64,466.12,5194048.0
2015-12-04,463.78,465.64,458.58,460.51,6146002.0
2015-12-07,460.51,464.12,453.03,454.12,6621556.0
2015-12-08,452.62,454.86,446.51,448.8,3443452.0
2015-12-09,446.56,450.02,435.42,436.88,4194236.0
2015-12-10,440.03,454.96,438.83,453.31,8499730.0
2015-12-11,453.98,457.44,449.76,454.55,8300090.0
2015-12-14,452.0,459.58,451.24,455.58,4829460.0
2015-12-15,456.48,466.48,454.89,465.5,7186122.0
2015-12-16,465.5,471.06,464.35,466.81,5530496.0
2015-12-17,467.48,484.15,466.5,481.62,8854870.0
2015-12-18,478.81,481.29,472.22,473.13,7322040.0
2015-12-21,471.22,476.52,469.53,473.23,5637670.0
2015-12-22,473.56,478.23,469.36,470.94,5293656.0
2015-12-23,473.08,480.29,472.22,478.81,5906346.0
2015-12-24,478.85,480.43,475.23,477.26,5441138.0
2015-12-28,477.28,483.55,476.99,481.96,5891016.0
2015-12-29,481.96,485.91,480.4,484.34,6818120.0
