,open,high,low,close,volume
2015-05-15,403.05,409.35,397.12,403.24,1663896.0
2015-05-18,403.05,410.98,397.59,408.33,1773860.0
2015-05-19,406.76,425.89,403.98,423.76,2093621.0
2015-05-20,423.44,426.77,414.08,419.55,2506231.0
2015-05-21,420.66,421.31,411.11,415.15,1842179.0
2015-05-22,415.84,421.58,408.29,413.8,1974399.0
2015-05-25,413.62,415.84,398.61,400.69,1781626.0
2015-05-26,402.03,403.93,394.07,396.06,2116867.0
2015-05-27,392.86,397.77,387.02,390.36,2308325.0
2015-05-28,396.94,398.33,380.35,386.1,2892388.0
2015-05-29,386.84,392.44,372.01,379.29,11854444.0
2015-06-01,380.77,386.1,376.92,378.78,1712746.0
2015-06-02,380.82,383.09,371.46,372.99,2195538.0
2015-06-03,373.36,374.1,321.52,346.12,3824773.0
2015-06-04,347.65,348.39,334.53,343.52,3080609.0
2015-06-05,340.05,354.78,340.05,348.15,2442876.0
2015-06-08,349.31,351.63,334.77,342.18,1994956.0
2015-06-09,341.72,349.68,339.58,345.28,2199169.0
2015-06-10,347.0,353.48,342.97,347.18,2441908.0
2015-06-11,349.31,351.07,331.11,333.47,1890236.0
2015-06-12,334.49,338.01,327.77,335.37,1913327.0
2015-06-15,337.68,341.53,333.56,338.66,1759832.0
2015-06-16,338.01,338.01,324.94,331.66,2778163.0
2015-06-17,333.56,339.49,329.86,334.91,1631086.0
2015-06-18,335.41,343.8,334.02,338.15,1973760.0
2015-06-19,341.3,341.39,332.08,336.8,1550088.0
2015-06-22,338.43,352.46,338.19,349.27,1856210.0
2015-06-23,350.89,354.5,345.24,349.64,1738344.0
2015-06-24,349.31,351.03,339.17,341.72,1588702.0
2015-06-25,340.05,354.5,336.39,350.1,1989762.0
2015-06-26,348.85,364.37,343.52,358.35,3450622.0
2015-06-29,343.94,356.22,341.11,353.53,2289460.0
2015-06-30,350.43,363.67,350.43,359.92,2470352.0
2015-07-01,359.92,366.92,358.81,361.36,1881109.0
2015-07-02,363.21,367.01,357.74,359.64,1258955.0
2015-07-03,358.12,363.4,354.13,356.77,1090649.0
2015-07-06,351.31,362.7,346.9,361.36,1344438.0
2015-07-07,361.5,383.32,361.17,380.77,3691115.0
2015-07-08,374.24,379.1,364.42,373.87,2913104.0
2015-07-09,376.09,387.49,371.32,381.05,2817314.0
