,open,high,low,close,volume
2015-05-15,11.35,11.45,11.1,11.15,2759022.0
2015-05-18,11.2,11.4,11.1,11.2,2150519.0
2015-05-19,11.25,11.35,11.1,11.15,2506736.0
2015-05-20,11.25,11.35,11.15,11.25,1764389.0
2015-05-21,11.3,11.65,11.15,11.3,2375834.0
2015-05-22,12.2,12.25,11.8,11.85,9595859.0
2015-05-25,12.05,12.05,11.5,11.6,1930416.0
2015-05-26,11.7,11.7,11.2,11.3,2596879.0
2015-05-27,11.15,11.45,11.1,11.35,1870429.0
2015-05-28,11.45,11.6,11.25,11.35,1944921.0
2015-05-29,11.45,11.45,11.25,11.3,1660528.0
2015-06-01,11.3,11.35,11.1,11.2,1538710.0
2015-06-02,11.15,11.25,10.9,10.95,1740057.0
2015-06-03,11.1,11.15,9.0,10.15,4591845.0
2015-06-04,10.35,10.35,9.4,9.9,2530743.0
2015-06-05,10.05,10.4,9.85,10.2,2415220.0
2015-06-08,10.25,10.65,9.95,10.3,1657229.0
2015-06-09,10.3,10.4,10.05,10.1,960464.0
2015-06-10,10.05,11.8,10.05,10.9,16382047.0
2015-06-11,11.15,11.15,10.25,10.35,2857921.0
2015-06-12,10.2,10.5,10.0,10.15,1881469.0
2015-06-15,10.15,10.35,9.95,10.25,1057164.0
2015-06-16,10.15,10.45,10.1,10.35,1403197.0
2015-06-17,10.45,10.8,10.3,10.6,1772472.0
2015-06-18,10.75,10.8,10.4,10.45,1340679.0
2015-06-19,10.5,10.8,10.25,10.6,1958020.0
2015-06-22,10.7,10.8,10.5,10.6,1439987.0
2015-06-23,10.6,10.8,10.5,10.7,1677087.0
2015-06-24,10.7,10.8,10.4,10.5,1016018.0
2015-06-25,10.5,10.55,10.3,10.4,1282840.0
2015-06-26,10.35,10.45,10.25,10.35,1124475.0
2015-06-29,9.9,10.2,9.8,10.05,1313288.0
2015-06-30,10.05,10.4,10.05,10.2,1285529.0
2015-07-01,10.2,10.4,10.2,10.25,1421624.0
2015-07-02,10.3,10.4,10.05,10.1,2285797.0
2015-07-03,10.1,10.2,10.0,10.05,1372434.0
2015-07-06,9.95,10.8,9.85,10.35,4175009.0
2015-07-07,10.5,10.6,10.25,10.4,3791883.0
2015-07-08,10.3,10.4,9.9,10.05,3978168.0
2015-07-09,10.05,10.55,10.05,10.2,2795419.0
2015-07-10,10.3,10.3,9.9,9.95,3116319.0
2015-07-13,10.05,10.15,10.0,10.05,1311523.0
2015-07-14,10.15,10.35,9.95,10.05,2957361.0
2015-07-15,10.1,10.3,10.05,10.05,3891542.0
2015-07-16,10.1,10.2,9.95,10.0,2122908.0
2015-07-17,10.0,10.1,9.9,9.9,1809676.0
2015-07-20,10.0,10.0,9.6,9.85,2866825.0
2015-07-21,9.85,9.9,9.45,9.45,2865230.0
2015-07-22,9.45,9.45,9.15,9.3,3303393.0
2015-07-23,9.3,9.6,9.15,9.2,2716177.0
2015-07-24,9.2,9.25,8.9,9.0,2767520.0
2015-07-27,9.0,9.3,8.8,8.85,4084157.0
2015-07-28,8.95,9.0,8.45,8.5,3153782.0
2015-07-29,8.6,8.65,8.25,8.3,2223810.0
2015-07-30,8.4,8.7,8.3,8.5,4217733.0
2015-07-31,8.8,9.1,8.65,8.9,5985880.0
2015-08-03,9.1,9.2,8.95,9.05,5199453.0
2015-08-04,9.05,9.1,8.75,8.8,3747261.0
2015-08-05,8.85,9.7,8.8,9.4,11113509.0
2015-08-06,9.5,9.55,9.05,9.15,7443451.0
2015-08-07,9.1,9.35,9.1,9.2,3583778.0
2015-08-10,9.3,9.55,9.25,9.35,3021087.0
2015-08-11,9.45,9.65,9.2,9.25,4095204.0
2015-08-12,9.25,9.45,9.0,9.05,4803484.0
2015-08-13,9.4,9.4,8.85,8.9,7349172.0
2015-08-14,8.9,8.9,8.55,8.7,3317090.0
2015-08-17,8.85,8.85,8.6,8.65,1437066.0
2015-08-18,8.75,8.8,8.65,8.65,1831061.0
2015-08-19,8.65,8.7,8.5,8.55,2812846.0
2015-08-20,8.65,8.65,8.3,8.4,2299058.0
2015-08-21,8.35,8.35,7.95,8.1,2324671.0
2015-08-24,8.0,8.0,7.25,7.35,4077435.0
2015-08-25,7.4,7.6,7.05,7.4,2670708.0
2015-08-26,7.35,7.45,7.25,7.3,1524094.0
2015-08-27,7.5,7.55,7.3,7.35,1498703.0
2015-08-28,7.4,7.5,7.25,7.3,2515627.0
2015-08-31,7.3,7.65,7.15,7.45,1741857.0
2015-09-01,7.4,7.55,7.15,7.25,1536943.0
2015-09-02,7.3,8.1,7.2,7.7,6029506.0
2015-09-03,7.8,7.9,7.5,7.55,2879489.0
2015-09-04,7.5,7.55,7.1,7.2,2176004.0
2015-09-07,7.2,7.6,7.2,7.35,2719265.0
2015-09-08,7.4,7.4,7.25,7.3,1505669.0
2015-09-09,7.4,7.45,7.3,7.35,1041078.0
2015-09-10,7.35,7.4,7.2,7.35,682614.0
