,open,high,low,close,volume
2015-05-15,605.99,611.77,599.12,604.02,63597.0
2015-05-18,608.44,617.66,605.2,615.11,82230.0
2015-05-19,618.05,622.86,598.04,608.73,196220.0
2015-05-20,617.95,617.95,600.3,604.32,119299.0
2015-05-21,612.07,612.07,594.46,598.29,35614.0
2015-05-22,596.86,603.04,590.34,597.4,68999.0
2015-05-25,603.19,603.19,588.92,592.89,124670.0
2015-05-26,598.33,599.27,593.53,596.62,29042.0
2015-05-27,595.98,598.33,585.09,594.61,38427.0
2015-05-28,594.12,598.43,586.07,588.38,106567.0
2015-05-29,591.62,622.86,580.97,604.22,364870.0
2015-06-01,606.18,621.88,604.22,616.24,193661.0
2015-06-02,621.78,626.78,594.41,600.05,162627.0
2015-06-03,596.96,598.14,570.87,584.7,48773.0
2015-06-04,585.63,606.18,585.63,601.96,107603.0
2015-06-05,602.01,615.01,598.68,609.86,44217.0
2015-06-08,606.67,614.91,596.86,602.8,66287.0
2015-06-09,598.33,602.65,583.62,591.37,22904.0
2015-06-10,595.1,595.1,581.66,584.99,98087.0
2015-06-11,592.79,603.24,568.91,576.07,69374.0
2015-06-12,572.83,590.0,566.11,571.85,84711.0
2015-06-15,578.13,588.23,571.85,577.05,33647.0
2015-06-16,582.3,583.57,571.85,580.78,28639.0
2015-06-17,581.66,621.88,581.66,602.55,128188.0
2015-06-18,608.14,613.83,603.43,607.36,144958.0
2015-06-19,607.16,612.95,598.63,606.97,73208.0
2015-06-22,612.02,622.76,604.22,614.13,224293.0
2015-06-23,615.01,623.25,609.22,618.3,52944.0
2015-06-24,621.78,627.76,611.23,618.64,82921.0
2015-06-25,622.41,622.86,609.61,613.19,39393.0
2015-06-26,620.7,623.84,611.38,616.24,87999.0
2015-06-29,598.53,646.79,588.62,636.88,127601.0
2015-06-30,638.55,644.73,624.33,631.73,54383.0
2015-07-01,637.81,644.39,623.84,628.89,111183.0
2015-07-02,623.84,641.93,623.84,636.0,57274.0
2015-07-03,637.52,643.6,623.84,627.27,20283.0
2015-07-06,622.86,633.4,618.93,630.7,40471.0
2015-07-07,635.61,652.28,629.82,648.06,77917.0
2015-07-08,633.35,664.05,633.35,639.68,423696.0
2015-07-09,651.11,657.19,632.71,650.47,122269.0
2015-07-10,656.99,681.17,640.61,670.48,229507.0
2015-07-13,672.88,684.65,668.27,672.34,90313.0
2015-07-14,679.75,683.23,670.04,674.84,68840.0
2015-07-15,681.61,681.61,652.28,654.54,75928.0
2015-07-16,665.03,665.03,649.34,656.94,109821.0
2015-07-17,653.26,671.9,650.42,664.15,55769.0
2015-07-20,659.3,667.0,655.13,662.29,22255.0
2015-07-21,662.29,678.67,652.97,664.15,58892.0
2015-07-22,661.6,679.35,647.38,676.31,35577.0
2015-07-23,681.71,696.32,663.61,687.1,121851.0
2015-07-24,688.48,691.52,675.82,677.39,43029.0
2015-07-27,685.63,685.63,659.64,664.64,114572.0
2015-07-28,675.43,675.43,662.09,665.18,47347.0
2015-07-29,672.39,686.07,666.55,672.39,66028.0
2015-07-30,673.27,680.63,667.0,669.25,21528.0
2015-07-31,667.98,680.24,667.98,676.76,25934.0
2015-08-03,681.71,685.63,663.86,673.71,30376.0
2015-08-04,682.35,685.24,672.05,676.12,46648.0
2015-08-05,682.64,734.68,677.83,724.92,305120.0
2015-08-06,737.81,741.54,721.92,724.47,152558.0
2015-08-07,729.09,758.22,724.38,731.24,430749.0
2015-08-10,732.71,750.17,732.71,740.41,72550.0
2015-08-11,743.45,745.47,723.89,731.78,56115.0
2015-08-12,731.59,731.59,704.22,710.89,52414.0
2015-08-13,714.52,718.88,672.88,682.44,64167.0
2015-08-14,682.84,730.75,677.88,720.36,63664.0
2015-08-17,720.36,760.18,710.64,746.2,82133.0
2015-08-18,757.24,762.97,726.93,743.41,34064.0
2015-08-19,742.47,769.99,742.47,758.41,78207.0
2015-08-20,752.33,765.08,736.59,745.17,319496.0
2015-08-21,735.66,755.27,716.04,742.67,78170.0
2015-08-24,712.12,716.09,667.0,684.41,700607.0
2015-08-25,664.05,680.73,627.81,667.49,149862.0
2015-08-26,666.01,679.16,662.09,673.96,36338.0
2015-08-27,676.95,701.03,663.22,694.12,51097.0
2015-08-28,693.48,711.04,686.61,688.08,56445.0
2015-08-31,678.91,718.98,667.0,712.02,58191.0
2015-09-01,711.09,711.09,681.51,685.73,76546.0
2015-09-02,683.08,702.26,682.79,688.08,48020.0
2015-09-03,702.83,723.86,688.28,714.58,376629.0
2015-09-04,717.33,724.7,682.92,693.93,81403.0
2015-09-07,689.07,694.08,673.98,677.57,28057.0
2015-09-08,680.71,687.54,639.33,653.88,122928.0
2015-09-09,653.68,678.06,648.77,652.4,70741.0
2015-09-10,649.75,653.68,630.63,638.79,80182.0
2015-09-11,649.75,662.58,640.95,652.5,23638.0
2015-09-14,663.51,663.51,642.52,650.58,25108.0
2015-09-15,646.8,649.36,635.0,647.83,33339.0
2015-09-16,652.25,670.19,613.38,623.4,126518.0
2015-09-18,632.01,658.3,625.17,647.88,176954.0
2015-09-21,652.55,669.31,643.11,665.43,34842.0
2015-09-22,668.42,679.09,656.63,665.72,63231.0
2015-09-23,653.73,694.87,643.9,689.07,126198.0
2015-09-24,697.82,700.62,678.25,685.23,17834.0
2015-09-28,687.1,704.6,678.45,687.15,30837.0
2015-09-29,683.17,705.78,658.45,700.03,121694.0
2015-09-30,700.37,739.69,700.37,723.42,164447.0
2015-10-01,731.34,731.34,709.27,715.85,86171.0
2015-10-05,719.54,734.28,717.57,719.98,44874.0
2015-10-06,718.56,726.17,709.91,719.54,60868.0
2015-10-07,717.57,732.32,700.08,725.93,78900.0
2015-10-08,724.95,724.95,710.69,717.28,14971.0
2015-10-09,727.4,743.92,702.83,710.64,129185.0
2015-10-12,707.65,710.55,689.07,693.05,30946.0
2015-10-13,710.69,710.69,680.76,690.15,46370.0
2015-10-14,698.9,704.8,682.28,692.46,30989.0
2015-10-15,705.78,705.78,688.08,692.31,23281.0
2015-10-16,688.08,697.77,679.24,686.76,50613.0
2015-10-19,702.73,702.73,674.72,681.06,190847.0
2015-10-20,687.94,688.08,678.4,681.15,30258.0
2015-10-21,683.07,686.51,673.49,678.75,25317.0
2015-10-23,696.93,696.93,673.44,675.35,29914.0
2015-10-26,686.12,687.1,675.31,684.55,34838.0
2015-10-27,687.1,693.0,674.72,686.95,37836.0
2015-10-28,688.04,693.98,684.55,691.33,24944.0
2015-10-29,696.83,696.83,681.01,688.43,27885.0
2015-10-30,688.43,701.85,688.08,697.77,38874.0
2015-11-02,697.77,705.29,682.19,692.56,39894.0
2015-11-03,688.08,700.86,687.1,693.2,17716.0
2015-11-04,695.7,701.45,674.37,687.64,144534.0
2015-11-05,689.07,698.41,673.34,679.63,14555.0
2015-11-06,679.43,692.9,673.34,681.84,20965.0
2015-11-09,681.2,688.08,663.56,675.01,32309.0
2015-11-10,669.56,674.37,651.71,654.22,38769.0
2015-11-11,669.56,674.37,651.71,654.22,38769.0
2015-11-13,666.31,666.31,632.05,638.0,76118.0
2015-11-16,630.09,638.94,629.6,636.67,40687.0
2015-11-17,648.72,648.72,625.17,638.98,44887.0
2015-11-18,640.9,643.36,628.12,630.53,14832.0
2015-11-19,638.94,684.15,633.23,672.9,79885.0
2015-11-20,672.9,687.1,654.96,675.6,58822.0
2015-11-23,685.53,685.53,658.6,671.28,29573.0
2015-11-24,677.27,677.27,659.14,667.49,35750.0
2015-11-26,667.44,697.91,664.74,675.01,67535.0
2015-11-27,676.78,697.72,669.65,694.52,44654.0
2015-11-30,690.05,732.32,680.71,713.54,87769.0
2015-12-01,722.49,722.49,689.31,697.62,21045.0
2015-12-02,696.93,705.24,674.32,679.14,36593.0
2015-12-03,678.99,679.24,664.59,675.6,44684.0
2015-12-04,667.05,673.34,655.65,659.97,68319.0
2015-12-07,657.61,661.94,634.02,636.58,81211.0
2015-12-08,634.61,642.82,629.4,637.41,47080.0
2015-12-09,635.15,639.92,626.65,629.3,37022.0
2015-12-10,629.11,647.49,623.31,627.48,29059.0
2015-12-11,629.11,629.11,601.73,607.63,95785.0
2015-12-14,605.51,619.28,595.19,606.15,48485.0
