,open,high,low,close,volume
2015-05-15,108.14,112.11,108.14,108.64,873.0
2015-05-18,107.15,122.48,107.15,115.29,2669.0
2015-05-19,112.11,117.07,110.18,110.23,622.0
2015-05-20,109.13,112.11,107.94,111.66,6378.0
2015-05-21,111.66,111.66,107.65,110.18,417.0
2015-05-22,109.13,116.97,106.21,115.58,2083.0
2015-05-25,116.08,117.91,107.3,110.82,2148.0
2015-05-26,113.6,124.96,113.6,119.75,6363.0
2015-05-27,114.14,143.66,114.14,138.6,30790.0
2015-05-28,136.12,145.84,130.46,131.85,8483.0
2015-05-29,128.98,142.87,125.01,136.32,3821.0
2015-06-01,128.98,162.71,126.0,149.76,157365.0
2015-06-02,152.79,173.52,139.89,142.62,67147.0
2015-06-03,150.8,150.8,133.94,137.56,26331.0
2015-06-04,139.89,147.58,133.94,140.39,8980.0
2015-06-05,138.9,160.63,137.56,149.02,160279.0
2015-06-08,154.28,178.78,143.86,150.01,148435.0
2015-06-09,152.19,167.62,150.01,162.51,98656.0
2015-06-10,162.61,178.48,156.26,158.49,81862.0
2015-06-11,158.0,168.36,144.85,150.8,118909.0
2015-06-12,154.92,180.96,153.78,176.55,130673.0
2015-06-15,177.39,177.89,162.71,167.72,72042.0
2015-06-16,168.76,175.61,158.84,164.2,82690.0
2015-06-17,164.2,193.46,160.72,184.78,196624.0
2015-06-18,182.55,207.16,158.44,162.06,382098.0
2015-06-19,164.1,164.1,143.11,152.19,151185.0
2015-06-22,157.0,162.41,145.35,155.81,103873.0
2015-06-23,151.3,163.6,141.18,142.47,151830.0
2015-06-24,146.59,146.74,131.95,134.78,66424.0
2015-06-25,133.49,138.9,123.02,132.95,106898.0
2015-06-26,136.81,136.81,128.08,133.99,66538.0
2015-06-29,132.9,132.9,124.21,127.04,13983.0
2015-06-30,127.04,133.89,125.65,127.44,11431.0
2015-07-01,128.98,145.84,124.91,128.23,152330.0
2015-07-02,129.97,131.56,122.03,126.6,35647.0
2015-07-03,127.49,133.79,125.06,128.78,83429.0
2015-07-06,126.2,129.97,120.69,123.82,14514.0
2015-07-07,122.63,125.16,122.08,122.78,4625.0
