,open,high,low,close,volume
2015-05-15,290.96,301.27,288.8,294.0,202396.0
2015-05-18,294.64,298.08,289.68,294.44,109598.0
2015-05-19,293.61,297.54,282.81,284.92,506043.0
2015-05-20,286.54,293.51,284.13,286.39,629472.0
2015-05-21,288.4,290.27,278.19,280.79,116493.0
2015-05-22,280.01,283.79,276.92,278.34,50541.0
2015-05-25,278.34,279.86,271.61,276.33,61248.0
2015-05-26,276.47,285.61,276.42,282.02,353408.0
2015-05-27,280.84,284.48,276.57,282.32,133281.0
2015-05-28,282.32,285.26,280.65,281.82,534636.0
2015-05-29,281.28,283.79,279.91,282.51,248609.0
2015-06-01,284.97,290.81,278.58,280.89,240509.0
2015-06-02,282.81,288.5,281.83,282.51,222324.0
2015-06-03,284.62,284.77,277.75,283.74,185609.0
2015-06-04,282.81,292.18,271.02,283.2,1026758.0
2015-06-05,282.81,294.39,282.81,292.97,130065.0
2015-06-08,296.01,296.01,286.1,293.02,75790.0
2015-06-09,290.66,299.7,286.0,287.67,64122.0
2015-06-10,288.21,295.57,283.4,288.8,69623.0
2015-06-11,291.45,294.64,288.01,289.88,73025.0
2015-06-12,289.68,294.1,273.13,277.9,272997.0
2015-06-15,276.92,285.56,271.76,274.31,126912.0
2015-06-16,278.88,278.88,271.56,274.26,66537.0
2015-06-17,274.95,281.33,274.95,279.03,94309.0
2015-06-18,279.86,281.63,272.1,274.46,279257.0
2015-06-19,275.93,278.93,267.1,269.16,335400.0
2015-06-22,270.14,283.79,270.14,282.17,146585.0
2015-06-23,284.23,294.93,281.24,291.84,185590.0
2015-06-24,289.78,294.59,286.88,291.4,109557.0
2015-06-25,289.68,296.55,288.01,291.79,190563.0
2015-06-26,290.17,294.54,284.77,287.67,52892.0
2015-06-29,282.81,289.39,277.01,286.49,108993.0
2015-06-30,286.69,289.68,281.82,285.31,121704.0
2015-07-01,288.65,306.37,285.46,294.1,309995.0
2015-07-02,296.41,303.23,289.68,291.5,175153.0
2015-07-03,292.48,296.26,284.08,286.0,95318.0
2015-07-06,281.82,294.59,278.88,291.79,64317.0
2015-07-07,291.64,298.76,289.78,293.07,320558.0
2015-07-08,289.98,296.06,286.1,287.72,46413.0
2015-07-09,294.59,297.05,288.7,294.39,96750.0
2015-07-10,295.57,295.57,287.08,289.24,30460.0
2015-07-13,289.24,294.59,285.95,293.85,78305.0
2015-07-14,293.85,306.08,292.53,297.93,724064.0
2015-07-15,300.83,312.12,300.73,309.71,416928.0
