,open,high,low,close,volume
2015-05-15,65.77,66.11,65.43,65.72,1509983.0
2015-05-18,65.77,66.56,65.57,65.97,1531770.0
2015-05-19,66.02,66.56,65.67,65.87,1228375.0
2015-05-20,66.11,66.31,65.48,65.72,1356790.0
2015-05-21,66.11,66.11,64.35,64.99,1592979.0
2015-05-22,65.48,65.48,64.59,64.74,881722.0
2015-05-25,65.08,65.28,64.1,64.4,1122411.0
2015-05-26,64.55,64.94,63.96,64.69,1488146.0
2015-05-27,64.5,65.18,63.81,64.99,1819018.0
2015-05-28,64.99,65.87,64.2,64.5,4969562.0
2015-05-29,64.64,64.99,64.01,64.59,1809404.0
2015-06-01,64.35,65.48,64.01,64.99,1390851.0
2015-06-02,65.28,65.97,64.15,64.45,1552643.0
2015-06-03,64.59,65.18,62.88,63.71,2129943.0
2015-06-04,64.25,64.3,60.23,61.02,2593843.0
2015-06-05,60.28,63.42,59.3,62.63,3711053.0
2015-06-08,63.71,63.81,60.77,61.41,2519506.0
2015-06-09,62.24,62.24,60.77,61.41,1747821.0
2015-06-10,61.31,62.05,61.26,61.7,1325230.0
2015-06-11,62.24,62.24,59.35,59.64,2196867.0
2015-06-12,59.64,59.69,58.13,59.06,1765061.0
2015-06-15,59.3,59.64,57.88,58.08,1418114.0
2015-06-16,58.62,58.96,57.88,58.71,1293933.0
2015-06-17,58.47,61.65,58.47,59.99,2669692.0
2015-06-18,60.09,60.48,59.5,59.89,1403211.0
2015-06-19,60.43,60.97,59.06,59.25,2399039.0
2015-06-22,59.74,61.65,59.45,61.36,2478505.0
2015-06-23,61.46,62.34,61.07,61.75,1355552.0
2015-06-24,61.9,62.1,60.18,60.62,1308051.0
2015-06-25,59.99,62.14,59.5,61.56,3654499.0
2015-06-26,61.07,61.61,59.89,61.21,1777662.0
2015-06-29,59.74,60.18,58.37,58.91,1870979.0
2015-06-30,58.91,61.56,58.81,60.23,1741836.0
2015-07-01,60.77,64.06,60.04,63.17,3085301.0
2015-07-02,63.37,63.96,62.78,63.52,2166429.0
2015-07-03,63.32,63.71,61.36,61.9,1407423.0
2015-07-06,61.75,63.22,60.09,62.59,2079479.0
2015-07-07,62.93,63.17,61.36,61.95,1881137.0
2015-07-08,61.21,61.21,57.83,58.22,5936600.0
2015-07-09,58.81,59.01,58.08,58.62,2087962.0
2015-07-10,58.86,59.3,57.59,57.93,2908134.0
2015-07-13,58.42,58.62,55.97,57.19,3230430.0
2015-07-14,57.15,58.13,56.7,56.85,2144476.0
2015-07-15,57.34,57.64,56.21,56.36,2210760.0
2015-07-16,56.75,57.1,56.21,56.56,1896348.0
2015-07-17,56.8,57.73,56.36,57.05,2391774.0
2015-07-20,57.34,57.49,56.46,56.56,1471308.0
2015-07-21,56.8,56.8,55.43,55.63,1943687.0
2015-07-22,55.58,57.1,54.94,56.85,1845622.0
2015-07-23,57.34,58.47,56.61,57.73,3000456.0
2015-07-24,57.73,57.98,56.75,57.0,2158902.0
2015-07-27,56.46,56.66,55.18,55.43,1527021.0
2015-07-28,55.77,57.05,54.89,56.85,3358870.0
