,open,high,low,close,volume
2015-05-15,4112.28,4256.96,4035.7,4092.08,2134.0
2015-05-18,4118.37,4184.35,4064.41,4151.33,69739.0
2015-05-19,4133.07,4197.56,4124.65,4152.42,16034.0
2015-05-20,4205.48,4227.17,4029.27,4047.04,10594.0
2015-05-21,4054.96,4099.41,4009.47,4034.46,478.0
2015-05-22,4001.5,4080.75,4001.5,4038.52,206.0
2015-05-25,4020.8,4147.07,3973.18,4000.66,27828.0
2015-05-26,3980.76,4058.97,3980.76,3995.31,450.0
2015-05-27,4008.33,4133.22,3959.97,4102.92,1030.0
2015-05-28,4109.46,4163.95,4015.9,4024.86,720.0
2015-05-29,4059.02,4116.39,3987.93,4057.98,1285.0
2015-06-01,4068.62,4088.67,4015.41,4037.43,417.0
2015-06-02,4053.03,4116.04,3984.72,4036.69,1178.0
2015-06-03,4133.22,4133.22,3960.46,4001.99,1556.0
2015-06-04,3934.67,4002.54,3934.62,3964.67,684.0
2015-06-05,3961.2,4051.94,3961.15,3995.41,225.0
2015-06-08,4053.57,4053.57,3872.95,3922.3,49174.0
2015-06-09,3900.67,3999.57,3900.57,3973.33,347.0
2015-06-10,3935.22,4058.97,3818.6,3974.52,4781.0
2015-06-11,3971.8,4056.99,3921.6,4010.46,898.0
2015-06-12,4011.45,4057.98,3923.04,4022.88,2256.0
2015-06-15,3964.97,4058.92,3935.22,4009.47,11475.0
2015-06-16,4049.07,4049.07,3849.43,3904.63,2187.0
2015-06-17,3963.28,4024.32,3925.32,3998.63,824.0
2015-06-18,4051.0,4108.42,3999.57,4052.63,362.0
2015-06-19,4032.29,4080.25,3971.85,4003.77,399.0
2015-06-22,4077.73,4077.78,3979.87,4055.25,810.0
2015-06-23,4058.92,4143.12,4019.37,4068.47,1340.0
2015-06-24,4100.79,4104.56,4010.51,4032.53,7859.0
2015-06-25,3981.75,4141.09,3981.75,4051.94,235.0
2015-06-26,4083.72,4137.18,4034.51,4121.73,477.0
2015-06-29,4116.39,4116.39,4027.14,4095.4,104.0
2015-06-30,4073.57,4105.45,4060.35,4077.38,181.0
2015-07-01,4113.37,4152.03,4070.9,4143.91,550.0
2015-07-02,4083.76,4178.75,4060.0,4157.87,6295.0
2015-07-03,4196.33,4241.12,4108.47,4211.28,16773.0
2015-07-06,4156.53,4172.82,4050.06,4157.57,2730.0
2015-07-07,4206.43,4252.01,4155.39,4224.34,573.0
2015-07-08,4182.71,4405.31,4080.79,4293.1,2044.0
2015-07-09,4334.13,4334.13,4222.36,4276.71,297.0
2015-07-10,4395.56,4395.56,4207.47,4227.17,396.0
2015-07-13,4230.93,4319.28,4099.56,4226.23,2392.0
2015-07-14,4203.95,4333.84,4200.19,4237.07,546.0
2015-07-15,4247.06,4257.01,4123.32,4173.76,40475.0
2015-07-16,4192.91,4245.58,4073.52,4145.0,3792.0
2015-07-17,4217.36,4355.96,4207.46,4287.75,20407.0
2015-07-20,4241.12,4442.09,4241.12,4353.64,3880.0
2015-07-21,4353.04,4435.16,4352.99,4399.18,2041.0
2015-07-22,4427.24,4479.71,4323.44,4458.53,1641.0
2015-07-23,4406.4,4534.66,4406.4,4487.38,5243.0
