,open,high,low,close,volume
2015-05-15,457.55,457.55,450.14,451.4,7140.0
2015-05-18,458.04,460.02,455.08,458.61,10634.0
2015-05-19,467.91,467.91,454.12,458.29,8956.0
2015-05-20,464.46,465.84,459.57,463.15,8494.0
2015-05-21,465.94,465.94,456.56,457.18,6002.0
2015-05-22,463.92,463.92,451.7,454.29,9376.0
2015-05-25,452.12,455.57,439.78,443.85,10694.0
2015-05-26,449.11,455.55,439.29,452.64,10084.0
2015-05-27,445.7,457.8,439.31,452.93,15292.0
2015-05-28,458.07,459.0,446.69,457.62,12756.0
2015-05-29,450.89,513.32,450.89,498.71,231294.0
2015-06-01,496.05,522.21,488.64,492.35,82352.0
2015-06-02,492.64,499.08,469.72,475.29,19094.0
2015-06-03,488.15,488.15,441.75,455.11,59302.0
2015-06-04,451.63,469.89,450.14,452.93,7684.0
2015-06-05,446.69,457.25,446.2,451.75,11992.0
2015-06-08,451.63,451.7,428.43,430.75,40958.0
2015-06-09,430.75,438.99,429.49,432.7,10352.0
2015-06-10,431.41,450.64,430.9,432.65,23528.0
2015-06-11,442.72,442.72,424.58,427.51,14572.0
2015-06-12,422.01,431.36,410.66,421.64,24642.0
2015-06-15,431.64,431.64,399.23,409.13,49076.0
2015-06-16,417.05,418.56,404.98,415.59,11468.0
2015-06-17,416.09,434.35,416.09,425.96,21900.0
2015-06-18,434.35,467.91,424.48,453.01,52844.0
2015-06-19,450.17,460.98,444.84,448.61,17208.0
2015-06-22,453.53,456.04,444.22,449.23,11696.0
2015-06-23,451.21,455.62,444.72,446.15,15844.0
2015-06-24,446.71,451.11,444.72,447.26,40290.0
2015-06-25,447.26,447.26,438.79,442.57,5440.0
2015-06-26,440.77,442.25,434.62,437.93,3300.0
2015-06-29,431.34,441.75,417.08,434.45,9074.0
2015-06-30,443.11,448.17,424.53,427.49,14062.0
2015-07-01,436.0,441.75,422.13,429.41,18980.0
2015-07-02,437.73,438.22,424.48,429.88,8734.0
2015-07-03,434.84,459.03,430.06,443.46,42620.0
2015-07-06,444.81,454.12,438.3,447.23,19352.0
2015-07-07,451.63,454.07,436.82,439.58,16094.0
2015-07-08,431.88,457.55,431.88,447.06,32914.0
2015-07-09,441.75,459.03,424.48,444.67,17276.0
2015-07-10,444.72,450.98,440.62,442.74,6934.0
2015-07-13,449.4,453.11,444.22,450.76,21310.0
2015-07-14,454.09,455.18,446.44,451.4,6778.0
2015-07-15,459.0,478.77,450.14,469.62,46376.0
2015-07-16,470.26,473.59,462.04,464.38,10590.0
2015-07-17,473.32,473.32,459.03,459.4,12534.0
2015-07-20,458.54,463.87,451.63,457.2,8750.0
2015-07-21,452.61,460.98,442.79,444.37,12018.0
2015-07-22,442.0,451.01,440.4,446.84,17612.0
2015-07-23,448.32,452.59,444.22,444.39,6858.0
2015-07-24,444.72,453.08,434.35,437.44,30570.0
2015-07-27,437.44,449.63,436.82,438.97,16816.0
2015-07-28,444.22,449.16,439.34,442.15,7728.0
2015-07-29,449.13,454.27,441.83,443.33,8202.0
2015-07-30,445.7,456.56,444.22,447.6,21696.0
2015-07-31,449.18,454.98,439.29,440.99,17966.0
2015-08-03,442.27,449.65,441.8,443.93,13326.0
2015-08-04,439.31,532.7,439.31,532.7,271258.0
2015-08-05,566.14,616.33,565.15,592.42,292884.0
2015-08-06,589.83,592.27,548.37,566.56,88288.0
2015-08-07,572.06,579.96,520.73,536.94,149392.0
2015-08-10,542.94,542.99,506.46,525.84,86034.0
2015-08-11,531.09,582.42,523.66,534.94,148714.0
2015-08-12,536.99,546.91,525.96,533.02,30516.0
2015-08-13,535.02,547.82,510.86,514.75,39400.0
2015-08-14,518.75,555.28,514.75,522.82,31580.0
2015-08-17,521.89,541.95,518.56,535.56,57518.0
2015-08-18,538.35,541.9,519.25,526.8,57294.0
2015-08-19,529.07,565.15,525.66,558.12,113244.0
2015-08-20,557.23,579.96,539.01,550.29,102566.0
2015-08-21,545.43,558.51,523.74,553.5,59024.0
2015-08-24,541.46,541.46,483.71,497.87,58800.0
2015-08-25,503.45,520.36,441.78,458.14,117246.0
2015-08-26,470.85,498.44,454.36,481.83,89806.0
2015-08-27,486.69,505.92,482.38,503.53,34090.0
2015-08-28,507.89,522.7,464.71,485.12,77140.0
2015-08-31,486.18,502.96,483.71,488.57,26890.0
2015-09-01,479.27,490.57,473.1,482.15,28184.0
2015-09-02,484.03,493.56,469.99,474.65,22826.0
2015-09-03,488.67,493.53,478.82,480.55,13414.0
2015-09-04,481.24,481.24,460.31,463.27,20202.0
2015-09-07,459.08,469.89,438.74,446.52,28670.0
2015-09-08,446.71,462.48,434.35,452.69,21096.0
2015-09-09,462.02,481.24,462.02,467.69,23990.0
2015-09-10,456.61,468.9,444.22,462.39,29458.0
2015-09-11,463.72,473.84,463.72,469.39,9804.0
2015-09-14,471.34,476.8,458.04,460.21,16594.0
2015-09-15,463.97,468.28,459.03,459.03,7996.0
2015-09-16,464.55,474.94,450.22,455.67,15280.0
2015-09-18,472.49,473.01,457.67,459.65,13500.0
2015-09-21,455.19,477.43,455.17,467.27,28220.0
2015-09-22,469.0,472.49,458.63,463.31,18924.0
2015-09-23,465.04,467.04,455.67,461.55,11536.0
2015-09-24,463.58,472.49,462.67,464.55,13982.0
2015-09-28,465.09,476.94,458.63,470.8,18824.0
2015-09-29,467.81,471.57,456.36,460.59,29502.0
2015-09-30,462.32,471.0,460.61,462.54,20050.0
2015-10-01,465.56,477.43,458.86,461.08,25068.0
2015-10-05,461.08,472.49,454.68,456.73,55260.0
2015-10-06,459.13,466.01,457.64,460.93,16714.0
2015-10-07,462.32,468.53,460.61,464.69,17936.0
2015-10-08,461.7,491.51,461.6,480.43,53630.0
2015-10-09,482.23,487.33,464.47,472.02,43644.0
2015-10-12,474.47,477.43,448.24,466.82,18928.0
2015-10-13,465.49,472.49,464.08,464.77,11892.0
2015-10-14,464.79,468.53,464.77,467.46,5740.0
2015-10-15,469.52,477.21,467.56,469.07,9958.0
2015-10-16,471.47,477.43,468.03,472.49,26956.0
2015-10-19,476.44,477.43,470.01,475.26,19514.0
2015-10-20,477.43,504.65,477.43,491.66,119498.0
2015-10-21,492.2,499.15,487.33,489.95,28296.0
2015-10-23,502.17,504.27,477.48,479.04,33630.0
2015-10-26,490.79,490.79,460.12,463.36,30212.0
2015-10-27,464.55,472.83,461.11,462.84,22454.0
2015-10-28,469.49,471.0,464.45,468.73,10808.0
2015-10-29,467.14,479.91,465.76,471.97,14008.0
2015-10-30,470.51,475.03,464.08,465.24,15308.0
2015-11-02,464.97,480.9,460.61,473.01,24142.0
2015-11-03,474.47,479.96,469.52,471.97,17592.0
2015-11-04,473.4,480.9,470.75,474.56,11036.0
2015-11-05,475.95,479.41,465.81,467.93,18828.0
2015-11-06,491.78,491.78,465.16,466.85,12439.0
2015-11-09,465.07,484.86,455.17,478.92,24615.0
2015-11-10,484.86,546.95,484.81,500.14,105202.0
2015-11-11,484.86,546.95,484.81,500.14,105202.0
2015-11-13,512.56,523.64,494.75,512.31,52722.0
2015-11-16,515.04,533.34,501.83,526.36,58981.0
2015-11-17,533.34,534.38,525.47,528.89,21862.0
2015-11-18,523.45,528.29,505.88,509.15,18475.0
2015-11-19,511.18,523.4,479.71,494.8,34744.0
2015-11-20,496.73,509.59,490.0,494.7,23263.0
2015-11-23,490.35,500.69,473.97,478.13,30306.0
2015-11-24,476.94,488.81,458.14,460.96,72928.0
2015-11-26,465.21,489.8,462.1,468.97,53473.0
2015-11-27,474.86,474.86,465.07,468.92,13285.0
2015-11-30,467.34,474.86,465.07,467.04,17738.0
2015-12-01,467.19,472.98,460.12,462.99,17412.0
2015-12-02,464.13,470.01,458.63,464.67,16167.0
2015-12-03,464.13,474.96,461.11,463.93,26905.0
2015-12-04,460.12,470.9,460.12,468.58,13649.0
2015-12-07,467.24,474.81,465.07,466.05,7466.0
2015-12-08,464.08,467.04,457.2,460.66,9678.0
2015-12-09,459.52,466.99,437.61,444.09,17225.0
2015-12-10,440.48,455.17,440.33,451.36,16982.0
2015-12-11,463.09,483.57,458.14,465.21,127020.0
2015-12-14,460.12,472.98,455.81,462.39,18470.0
2015-12-15,464.42,474.96,458.24,473.18,22788.0
2015-12-16,473.03,479.91,460.07,461.4,19241.0
2015-12-17,465.07,472.98,456.16,470.51,13667.0
2015-12-18,466.6,472.98,461.55,463.23,9751.0
2015-12-21,465.02,465.07,457.2,459.47,17642.0
2015-12-22,460.12,518.5,459.52,494.55,266194.0
2015-12-23,499.7,503.66,486.83,490.64,45302.0
2015-12-24,494.5,499.65,484.76,487.68,16592.0
2015-12-28,487.92,489.75,476.25,485.45,14730.0
2015-12-29,489.8,500.69,484.86,492.03,33524.0
2015-12-30,494.7,498.71,488.81,490.84,14937.0
2015-12-31,493.76,499.7,490.99,492.92,12845.0
2016-01-01,497.67,498.26,490.79,492.18,13353.0
2016-01-04,491.29,497.72,486.93,489.11,17005.0
2016-01-05,485.4,499.7,485.35,491.48,11147.0
2016-01-06,490.84,496.53,484.86,485.6,12042.0
2016-01-07,484.86,484.9,461.11,464.92,22479.0
2016-01-08,449.23,472.63,449.23,464.82,16667.0
2016-01-11,461.26,474.86,457.25,466.4,20022.0
2016-01-12,466.6,478.62,448.24,450.52,27485.0
2016-01-13,461.85,461.85,404.71,433.3,63408.0
2016-01-14,431.42,435.33,406.68,423.85,19291.0
2016-01-15,435.38,440.33,406.68,411.14,18637.0
2016-01-18,403.86,413.96,394.86,398.08,37515.0
2016-01-19,404.66,410.05,379.67,388.68,51951.0
2016-01-20,381.01,389.81,351.27,369.48,66232.0
2016-01-21,385.91,387.14,370.86,379.77,27739.0
2016-01-22,393.77,403.62,382.44,399.96,15120.0
2016-01-25,403.86,420.54,398.77,415.1,19847.0
2016-01-27,414.6,420.54,410.0,412.37,20241.0
2016-01-28,410.49,410.49,391.74,399.51,19280.0
2016-01-29,399.31,409.55,388.58,397.04,31416.0
2016-02-01,399.86,433.4,399.81,418.46,24626.0
2016-02-02,423.41,493.76,423.41,446.07,182357.0
2016-02-03,438.25,438.25,417.77,424.35,49420.0
2016-02-04,425.68,474.76,400.75,409.85,208449.0
2016-02-05,409.31,445.28,408.66,429.1,71661.0
2016-02-08,423.51,452.65,423.51,447.35,80974.0
2016-02-09,438.65,445.28,417.67,421.68,46821.0
2016-02-10,420.59,420.59,410.64,411.98,31131.0
2016-02-11,455.27,471.0,386.0,399.96,496818.0
2016-02-12,415.59,425.39,371.76,398.27,279702.0
2016-02-15,407.18,421.92,399.86,412.92,84715.0
2016-02-16,417.57,432.81,402.08,409.26,129046.0
2016-02-17,413.61,420.29,404.71,414.6,72706.0
2016-02-18,418.56,423.51,405.7,407.13,45151.0
2016-02-19,407.13,415.59,405.7,411.24,31472.0
2016-02-22,415.49,417.47,407.67,408.96,40431.0
2016-02-23,412.18,412.18,401.74,402.08,25487.0
2016-02-24,400.75,404.71,390.95,399.41,47860.0
2016-02-25,401.69,407.67,393.82,396.0,25003.0
2016-02-26,401.14,401.74,381.25,384.32,43309.0
2016-02-29,381.5,399.26,377.0,393.28,56508.0
2016-03-01,387.88,411.14,384.07,408.86,30316.0
2016-03-02,413.61,441.81,413.61,427.91,82268.0
2016-03-03,432.41,433.2,419.6,426.33,22016.0
2016-03-04,430.33,458.14,422.71,440.82,75145.0
2016-03-08,445.18,457.1,439.54,442.36,26788.0
2016-03-09,435.38,446.22,435.38,440.38,17650.0
2016-03-10,444.58,449.04,436.37,442.06,9849.0
2016-03-11,442.06,448.19,433.5,435.33,17453.0
2016-03-14,435.38,443.3,401.74,425.73,35603.0
2016-03-15,430.93,431.32,417.67,422.07,16971.0
2016-03-16,425.49,425.49,403.72,417.17,31876.0
2016-03-17,422.52,423.26,413.71,415.54,25513.0
2016-03-18,420.54,420.54,407.67,410.1,24298.0
2016-03-21,413.51,419.0,410.99,416.13,17959.0
2016-03-22,418.21,423.51,408.22,418.31,32179.0
2016-03-23,416.04,439.14,416.04,424.79,29527.0
2016-03-28,425.19,435.99,422.12,423.31,19938.0
2016-03-29,423.16,426.97,409.43,410.87,26355.0
2016-03-30,421.13,425.09,414.24,422.27,150571.0
2016-03-31,423.11,435.74,421.32,424.15,17856.0
2016-04-01,430.89,433.31,419.14,426.68,109106.0
2016-04-04,421.32,430.44,421.32,424.64,4565.0
2016-04-05,421.32,429.05,419.69,427.22,9411.0
2016-04-06,424.54,431.04,422.27,429.4,11899.0
2016-04-07,429.05,436.68,426.08,426.82,11357.0
2016-04-08,424.25,429.8,423.6,426.82,5331.0
2016-04-11,417.16,438.96,417.16,431.23,8961.0
2016-04-12,426.58,440.65,426.58,434.45,11802.0
2016-04-13,473.64,520.21,469.68,513.03,938985.0
2016-04-18,509.32,511.54,476.62,486.82,123838.0
2016-04-20,490.49,491.88,470.67,476.67,29401.0
2016-04-21,475.63,510.21,465.72,478.45,102157.0
2016-04-22,480.63,492.57,480.58,483.45,32008.0
2016-04-25,488.46,488.51,475.63,476.37,16971.0
2016-04-26,481.07,483.55,472.75,474.68,18502.0
2016-04-27,473.2,482.26,473.15,479.49,8882.0
2016-04-28,487.52,487.52,474.63,475.62,15224.0
2016-04-29,476.62,479.49,468.0,470.77,12724.0
2016-05-02,467.75,472.45,463.73,465.52,20071.0
2016-05-03,465.72,475.63,464.23,466.95,7699.0
2016-05-04,467.25,500.4,464.73,485.43,115899.0
2016-05-05,485.83,491.28,473.45,476.17,18228.0
2016-05-06,475.62,480.58,470.67,472.26,9740.0
2016-05-09,475.67,478.6,465.82,471.76,22418.0
2016-05-10,473.59,485.48,471.66,478.6,14201.0
2016-05-11,474.44,476.57,468.19,471.41,12697.0
2016-05-12,494.45,494.45,470.67,473.64,12004.0
2016-05-13,470.77,481.07,470.67,476.17,12026.0
2016-05-16,470.72,472.85,465.82,467.55,23686.0
2016-05-17,475.38,478.6,466.51,474.63,8327.0
2016-05-18,469.88,477.31,465.72,467.7,16787.0
2016-05-19,460.81,473.1,460.76,468.59,15875.0
2016-05-20,469.43,469.48,456.8,457.34,13004.0
2016-05-23,459.82,460.66,446.89,447.83,12561.0
2016-05-24,450.85,453.53,435.1,437.82,26946.0
2016-05-25,439.01,457.79,439.01,446.59,11349.0
2016-05-26,448.87,448.92,431.08,433.96,53237.0
2016-05-27,437.38,441.93,431.68,436.04,57896.0
2016-05-30,439.9,481.57,438.96,460.86,77043.0
2016-05-31,465.72,465.72,437.97,443.62,31057.0
2016-06-01,448.77,463.73,445.85,454.97,24271.0
2016-06-02,454.57,467.7,447.93,457.69,29693.0
2016-06-03,451.84,465.72,451.84,453.03,15080.0
2016-06-06,455.81,462.05,447.98,452.83,36423.0
