,open,high,low,close,volume
2015-05-15,371.56,379.53,364.13,375.97,396747.0
2015-05-18,380.47,390.33,373.84,379.83,17279.0
2015-05-19,385.38,395.68,369.08,386.81,31847.0
2015-05-20,386.77,401.28,380.47,394.74,13540.0
2015-05-21,391.37,410.59,387.51,403.21,18487.0
2015-05-22,401.28,408.22,394.35,400.49,10846.0
2015-05-25,394.94,402.27,388.5,392.17,5813.0
2015-05-26,389.44,401.28,382.46,396.87,55810.0
2015-05-27,391.62,404.25,391.62,396.18,6038.0
2015-05-28,401.18,406.24,391.37,401.97,4532.0
2015-05-29,402.32,405.24,386.42,401.48,22406.0
2015-06-01,405.1,405.1,391.87,402.47,6893.0
2015-06-02,406.98,406.98,389.39,394.05,81874.0
2015-06-03,391.37,400.69,377.55,391.97,9574.0
2015-06-04,392.46,396.33,382.5,390.88,6131.0
2015-06-05,395.34,400.69,387.66,395.29,4385.0
2015-06-08,401.18,401.23,381.56,389.09,5791.0
2015-06-09,386.47,399.3,381.46,392.21,6158.0
2015-06-10,387.46,399.25,387.46,395.04,2909.0
2015-06-11,392.41,396.33,376.61,378.94,11459.0
2015-06-12,378.94,388.2,369.87,381.86,7008.0
2015-06-15,380.03,386.42,371.66,380.97,8111.0
2015-06-16,377.06,379.48,368.14,372.15,9034.0
2015-06-17,369.62,374.53,366.95,370.81,12935.0
2015-06-18,374.03,376.51,367.69,376.16,7965.0
2015-06-19,378.74,385.13,374.53,380.18,4969.0
2015-06-22,377.65,389.39,377.6,386.47,4195.0
2015-06-23,391.32,393.3,381.46,389.84,4299.0
2015-06-24,386.42,393.4,382.41,389.34,3493.0
2015-06-25,386.42,403.21,385.18,390.93,16101.0
2015-06-26,382.6,395.14,382.6,393.26,3658.0
2015-06-29,381.76,396.33,376.56,392.51,5630.0
2015-06-30,391.32,397.22,385.92,394.89,4093.0
2015-07-01,391.62,401.28,379.38,383.15,16681.0
2015-07-02,385.48,389.39,376.51,383.05,7391.0
2015-07-03,382.65,392.36,381.56,385.23,13080.0
2015-07-06,384.93,393.85,377.55,388.95,8698.0
2015-07-07,384.68,395.34,382.5,391.32,6910.0
2015-07-08,389.24,390.38,381.56,386.86,5782.0
2015-07-09,384.49,400.98,383.94,388.35,10326.0
2015-07-10,386.07,394.15,384.44,389.14,27045.0
2015-07-13,390.38,395.83,386.96,395.63,5084.0
2015-07-14,391.37,409.21,380.47,382.26,200943.0
2015-07-15,386.37,386.37,374.53,376.02,48709.0
2015-07-16,381.37,381.37,363.53,372.84,85703.0
2015-07-17,379.43,385.43,375.02,383.94,42719.0
2015-07-20,381.46,386.37,380.57,384.24,11994.0
2015-07-21,385.38,390.08,381.46,383.99,17979.0
2015-07-22,387.12,430.8,384.39,397.74,262896.0
2015-07-23,406.97,421.86,403.4,409.5,106869.0
2015-07-24,406.03,410.99,395.21,398.29,16953.0
2015-07-27,398.29,410.99,386.18,402.31,22627.0
2015-07-28,403.05,404.04,388.16,395.9,13337.0
2015-07-29,395.9,409.01,395.9,404.09,12387.0
2015-07-30,404.14,405.04,392.13,400.12,22751.0
