,open,high,low,close,volume
2015-05-15,11179.57,11768.74,11099.24,11607.11,65851.0
2015-05-18,11587.08,12027.97,11373.99,11591.2,52061.0
2015-05-19,11713.75,11862.02,11346.5,11392.06,42939.0
2015-05-20,11567.44,11577.26,11307.22,11449.8,67457.0
2015-05-21,11468.85,11558.6,11441.26,11477.39,25973.0
2015-05-22,11537.98,11537.98,11342.57,11433.69,31325.0
2015-05-25,11488.88,11734.37,11320.28,11468.75,36410.0
2015-05-26,11562.53,11673.2,11441.26,11575.98,97018.0
2015-05-27,11449.7,11582.95,10924.26,11219.83,56381.0
2015-05-28,11219.83,11291.9,10623.39,10706.36,53513.0
2015-05-29,10826.06,11390.39,10261.44,11131.65,856719.0
2015-06-01,10710.19,11365.16,10710.19,11214.82,62420.0
2015-06-02,11251.74,11371.05,11053.58,11100.71,25724.0
2015-06-03,11007.72,11194.29,10614.94,10675.53,23181.0
2015-06-04,10607.08,11242.7,10556.02,10966.97,25025.0
2015-06-05,10997.9,11193.31,10801.81,11051.62,8742.0
2015-06-08,10998.88,11052.11,10664.23,10792.97,12358.0
2015-06-09,10660.6,10789.63,10605.12,10703.71,2702.0
2015-06-10,10703.81,10720.99,10418.55,10576.25,5270.0
2015-06-11,10473.54,10688.0,10473.54,10591.67,9527.0
2015-06-12,10583.52,10683.68,10261.44,10409.71,4917.0
2015-06-15,10408.73,10453.31,10019.88,10299.93,4783.0
2015-06-16,10196.63,10310.53,10016.93,10043.44,7940.0
2015-06-17,10123.96,10603.16,10069.96,10425.92,14035.0
2015-06-18,10585.48,10790.71,9904.59,10509.58,5626.0
2015-06-19,10389.09,10801.61,10389.09,10667.28,18013.0
2015-06-22,10752.41,10996.92,10605.12,10816.14,13340.0
2015-06-23,10850.81,11145.2,10631.44,10736.51,13254.0
2015-06-24,10747.5,11047.0,10615.43,10725.9,10845.0
2015-06-25,10880.07,11035.22,10703.32,10831.46,11801.0
2015-06-26,10875.16,10997.9,10713.13,10832.54,20807.0
2015-06-29,10727.86,11056.82,10605.12,10922.39,15014.0
2015-06-30,10997.02,11341.49,10948.81,11136.36,21418.0
2015-07-01,11135.38,11331.57,11079.11,11187.13,16623.0
2015-07-02,11242.9,11370.85,10899.71,10947.53,8948.0
2015-07-03,10997.9,11066.74,10664.04,10728.16,11561.0
2015-07-06,10664.04,10984.35,10564.86,10879.28,5949.0
2015-07-07,10948.81,11032.27,10742.6,10784.82,3132.0
2015-07-08,10757.32,11022.45,10708.23,10895.58,7983.0
2015-07-09,10968.45,10996.92,10762.24,10904.91,9846.0
2015-07-10,10968.45,10968.45,10705.28,10773.82,2676.0
2015-07-13,10773.04,11022.45,10773.04,10984.16,3300.0
2015-07-14,10997.9,11039.34,10821.15,10889.99,1391.0
2015-07-15,10948.8,11091.19,10870.25,11041.99,41883.0
2015-07-16,11086.28,11478.96,11063.11,11366.82,11174.0
2015-07-17,11342.57,11583.15,11297.89,11476.31,4100.0
2015-07-20,11476.31,11507.34,11106.9,11203.82,11509.0
2015-07-21,11082.35,11282.67,10899.71,11057.12,8980.0
2015-07-22,11056.82,11095.12,10468.63,10566.24,30031.0
2015-07-23,10772.05,10772.05,10516.75,10675.63,10835.0
2015-07-24,10624.76,10899.61,10605.12,10751.73,7917.0
2015-07-27,10801.51,10802.59,10560.93,10591.08,6229.0
2015-07-28,10727.87,10727.87,10590.39,10607.77,5526.0
2015-07-29,10772.05,10909.53,10607.09,10854.64,10716.0
2015-07-30,10909.53,11027.07,10703.32,10824.39,9003.0
2015-07-31,10665.02,11292.49,10665.02,11215.21,9668.0
2015-08-03,11282.67,11557.62,11161.4,11256.25,4821.0
2015-08-04,11256.16,11466.59,11056.82,11269.91,6116.0
2015-08-05,11269.91,11586.1,11258.12,11422.8,23279.0
2015-08-06,11558.6,11587.08,11243.39,11415.92,10153.0
2015-08-07,11390.69,11391.47,11017.15,11079.7,13269.0
2015-08-10,11195.08,11265.48,10919.35,11029.82,9152.0
2015-08-11,10998.2,11233.38,10879.09,11011.45,3592.0
2015-08-12,11140.29,11140.29,10629.67,10763.41,7028.0
2015-08-13,10977.97,10977.97,10667.48,10801.12,14929.0
2015-08-14,10997.7,10997.7,10675.82,10728.85,3218.0
2015-08-17,10872.8,10899.71,10409.71,10733.56,5408.0
2015-08-18,10692.02,10943.7,10692.02,10821.54,4234.0
2015-08-19,10899.51,11076.46,10770.09,11002.81,3140.0
2015-08-20,10988.87,11194.29,10796.6,10803.77,8614.0
2015-08-21,10725.61,11042.09,10725.61,10877.91,8177.0
2015-08-24,10454.29,10887.24,10413.64,10612.0,23184.0
2015-08-25,10605.12,10967.46,10222.16,10350.6,17188.0
2015-08-26,10600.21,10880.07,10017.91,10153.03,23858.0
2015-08-27,10154.5,10776.96,10154.5,10668.95,15378.0
2015-08-28,10801.51,11047.0,10719.81,10815.75,9926.0
2015-08-31,10898.73,11135.38,10410.2,10585.19,14527.0
2015-09-01,10511.84,10949.79,10511.84,10733.46,9042.0
2015-09-02,10801.51,10973.55,10616.91,10700.86,29514.0
2015-09-03,10850.61,10850.61,10517.73,10680.54,21748.0
2015-09-04,10757.32,10757.32,10413.64,10609.54,17416.0
2015-09-07,10703.32,10772.05,10364.54,10456.06,7138.0
2015-09-08,10506.93,10506.93,10131.13,10257.21,7922.0
2015-09-09,10262.42,10556.02,10262.42,10426.9,16512.0
2015-09-10,10426.9,11091.19,10286.48,11033.06,9933.0
2015-09-11,10901.67,11412.09,10901.67,11276.98,6996.0
2015-09-14,11371.05,11375.96,11191.84,11290.72,9454.0
2015-09-15,11341.59,11459.42,11105.92,11105.92,10649.0
2015-09-16,11292.49,11439.78,11159.93,11290.43,23389.0
2015-09-18,11206.08,12274.45,11206.08,11829.13,23094.0
2015-09-21,11783.47,12323.54,11709.82,11837.77,9324.0
2015-09-22,11837.77,11960.22,11637.35,11722.98,6108.0
2015-09-23,11734.27,11734.27,11151.58,11280.02,8988.0
2015-09-24,11223.75,11289.74,10870.25,10951.75,7367.0
2015-09-28,10997.9,11299.36,10997.9,11124.48,4404.0
2015-09-29,10803.48,11390.59,10605.12,10972.18,12477.0
2015-09-30,10975.91,11756.95,10975.91,11528.16,17922.0
2015-10-01,11528.16,11920.94,11395.79,11800.95,8800.0
2015-10-05,11911.12,12960.83,11832.57,12369.89,24563.0
2015-10-06,12362.82,12884.73,12138.15,12339.25,19469.0
2015-10-07,12351.82,12567.56,12135.3,12263.15,7822.0
2015-10-08,12465.93,12465.93,12148.46,12218.77,5606.0
2015-10-09,12421.74,12421.74,12181.65,12255.59,6135.0
2015-10-12,12203.35,12451.2,12099.86,12180.77,7466.0
2015-10-13,12274.45,12274.45,11837.48,11952.66,9009.0
2015-10-14,12054.0,12068.24,11410.42,11664.46,10249.0
2015-10-15,11703.93,11767.76,11395.69,11467.18,11485.0
2015-10-16,11626.26,11758.92,11558.5,11606.71,5513.0
2015-10-19,11718.37,12254.81,11606.72,12089.15,7747.0
2015-10-20,12078.05,12696.69,12074.13,12620.98,30798.0
2015-10-21,12716.33,12861.16,12475.94,12600.95,9927.0
2015-10-23,12517.48,13118.93,12331.4,12414.08,13310.0
2015-10-26,12657.21,12706.51,12176.25,12508.35,10221.0
2015-10-27,12569.03,12569.03,11818.82,11961.89,15533.0
2015-10-28,12077.96,12421.74,11709.82,11999.69,18679.0
2015-10-29,12097.69,12519.94,11916.03,12350.55,7412.0
2015-10-30,12176.25,12342.1,11944.02,12050.56,6845.0
2015-11-02,12048.6,12195.89,11783.86,12086.89,2762.0
2015-11-03,12211.4,12613.22,12097.69,12495.88,7452.0
2015-11-04,12490.48,12608.31,12104.57,12187.84,4754.0
2015-11-05,12140.85,12208.88,11601.14,11779.47,8134.0
2015-11-06,11796.78,11973.73,11619.82,11796.78,17028.0
2015-11-09,11659.14,11988.47,11501.85,11592.49,10089.0
2015-11-10,11745.56,11747.62,11541.37,11614.32,4147.0
2015-11-11,11745.56,11747.62,11541.37,11614.32,4147.0
2015-11-13,11714.2,11714.2,11034.9,11091.23,24768.0
2015-11-16,11088.97,11290.5,10581.31,10687.39,20150.0
2015-11-17,10715.4,10806.63,10548.28,10628.21,8152.0
2015-11-18,10617.1,10912.02,10572.86,10650.72,12030.0
2015-11-19,10803.59,10803.59,10322.18,10717.96,20349.0
2015-11-20,10666.25,10764.56,10528.62,10713.73,11009.0
2015-11-23,10764.56,10794.05,10569.91,10719.04,9932.0
2015-11-24,10647.08,10988.69,10636.76,10948.19,6493.0
2015-11-26,11107.45,11194.94,10971.0,11107.65,18987.0
2015-11-27,11265.92,11265.92,10973.95,11058.69,16540.0
2015-11-30,11157.78,11157.78,10737.72,11010.32,32564.0
2015-12-01,11048.66,11246.26,10882.52,11163.29,11399.0
2015-12-02,11196.12,11216.77,10971.0,11112.56,4004.0
2015-12-03,11108.63,11206.94,11039.82,11108.93,2455.0
2015-12-04,10961.17,11197.1,10818.13,10956.35,7755.0
2015-12-07,11087.0,11088.97,10926.76,11048.86,3371.0
2015-12-08,11074.22,11074.22,10617.1,10748.04,5811.0
2015-12-09,10802.9,10803.68,10100.99,10379.69,4778.0
2015-12-10,10508.66,10538.45,10125.56,10469.05,19309.0
2015-12-11,10469.64,10735.07,10273.71,10526.36,14685.0
2015-12-14,10617.1,10717.37,10420.48,10673.92,5019.0
2015-12-15,10577.77,10715.4,10528.62,10625.75,4754.0
2015-12-16,10714.42,10714.42,10602.35,10667.23,2475.0
2015-12-17,10604.12,11039.03,10604.12,10977.1,7845.0
2015-12-18,11059.48,11295.41,10622.01,10789.53,17767.0
2015-12-21,10789.53,10872.69,10636.76,10720.51,4620.0
2015-12-22,10725.23,10794.05,10616.21,10696.92,4329.0
2015-12-23,10729.86,10750.01,10681.0,10716.29,7462.0
2015-12-24,10765.44,10794.05,10671.17,10741.16,46062.0
2015-12-28,10764.56,10936.59,10656.42,10844.97,4030.0
2015-12-29,10847.33,11064.39,10800.93,11014.06,2886.0
2015-12-30,11063.21,11197.11,10921.85,11082.97,2867.0
2015-12-31,11018.38,11599.18,11014.84,11304.46,11847.0
2016-01-01,11305.24,11421.24,11069.31,11190.71,2051.0
2016-01-04,11032.15,11246.16,10671.17,10872.0,4498.0
2016-01-05,11027.04,11141.07,10758.66,10935.91,7198.0
2016-01-06,10936.4,11401.48,10813.71,11258.35,9380.0
2016-01-07,11081.5,11142.54,10745.19,10793.07,2766.0
2016-01-08,10973.16,11114.82,10814.69,10964.02,4118.0
2016-01-11,10780.28,11084.05,10627.12,10727.2,5323.0
2016-01-12,10887.44,10961.17,10244.61,10416.65,11068.0
2016-01-13,10617.1,10617.1,10243.53,10361.7,2909.0
2016-01-14,10348.52,10348.52,9919.12,10020.18,23409.0
2016-01-15,10076.41,10125.56,9240.76,9635.41,10273.0
2016-01-18,9597.17,9756.92,9437.42,9539.36,11279.0
2016-01-19,9732.34,9927.97,9546.54,9676.3,12738.0
2016-01-20,9653.69,9683.14,9486.52,9551.95,10403.0
2016-01-21,9608.42,9615.31,9265.19,9363.98,36385.0
2016-01-22,9481.56,9889.63,9289.96,9755.1,24316.0
2016-01-25,9732.34,10096.07,9645.09,9845.39,12714.0
2016-01-27,9836.54,9943.7,9663.53,9796.39,21533.0
2016-01-28,9796.24,10221.9,9537.59,9945.37,16836.0
2016-01-29,10319.23,10615.13,9933.87,10371.13,14335.0
2016-02-01,10518.79,10643.83,10350.68,10500.21,16509.0
2016-02-02,10582.69,10752.76,10028.24,10235.18,22975.0
2016-02-03,10028.24,10118.29,9634.03,9994.82,13185.0
2016-02-04,10117.99,10617.1,10117.99,10361.4,11802.0
2016-02-05,10410.65,10479.47,10125.56,10208.14,4801.0
2016-02-08,10302.52,10371.23,10027.26,10128.71,1980.0
2016-02-09,10125.56,10222.89,9926.0,10130.18,1529.0
2016-02-10,10141.31,10383.42,9871.63,10162.17,4134.0
2016-02-11,10153.31,10505.46,10088.16,10177.23,6613.0
2016-02-12,10176.74,10408.72,9892.3,10325.85,8681.0
2016-02-15,10345.04,10579.28,10159.22,10333.33,11807.0
2016-02-16,10285.0,10462.65,9960.21,10060.9,9957.0
2016-02-17,10109.81,10135.11,9842.11,9915.23,15627.0
2016-02-18,10007.45,11005.93,10007.45,10721.99,18292.0
2016-02-19,10631.44,10998.55,10452.32,10485.68,4658.0
2016-02-22,10487.75,10727.11,10484.8,10630.46,9947.0
2016-02-23,10590.1,10639.32,10241.89,10327.03,2530.0
2016-02-24,10275.16,10374.17,10240.71,10331.06,7181.0
2016-02-25,10325.36,10431.65,10089.14,10331.06,5215.0
2016-02-26,10448.38,10448.38,10137.37,10176.05,3020.0
2016-02-29,10107.84,10235.79,9744.03,9845.75,15874.0
2016-03-01,9920.25,10324.37,9920.25,10242.19,17321.0
2016-03-02,10153.12,10905.05,10153.12,10643.45,8498.0
2016-03-03,10913.62,11170.79,10398.19,11012.33,15025.0
2016-03-04,11070.4,11120.6,10678.69,10881.24,8477.0
2016-03-08,11072.17,11416.84,10679.67,11177.68,32870.0
2016-03-09,11177.68,11253.27,10806.63,10964.3,9427.0
2016-03-10,11062.53,11170.79,10875.53,10957.41,4126.0
2016-03-11,11092.05,11164.89,10924.74,11081.03,11494.0
2016-03-14,10924.74,11411.92,10827.3,11369.6,14312.0
2016-03-15,11288.9,11302.38,11097.76,11139.3,3445.0
2016-03-16,11174.14,11338.11,10983.79,11309.07,33047.0
2016-03-17,11251.44,11592.33,11154.98,11477.15,15310.0
2016-03-18,11532.23,12970.78,11509.27,12081.8,56975.0
2016-03-21,12157.86,12920.43,12040.32,12413.43,34264.0
2016-03-22,12560.62,12611.07,11793.32,12444.36,22178.0
2016-03-23,12414.02,12454.41,12216.97,12313.52,10836.0
2016-03-28,12414.02,12605.94,11932.24,12054.8,7311.0
2016-03-29,12215.99,12215.99,11833.71,11932.63,7169.0
2016-03-30,12128.3,12461.31,11995.78,12017.16,13581.0
2016-03-31,12118.45,12413.82,11665.24,12237.17,39425.0
2016-04-01,12114.8,12216.97,11834.8,12071.65,15423.0
2016-04-04,12010.17,12305.64,11811.84,12257.76,8036.0
2016-04-05,12098.74,12300.62,11827.8,11967.8,4278.0
2016-04-06,11931.35,12300.71,11931.35,12225.34,12701.0
2016-04-07,12225.34,12290.86,12069.18,12142.68,2707.0
2016-04-08,12039.63,12340.12,11971.65,12050.56,11191.0
2016-04-11,12020.91,12315.49,12020.91,12301.5,4532.0
2016-04-12,12216.97,12463.28,12216.97,12315.5,19678.0
2016-04-13,12414.02,12709.59,12247.51,12568.5,10085.0
