,open,high,low,close,volume
2015-05-15,1699.18,1699.18,1637.66,1645.19,4259.0
2015-05-18,1609.58,1703.16,1609.58,1645.38,13750.0
2015-05-19,1645.38,1665.64,1637.66,1656.65,23737.0
2015-05-20,1656.84,1675.09,1640.09,1653.38,6995.0
2015-05-21,1664.75,1672.28,1645.14,1656.28,4116.0
2015-05-22,1665.87,1670.92,1637.66,1648.56,2340.0
2015-05-25,1649.07,1656.37,1637.61,1655.01,1472.0
2015-05-26,1675.98,1675.98,1633.12,1638.92,2384.0
2015-05-27,1632.88,1656.37,1632.88,1650.8,4837.0
2015-05-28,1656.32,1656.42,1599.01,1632.46,35017.0
2015-05-29,1637.47,1644.02,1544.17,1569.81,31947.0
2015-06-01,1558.3,1622.45,1516.94,1585.95,29479.0
2015-06-02,1606.73,1606.73,1535.18,1540.89,17027.0
2015-06-03,1544.12,1563.68,1526.43,1541.88,12015.0
2015-06-04,1534.81,1570.28,1525.83,1532.38,7182.0
2015-06-05,1555.35,1555.35,1525.41,1531.58,6651.0
2015-06-08,1585.25,1585.25,1526.11,1535.47,1831.0
2015-06-09,1520.68,1558.16,1487.97,1516.42,4142.0
2015-06-10,1508.19,1544.08,1488.25,1503.09,23276.0
2015-06-11,1543.14,1543.14,1490.97,1497.57,34419.0
2015-06-12,1515.95,1515.95,1483.25,1497.71,60092.0
2015-06-15,1515.67,1515.67,1489.8,1493.4,132689.0
2015-06-16,1486.06,1497.05,1456.58,1466.82,5350.0
2015-06-17,1492.61,1492.61,1469.16,1477.87,16940.0
2015-06-18,1483.25,1561.86,1478.57,1523.39,5085.0
2015-06-19,1507.81,1544.12,1477.07,1483.25,84041.0
2015-06-22,1483.25,1528.17,1479.5,1499.53,43982.0
2015-06-23,1501.96,1566.53,1501.96,1550.39,4413.0
2015-06-24,1563.77,1590.87,1558.07,1570.79,6314.0
2015-06-25,1525.41,1574.02,1525.36,1568.41,2775.0
2015-06-26,1568.55,1590.87,1525.41,1584.69,6307.0
2015-06-29,1589.51,1626.05,1552.92,1605.6,7618.0
2015-06-30,1610.28,1682.57,1608.65,1639.71,10591.0
2015-07-01,1606.91,1665.68,1606.49,1657.73,11777.0
2015-07-02,1665.12,1677.71,1658.48,1674.62,2079.0
2015-07-03,1651.69,1684.26,1650.48,1683.88,7340.0
2015-07-06,1682.62,1687.25,1673.17,1682.39,15019.0
2015-07-07,1676.68,1684.45,1614.26,1621.79,6280.0
2015-07-08,1618.89,1628.34,1562.79,1570.51,3905.0
2015-07-09,1555.02,1630.54,1516.0,1561.9,12652.0
2015-07-10,1574.11,1600.27,1544.12,1575.99,3143.0
2015-07-13,1579.59,1593.2,1568.64,1579.64,2137.0
2015-07-14,1584.31,1584.31,1563.73,1572.15,1023.0
2015-07-15,1572.06,1598.35,1534.34,1580.1,3560.0
2015-07-16,1574.07,1613.51,1565.65,1578.61,3342.0
2015-07-17,1593.91,1608.32,1574.46,1591.32,2128.0
2015-07-20,1592.27,1605.15,1582.41,1593.45,3962.0
2015-07-21,1592.88,1596.63,1572.94,1573.41,1285.0
2015-07-22,1562.56,1601.36,1554.27,1575.92,5055.0
2015-07-23,1603.21,1603.26,1570.09,1579.0,1402.0
2015-07-24,1554.93,1570.99,1554.84,1559.62,7394.0
2015-07-27,1559.67,1585.16,1520.54,1535.89,35003.0
2015-07-28,1536.46,1562.09,1479.18,1542.85,14367.0
2015-07-29,1564.46,1581.42,1541.0,1565.69,59332.0
2015-07-30,1568.2,1591.89,1568.2,1582.65,12839.0
2015-07-31,1606.67,1662.91,1582.41,1658.17,9361.0
2015-08-03,1664.8,1752.45,1657.27,1740.42,16450.0
2015-08-04,1759.04,1759.04,1669.59,1682.43,21089.0
2015-08-05,1696.02,1724.21,1681.86,1690.57,9862.0
2015-08-06,1706.59,1771.59,1691.38,1753.97,82216.0
2015-08-07,1752.92,1781.4,1706.59,1728.57,20594.0
2015-08-10,1710.33,1776.66,1707.82,1752.64,13519.0
