,open,high,low,close,volume
2015-05-15,1314.14,1319.95,1289.32,1299.09,179051.0
2015-05-18,1301.42,1356.58,1299.09,1349.22,367020.0
2015-05-19,1347.14,1348.98,1308.82,1318.55,246024.0
2015-05-20,1330.3,1359.48,1325.8,1349.27,300854.0
2015-05-21,1338.82,1372.01,1338.82,1350.0,450876.0
2015-05-22,1349.95,1357.5,1320.92,1329.53,218218.0
2015-05-25,1329.63,1331.9,1298.66,1307.9,158595.0
2015-05-26,1305.43,1319.95,1290.0,1309.3,149486.0
2015-05-27,1300.59,1337.37,1292.85,1317.63,270083.0
2015-05-28,1318.01,1349.95,1298.66,1342.35,293950.0
2015-05-29,1344.14,1359.62,1318.01,1324.4,534121.0
2015-06-01,1323.53,1333.74,1312.4,1321.93,125127.0
2015-06-02,1322.85,1342.21,1279.45,1292.42,183922.0
2015-06-03,1298.56,1298.56,1244.56,1280.61,209500.0
2015-06-04,1282.21,1318.01,1268.71,1300.5,220860.0
2015-06-05,1308.82,1329.72,1300.64,1308.24,218176.0
2015-06-08,1308.24,1320.29,1248.34,1259.32,290055.0
2015-06-09,1253.18,1286.42,1247.56,1273.64,217843.0
2015-06-10,1270.3,1306.3,1262.85,1291.4,203853.0
2015-06-11,1303.3,1319.46,1238.08,1253.13,291800.0
2015-06-12,1253.18,1265.42,1239.63,1251.0,171339.0
2015-06-15,1253.18,1278.97,1247.23,1275.82,191685.0
2015-06-16,1272.53,1280.8,1258.02,1273.79,199913.0
2015-06-17,1286.08,1295.76,1270.6,1278.58,306461.0
2015-06-18,1284.53,1327.84,1271.95,1320.09,378605.0
2015-06-19,1331.85,1349.95,1323.04,1327.25,309948.0
2015-06-22,1330.59,1343.75,1306.4,1332.29,305594.0
2015-06-23,1338.72,1361.08,1324.98,1346.75,357247.0
2015-06-24,1349.95,1356.48,1306.59,1314.14,258846.0
2015-06-25,1316.08,1337.37,1311.24,1326.0,324852.0
2015-06-26,1317.34,1345.11,1316.08,1325.32,214871.0
