,open,high,low,close,volume
2015-05-15,16.29,16.39,16.12,16.29,182512.0
2015-05-18,16.22,16.52,16.22,16.39,436821.0
2015-05-19,16.52,16.52,16.19,16.26,242096.0
2015-05-20,16.32,16.66,16.29,16.39,304257.0
2015-05-21,16.59,16.66,16.22,16.56,2881218.0
2015-05-22,16.63,16.63,16.32,16.39,152477.0
2015-05-25,16.39,16.56,16.26,16.29,116627.0
2015-05-26,16.49,16.49,16.22,16.32,250059.0
2015-05-27,16.39,16.46,16.09,16.16,458526.0
2015-05-28,16.39,16.63,16.22,16.42,1124666.0
2015-05-29,16.49,16.63,16.36,16.42,609027.0
2015-06-01,16.42,16.52,15.99,16.32,1293232.0
2015-06-02,16.32,16.86,16.19,16.49,6297377.0
2015-06-03,16.42,16.59,15.99,16.16,808817.0
2015-06-04,16.16,16.32,15.99,16.12,248936.0
2015-06-05,16.12,16.19,15.99,16.09,149012.0
2015-06-08,16.09,16.19,15.96,15.99,149588.0
2015-06-09,16.06,16.42,15.89,16.26,689222.0
2015-06-10,16.26,16.49,16.12,16.16,3015093.0
2015-06-11,16.19,16.29,15.86,15.96,246222.0
2015-06-12,16.06,16.06,15.79,15.86,173140.0
2015-06-15,15.89,16.02,15.82,15.86,157629.0
2015-06-16,15.92,15.92,15.72,15.76,102583.0
2015-06-17,15.89,15.92,15.76,15.86,108882.0
2015-06-18,15.89,16.02,15.82,15.96,124779.0
2015-06-19,16.32,16.32,15.79,15.92,223422.0
2015-06-22,15.92,16.19,15.82,16.06,740826.0
2015-06-23,16.06,16.29,15.99,16.22,671496.0
2015-06-24,16.26,16.39,16.22,16.29,331452.0
2015-06-25,16.19,16.59,16.19,16.39,11494780.0
2015-06-26,16.39,16.49,16.12,16.19,214674.0
2015-06-29,15.86,16.16,15.86,16.02,158703.0
2015-06-30,15.96,16.12,15.86,15.92,655298.0
2015-07-01,15.99,16.12,15.89,15.96,526768.0
2015-07-02,16.02,16.39,15.82,15.99,826158.0
2015-07-03,16.06,16.19,15.99,16.06,237812.0
2015-07-06,16.02,16.22,15.92,16.09,332377.0
2015-07-07,16.26,16.26,15.96,15.99,671765.0
2015-07-08,15.92,16.36,15.69,15.79,1780486.0
2015-07-09,15.96,15.96,15.72,15.82,1084538.0
2015-07-10,15.86,15.99,15.82,15.92,887223.0
2015-07-13,16.12,16.36,15.99,16.06,877521.0
2015-07-14,16.19,16.19,16.02,16.06,194274.0
2015-07-15,16.06,16.12,16.02,16.06,659519.0
2015-07-16,16.09,16.29,16.09,16.26,331922.0
2015-07-17,16.26,16.36,16.19,16.29,196374.0
2015-07-20,16.39,16.39,16.29,16.32,228126.0
2015-07-21,16.39,16.86,16.36,16.66,1387935.0
2015-07-22,16.66,16.83,16.49,16.63,297849.0
2015-07-23,16.73,16.79,16.46,16.73,226289.0
2015-07-24,16.59,16.66,16.52,16.56,222558.0
2015-07-27,16.56,16.63,16.52,16.56,183029.0
2015-07-28,16.66,16.73,16.42,16.49,523009.0
2015-07-29,16.49,16.69,16.49,16.63,246442.0
2015-07-30,16.89,17.43,16.56,16.79,2666647.0
2015-07-31,16.89,17.19,16.63,17.03,1643045.0
2015-08-03,16.83,16.96,16.76,16.89,520012.0
2015-08-04,16.83,17.43,16.76,17.36,1413129.0
2015-08-05,17.46,18.23,17.43,17.9,4279717.0
2015-08-06,17.9,18.3,17.46,17.6,796378.0
2015-08-07,17.53,17.86,17.03,17.23,547689.0
2015-08-10,16.73,17.36,16.73,17.23,289770.0
2015-08-11,17.29,17.39,17.19,17.23,217705.0
2015-08-12,17.19,17.23,16.73,16.86,450031.0
2015-08-13,16.93,17.33,16.76,16.83,364176.0
2015-08-14,16.83,16.93,16.69,16.83,335883.0
2015-08-17,16.79,17.46,16.76,17.13,277072.0
2015-08-18,17.09,17.39,17.03,17.13,223244.0
2015-08-19,17.09,17.16,16.79,16.86,177210.0
2015-08-20,16.86,16.93,16.73,16.79,169696.0
2015-08-21,16.66,16.79,16.49,16.56,225547.0
2015-08-24,16.12,16.56,15.09,15.79,789152.0
2015-08-25,15.55,15.72,15.32,15.49,918007.0
2015-08-26,15.59,15.72,15.39,15.52,219974.0
2015-08-27,15.59,16.06,15.59,15.99,516089.0
2015-08-28,16.06,16.32,15.89,16.02,355383.0
2015-08-31,16.02,16.39,15.66,16.09,339309.0
2015-09-01,15.89,16.29,15.89,16.09,622974.0
2015-09-02,16.06,16.09,15.42,15.72,693858.0
2015-09-03,15.72,16.09,15.72,16.02,818765.0
2015-09-04,16.12,16.12,15.86,16.06,5277208.0
2015-09-07,16.06,16.32,15.89,15.92,175042.0
2015-09-08,16.19,16.19,15.72,15.89,607311.0
2015-09-09,16.19,16.19,15.89,16.06,195383.0
2015-09-10,15.92,16.02,15.82,15.86,201776.0
2015-09-11,15.92,16.46,15.82,16.32,668991.0
2015-09-14,16.41,17.09,16.37,16.88,761643.0
2015-09-15,16.95,17.15,16.81,17.05,372892.0
2015-09-16,17.12,17.29,16.95,17.12,342389.0
2015-09-18,17.05,17.29,16.95,17.05,558244.0
2015-09-21,17.22,17.22,16.95,17.05,224397.0
2015-09-22,17.05,17.12,16.81,16.92,147666.0
2015-09-23,16.92,17.05,16.68,16.88,170965.0
2015-09-24,16.85,17.02,16.81,16.85,127282.0
2015-09-28,16.51,17.09,16.51,16.81,162901.0
2015-09-29,16.0,16.92,16.0,16.81,188216.0
2015-09-30,16.81,17.22,16.78,17.05,442308.0
2015-10-01,17.15,17.36,16.85,17.15,403835.0
2015-10-05,17.05,17.32,17.05,17.22,331494.0
2015-10-06,17.22,17.67,17.19,17.56,259426.0
2015-10-07,17.53,17.87,17.46,17.77,283672.0
2015-10-08,17.9,18.28,17.8,17.87,5774666.0
2015-10-09,17.94,18.11,17.7,17.87,166763.0
2015-10-12,17.9,18.18,17.7,17.87,241309.0
2015-10-13,17.87,18.11,17.84,18.04,229943.0
2015-10-14,18.11,18.21,17.7,17.77,361066.0
2015-10-15,17.7,18.11,17.7,18.01,215486.0
2015-10-16,18.04,18.04,17.87,17.9,154362.0
2015-10-19,18.01,19.5,17.9,19.23,2377245.0
2015-10-20,19.27,19.91,18.79,19.5,1520898.0
2015-10-21,19.54,19.84,19.2,19.27,626029.0
2015-10-23,19.4,19.81,19.23,19.3,488666.0
2015-10-26,19.3,20.35,19.3,19.78,2243948.0
2015-10-27,19.57,20.18,19.5,19.71,752775.0
2015-10-28,19.4,19.95,19.4,19.74,633698.0
2015-10-29,19.74,19.88,19.54,19.57,310512.0
2015-10-30,19.5,19.95,19.33,19.44,595974.0
2015-11-02,19.64,20.22,18.24,18.55,593559.0
2015-11-03,18.69,19.23,18.69,19.13,482178.0
2015-11-04,19.2,19.37,18.82,18.99,233030.0
2015-11-05,18.86,19.91,18.38,18.89,1124563.0
2015-11-06,18.89,18.99,18.38,18.41,450750.0
2015-11-09,17.87,18.96,17.87,18.69,884530.0
2015-11-10,18.96,18.96,18.45,18.52,196765.0
2015-11-11,18.96,18.96,18.45,18.52,196765.0
2015-11-13,18.62,18.89,18.21,18.35,219594.0
2015-11-16,18.52,19.54,18.28,19.06,5261790.0
2015-11-17,19.54,20.59,19.16,19.95,2283217.0
2015-11-18,20.12,20.35,19.27,19.54,654547.0
2015-11-19,19.84,19.98,19.47,19.54,187815.0
2015-11-20,19.67,19.81,19.3,19.44,217999.0
2015-11-23,19.23,19.67,19.13,19.47,178823.0
2015-11-24,19.57,19.57,19.16,19.4,287742.0
2015-11-26,19.57,19.57,19.16,19.37,155058.0
2015-11-27,19.54,19.71,19.13,19.3,170005.0
2015-11-30,19.2,19.54,18.99,19.37,395676.0
