,open,high,low,close,volume
2015-05-15,1319.2,1348.74,1311.68,1326.05,2555.0
2015-05-18,1322.98,1355.06,1316.42,1342.18,3134.0
2015-05-19,1357.64,1357.64,1326.05,1327.58,66958.0
2015-05-20,1336.48,1345.15,1316.47,1338.78,20732.0
2015-05-21,1344.24,1352.09,1323.08,1334.76,59049.0
2015-05-22,1330.98,1349.26,1330.98,1344.52,1044.0
2015-05-25,1347.11,1353.57,1339.21,1346.06,2939.0
2015-05-26,1345.67,1357.64,1335.62,1346.25,2150.0
2015-05-27,1344.05,1365.87,1326.0,1333.03,35986.0
2015-05-28,1330.83,1353.81,1319.34,1347.97,12812.0
2015-05-29,1351.56,1378.8,1330.83,1349.45,12657.0
2015-06-01,1359.56,1412.21,1340.41,1395.7,9255.0
2015-06-02,1395.99,1421.26,1377.99,1381.0,103914.0
2015-06-03,1408.62,1417.0,1375.16,1403.93,7796.0
2015-06-04,1379.81,1410.97,1379.81,1390.34,1885.0
2015-06-05,1378.75,1409.34,1371.43,1394.21,2047.0
2015-06-08,1388.37,1393.07,1359.84,1365.44,4132.0
2015-06-09,1369.13,1370.09,1334.38,1341.03,6536.0
2015-06-10,1349.26,1354.72,1338.49,1345.15,1809.0
2015-06-11,1350.94,1352.95,1321.21,1335.05,8827.0
2015-06-12,1340.12,1340.12,1316.47,1320.97,917.0
2015-06-15,1316.47,1328.92,1310.73,1319.63,828.0
2015-06-16,1312.21,1313.79,1266.92,1287.94,8942.0
2015-06-17,1306.9,1335.62,1278.75,1322.17,7802.0
2015-06-18,1314.94,1344.24,1310.92,1329.68,1127.0
2015-06-19,1321.64,1336.39,1311.68,1321.74,2286.0
2015-06-22,1327.0,1349.93,1323.17,1340.17,2833.0
2015-06-23,1319.34,1359.56,1319.34,1339.78,2568.0
2015-06-24,1345.24,1348.07,1321.26,1341.22,19677.0
2015-06-25,1345.24,1352.61,1317.81,1332.41,3414.0
2015-06-26,1330.83,1347.59,1326.05,1330.11,2512.0
2015-06-29,1326.09,1340.17,1311.68,1327.19,1627.0
2015-06-30,1330.83,1365.3,1324.23,1355.01,4928.0
2015-07-01,1366.88,1369.03,1345.19,1359.46,14709.0
2015-07-02,1344.76,1393.07,1342.37,1361.42,3426.0
2015-07-03,1373.92,1390.48,1354.72,1361.85,1482.0
2015-07-06,1332.75,1366.26,1332.75,1353.95,219662.0
2015-07-07,1379.66,1411.21,1353.95,1399.96,8107.0
2015-07-08,1399.96,1439.98,1332.84,1350.56,28622.0
2015-07-09,1351.9,1366.26,1327.05,1333.99,6763.0
2015-07-10,1339.83,1342.32,1324.13,1328.15,5178.0
2015-07-13,1333.7,1354.24,1330.83,1338.78,11079.0
2015-07-14,1349.02,1376.79,1333.47,1362.91,3071.0
2015-07-15,1373.06,1388.28,1355.73,1383.49,2474.0
2015-07-16,1392.4,1397.85,1365.44,1376.98,3783.0
2015-07-17,1385.65,1394.98,1369.13,1375.64,207316.0
2015-07-20,1375.93,1409.34,1375.88,1398.09,3560.0
2015-07-21,1407.48,1421.79,1383.54,1391.73,5191.0
2015-07-22,1383.49,1383.49,1316.47,1322.36,21147.0
2015-07-23,1326.05,1349.93,1312.64,1315.61,161628.0
2015-07-24,1315.71,1322.26,1267.69,1277.74,110676.0
2015-07-27,1277.74,1281.05,1243.9,1249.5,6713.0
2015-07-28,1268.31,1281.0,1249.64,1254.43,10560.0
2015-07-29,1267.64,1267.64,1245.62,1252.42,23375.0
2015-07-30,1273.34,1273.34,1247.54,1249.59,24908.0
2015-07-31,1268.31,1268.31,1237.0,1239.06,262950.0
2015-08-03,1235.09,1259.03,1235.09,1243.61,40224.0
2015-08-04,1249.45,1282.96,1244.81,1263.33,9419.0
2015-08-05,1260.94,1287.75,1260.94,1274.34,9692.0
2015-08-06,1276.98,1323.27,1273.39,1305.8,16791.0
2015-08-07,1304.98,1319.01,1297.8,1303.4,4267.0
2015-08-10,1304.02,1318.39,1302.16,1307.85,6594.0
2015-08-11,1302.16,1308.19,1261.95,1265.73,4101.0
2015-08-12,1263.86,1273.1,1239.88,1242.7,3191.0
