,open,high,low,close,volume
2015-05-15,634.94,634.94,624.32,626.49,30140.0
2015-05-18,621.64,646.58,621.54,628.03,12255.0
2015-05-19,639.85,639.85,626.18,630.8,53950.0
2015-05-20,627.09,649.18,627.09,637.59,7940.0
2015-05-21,643.81,644.73,634.15,635.67,1815.0
2015-05-22,636.05,649.18,616.16,645.37,223085.0
2015-05-25,649.08,664.21,646.02,657.17,25520.0
2015-05-26,656.79,656.79,640.09,640.3,4300.0
2015-05-27,640.09,656.78,633.61,642.41,368975.0
2015-05-28,640.47,649.37,632.67,647.79,22985.0
2015-05-29,650.03,653.05,637.51,642.72,46710.0
2015-06-01,642.86,666.07,642.86,648.9,5365.0
2015-06-02,645.67,649.58,640.09,640.11,54600.0
2015-06-03,636.37,653.08,627.1,628.71,4155.0
2015-06-04,630.45,636.38,621.74,634.49,252875.0
2015-06-05,640.29,656.79,640.09,649.71,9105.0
2015-06-08,641.01,651.96,636.19,648.88,2125.0
2015-06-09,637.33,654.0,636.57,642.71,8010.0
2015-06-10,637.88,656.23,637.88,650.66,94280.0
2015-06-11,652.22,667.93,647.56,652.05,4615.0
2015-06-12,645.21,658.64,644.54,657.3,201570.0
2015-06-15,655.23,662.54,640.28,660.34,2575.0
2015-06-16,667.92,667.92,646.81,651.27,23260.0
2015-06-17,663.28,677.5,656.32,672.53,23785.0
2015-06-18,677.01,693.9,676.18,684.57,7925.0
2015-06-19,694.44,695.75,684.06,686.18,12700.0
2015-06-22,699.46,707.14,680.23,695.18,7115.0
2015-06-23,708.74,708.74,688.46,698.19,6465.0
2015-06-24,697.61,700.39,688.51,694.52,11635.0
2015-06-25,693.2,693.2,677.94,682.84,2980.0
2015-06-26,682.76,688.34,677.57,683.54,1695.0
2015-06-29,682.76,682.76,666.07,675.1,76335.0
2015-06-30,685.31,690.18,658.83,688.84,8685.0
2015-07-01,694.82,694.82,674.6,680.85,16015.0
2015-07-02,679.26,705.03,672.56,700.18,13010.0
2015-07-03,705.03,705.04,687.42,694.67,7555.0
2015-07-06,682.97,708.18,682.97,706.33,13220.0
2015-07-07,705.02,712.54,701.32,710.35,6920.0
2015-07-08,720.79,720.79,695.94,700.45,56510.0
2015-07-09,704.47,704.47,688.35,702.29,47755.0
2015-07-10,699.88,716.13,695.75,708.8,4185.0
2015-07-13,714.3,723.58,707.82,720.39,17020.0
2015-07-14,725.44,732.86,719.88,731.81,8775.0
2015-07-15,732.86,749.56,731.54,746.78,9370.0
2015-07-16,755.12,797.99,751.95,760.76,14140.0
2015-07-17,760.76,779.25,742.13,747.64,9140.0
2015-07-20,757.16,765.76,725.62,741.89,9765.0
