,open,high,low,close,volume
2015-05-15,19.33,19.61,19.33,19.45,2310786.0
2015-05-18,19.37,19.73,19.33,19.53,2012773.0
2015-05-19,19.41,19.53,19.29,19.33,1212136.0
2015-05-20,19.37,19.61,19.33,19.41,1512532.0
2015-05-21,19.41,19.57,19.25,19.29,1521837.0
2015-05-22,19.25,19.37,19.09,19.17,1045106.0
2015-05-25,19.13,19.21,19.01,19.01,1135853.0
2015-05-26,18.97,19.01,18.85,18.89,1025607.0
2015-05-27,18.77,19.25,18.77,19.13,3328550.0
2015-05-28,19.09,19.49,19.01,19.33,2463213.0
2015-05-29,19.25,19.81,19.25,19.65,6757958.0
2015-06-01,19.57,19.97,19.41,19.53,2818460.0
2015-06-02,19.45,19.57,18.57,18.77,4259198.0
2015-06-03,19.05,19.21,18.17,18.41,5662782.0
2015-06-04,18.45,18.49,17.93,18.41,4742626.0
2015-06-05,18.41,18.69,18.25,18.41,2874389.0
2015-06-08,18.57,18.61,18.21,18.25,2945331.0
2015-06-09,18.25,18.57,18.25,18.45,2344683.0
2015-06-10,18.37,19.01,18.37,18.77,2652335.0
2015-06-11,18.85,18.97,18.45,18.53,2006085.0
2015-06-12,18.49,19.01,18.49,18.85,1685746.0
2015-06-15,18.93,18.97,18.49,18.57,1406408.0
2015-06-16,18.57,18.85,18.53,18.77,1234644.0
2015-06-17,18.77,19.41,18.65,19.21,3044881.0
2015-06-18,19.25,19.33,18.97,19.01,1910626.0
2015-06-19,19.05,19.17,18.73,18.85,2229102.0
2015-06-22,18.89,19.81,18.81,19.41,6459058.0
2015-06-23,19.37,19.73,19.21,19.33,3571266.0
2015-06-24,19.37,19.37,18.65,18.77,3601536.0
2015-06-25,18.61,19.53,18.61,19.45,6225186.0
2015-06-26,19.41,19.49,19.01,19.05,3794651.0
2015-06-29,18.37,18.73,18.29,18.65,4022240.0
2015-06-30,18.57,18.97,18.57,18.89,2349032.0
2015-07-01,18.97,19.25,18.81,19.09,2529691.0
2015-07-02,19.17,19.25,19.05,19.09,1807750.0
2015-07-03,19.09,19.77,19.09,19.49,3211308.0
2015-07-06,19.25,20.65,19.09,20.49,8250105.0
2015-07-07,20.66,20.74,20.05,20.25,5926049.0
2015-07-08,19.88,20.21,19.68,19.76,3553865.0
2015-07-09,19.8,20.13,19.6,19.88,3531618.0
2015-07-10,19.88,20.17,19.72,20.01,4237308.0
2015-07-13,20.01,20.99,19.84,20.83,4709000.0
2015-07-14,20.83,21.03,20.25,20.33,4052555.0
2015-07-15,20.37,21.11,20.25,20.78,10201960.0
2015-07-16,19.68,19.84,19.35,19.72,12510943.0
2015-07-17,19.68,19.92,19.43,19.72,4055624.0
2015-07-20,19.72,19.76,19.51,19.55,3846275.0
2015-07-21,19.47,19.68,19.06,19.14,2703609.0
2015-07-22,19.14,19.55,19.1,19.47,2855402.0
2015-07-23,19.47,19.51,19.14,19.19,3363785.0
2015-07-24,19.19,19.27,18.9,18.94,2628566.0
2015-07-27,18.9,18.98,18.65,18.73,2178448.0
2015-07-28,18.73,19.14,18.57,18.86,3227360.0
2015-07-29,18.86,18.98,18.61,18.86,2647501.0
2015-07-30,18.9,19.1,18.57,18.65,4597323.0
2015-07-31,18.82,19.06,18.65,18.73,3366610.0
2015-08-03,18.73,19.43,18.69,19.27,3865271.0
2015-08-04,19.31,19.51,18.9,19.19,3183303.0
2015-08-05,19.31,19.51,19.23,19.35,4743482.0
2015-08-06,19.31,19.47,19.1,19.19,2705272.0
2015-08-07,19.19,19.27,18.98,19.06,1591809.0
2015-08-10,19.06,19.19,18.86,18.98,3252775.0
2015-08-11,19.02,19.1,18.86,18.94,2400959.0
2015-08-12,18.9,18.98,18.53,18.65,3389324.0
2015-08-13,18.65,18.86,18.49,18.53,3179977.0
2015-08-14,18.61,19.19,18.53,19.02,2605128.0
2015-08-17,19.06,19.27,18.94,19.02,2271508.0
2015-08-18,19.06,19.19,18.69,18.78,1663438.0
2015-08-19,18.78,18.78,18.49,18.61,1419638.0
2015-08-20,18.57,18.73,18.37,18.41,1947966.0
2015-08-21,18.33,18.33,18.04,18.12,5355539.0
2015-08-24,17.83,17.83,15.54,15.95,7360471.0
2015-08-25,16.36,16.77,15.37,16.56,6822716.0
2015-08-26,16.56,16.77,16.19,16.6,5248162.0
2015-08-27,16.73,17.22,16.73,17.1,4040013.0
2015-08-28,17.3,17.42,17.01,17.1,2062515.0
2015-08-31,17.18,17.3,16.56,16.73,2260247.0
2015-09-01,16.56,16.64,15.99,16.07,3013906.0
2015-09-02,16.23,16.36,15.82,15.91,2569098.0
2015-09-03,16.15,16.56,16.07,16.36,2111925.0
2015-09-04,16.32,16.36,15.74,16.15,2171494.0
2015-09-07,16.4,16.69,16.11,16.44,2960042.0
2015-09-08,16.6,17.3,16.4,17.14,3154392.0
2015-09-09,17.3,17.55,17.1,17.22,2398171.0
2015-09-10,16.97,17.26,16.81,17.1,1753299.0
2015-09-11,17.14,17.26,16.56,16.73,1585343.0
2015-09-14,16.69,16.85,16.52,16.81,693846.0
2015-09-15,16.89,17.05,16.32,16.36,2559889.0
2015-09-16,16.48,16.73,16.32,16.48,2177437.0
2015-09-18,16.77,17.51,16.77,17.3,8595185.0
2015-09-21,17.18,17.71,16.93,17.38,4269017.0
2015-09-22,17.46,17.71,17.05,17.18,3907302.0
2015-09-23,16.97,17.51,16.89,17.3,3544708.0
2015-09-24,17.34,20.25,17.22,19.27,22068691.0
2015-09-28,19.23,19.6,18.65,18.86,4444342.0
2015-09-29,18.82,19.1,18.37,18.69,3842887.0
2015-09-30,18.73,19.19,18.49,18.57,3206456.0
2015-10-01,18.69,18.86,18.2,18.33,2261985.0
2015-10-05,18.41,18.65,18.41,18.53,1883406.0
2015-10-06,18.65,18.65,18.24,18.45,5275820.0
2015-10-07,18.57,18.86,18.41,18.57,3803912.0
2015-10-08,18.57,18.73,18.37,18.45,1970836.0
2015-10-09,18.49,18.65,18.08,18.2,3276299.0
2015-10-12,18.28,18.49,18.16,18.41,2948954.0
2015-10-13,18.45,18.57,18.28,18.45,2701244.0
2015-10-14,18.37,18.82,18.33,18.69,3513958.0
