,open,high,low,close,volume
2015-05-15,381.5,392.23,377.18,385.43,887027.0
2015-05-18,386.37,401.72,385.33,396.85,1257348.0
2015-05-19,396.11,408.87,393.92,400.97,991474.0
2015-05-20,403.21,412.59,402.81,405.19,741640.0
2015-05-21,406.14,409.22,398.79,407.13,650886.0
2015-05-22,410.36,421.83,410.36,418.7,1499466.0
2015-05-25,420.64,426.1,415.17,417.11,724109.0
2015-05-26,419.05,419.05,405.24,408.42,411105.0
2015-05-27,404.05,425.11,383.34,422.58,1082482.0
2015-05-28,425.11,426.5,406.24,410.66,469005.0
2015-05-29,412.69,417.86,409.22,411.05,460438.0
2015-06-01,404.25,406.98,393.87,398.24,579646.0
2015-06-02,398.29,402.26,391.93,394.22,501314.0
2015-06-03,395.11,396.2,367.75,380.06,555195.0
2015-06-04,386.67,386.67,362.73,366.11,616359.0
2015-06-05,362.63,386.17,362.63,375.84,1150017.0
2015-06-08,380.31,417.81,379.47,403.55,3065417.0
2015-06-09,406.83,416.57,400.82,404.0,1170966.0
2015-06-10,422.13,435.04,413.19,415.62,2697465.0
2015-06-11,420.14,425.85,392.33,395.56,1256488.0
2015-06-12,394.32,394.32,381.9,388.95,562702.0
2015-06-15,389.35,409.91,386.22,399.88,1307481.0
2015-06-16,402.26,404.0,392.83,398.54,524595.0
2015-06-17,401.67,405.04,394.02,396.2,539658.0
2015-06-18,398.29,406.04,396.4,399.33,631376.0
2015-06-19,402.21,403.85,395.61,398.79,406344.0
2015-06-22,401.67,409.22,399.28,403.21,967175.0
2015-06-23,405.19,411.2,399.98,404.99,622766.0
2015-06-24,405.29,410.21,396.3,399.28,582837.0
2015-06-25,397.3,403.01,397.3,398.59,383654.0
2015-06-26,398.79,399.83,384.63,392.63,417334.0
2015-06-29,384.39,384.39,373.96,379.67,428401.0
2015-06-30,379.52,393.32,379.52,390.39,563296.0
2015-07-01,391.29,400.08,391.29,394.17,420816.0
2015-07-02,396.3,406.73,395.46,400.72,776664.0
2015-07-03,402.96,405.09,390.44,394.96,412081.0
2015-07-06,385.38,401.92,384.14,398.39,614755.0
2015-07-07,401.77,414.58,396.3,408.12,1338056.0
2015-07-08,405.74,410.21,393.37,396.15,783061.0
2015-07-09,399.28,422.03,392.43,417.01,2176864.0
2015-07-10,424.11,429.08,412.79,417.41,1535408.0
2015-07-13,419.05,419.05,409.32,413.44,624084.0
2015-07-14,413.68,413.68,403.26,406.43,499415.0
2015-07-15,408.22,416.96,407.03,411.35,620291.0
2015-07-16,413.49,433.95,411.65,427.94,1797518.0
2015-07-17,437.27,446.91,434.49,439.31,2648943.0
2015-07-20,441.25,442.39,429.18,432.56,636923.0
2015-07-21,407.03,416.81,396.5,405.94,1345304.0
2015-07-22,402.91,418.85,402.91,415.87,651134.0
