,open,high,low,close,volume
2015-05-15,910.7,932.02,905.09,928.73,95396.0
2015-05-18,935.4,954.69,928.15,950.92,59352.0
2015-05-19,950.39,961.9,932.7,943.86,52565.0
2015-05-20,947.49,960.25,947.49,953.68,48559.0
2015-05-21,964.89,981.33,951.41,978.04,94410.0
2015-05-22,984.23,994.86,974.61,981.14,175206.0
2015-05-25,981.14,981.14,955.32,960.49,53787.0
2015-05-26,959.87,966.0,942.66,960.11,89983.0
2015-05-27,951.55,973.59,938.4,964.41,37049.0
2015-05-28,964.84,982.2,957.16,976.88,60537.0
2015-05-29,977.46,1099.96,977.46,1064.52,344784.0
2015-06-01,1078.98,1126.35,1056.79,1101.89,304804.0
2015-06-02,1100.25,1102.18,1042.34,1074.14,109019.0
2015-06-03,1065.44,1100.25,995.83,1018.31,133330.0
2015-06-04,1028.7,1051.81,975.53,1044.66,111773.0
2015-06-05,1044.56,1076.95,1024.84,1045.91,173458.0
2015-06-08,1053.84,1062.54,1000.67,1021.45,99457.0
2015-06-09,1015.17,1042.24,996.89,1014.64,87981.0
2015-06-10,1017.0,1057.66,1009.37,1038.81,96261.0
2015-06-11,1044.17,1050.55,990.22,999.65,101761.0
2015-06-12,995.64,1023.87,974.56,991.14,100498.0
2015-06-15,993.9,1014.3,984.23,989.98,71299.0
2015-06-16,989.98,1010.33,968.76,999.02,86898.0
2015-06-17,1002.74,1037.84,996.85,1005.35,137773.0
2015-06-18,1017.1,1045.14,1010.43,1036.78,166628.0
2015-06-19,1039.34,1058.67,1030.83,1036.2,148416.0
2015-06-22,1037.79,1087.68,1024.93,1078.78,213114.0
2015-06-23,1096.38,1107.02,1078.01,1084.49,296074.0
2015-06-24,1084.78,1102.18,1058.34,1072.36,177979.0
2015-06-25,1047.12,1102.18,1047.12,1086.52,67598.0
2015-06-26,1091.35,1181.51,1087.82,1160.82,866081.0
2015-06-29,1135.83,1195.0,1112.91,1185.76,665567.0
2015-06-30,1193.06,1209.5,1180.49,1191.37,223499.0
2015-07-01,1191.13,1225.94,1184.36,1195.72,290981.0
2015-07-02,1208.53,1232.7,1195.24,1215.78,235873.0
2015-07-03,1218.2,1230.48,1199.98,1210.61,140962.0
2015-07-06,1189.2,1285.78,1187.02,1279.35,478076.0
2015-07-07,1293.57,1311.02,1272.63,1284.82,449632.0
2015-07-08,1267.51,1305.22,1239.81,1257.5,394073.0
2015-07-09,1257.5,1284.91,1254.55,1261.18,182457.0
2015-07-10,1284.91,1284.91,1250.59,1263.26,164260.0
2015-07-13,1263.64,1270.89,1231.74,1263.01,125274.0
2015-07-14,1264.61,1275.49,1252.96,1265.38,185197.0
2015-07-15,1269.44,1292.16,1259.48,1264.51,208095.0
2015-07-16,1273.99,1280.46,1253.35,1260.84,107904.0
2015-07-17,1265.19,1281.0,1258.86,1266.93,130383.0
2015-07-20,1268.48,1309.08,1264.75,1303.47,295338.0
2015-07-21,1311.79,1316.87,1244.84,1257.94,265949.0
2015-07-22,1257.94,1278.14,1257.84,1271.96,100994.0
2015-07-23,1276.21,1276.21,1252.57,1264.9,79407.0
2015-07-24,1269.44,1274.81,1250.49,1255.91,50316.0
2015-07-27,1255.91,1259.97,1228.16,1237.68,95002.0
2015-07-28,1240.34,1281.04,1218.39,1266.98,214763.0
2015-07-29,1271.38,1276.6,1261.71,1267.61,69697.0
2015-07-30,1278.63,1340.99,1265.67,1332.09,442755.0
2015-07-31,1343.89,1376.28,1321.89,1344.52,419171.0
2015-08-03,1324.26,1369.07,1323.49,1339.1,121361.0
2015-08-04,1341.95,1423.56,1325.23,1415.14,460443.0
2015-08-05,1433.8,1449.13,1411.57,1417.22,304473.0
2015-08-06,1425.1,1427.66,1364.97,1396.87,222503.0
2015-08-07,1420.27,1426.07,1362.45,1373.43,359801.0
2015-08-10,1391.94,1397.02,1361.39,1369.46,135373.0
2015-08-11,1380.34,1391.17,1328.52,1344.28,203646.0
2015-08-12,1338.04,1343.89,1258.32,1271.09,173114.0
2015-08-13,1281.96,1294.58,1224.97,1240.78,186734.0
2015-08-14,1254.46,1290.57,1246.53,1274.37,129283.0
2015-08-17,1276.21,1281.82,1242.37,1253.93,98649.0
2015-08-18,1243.34,1334.22,1243.34,1310.92,195313.0
2015-08-19,1338.09,1341.28,1291.68,1302.07,281769.0
2015-08-20,1302.07,1310.44,1247.59,1255.09,177543.0
2015-08-21,1234.3,1252.57,1191.71,1226.66,219792.0
2015-08-24,1166.09,1185.14,1016.38,1039.82,347650.0
2015-08-25,1058.67,1139.74,984.08,1115.72,291460.0
2015-08-26,1116.93,1159.22,1074.39,1137.62,253280.0
2015-08-27,1160.19,1179.53,1139.4,1156.95,150489.0
2015-08-28,1177.68,1203.6,1153.17,1164.43,137233.0
2015-08-31,1175.74,1175.74,1126.22,1144.04,196337.0
2015-09-01,1117.49,1139.82,1098.36,1107.19,156280.0
2015-09-02,1099.23,1115.54,1071.85,1082.49,267244.0
2015-09-03,1094.86,1146.61,1083.51,1121.08,235788.0
2015-09-04,1121.08,1121.08,1043.7,1073.36,279795.0
2015-09-07,1087.39,1092.1,1024.09,1041.76,122358.0
2015-09-08,1038.7,1074.72,1015.11,1064.23,213470.0
2015-09-09,1075.45,1103.17,1064.23,1070.11,142878.0
2015-09-10,1041.27,1081.66,1019.43,1075.4,210444.0
2015-09-11,1106.81,1145.54,1099.04,1116.22,367373.0
2015-09-14,1128.51,1130.11,1093.36,1123.17,172235.0
2015-09-15,1123.17,1138.6,1105.06,1110.98,118730.0
2015-09-16,1121.37,1124.43,1067.0,1088.6,154563.0
2015-09-18,1112.53,1120.79,1088.55,1113.36,244967.0
2015-09-21,1103.51,1125.25,1093.21,1107.29,151585.0
2015-09-22,1111.66,1163.12,1082.53,1093.36,362811.0
2015-09-23,1079.62,1108.41,1056.22,1097.19,130697.0
2015-09-24,1095.54,1116.52,1084.67,1095.54,212144.0
2015-09-28,1095.54,1123.31,1085.25,1089.38,91553.0
2015-09-29,1085.69,1113.6,1072.92,1097.15,111528.0
2015-09-30,1100.98,1112.68,1070.54,1090.88,148964.0
2015-10-01,1106.81,1112.53,1086.95,1096.9,94538.0
2015-10-05,1106.81,1159.19,1105.84,1148.8,246466.0
2015-10-06,1159.91,1173.8,1132.05,1151.76,225088.0
2015-10-07,1136.95,1207.92,1136.95,1200.93,416364.0
2015-10-08,1209.53,1215.93,1181.71,1194.33,269781.0
2015-10-09,1194.33,1211.66,1165.06,1182.1,112289.0
2015-10-12,1184.04,1203.89,1172.39,1190.45,110138.0
2015-10-13,1198.8,1200.98,1177.2,1190.25,55350.0
2015-10-14,1191.76,1239.19,1188.26,1231.71,269160.0
2015-10-15,1236.9,1242.24,1216.08,1229.23,100978.0
2015-10-16,1233.02,1277.49,1218.46,1264.82,159833.0
2015-10-19,1272.1,1298.46,1257.29,1290.21,200248.0
2015-10-20,1291.08,1291.27,1254.91,1270.55,81529.0
2015-10-21,1270.89,1285.79,1253.22,1266.57,90685.0
2015-10-23,1267.97,1281.08,1244.43,1253.75,83017.0
2015-10-26,1256.32,1279.28,1248.56,1260.01,116966.0
2015-10-27,1258.22,1272.92,1215.06,1266.13,65036.0
2015-10-28,1267.0,1338.46,1266.03,1318.22,352769.0
2015-10-29,1327.2,1351.66,1311.86,1319.09,321169.0
2015-10-30,1320.79,1341.27,1269.72,1283.8,121279.0
2015-11-02,1293.46,1300.01,1256.61,1289.24,86589.0
2015-11-03,1290.3,1306.66,1276.66,1296.76,94386.0
2015-11-04,1297.1,1309.43,1281.81,1290.89,72047.0
2015-11-05,1291.08,1294.24,1263.22,1279.38,73864.0
2015-11-06,1277.92,1287.39,1220.89,1254.33,174622.0
2015-11-09,1208.75,1266.42,1195.3,1254.14,96426.0
2015-11-10,1251.47,1261.81,1218.56,1229.14,93424.0
2015-11-11,1251.47,1261.81,1218.56,1229.14,93424.0
2015-11-13,1234.48,1234.48,1122.97,1188.46,276058.0
2015-11-16,1203.85,1234.96,1167.58,1228.26,128150.0
2015-11-17,1240.79,1252.44,1212.39,1247.05,138160.0
2015-11-18,1239.33,1254.38,1191.27,1199.67,132067.0
2015-11-19,1212.44,1237.88,1204.19,1230.79,103442.0
2015-11-20,1229.14,1254.28,1223.41,1239.53,118317.0
2015-11-23,1240.79,1252.83,1212.2,1218.22,86652.0
2015-11-24,1224.28,1234.14,1206.13,1217.83,63707.0
2015-11-26,1230.01,1230.01,1199.14,1208.22,107637.0
2015-11-27,1203.89,1223.36,1195.21,1216.18,91620.0
2015-11-30,1217.78,1242.88,1209.57,1238.56,113498.0
2015-12-01,1237.88,1251.9,1221.13,1227.83,75952.0
2015-12-02,1238.8,1238.8,1180.11,1198.75,100593.0
2015-12-03,1191.32,1216.52,1184.48,1193.65,83874.0
2015-12-04,1184.28,1202.92,1178.94,1192.2,71350.0
2015-12-07,1198.55,1209.67,1174.77,1187.29,66110.0
2015-12-08,1182.54,1195.16,1174.53,1179.23,61775.0
2015-12-09,1176.71,1182.54,1142.49,1156.61,87358.0
2015-12-10,1155.4,1171.9,1133.02,1161.66,121341.0
2015-12-11,1167.0,1175.74,1144.96,1153.99,105015.0
2015-12-14,1138.99,1167.39,1130.74,1140.59,108660.0
2015-12-15,1145.54,1149.53,1112.58,1138.55,136556.0
2015-12-16,1145.59,1165.06,1131.18,1152.24,108631.0
2015-12-17,1160.21,1211.81,1151.27,1206.23,302151.0
2015-12-18,1205.84,1211.66,1180.59,1199.77,146896.0
2015-12-21,1208.75,1222.34,1193.22,1208.17,98608.0
2015-12-22,1210.59,1214.48,1186.52,1202.0,129774.0
2015-12-23,1217.49,1217.49,1190.35,1193.7,89057.0
2015-12-24,1197.58,1215.06,1184.57,1206.95,87838.0
2015-12-28,1213.6,1248.41,1204.87,1238.36,140136.0
2015-12-29,1257.05,1257.05,1233.02,1238.46,107143.0
2015-12-30,1243.7,1247.24,1227.78,1232.58,63042.0
2015-12-31,1240.79,1249.53,1219.04,1227.88,112374.0
2016-01-01,1228.89,1242.58,1222.34,1226.32,41123.0
2016-01-04,1228.94,1243.65,1199.04,1210.79,114036.0
2016-01-05,1215.55,1253.41,1205.84,1244.87,121999.0
2016-01-06,1241.76,1322.34,1235.98,1308.56,705934.0
2016-01-07,1304.87,1304.87,1254.57,1267.29,325460.0
2016-01-08,1267.97,1292.63,1267.97,1279.28,125959.0
2016-01-11,1270.89,1271.61,1228.17,1257.73,74372.0
2016-01-12,1270.89,1295.93,1254.48,1264.62,120090.0
2016-01-13,1274.48,1281.57,1190.35,1224.91,322505.0
2016-01-14,1190.45,1218.46,1185.45,1199.04,148531.0
2016-01-15,1197.1,1212.29,1169.09,1177.88,137870.0
2016-01-18,1175.25,1190.11,1099.33,1108.94,238159.0
2016-01-19,1099.04,1121.37,1074.77,1101.71,152962.0
2016-01-20,1089.33,1097.1,1055.16,1072.49,162181.0
2016-01-21,1081.56,1102.87,1053.51,1082.63,144317.0
2016-01-22,1086.42,1120.64,1084.72,1102.05,145645.0
2016-01-25,1106.81,1131.03,1090.84,1095.2,118804.0
2016-01-27,1101.95,1105.84,1068.99,1078.8,123513.0
2016-01-28,1082.53,1110.64,1054.72,1103.31,349051.0
2016-01-29,1110.69,1139.82,1083.55,1132.58,136017.0
2016-02-01,1132.58,1151.03,1121.37,1130.45,97328.0
2016-02-02,1121.37,1147.58,1109.28,1116.56,90007.0
2016-02-03,1104.86,1109.72,1061.27,1068.55,126437.0
2016-02-04,1071.85,1100.79,1042.0,1058.94,126665.0
2016-02-05,1063.31,1109.72,1049.52,1105.79,164045.0
2016-02-08,1102.92,1128.17,1086.71,1102.83,127036.0
2016-02-09,1099.91,1136.95,1048.55,1125.25,239260.0
2016-02-10,1125.25,1144.96,1096.71,1124.04,209396.0
2016-02-11,1117.49,1128.46,1079.86,1091.56,176734.0
2016-02-12,1091.27,1098.89,1020.2,1062.44,108841.0
2016-02-15,1072.87,1123.44,1072.87,1115.35,197322.0
2016-02-16,1111.94,1125.44,1050.2,1058.1,110363.0
2016-02-17,1061.17,1085.7,1020.64,1072.53,218923.0
2016-02-18,1082.63,1099.84,1054.39,1066.19,82987.0
2016-02-19,1068.0,1098.62,1060.19,1080.63,99483.0
2016-02-22,1083.6,1092.57,1058.83,1064.97,68278.0
2016-02-23,1065.56,1075.75,1044.59,1052.34,119571.0
2016-02-24,1043.61,1048.49,1020.21,1024.89,77666.0
2016-02-25,1034.01,1034.01,997.77,1010.7,314530.0
2016-02-26,1022.74,1040.69,1018.3,1024.84,87664.0
2016-02-29,1030.93,1035.81,1000.26,1030.45,151265.0
2016-03-01,1030.93,1082.53,1024.84,1074.04,86142.0
2016-03-02,1088.67,1105.06,1071.17,1077.85,209621.0
2016-03-03,1082.63,1126.42,1076.34,1119.74,120331.0
2016-03-04,1133.25,1186.21,1129.44,1177.72,233204.0
2016-03-08,1182.11,1189.91,1147.34,1153.53,109064.0
2016-03-09,1147.97,1174.75,1129.49,1166.85,157254.0
