,open,high,low,close,volume
2015-05-15,920.04,952.68,910.52,944.66,751929.0
2015-05-18,943.86,970.06,943.86,962.34,414504.0
2015-05-19,956.21,988.85,953.92,975.66,489727.0
2015-05-20,982.85,997.14,958.06,965.43,435635.0
2015-05-21,969.44,1055.0,943.16,1048.08,2383559.0
2015-05-22,1054.87,1074.24,1028.68,1054.09,2269866.0
2015-05-25,1054.22,1054.92,1024.13,1032.16,494225.0
2015-05-26,1041.78,1079.71,1041.47,1075.87,1252642.0
2015-05-27,1071.72,1100.53,1061.36,1080.55,900469.0
2015-05-28,1084.91,1093.51,1055.0,1076.62,566044.0
2015-05-29,1074.42,1124.7,1067.4,1115.34,834698.0
2015-06-01,1115.21,1115.82,1073.27,1078.34,399601.0
2015-06-02,1080.58,1097.35,1054.12,1060.08,681773.0
2015-06-03,1061.45,1071.85,971.69,1039.57,734158.0
2015-06-04,1058.53,1066.03,1007.24,1039.26,564772.0
2015-06-05,1033.84,1052.5,1025.89,1031.94,415409.0
2015-06-08,1033.71,1033.71,1001.37,1012.8,413937.0
2015-06-09,1008.87,1019.2,979.15,987.75,347461.0
2015-06-10,983.64,1022.54,981.79,1006.44,402612.0
2015-06-11,1013.28,1025.68,965.91,970.64,526374.0
2015-06-12,968.56,987.62,957.1,982.37,322631.0
2015-06-15,979.15,1001.86,978.62,988.05,282454.0
2015-06-16,987.09,1010.02,969.26,998.07,342833.0
2015-06-17,1005.35,1032.91,1003.41,1017.39,542456.0
2015-06-18,994.23,1044.38,966.13,1032.38,961198.0
2015-06-19,1045.04,1062.95,1032.07,1036.39,648474.0
2015-06-22,1037.54,1045.79,1023.34,1031.11,403960.0
2015-06-23,1032.07,1045.31,1022.54,1040.98,403079.0
2015-06-24,1038.25,1052.36,1025.89,1030.97,515725.0
2015-06-25,1030.97,1040.85,1009.8,1014.47,392084.0
2015-06-26,1011.79,1017.08,992.73,995.16,330107.0
2015-06-29,979.15,980.99,947.39,965.87,393521.0
2015-06-30,974.65,987.65,970.37,979.9,279620.0
2015-07-01,984.97,1014.43,980.91,1008.74,464439.0
2015-07-02,1029.42,1033.4,1016.41,1022.46,503742.0
2015-07-03,1016.68,1035.16,1007.37,1016.33,311264.0
2015-07-06,1007.37,1065.72,1002.61,1060.52,824613.0
2015-07-07,1070.44,1074.42,1050.82,1064.05,608377.0
2015-07-08,1049.1,1068.24,1032.95,1048.92,456403.0
2015-07-09,1054.83,1079.7,1048.92,1069.56,528613.0
2015-07-10,1075.3,1083.23,1064.49,1076.62,397690.0
2015-07-13,1082.62,1090.82,1077.15,1079.57,483784.0
2015-07-14,1083.58,1104.41,1080.55,1099.95,351084.0
2015-07-15,1103.35,1111.25,1093.82,1102.65,370569.0
2015-07-16,1104.41,1145.86,1103.53,1142.2,635052.0
2015-07-17,1151.69,1179.39,1146.75,1156.1,871866.0
2015-07-20,1159.98,1168.49,1141.45,1162.31,398931.0
2015-07-21,1162.63,1168.8,1107.72,1118.7,461773.0
2015-07-22,1114.47,1162.05,1112.83,1154.79,429466.0
2015-07-23,1162.49,1166.47,1128.44,1140.6,403235.0
2015-07-24,1138.16,1147.89,1117.83,1130.17,313392.0
2015-07-27,1124.11,1134.67,1101.91,1113.28,401819.0
2015-07-28,1114.34,1134.37,1103.41,1125.47,264450.0
2015-07-29,1125.47,1126.72,1089.22,1102.66,366540.0
2015-07-30,1111.2,1142.5,1101.02,1112.43,897579.0
2015-07-31,1120.83,1140.65,1116.95,1127.16,516143.0
2015-08-03,1131.53,1131.53,1094.84,1100.54,579692.0
2015-08-04,1104.56,1104.56,1072.73,1093.55,944825.0
2015-08-05,1103.59,1139.05,1101.12,1122.69,876441.0
2015-08-06,1122.25,1176.9,1122.16,1170.93,1358323.0
2015-08-07,1176.2,1192.99,1164.08,1177.56,1377381.0
2015-08-10,1178.54,1186.81,1136.4,1157.01,509564.0
2015-08-11,1154.09,1160.67,1128.66,1145.5,389999.0
2015-08-12,1145.5,1145.5,1145.5,1145.5,0.0
2015-08-13,1134.63,1149.67,1125.79,1131.85,259107.0
