,open,high,low,close,volume
2015-05-15,58.64,60.91,57.93,59.92,2276569.0
2015-05-18,60.34,65.88,59.97,62.42,11892960.0
2015-05-19,62.8,72.07,62.8,68.29,15002344.0
2015-05-20,68.67,69.94,66.4,68.67,3305269.0
2015-05-21,68.38,68.86,66.92,67.63,1074032.0
2015-05-22,67.25,68.81,67.2,67.67,1180733.0
2015-05-25,67.44,67.63,65.03,66.54,1111259.0
2015-05-26,66.87,67.06,65.36,66.26,588784.0
2015-05-27,64.98,66.02,63.94,65.64,764224.0
2015-05-28,65.83,67.53,65.17,67.11,1007218.0
2015-05-29,67.72,69.8,67.11,69.38,2059227.0
2015-06-01,69.33,69.52,67.86,68.29,643892.0
2015-06-02,68.19,69.94,67.15,67.3,737905.0
2015-06-03,67.58,68.29,62.52,65.12,934901.0
2015-06-04,64.88,65.83,64.13,65.12,494177.0
2015-06-05,64.79,66.21,64.08,64.98,635353.0
2015-06-08,65.07,65.4,63.56,63.94,268792.0
2015-06-09,63.84,65.4,62.57,63.09,791533.0
2015-06-10,63.37,64.69,63.37,63.7,417057.0
2015-06-11,64.51,64.79,62.28,62.66,375095.0
2015-06-12,62.42,62.8,60.77,61.24,382197.0
2015-06-15,61.29,61.95,59.97,61.53,441898.0
2015-06-16,61.48,61.48,60.25,61.01,253570.0
2015-06-17,61.43,62.33,60.91,61.2,529830.0
2015-06-18,61.57,65.5,61.1,64.74,1126985.0
2015-06-19,64.84,65.45,63.13,64.17,897140.0
2015-06-22,64.74,65.92,64.03,64.74,643129.0
2015-06-23,65.03,67.39,63.84,66.54,1146109.0
2015-06-24,67.15,68.53,65.5,66.16,1169323.0
2015-06-25,65.83,68.34,65.64,67.67,1332195.0
2015-06-26,67.72,70.18,66.02,69.0,1189616.0
2015-06-29,66.21,79.07,65.5,76.33,6091917.0
2015-06-30,78.88,81.25,76.8,79.54,8187818.0
2015-07-01,79.88,81.63,77.89,78.5,3208986.0
2015-07-02,80.02,80.16,77.18,77.75,1900398.0
2015-07-03,78.03,79.45,75.9,76.28,1342498.0
2015-07-06,75.24,80.16,74.15,79.59,2765436.0
2015-07-07,82.38,86.26,81.44,82.19,5093642.0
2015-07-08,81.15,87.87,79.45,86.45,7283279.0
2015-07-09,86.83,88.91,83.28,84.04,3393340.0
2015-07-10,84.65,97.18,84.18,94.82,14852424.0
2015-07-13,95.48,97.7,93.16,95.53,6399938.0
2015-07-14,95.86,96.05,92.27,92.93,2569436.0
2015-07-15,93.64,96.47,93.12,93.92,2607544.0
2015-07-16,94.35,96.29,92.41,94.06,2398493.0
2015-07-17,94.35,99.69,93.73,98.84,6199225.0
2015-07-20,99.31,101.11,97.0,98.13,2684758.0
2015-07-21,98.18,99.74,93.12,94.02,2314922.0
2015-07-22,93.83,97.14,93.64,95.62,1609719.0
2015-07-23,96.53,98.67,89.72,95.67,6485975.0
2015-07-24,94.96,95.91,93.34,94.01,2079855.0
2015-07-27,94.01,94.86,90.58,90.96,1371987.0
2015-07-28,91.34,95.24,89.72,94.34,2611976.0
2015-07-29,94.91,96.1,94.01,95.01,1456359.0
