,open,high,low,close,volume
2015-05-15,95.86,97.85,94.39,95.82,26098.0
2015-05-18,98.68,98.68,93.83,95.35,26523.0
2015-05-19,96.05,100.85,94.52,96.28,56874.0
2015-05-20,96.92,98.77,96.65,97.39,31048.0
2015-05-21,96.46,98.4,95.12,96.65,38358.0
2015-05-22,96.92,97.71,95.08,95.54,27444.0
2015-05-25,97.75,97.75,94.2,94.71,19913.0
2015-05-26,95.59,96.83,94.15,95.17,41101.0
2015-05-27,95.95,100.99,95.08,97.75,66138.0
2015-05-28,94.15,94.99,89.59,91.89,111092.0
2015-05-29,93.23,93.69,88.62,89.95,48441.0
2015-06-01,95.45,95.45,88.57,89.49,37443.0
2015-06-02,89.68,90.37,87.42,88.02,36941.0
2015-06-03,88.57,88.66,81.46,83.72,88936.0
2015-06-04,84.74,85.66,83.12,84.14,28447.0
2015-06-05,84.37,88.62,82.25,85.15,32586.0
2015-06-08,84.92,87.65,83.08,83.22,11771.0
2015-06-09,82.62,84.37,81.23,83.63,10819.0
2015-06-10,85.15,89.86,82.25,88.06,39519.0
2015-06-11,87.6,87.69,84.23,84.78,28542.0
2015-06-12,83.35,86.59,83.35,84.37,20279.0
2015-06-15,85.2,88.34,83.31,84.05,22198.0
2015-06-16,85.2,85.2,82.25,84.09,22620.0
2015-06-17,84.78,87.23,84.14,86.72,35563.0
2015-06-18,86.31,87.69,85.52,86.22,15472.0
2015-06-19,87.23,87.46,85.57,86.17,11431.0
2015-06-22,88.52,90.28,86.95,88.52,36987.0
2015-06-23,88.66,90.92,86.77,89.45,19665.0
2015-06-24,89.26,96.46,88.62,91.75,59303.0
2015-06-25,90.92,93.23,90.65,91.39,11573.0
2015-06-26,90.92,95.54,90.92,92.03,23778.0
2015-06-29,90.46,91.57,87.05,89.54,18578.0
2015-06-30,90.46,91.11,88.66,89.58,10993.0
2015-07-01,90.14,94.06,89.45,91.62,41502.0
2015-07-02,92.26,94.11,90.51,92.4,22090.0
2015-07-03,93.65,93.65,91.48,91.8,10974.0
2015-07-06,91.39,94.15,90.46,93.51,17711.0
2015-07-07,93.74,95.03,92.35,92.91,17815.0
2015-07-08,92.95,93.05,89.54,90.0,26666.0
2015-07-09,88.75,92.68,88.66,91.99,19179.0
2015-07-10,92.54,93.6,91.2,92.54,19408.0
2015-07-13,92.31,96.0,91.66,92.49,27866.0
2015-07-14,92.45,95.26,91.48,92.22,12937.0
2015-07-15,91.39,93.69,91.39,92.35,13925.0
2015-07-16,91.99,95.35,91.94,92.35,20457.0
2015-07-17,92.4,94.99,92.31,93.19,33386.0
2015-07-20,93.23,102.46,93.23,99.65,208932.0
2015-07-21,100.11,101.08,95.63,96.19,58782.0
2015-07-22,96.92,97.75,93.6,96.74,27286.0
2015-07-23,96.05,98.59,94.75,96.09,41898.0
2015-07-24,96.05,105.42,95.12,100.15,312493.0
2015-07-27,100.15,100.62,95.77,97.2,40578.0
2015-07-28,98.17,101.54,97.02,98.54,67439.0
2015-07-29,99.65,102.83,98.08,100.29,116615.0
2015-07-30,101.37,102.64,99.07,99.87,49935.0
2015-07-31,98.98,102.26,98.98,100.39,38626.0
2015-08-03,99.92,102.83,99.87,101.18,63807.0
2015-08-04,101.28,101.98,99.35,99.59,57179.0
2015-08-05,100.39,101.09,98.98,99.64,77206.0
2015-08-06,100.95,107.42,99.68,104.09,155763.0
2015-08-07,104.98,110.47,104.89,107.94,261983.0
2015-08-10,109.3,112.21,107.99,109.35,133344.0
2015-08-11,108.83,111.46,102.26,102.87,115514.0
2015-08-12,104.75,104.75,98.56,98.93,91765.0
2015-08-13,102.26,105.08,96.68,97.85,84198.0
2015-08-14,98.51,106.67,96.92,104.09,154349.0
2015-08-17,105.12,109.53,104.61,107.33,121509.0
2015-08-18,107.33,110.43,106.91,108.41,75803.0
2015-08-19,109.21,114.46,107.19,110.52,191198.0
2015-08-20,111.27,113.15,105.78,107.28,107474.0
2015-08-21,106.06,106.06,101.32,104.66,74500.0
2015-08-24,97.1,99.82,87.2,90.25,116650.0
2015-08-25,90.3,96.35,85.0,93.49,70114.0
2015-08-26,93.82,98.04,89.22,95.27,37487.0
2015-08-27,95.84,98.46,90.49,93.91,64337.0
2015-08-28,95.7,97.38,94.76,95.18,37747.0
2015-08-31,103.67,103.67,97.57,97.9,103020.0
2015-09-01,98.37,98.51,93.07,94.19,34485.0
2015-09-02,96.63,97.24,92.32,93.02,23960.0
2015-09-03,94.8,101.98,94.76,97.38,84272.0
2015-09-04,98.32,98.32,88.85,91.33,169066.0
2015-09-07,95.6,95.6,87.25,88.99,59003.0
2015-09-08,90.25,93.35,87.53,92.37,48130.0
2015-09-09,93.82,94.99,89.36,91.94,71080.0
2015-09-10,91.05,94.34,89.64,93.26,34328.0
2015-09-11,96.49,96.54,91.94,93.02,38726.0
2015-09-14,95.88,97.53,93.87,95.18,44129.0
2015-09-15,95.65,100.39,94.99,96.59,69788.0
2015-09-16,96.12,98.37,94.34,95.79,44867.0
2015-09-18,97.15,98.09,95.7,95.74,21680.0
2015-09-21,95.7,102.92,93.82,100.43,59647.0
2015-09-22,100.71,103.11,96.63,97.34,56348.0
2015-09-23,97.01,102.59,95.27,100.86,49966.0
2015-09-24,100.86,101.28,98.09,98.89,24783.0
2015-09-28,100.25,100.29,94.9,95.74,47343.0
2015-09-29,95.74,98.98,93.91,97.29,26668.0
2015-09-30,97.34,99.12,96.82,97.01,14198.0
2015-10-01,97.81,98.51,95.74,96.31,15410.0
2015-10-05,98.51,100.29,95.41,97.53,79021.0
2015-10-06,98.37,100.29,96.68,98.65,53384.0
2015-10-07,98.32,99.87,97.2,98.32,22365.0
2015-10-08,98.65,98.65,96.73,97.62,16524.0
2015-10-09,99.12,99.45,98.04,99.17,23790.0
2015-10-12,99.26,103.39,98.79,100.11,92895.0
2015-10-13,99.03,100.01,96.63,99.03,23524.0
2015-10-14,97.67,100.2,97.67,98.6,27810.0
2015-10-15,99.45,108.55,98.98,106.48,184644.0
2015-10-16,107.33,124.69,106.34,121.21,1848531.0
2015-10-19,120.56,127.03,118.12,121.92,585357.0
2015-10-20,121.96,123.51,118.21,119.81,211178.0
2015-10-21,119.62,125.72,119.62,122.57,224708.0
2015-10-23,123.84,124.59,117.74,118.68,92375.0
2015-10-26,120.46,123.84,119.62,120.7,96693.0
2015-10-27,120.09,120.56,117.27,117.88,62256.0
2015-10-28,113.71,124.22,113.71,121.59,157379.0
2015-10-29,121.96,122.86,117.37,119.95,50754.0
2015-10-30,120.04,120.84,112.82,115.77,107901.0
2015-11-02,119.53,119.53,109.77,111.41,69957.0
2015-11-03,111.6,115.26,110.99,111.69,47275.0
2015-11-04,112.44,115.21,108.92,109.86,65541.0
2015-11-05,110.0,111.27,106.48,107.24,46128.0
2015-11-06,107.56,110.47,105.08,107.56,55921.0
2015-11-09,105.12,105.5,97.53,103.15,65505.0
2015-11-10,103.15,105.03,100.86,101.79,74271.0
2015-11-11,103.15,105.03,100.86,101.79,74271.0
2015-11-13,102.31,108.46,100.39,103.01,119203.0
2015-11-16,103.2,105.83,101.75,102.69,45878.0
2015-11-17,103.62,104.37,101.79,103.06,44798.0
2015-11-18,103.2,103.72,101.98,102.59,26405.0
2015-11-19,103.58,103.67,101.09,101.42,39139.0
2015-11-20,101.32,110.0,100.39,108.92,498215.0
2015-11-23,109.39,115.4,109.35,111.41,253488.0
2015-11-24,111.64,115.12,110.28,110.66,86554.0
2015-11-26,111.13,112.54,108.41,108.97,35854.0
2015-11-27,109.25,111.64,106.86,107.05,63648.0
2015-11-30,107.33,109.67,106.48,106.95,47112.0
2015-12-01,107.33,111.83,107.33,109.16,71947.0
2015-12-02,109.58,110.24,106.58,107.47,48901.0
2015-12-03,107.33,108.36,105.78,106.16,41279.0
2015-12-04,105.55,107.42,105.17,105.73,55788.0
2015-12-07,106.48,107.52,104.28,104.8,52314.0
2015-12-08,104.51,108.55,100.39,102.92,65177.0
2015-12-09,102.26,103.9,98.65,99.68,53155.0
2015-12-10,100.76,102.26,98.98,100.71,34700.0
2015-12-11,100.76,104.09,98.56,99.82,38357.0
2015-12-14,98.79,100.29,96.68,97.62,48422.0
2015-12-15,97.9,100.34,97.38,99.12,32204.0
2015-12-16,99.45,102.26,98.6,99.78,37211.0
2015-12-17,100.11,103.2,100.11,102.4,46652.0
2015-12-18,101.89,103.2,99.96,101.09,42024.0
2015-12-21,101.32,103.67,101.32,102.12,48979.0
2015-12-22,101.89,106.86,101.89,104.33,134224.0
2015-12-23,104.14,107.85,103.67,104.37,70330.0
2015-12-24,104.8,106.2,103.29,105.78,31735.0
2015-12-28,105.83,108.74,105.78,106.72,57451.0
2015-12-29,105.59,107.24,103.15,103.53,34078.0
2015-12-30,103.76,104.66,102.31,102.87,20385.0
2015-12-31,102.31,105.08,102.31,103.39,20803.0
2016-01-01,103.25,107.89,103.2,107.14,31382.0
2016-01-04,106.02,106.95,103.62,104.42,59433.0
2016-01-05,104.84,106.48,103.67,105.5,29670.0
2016-01-06,105.08,106.91,102.17,102.69,68324.0
2016-01-07,102.26,103.15,98.6,99.35,75966.0
2016-01-08,100.01,103.39,100.01,102.4,79968.0
2016-01-11,101.14,102.97,98.98,101.93,46752.0
2016-01-12,101.84,104.09,100.39,100.67,30525.0
2016-01-13,101.7,103.95,96.16,101.09,99911.0
2016-01-14,98.98,99.73,96.63,97.85,40742.0
2016-01-15,98.42,99.4,91.43,93.26,63278.0
2016-01-18,87.86,93.63,85.84,86.55,77721.0
2016-01-19,88.19,90.96,87.25,89.03,41454.0
2016-01-20,88.19,88.19,83.5,84.39,61762.0
