,open,high,low,close,volume
2015-05-15,1138.46,1163.22,1138.46,1159.42,4119.0
2015-05-18,1167.96,1167.96,1139.36,1147.85,8720.0
2015-05-19,1147.78,1153.02,1136.95,1140.71,12001.0
2015-05-20,1148.56,1175.71,1141.42,1169.54,42088.0
2015-05-21,1166.4,1187.13,1163.3,1176.1,56070.0
2015-05-22,1174.63,1191.0,1165.86,1180.03,18309.0
2015-05-25,1187.36,1188.91,1178.16,1179.67,15493.0
2015-05-26,1179.71,1183.47,1179.6,1181.31,11998.0
2015-05-27,1179.6,1194.18,1179.6,1186.82,38383.0
2015-05-28,1186.58,1189.68,1166.4,1175.17,23518.0
2015-05-29,1171.84,1199.43,1171.79,1188.33,47366.0
2015-06-01,1188.33,1188.33,1140.75,1150.61,25094.0
2015-06-02,1162.79,1164.04,1069.94,1110.41,74870.0
2015-06-03,1101.21,1128.57,1098.31,1119.34,33347.0
2015-06-04,1126.71,1150.77,1122.95,1142.23,72470.0
2015-06-05,1148.21,1164.07,1126.05,1153.45,24367.0
2015-06-08,1127.02,1156.35,1104.87,1117.91,19825.0
2015-06-09,1125.27,1136.14,1110.56,1122.05,35424.0
2015-06-10,1125.27,1144.67,1117.9,1134.0,10261.0
2015-06-11,1167.8,1167.8,1129.16,1134.55,23234.0
2015-06-12,1146.57,1151.81,1127.99,1140.64,9659.0
2015-06-15,1152.43,1152.43,1125.31,1141.45,12421.0
2015-06-16,1140.75,1153.99,1140.75,1152.32,6573.0
2015-06-17,1159.89,1175.72,1154.81,1162.29,31623.0
2015-06-18,1171.79,1233.92,1152.43,1226.71,61277.0
2015-06-19,1210.64,1220.72,1187.36,1191.35,15644.0
2015-06-22,1195.11,1247.08,1167.96,1238.93,126939.0
2015-06-23,1237.76,1245.52,1205.9,1228.22,11074.0
2015-06-24,1241.53,1251.69,1226.19,1240.68,25436.0
2015-06-25,1238.77,1247.89,1218.44,1238.61,14540.0
2015-06-26,1248.62,1248.62,1222.36,1225.46,10196.0
2015-06-29,1188.91,1240.68,1188.91,1207.07,18298.0
2015-06-30,1222.24,1240.68,1200.75,1225.69,17034.0
2015-07-01,1233.03,1237.8,1206.76,1228.61,17656.0
2015-07-02,1227.55,1236.72,1214.87,1234.47,9923.0
2015-07-03,1240.9,1240.9,1218.55,1225.54,5841.0
2015-07-06,1240.9,1248.66,1192.13,1211.26,40691.0
2015-07-07,1238.82,1262.99,1216.44,1248.71,60216.0
2015-07-08,1258.46,1258.46,1217.84,1222.25,13405.0
2015-07-09,1222.25,1253.79,1216.36,1243.29,23259.0
2015-07-10,1246.77,1247.55,1230.71,1242.79,9322.0
2015-07-13,1171.22,1241.27,1171.22,1218.47,17606.0
2015-07-14,1231.87,1251.45,1197.38,1228.72,27206.0
2015-07-15,1234.37,1245.05,1218.7,1225.05,17915.0
2015-07-16,1228.1,1235.03,1219.44,1229.73,25952.0
2015-07-17,1234.53,1240.53,1217.92,1220.92,9187.0
2015-07-20,1226.1,1226.1,1198.43,1204.63,12338.0
2015-07-21,1204.67,1218.66,1179.25,1182.56,9793.0
2015-07-22,1181.27,1199.95,1181.23,1187.36,14499.0
2015-07-23,1188.95,1188.95,1172.19,1180.34,18553.0
