,open,high,low,close,volume
2015-05-15,901.8,925.72,900.68,920.23,2563043.0
2015-05-18,921.25,933.5,917.26,930.53,2137699.0
2015-05-19,930.53,951.44,921.69,930.63,2047194.0
2015-05-20,934.86,942.59,929.61,938.7,2163245.0
2015-05-21,939.43,959.46,935.54,954.16,4649220.0
2015-05-22,951.0,981.05,949.79,976.04,4813876.0
2015-05-25,975.31,982.12,966.08,974.49,2000807.0
2015-05-26,972.35,972.4,954.89,967.39,2570872.0
2015-05-27,968.6,976.29,944.29,948.62,2738544.0
2015-05-28,946.24,951.73,920.42,928.44,7781595.0
2015-05-29,937.83,951.98,933.5,939.43,7065774.0
2015-06-01,890.28,892.47,845.11,853.42,14265602.0
2015-06-02,862.71,863.88,833.2,836.99,7192196.0
2015-06-03,837.82,839.18,817.3,819.15,6496553.0
2015-06-04,811.95,819.24,796.0,808.6,6628714.0
2015-06-05,808.6,836.84,807.09,824.49,4696506.0
2015-06-08,826.54,830.43,802.76,806.65,2678221.0
2015-06-09,801.25,803.64,786.18,788.27,3709907.0
2015-06-10,788.81,807.96,788.81,800.38,4205596.0
2015-06-11,805.14,816.81,793.48,796.93,4107146.0
2015-06-12,801.98,801.98,784.97,791.09,2398615.0
2015-06-15,793.86,824.49,787.79,814.58,3946889.0
2015-06-16,818.56,819.73,809.52,816.91,2221962.0
2015-06-17,823.33,825.52,813.46,820.61,3705966.0
2015-06-18,823.62,838.21,821.67,832.42,3919775.0
2015-06-19,837.23,838.98,819.97,822.6,2333016.0
2015-06-22,827.41,838.21,826.68,833.25,2429207.0
2015-06-23,836.21,842.78,832.37,834.02,1899146.0
2015-06-24,835.29,856.44,835.29,847.05,5168452.0
2015-06-25,846.71,854.15,837.09,842.19,6719110.0
2015-06-26,845.69,849.29,837.23,843.26,2614534.0
2015-06-29,828.48,830.43,813.21,826.1,1794757.0
2015-06-30,831.06,853.08,827.12,850.46,4010634.0
2015-07-01,857.12,861.93,845.6,849.0,2251368.0
2015-07-02,858.43,860.42,843.55,847.05,1914607.0
2015-07-03,850.26,857.36,844.77,846.96,1407939.0
2015-07-06,838.25,856.0,837.72,854.64,1381867.0
2015-07-07,855.22,867.18,850.85,860.91,2556817.0
2015-07-08,858.92,863.97,842.97,847.25,2485149.0
2015-07-09,846.96,860.91,840.34,848.32,2059496.0
2015-07-10,856.68,882.74,854.64,876.66,3549894.0
2015-07-13,884.78,899.95,882.94,890.23,3265149.0
2015-07-14,890.13,896.06,880.55,894.02,1706366.0
2015-07-15,896.06,907.25,889.26,904.09,2417317.0
2015-07-16,908.51,917.46,906.27,915.36,1756860.0
2015-07-17,921.83,930.58,916.58,921.49,2256640.0
2015-07-20,926.55,927.37,918.91,921.83,1378923.0
2015-07-21,829.65,829.65,773.3,783.02,32687596.0
2015-07-22,788.61,813.85,785.79,811.51,10872729.0
