,open,high,low,close,volume
2015-05-15,309.98,310.81,300.53,302.45,479470.0
2015-05-18,303.89,320.82,301.36,315.99,449670.0
2015-05-19,316.95,316.95,303.89,305.37,650425.0
2015-05-20,307.37,311.16,304.76,308.54,345253.0
2015-05-21,308.68,315.6,307.54,313.12,442040.0
2015-05-22,311.72,319.56,309.11,311.46,619077.0
2015-05-25,310.85,318.69,305.28,316.38,354435.0
2015-05-26,317.73,326.31,312.59,323.17,441901.0
2015-05-27,321.43,331.79,317.08,330.7,617802.0
2015-05-28,330.7,338.54,324.78,337.02,783386.0
2015-05-29,337.45,338.54,322.91,330.18,421126.0
2015-06-01,335.23,336.54,314.77,315.99,449446.0
2015-06-02,315.21,318.17,306.76,309.63,380037.0
2015-06-03,305.63,309.24,290.91,304.28,390233.0
2015-06-04,305.37,313.51,282.9,312.94,465552.0
2015-06-05,312.16,316.42,305.63,310.33,481314.0
2015-06-08,279.33,279.33,224.17,242.63,14851790.0
2015-06-09,239.45,258.35,237.1,253.38,4631656.0
2015-06-10,260.35,274.59,251.25,257.13,4062518.0
2015-06-11,257.74,258.52,242.93,250.64,2551222.0
2015-06-12,250.34,256.08,245.55,249.9,2639802.0
2015-06-15,256.0,279.85,255.39,264.49,5056227.0
2015-06-16,265.31,272.15,264.49,270.1,1518303.0
2015-06-17,270.1,274.19,265.7,271.76,1056297.0
2015-06-18,266.58,272.15,266.31,269.49,570246.0
2015-06-19,271.67,297.97,271.67,290.74,4327609.0
2015-06-22,293.79,298.01,282.21,290.09,2004039.0
2015-06-23,278.29,284.51,271.41,280.38,2350764.0
2015-06-24,282.81,282.81,239.58,255.26,11428933.0
2015-06-25,257.74,259.48,249.03,253.25,5369656.0
2015-06-26,254.86,258.61,248.16,251.99,3757835.0
2015-06-29,243.81,248.16,238.15,243.81,3388726.0
2015-06-30,249.12,254.69,235.05,245.98,6176591.0
2015-07-01,245.9,249.68,242.93,243.98,1987771.0
2015-07-02,243.98,251.56,237.71,246.5,3550140.0
2015-07-03,246.29,249.68,244.11,246.11,1294338.0
2015-07-06,240.28,260.78,238.19,250.25,2693767.0
2015-07-07,253.38,255.56,248.29,249.81,1306984.0
2015-07-08,248.16,251.99,241.24,243.11,1088645.0
2015-07-09,242.93,246.77,240.45,242.24,1152247.0
2015-07-10,248.94,255.39,237.8,239.67,3063871.0
2015-07-13,241.19,247.99,239.02,241.76,1814852.0
2015-07-14,243.28,246.11,242.06,242.98,1066556.0
2015-07-15,241.19,241.28,232.31,232.7,3074257.0
2015-07-16,231.18,238.54,231.14,234.97,1872493.0
2015-07-17,235.19,236.84,231.18,233.14,1784305.0
2015-07-20,236.1,237.49,230.18,230.48,1538707.0
2015-07-21,231.44,234.75,228.09,228.48,1379547.0
2015-07-22,231.27,235.1,222.73,224.69,2451626.0
2015-07-23,227.26,242.93,224.65,238.71,4107748.0
2015-07-24,241.54,246.9,236.06,243.54,2450568.0
2015-07-27,256.87,264.62,248.16,254.56,3958563.0
2015-07-28,253.51,255.13,235.14,239.45,2794100.0
2015-07-29,252.51,273.15,241.24,264.4,3828528.0
2015-07-30,266.49,287.12,257.39,269.27,6824893.0
2015-07-31,270.8,301.62,270.1,293.26,10256417.0
2015-08-03,292.57,346.29,292.57,325.65,9421342.0
2015-08-04,326.53,327.92,299.62,307.33,4642925.0
2015-08-05,310.42,323.91,302.14,307.41,4510412.0
2015-08-06,309.11,310.42,300.49,303.71,2115940.0
2015-08-07,301.27,304.76,291.83,293.74,2566991.0
2015-08-10,294.66,305.19,294.66,297.09,3260259.0
2015-08-11,282.99,303.89,277.07,298.14,4466634.0
2015-08-12,299.53,301.36,281.25,284.77,2676248.0
2015-08-13,288.17,294.31,278.98,289.17,1451976.0
2015-08-14,293.44,307.98,283.55,304.93,3088429.0
2015-08-17,308.24,323.83,297.79,316.82,2933508.0
2015-08-18,313.12,318.51,291.7,302.36,3370991.0
2015-08-19,303.63,312.16,296.18,306.76,1846104.0
2015-08-20,300.4,307.37,296.75,300.36,2219812.0
2015-08-21,297.79,301.27,281.25,294.35,2477436.0
2015-08-24,285.6,285.6,255.08,260.0,2151426.0
2015-08-25,264.62,284.56,262.31,280.64,2978969.0
2015-08-26,282.99,288.65,272.28,283.55,1342997.0
2015-08-27,286.47,301.19,285.17,296.4,2339393.0
2015-08-28,302.58,305.58,287.91,291.39,1459445.0
2015-08-31,289.95,300.75,288.52,298.49,2587101.0
2015-09-01,297.75,320.17,293.09,301.49,2273702.0
2015-09-02,304.71,330.4,295.35,323.74,2797661.0
2015-09-03,332.62,336.97,321.3,324.44,1990609.0
2015-09-04,322.13,343.07,311.2,337.54,2435335.0
2015-09-07,339.76,347.42,317.82,321.82,2859787.0
2015-09-08,326.09,333.06,318.34,327.61,1993285.0
2015-09-09,331.71,333.97,319.99,322.78,1567870.0
2015-09-10,315.64,318.34,292.17,299.84,3216026.0
2015-09-11,303.67,306.32,291.87,297.62,3198979.0
2015-09-14,301.06,304.32,294.53,300.01,1798681.0
2015-09-15,298.23,307.15,296.18,298.18,1722883.0
2015-09-16,300.4,303.8,296.75,300.1,1097821.0
2015-09-18,304.32,309.89,298.4,303.06,1497750.0
2015-09-21,304.76,313.46,301.75,309.89,1840418.0
2015-09-22,313.42,323.04,309.11,314.03,2275089.0
2015-09-23,310.85,322.0,304.15,318.65,1161150.0
2015-09-24,325.39,331.31,317.91,327.53,2661504.0
2015-09-28,328.27,328.31,309.11,310.9,1381739.0
2015-09-29,306.5,321.34,303.89,311.68,1528064.0
2015-09-30,315.95,316.9,309.28,312.81,765222.0
2015-10-01,313.46,321.48,309.5,319.08,919106.0
2015-10-05,323.0,323.0,316.16,318.99,789755.0
2015-10-06,320.34,320.34,310.59,311.64,1029053.0
2015-10-07,312.59,313.42,304.89,306.63,935523.0
2015-10-08,307.37,316.51,306.93,310.2,860956.0
2015-10-09,312.33,314.25,305.85,307.02,509796.0
2015-10-12,308.81,315.03,304.8,308.63,524462.0
2015-10-13,309.11,321.3,307.63,318.91,983918.0
2015-10-14,321.61,325.05,311.94,313.68,899237.0
2015-10-15,311.72,322.08,311.03,321.04,961571.0
2015-10-16,321.74,324.78,318.86,321.3,765404.0
2015-10-19,325.65,326.74,322.35,324.13,526579.0
2015-10-20,325.39,330.01,320.17,327.53,568719.0
2015-10-21,327.4,344.59,327.4,335.58,1933556.0
2015-10-23,340.46,342.72,326.79,328.66,1646910.0
2015-10-26,329.14,335.67,327.0,332.49,608563.0
2015-10-27,331.49,337.37,328.53,335.41,592432.0
2015-10-28,337.41,345.38,326.79,331.36,4017948.0
2015-10-29,333.75,334.1,326.09,328.27,1091510.0
2015-10-30,330.27,359.79,322.35,345.55,3590377.0
2015-11-02,348.21,349.16,335.06,336.97,1101360.0
2015-11-03,337.93,341.33,329.66,332.88,1227254.0
2015-11-04,335.23,339.19,332.66,334.36,861249.0
2015-11-05,336.89,345.07,329.31,332.84,2731878.0
2015-11-06,325.65,329.83,312.07,316.82,1252285.0
2015-11-09,313.46,325.61,310.5,324.0,897510.0
2015-11-10,323.91,327.61,319.73,322.82,679411.0
2015-11-11,323.91,327.61,319.73,322.82,679411.0
2015-11-13,328.53,332.45,322.87,327.22,832136.0
2015-11-16,326.35,333.75,324.26,330.53,750958.0
2015-11-17,331.75,336.5,330.05,334.58,1073668.0
2015-11-18,334.62,334.62,323.91,327.05,594057.0
2015-11-19,330.27,333.4,326.96,332.01,439681.0
2015-11-20,332.62,334.8,330.01,331.79,876564.0
2015-11-23,332.23,336.45,330.92,334.62,765339.0
2015-11-24,333.97,335.89,331.53,333.1,636242.0
2015-11-26,332.23,343.24,332.23,339.41,1733104.0
2015-11-27,337.84,345.38,337.84,343.37,840238.0
2015-11-30,341.33,355.22,341.33,351.12,3007741.0
2015-12-01,350.82,352.65,346.73,348.29,1015301.0
2015-12-02,348.95,352.65,344.77,348.21,2157067.0
2015-12-03,347.51,349.16,342.46,344.24,745443.0
2015-12-04,341.33,346.07,338.8,341.41,767853.0
2015-12-07,339.15,345.25,327.96,329.62,1003227.0
2015-12-08,329.62,338.63,327.4,333.53,833901.0
2015-12-09,334.36,336.58,325.79,328.44,1019414.0
2015-12-10,328.27,337.84,324.44,336.93,821998.0
2015-12-11,336.93,337.63,327.31,330.62,800576.0
2015-12-14,333.32,333.8,328.27,330.97,569038.0
2015-12-15,332.62,336.1,328.27,333.49,640418.0
2015-12-16,336.97,341.33,334.41,339.28,1383290.0
2015-12-17,340.72,345.9,339.37,344.29,993929.0
2015-12-18,335.28,347.25,335.28,337.5,790723.0
2015-12-21,337.5,340.76,333.45,335.45,705360.0
2015-12-22,336.8,343.59,334.8,337.58,1095751.0
2015-12-23,339.5,347.38,335.84,342.72,489106.0
2015-12-24,343.98,362.05,342.94,360.4,1731256.0
2015-12-28,362.31,367.89,358.96,363.66,1046231.0
2015-12-29,361.75,363.97,358.09,360.53,447441.0
2015-12-30,361.35,365.1,356.0,360.44,556454.0
2015-12-31,363.97,375.94,362.66,371.28,1641899.0
2016-01-01,371.8,379.9,368.41,375.24,645348.0
2016-01-04,374.42,375.07,360.22,366.75,577750.0
2016-01-05,370.32,372.67,365.4,370.89,597243.0
2016-01-06,371.37,373.46,364.4,367.19,423078.0
2016-01-07,362.84,364.84,350.91,356.78,953740.0
2016-01-08,356.78,372.24,353.56,369.06,719627.0
2016-01-11,348.29,357.44,341.46,354.87,2502129.0
2016-01-12,356.13,362.14,355.7,359.61,804463.0
2016-01-13,363.1,365.75,336.63,351.82,1455388.0
2016-01-14,346.29,350.04,340.02,342.29,1020122.0
2016-01-15,344.81,346.07,325.13,328.96,476749.0
2016-01-18,326.09,329.05,313.9,318.82,624698.0
2016-01-19,318.69,324.57,313.77,321.95,1084457.0
2016-01-20,318.69,320.39,284.03,297.83,2302597.0
2016-01-21,299.53,309.02,299.45,302.71,952909.0
2016-01-22,303.8,310.55,303.23,304.76,741387.0
2016-01-25,308.24,313.38,305.28,309.2,748038.0
2016-01-27,315.21,315.21,299.53,307.37,662794.0
2016-01-28,307.11,314.29,304.76,308.24,1302849.0
2016-01-29,309.15,336.06,308.33,330.18,1635962.0
2016-02-01,334.54,334.54,323.35,327.09,802029.0
2016-02-02,318.25,321.08,307.59,311.46,916991.0
2016-02-03,306.32,319.43,303.45,305.98,827214.0
2016-02-04,309.98,312.38,285.17,294.48,1153104.0
2016-02-05,294.92,307.59,289.78,305.58,526990.0
2016-02-08,305.63,310.42,299.36,303.93,576671.0
2016-02-09,302.62,309.94,299.01,302.58,746515.0
2016-02-10,304.76,306.5,290.87,297.79,1038904.0
2016-02-11,299.62,301.14,280.25,284.51,881187.0
2016-02-12,285.86,291.61,278.98,287.34,1421935.0
2016-02-15,288.65,304.71,287.78,301.36,863372.0
2016-02-16,301.93,306.5,292.57,294.57,822067.0
2016-02-17,298.64,298.64,286.12,291.81,756389.0
2016-02-18,295.93,298.25,287.56,292.42,804270.0
2016-02-19,292.2,294.66,282.7,287.47,789453.0
2016-02-22,288.79,292.38,284.85,288.22,430856.0
2016-02-23,289.62,291.28,284.85,287.34,690714.0
2016-02-24,286.42,288.13,282.04,283.75,806587.0
2016-02-25,282.09,287.56,276.13,277.88,1447990.0
2016-02-26,281.08,282.96,276.79,279.94,543710.0
2016-02-29,276.26,287.08,275.08,280.91,732701.0
2016-03-01,282.04,298.42,281.21,296.1,691294.0
2016-03-02,297.81,313.05,295.62,310.73,1073267.0
2016-03-03,313.58,314.45,302.37,304.51,600544.0
2016-03-04,306.57,310.55,301.31,304.07,590004.0
2016-03-08,307.36,307.36,295.49,297.72,837664.0
2016-03-09,296.93,304.82,296.06,302.58,678807.0
2016-03-10,305.69,305.69,298.03,299.39,418915.0
2016-03-11,299.56,304.82,299.04,301.31,637943.0
2016-03-14,303.24,325.27,303.24,323.12,1952627.0
2016-03-15,321.46,321.5,315.85,318.57,733704.0
2016-03-16,316.2,326.72,315.37,317.74,1125121.0
2016-03-17,320.28,323.74,318.22,320.23,636906.0
2016-03-18,320.23,325.4,319.18,323.82,405613.0
2016-03-21,326.28,328.34,322.75,325.84,495018.0
2016-03-22,325.79,329.46,322.75,326.73,436562.0
2016-03-23,326.78,335.09,325.08,331.2,805852.0
2016-03-28,331.69,337.33,323.82,325.26,646438.0
2016-03-29,324.09,332.94,323.69,327.98,560864.0
2016-03-30,329.86,334.11,328.12,331.69,438252.0
2016-03-31,330.8,340.54,329.01,337.46,1092415.0
2016-04-01,341.08,341.08,333.66,337.64,353922.0
2016-04-04,334.42,339.74,333.88,335.13,286600.0
2016-04-05,334.11,338.4,319.62,321.59,505678.0
2016-04-06,323.2,325.88,317.52,321.5,317082.0
2016-04-07,321.05,323.06,314.62,316.27,299773.0
2016-04-08,315.6,320.47,315.15,318.28,166971.0
2016-04-11,320.07,321.63,313.23,317.57,317882.0
2016-04-12,318.28,326.06,317.83,321.72,754458.0
2016-04-13,321.95,326.86,319.31,320.87,367340.0
2016-04-18,320.83,326.1,312.29,323.07,437880.0
2016-04-20,323.06,325.26,317.39,318.86,324021.0
2016-04-21,322.66,322.66,312.92,315.82,450797.0
2016-04-22,315.33,320.79,313.59,319.49,369556.0
2016-04-25,320.07,322.89,317.43,318.51,313039.0
2016-04-26,318.28,321.81,315.6,318.86,226794.0
2016-04-27,319.27,321.59,317.03,318.68,284333.0
2016-04-28,319.53,321.5,315.29,317.48,408133.0
2016-04-29,317.88,334.55,317.83,332.99,1384338.0
2016-05-02,335.27,337.95,328.38,330.49,587924.0
2016-05-03,332.14,334.91,324.63,325.88,373179.0
2016-05-04,325.88,327.27,312.92,315.06,484755.0
2016-05-05,315.6,320.79,313.1,317.7,394315.0
2016-05-06,317.12,319.4,313.36,314.17,275430.0
2016-05-09,314.71,327.76,314.71,325.3,416500.0
2016-05-10,321.86,327.76,318.46,322.44,338382.0
2016-05-11,318.77,331.69,314.88,330.71,690738.0
2016-05-12,330.35,343.58,326.55,341.35,711909.0
2016-05-13,341.66,355.65,340.77,349.71,1657974.0
2016-05-16,349.62,358.11,349.62,352.3,1006692.0
2016-05-17,363.88,390.52,361.24,387.12,7074966.0
2016-05-18,388.02,388.02,373.18,382.16,2664017.0
2016-05-19,383.55,383.55,329.28,331.69,10755477.0
2016-05-20,327.67,340.19,326.1,335.0,3560086.0
2016-05-23,334.82,339.74,325.88,327.18,1543420.0
2016-05-24,328.47,331.83,320.07,321.72,1128503.0
2016-05-25,326.19,331.42,323.91,330.22,1183114.0
2016-05-26,331.69,339.83,325.7,338.04,1281137.0
2016-05-27,344.3,346.89,338.04,341.8,1128671.0
2016-05-30,346.0,346.0,333.93,338.67,791088.0
2016-05-31,338.04,341.21,331.51,335.22,915344.0
2016-06-01,339.74,339.74,324.0,325.52,1219125.0
2016-06-02,322.75,331.78,318.28,329.9,1280725.0
2016-06-03,331.69,333.08,322.75,324.36,735857.0
2016-06-06,323.65,329.32,322.22,324.32,398505.0
2016-06-07,325.03,325.79,319.89,322.17,459273.0
2016-06-08,320.96,322.17,317.52,320.74,652689.0
2016-06-09,320.96,324.45,318.82,320.34,380680.0
2016-06-10,321.05,335.31,318.86,330.31,1880280.0
2016-06-13,328.56,329.9,323.33,326.24,487652.0
2016-06-14,329.01,335.09,324.99,333.97,1123087.0
2016-06-15,339.52,345.06,334.82,340.19,2268193.0
