,open,high,low,close,volume
2015-05-15,1068.03,1071.36,1032.32,1043.63,36350.0
2015-05-18,1043.63,1070.41,1043.63,1054.84,29194.0
2015-05-19,1061.84,1061.84,1038.54,1046.96,17218.0
2015-05-20,1046.96,1087.74,1046.96,1063.65,91640.0
2015-05-21,1067.72,1076.12,1035.65,1050.17,28584.0
2015-05-22,1064.22,1085.65,1057.58,1067.52,49584.0
2015-05-25,1079.93,1085.65,1057.08,1062.91,35460.0
2015-05-26,1066.17,1118.03,1064.41,1099.57,123678.0
2015-05-27,1104.69,1209.52,1095.65,1193.16,202038.0
2015-05-28,1223.26,1228.97,1119.93,1189.59,149974.0
2015-05-29,1190.4,1221.35,1161.83,1202.02,72776.0
2015-06-01,1201.83,1211.5,1166.59,1190.5,30002.0
2015-06-02,1197.1,1197.54,1104.69,1120.22,54774.0
2015-06-03,1135.36,1162.78,1099.69,1145.5,116544.0
2015-06-04,1161.83,1185.61,1126.57,1145.79,26990.0
2015-06-05,1142.28,1157.1,1112.93,1137.36,20652.0
2015-06-08,1137.01,1139.86,1095.17,1106.15,24098.0
2015-06-09,1102.31,1151.8,1070.89,1120.62,49280.0
2015-06-10,1120.62,1157.07,1109.63,1135.34,24636.0
2015-06-11,1142.31,1148.5,1049.41,1058.32,41494.0
2015-06-12,1066.12,1070.86,991.63,999.37,78402.0
2015-06-15,999.94,1005.18,963.08,975.56,51138.0
2015-06-16,977.56,1003.75,964.23,991.78,52956.0
2015-06-17,1014.7,1090.41,998.65,1064.43,136352.0
2015-06-18,1068.98,1103.5,1011.37,1082.03,48562.0
2015-06-19,1086.79,1099.93,1073.74,1083.95,31130.0
2015-06-22,1094.65,1134.88,1068.98,1120.85,61480.0
2015-06-23,1125.17,1126.12,1099.93,1108.31,22404.0
2015-06-24,1103.26,1121.12,1076.6,1084.19,19258.0
2015-06-25,1080.89,1094.67,1071.95,1078.79,14660.0
2015-06-26,1082.05,1090.27,1053.77,1061.36,15124.0
2015-06-29,1024.81,1045.14,992.32,1001.0,178826.0
2015-06-30,999.51,1033.22,994.22,1009.03,40738.0
2015-07-01,1000.41,1028.87,980.89,1014.89,41614.0
2015-07-02,1021.17,1025.65,994.2,998.44,54496.0
2015-07-03,990.53,1009.94,990.41,995.03,34910.0
2015-07-06,967.2,990.41,945.49,952.35,113198.0
2015-07-07,961.84,961.84,883.28,896.06,271718.0
2015-07-08,904.06,904.71,872.8,880.64,201406.0
2015-07-09,899.94,899.94,824.28,831.0,220948.0
2015-07-10,840.42,874.23,801.21,867.21,197706.0
2015-07-13,882.64,914.23,877.59,908.59,165348.0
2015-07-14,909.94,933.04,907.56,915.99,74750.0
2015-07-15,918.97,930.82,896.85,905.42,62952.0
2015-07-16,905.21,912.92,880.9,890.92,60342.0
2015-07-17,892.35,923.68,892.35,902.54,47646.0
2015-07-20,904.82,911.85,890.44,907.11,41240.0
2015-07-21,905.66,910.87,870.9,876.18,37996.0
2015-07-22,869.37,904.13,852.33,896.85,82632.0
2015-07-23,899.94,912.8,898.28,905.16,58002.0
2015-07-24,904.71,916.11,892.85,899.06,45166.0
2015-07-27,904.71,904.71,880.02,892.37,21740.0
2015-07-28,892.92,902.32,879.95,889.25,63732.0
2015-07-29,889.28,892.64,855.18,857.4,32800.0
2015-07-30,858.16,880.37,828.52,842.16,121264.0
2015-07-31,849.47,854.52,817.43,823.97,83972.0
2015-08-03,819.59,876.09,819.59,851.38,102386.0
2015-08-04,857.07,870.9,841.19,864.78,47120.0
2015-08-05,873.59,923.75,864.97,913.18,103862.0
2015-08-06,920.9,942.8,898.18,909.47,55170.0
2015-08-07,917.09,935.66,900.68,905.92,37640.0
2015-08-10,915.01,927.54,911.37,918.28,28006.0
2015-08-11,925.13,927.09,907.09,911.97,26216.0
2015-08-12,914.06,914.06,857.59,880.66,35242.0
2015-08-13,885.73,1016.54,785.67,980.39,858872.0
2015-08-14,967.08,979.29,880.9,917.78,186514.0
2015-08-17,917.56,985.65,905.32,947.85,165204.0
2015-08-18,952.32,961.82,914.71,918.75,73956.0
2015-08-19,919.11,1091.79,886.14,1074.5,557944.0
2015-08-20,1074.22,1107.07,1000.84,1024.84,252858.0
2015-08-21,986.61,1021.79,959.99,1006.24,85388.0
2015-08-24,957.08,1005.18,880.9,893.73,85418.0
2015-08-25,899.94,923.75,792.81,902.44,89130.0
2015-08-26,904.71,920.42,871.37,901.25,40198.0
2015-08-27,918.35,1080.89,895.66,1057.62,208156.0
2015-08-28,1048.51,1059.76,976.13,991.25,108812.0
2015-08-31,988.99,988.99,952.32,955.63,30488.0
2015-09-01,955.63,980.89,860.47,878.83,121458.0
2015-09-02,890.42,930.89,886.16,907.47,126358.0
2015-09-03,923.59,940.42,912.32,926.28,74058.0
2015-09-04,925.97,930.89,881.59,895.49,41092.0
2015-09-07,890.42,914.23,869.11,877.14,29958.0
2015-09-08,881.49,895.18,830.42,861.73,188732.0
2015-09-09,873.11,887.14,861.85,870.4,30780.0
2015-09-10,864.23,876.14,833.28,851.97,41560.0
2015-09-11,861.38,874.64,852.33,858.71,20148.0
2015-09-14,862.9,880.9,831.81,861.61,25096.0
2015-09-15,861.38,875.66,859.09,862.8,17702.0
2015-09-16,875.18,917.09,852.52,889.14,140668.0
2015-09-18,884.71,914.42,876.42,901.8,49440.0
2015-09-21,885.66,912.32,880.9,899.28,27116.0
2015-09-22,899.94,909.47,873.76,877.59,26684.0
2015-09-23,869.47,901.85,862.21,881.09,26646.0
2015-09-24,881.09,897.56,876.64,882.52,22738.0
2015-09-28,893.28,902.04,863.88,868.97,32948.0
2015-09-29,864.21,891.09,845.19,869.85,30234.0
2015-09-30,870.9,889.02,869.54,875.83,16092.0
2015-10-01,885.59,891.85,858.52,865.21,23996.0
2015-10-05,869.21,914.18,869.21,900.11,73364.0
2015-10-06,897.56,925.51,897.56,904.94,46274.0
2015-10-07,902.23,918.99,898.23,903.44,18740.0
2015-10-08,897.68,908.51,888.54,894.92,13238.0
2015-10-09,901.37,914.23,890.42,901.61,25350.0
2015-10-12,910.63,923.28,881.37,915.28,29482.0
2015-10-13,916.61,918.99,905.18,908.11,23984.0
2015-10-14,914.16,954.67,900.56,939.23,78128.0
2015-10-15,942.84,961.6,926.5,932.73,22866.0
2015-10-16,940.26,946.44,933.7,933.82,14208.0
2015-10-19,930.81,959.19,924.56,952.82,23008.0
2015-10-20,947.65,966.89,947.65,959.6,36346.0
2015-10-21,959.65,972.66,947.69,956.88,41798.0
2015-10-23,976.51,1081.37,954.86,1037.89,743440.0
2015-10-26,1029.42,1044.91,990.94,1017.46,121856.0
2015-10-27,1020.28,1029.42,993.87,997.74,30668.0
2015-10-28,977.57,1002.97,966.89,972.69,25304.0
2015-10-29,972.56,995.72,952.43,959.38,44590.0
2015-10-30,966.24,1009.22,954.86,990.84,125562.0
