,open,high,low,close,volume
2015-05-15,104.58,119.08,104.53,115.2,4566888.0
2015-05-18,115.34,121.5,108.85,116.65,2131851.0
2015-05-19,117.38,123.05,115.88,117.43,834258.0
2015-05-20,118.2,119.85,114.86,116.65,401733.0
2015-05-21,117.33,119.46,113.94,115.0,332905.0
2015-05-22,115.39,115.39,108.6,109.57,288482.0
2015-05-25,109.72,109.72,102.59,103.42,245509.0
2015-05-26,103.66,105.94,100.94,104.73,260780.0
2015-05-27,103.56,108.02,101.19,105.55,391584.0
2015-05-28,106.42,111.22,105.69,106.91,628314.0
2015-05-29,107.59,111.03,106.86,108.46,295962.0
2015-06-01,108.56,114.71,106.91,110.59,589723.0
2015-06-02,110.98,112.48,101.82,102.74,529299.0
2015-06-03,103.76,104.19,93.57,96.05,338265.0
2015-06-04,97.36,100.31,94.16,98.13,348414.0
2015-06-05,97.94,101.82,96.19,97.11,331142.0
2015-06-08,96.92,98.91,94.11,95.76,253087.0
2015-06-09,96.0,97.7,92.22,93.04,164392.0
2015-06-10,93.53,97.84,93.28,96.82,172032.0
2015-06-11,97.84,98.33,88.29,89.4,259267.0
2015-06-12,87.37,93.91,87.37,90.96,243841.0
2015-06-15,91.93,93.96,90.18,92.12,178111.0
2015-06-16,91.88,92.85,89.79,91.34,125982.0
2015-06-17,92.12,96.48,91.05,93.38,334503.0
2015-06-18,93.96,96.77,93.62,94.4,237860.0
2015-06-19,95.46,96.97,94.06,94.69,229466.0
2015-06-22,94.35,97.94,94.35,95.17,193914.0
2015-06-23,96.0,97.94,94.45,96.48,260549.0
2015-06-24,96.87,106.08,95.9,100.36,1844897.0
2015-06-25,100.94,103.27,98.18,99.34,280594.0
2015-06-26,98.47,98.47,95.13,96.19,222228.0
2015-06-29,90.28,94.06,89.26,92.36,218030.0
2015-06-30,92.36,95.46,90.28,92.07,218089.0
2015-07-01,92.22,94.74,92.17,93.57,196273.0
2015-07-02,95.13,103.56,93.28,102.35,2506057.0
2015-07-03,103.08,105.4,98.91,99.44,594696.0
2015-07-06,96.97,100.85,96.19,100.02,320589.0
2015-07-07,100.85,102.93,97.55,99.2,432105.0
2015-07-08,97.65,119.03,97.31,119.03,3728162.0
2015-07-09,124.12,125.77,111.85,113.26,2012461.0
2015-07-10,114.23,126.54,113.36,124.85,2170468.0
2015-07-13,125.72,126.69,119.9,123.92,644919.0
2015-07-14,124.51,134.54,123.29,126.64,1561783.0
2015-07-15,127.32,128.09,121.69,123.29,483430.0
2015-07-16,124.07,127.46,121.26,123.0,519027.0
2015-07-17,122.66,124.12,119.27,120.05,312468.0
2015-07-20,120.24,124.02,118.3,119.51,314627.0
2015-07-21,120.0,125.38,118.69,120.82,480162.0
2015-07-22,120.24,123.88,119.76,122.42,269764.0
2015-07-23,123.1,127.03,121.69,124.41,464666.0
2015-07-24,124.89,131.59,122.66,126.3,799095.0
2015-07-27,125.82,138.91,125.57,132.8,3796607.0
2015-07-28,133.86,135.27,127.37,128.97,612173.0
2015-07-29,129.36,133.14,127.42,129.21,408987.0
2015-07-30,129.89,136.39,129.45,131.15,766048.0
2015-07-31,132.26,144.97,131.88,142.74,1911647.0
2015-08-03,145.45,148.36,140.22,141.14,1321021.0
