,open,high,low,close,volume
2015-05-15,501.24,501.71,487.49,498.6,13531.0
2015-05-18,496.24,508.86,496.2,505.28,22108.0
2015-05-19,508.02,508.6,498.09,501.83,15685.0
2015-05-20,505.03,512.05,500.95,503.94,39237.0
2015-05-21,506.21,506.21,496.91,503.6,7210.0
2015-05-22,506.29,508.86,500.4,502.42,16405.0
2015-05-25,505.49,516.13,500.4,506.92,55917.0
2015-05-26,507.72,507.72,496.32,498.93,14596.0
2015-05-27,496.24,498.05,491.78,494.1,11181.0
2015-05-28,495.36,502.13,493.89,495.36,13569.0
2015-05-29,496.24,517.48,495.02,513.73,103512.0
2015-06-01,517.27,523.15,499.6,502.3,58490.0
2015-06-02,503.64,504.65,494.64,495.65,16408.0
2015-06-03,497.21,501.2,485.35,487.7,33712.0
2015-06-04,489.89,491.19,485.77,487.62,96835.0
2015-06-05,487.83,491.78,485.26,487.16,18374.0
2015-06-08,490.27,491.19,480.76,483.62,10429.0
2015-06-09,482.57,489.51,479.38,486.32,8181.0
2015-06-10,483.41,493.34,481.94,491.28,8638.0
2015-06-11,491.32,494.56,486.15,487.37,8858.0
2015-06-12,488.12,490.73,480.72,482.78,12019.0
2015-06-15,482.78,490.35,482.78,489.85,5557.0
2015-06-16,487.83,492.03,484.25,490.39,3997.0
2015-06-17,492.08,496.03,487.79,493.63,7673.0
2015-06-18,494.31,508.86,492.5,499.18,8662.0
2015-06-19,497.59,526.18,497.59,504.74,60945.0
2015-06-22,528.62,529.88,500.78,504.44,22153.0
2015-06-23,504.65,511.38,500.87,502.51,7980.0
2015-06-24,500.45,508.69,500.45,501.88,11030.0
2015-06-25,500.45,506.46,497.08,498.17,5524.0
2015-06-26,500.45,502.67,492.46,497.54,6418.0
2015-06-29,496.24,496.24,488.67,494.98,7232.0
2015-06-30,496.2,501.71,492.03,495.1,9683.0
2015-07-01,498.76,501.29,496.62,499.06,5722.0
2015-07-02,501.08,502.13,497.08,498.85,7911.0
2015-07-03,496.66,502.97,496.41,498.89,4976.0
2015-07-06,493.72,512.22,492.88,507.17,12253.0
2015-07-07,511.38,514.7,500.45,503.01,11751.0
2015-07-08,498.76,503.47,494.6,496.45,9260.0
2015-07-09,498.38,500.03,494.56,495.82,3898.0
2015-07-10,499.65,500.4,492.03,494.43,7734.0
2015-07-13,494.43,501.29,494.43,499.77,14784.0
2015-07-14,498.76,512.22,493.97,504.69,36264.0
2015-07-15,503.81,508.86,503.81,506.42,9006.0
2015-07-16,505.49,517.69,504.61,509.15,25815.0
2015-07-17,512.52,512.85,505.79,508.06,13645.0
2015-07-20,511.3,513.94,506.84,507.64,11220.0
2015-07-21,508.02,514.66,504.74,505.79,16627.0
2015-07-22,504.78,513.73,504.78,511.13,16632.0
2015-07-23,513.82,523.15,513.27,515.59,33613.0
2015-07-24,516.47,529.04,509.07,511.84,69676.0
2015-07-27,513.9,516.43,506.25,508.48,31863.0
2015-07-28,515.7,515.7,501.99,503.76,19042.0
2015-07-29,507.66,508.87,497.18,499.22,14405.0
2015-07-30,501.94,503.67,494.72,498.27,8771.0
2015-07-31,501.94,504.5,498.53,499.65,6117.0
2015-08-03,501.86,508.0,496.36,500.17,11507.0
2015-08-04,504.28,504.28,497.62,501.04,10913.0
2015-08-05,504.28,531.2,501.94,512.59,80857.0
2015-08-06,512.59,518.39,507.66,514.1,11841.0
2015-08-07,508.48,522.97,508.43,516.22,15739.0
2015-08-10,515.75,520.38,509.82,512.8,10546.0
2015-08-11,507.05,532.23,506.27,509.0,127856.0
2015-08-12,508.91,509.73,490.87,496.54,18946.0
2015-08-13,497.66,505.41,488.05,489.96,11486.0
2015-08-14,489.87,498.27,489.83,493.81,8004.0
2015-08-17,497.53,501.38,485.54,492.64,9951.0
2015-08-18,493.55,508.82,491.13,500.86,58738.0
2015-08-19,503.42,508.0,495.06,497.31,19925.0
2015-08-20,497.62,500.21,486.41,487.71,11473.0
2015-08-21,484.64,494.2,478.23,484.9,16071.0
2015-08-24,475.98,476.85,450.88,455.17,32083.0
2015-08-25,454.43,464.73,433.66,456.08,21870.0
2015-08-26,454.35,460.53,445.73,450.24,11290.0
2015-08-27,458.72,463.82,454.35,458.67,11201.0
2015-08-28,461.36,466.85,452.23,454.09,8877.0
2015-08-31,457.55,496.06,440.93,486.97,35900.0
2015-09-01,484.64,488.01,461.23,465.38,12827.0
2015-09-02,480.27,480.27,454.26,456.9,6989.0
2015-09-03,458.89,467.15,458.89,463.69,4065.0
2015-09-04,466.33,466.33,446.82,453.35,6151.0
2015-09-07,456.51,464.56,446.73,452.31,4843.0
2015-09-08,463.87,463.87,444.78,449.37,13630.0
2015-09-09,458.67,461.49,455.82,457.85,5268.0
2015-09-10,457.81,477.24,450.97,471.05,19188.0
2015-09-11,480.27,480.31,468.41,470.23,7419.0
2015-09-14,482.86,482.86,461.31,474.21,5139.0
2015-09-15,469.58,475.94,459.11,474.9,9531.0
2015-09-16,472.52,474.94,463.91,464.9,6008.0
2015-09-18,463.91,474.68,451.36,454.87,20403.0
2015-09-21,465.9,465.9,452.62,453.7,9817.0
2015-09-22,455.73,460.4,450.02,450.49,6479.0
2015-09-23,452.14,455.73,446.86,453.35,4224.0
2015-09-24,453.48,455.21,450.06,453.44,2841.0
2015-09-28,460.23,463.69,451.19,458.72,12354.0
2015-09-29,455.08,464.17,451.36,460.84,8039.0
2015-09-30,460.19,469.06,460.19,467.2,7724.0
2015-10-01,463.91,474.16,463.0,468.28,10968.0
2015-10-05,467.33,476.98,467.33,471.57,6689.0
2015-10-06,474.99,475.07,410.3,466.2,19698.0
2015-10-07,463.91,468.88,458.72,465.25,3291.0
2015-10-08,467.33,477.58,464.73,466.12,9750.0
2015-10-09,469.01,471.65,467.33,467.54,4626.0
2015-10-12,470.79,471.7,461.27,468.97,5673.0
2015-10-13,467.54,470.79,467.33,468.37,4630.0
2015-10-14,468.5,471.65,464.73,467.41,7115.0
2015-10-15,467.5,470.75,460.71,464.17,4959.0
2015-10-16,466.98,471.65,463.17,464.34,14645.0
2015-10-19,475.94,475.94,470.75,471.91,6533.0
2015-10-20,472.13,487.1,469.36,479.7,32221.0
2015-10-21,478.71,482.04,473.43,480.87,7249.0
2015-10-23,478.23,483.94,475.98,481.65,9920.0
2015-10-26,483.6,488.1,479.36,480.22,5896.0
2015-10-27,480.35,481.22,476.85,478.19,4310.0
2015-10-28,474.73,481.61,474.73,476.8,7793.0
2015-10-29,479.44,482.08,472.78,476.89,3948.0
2015-10-30,477.89,484.64,476.98,478.58,11830.0
2015-11-02,478.58,482.17,469.92,480.44,7848.0
2015-11-03,488.05,488.05,477.89,480.57,4197.0
2015-11-04,478.92,497.36,478.92,480.4,17727.0
2015-11-05,480.35,484.64,473.47,476.67,20851.0
2015-11-06,480.27,482.9,471.83,480.83,16631.0
2015-11-09,469.4,479.88,463.87,477.28,7042.0
2015-11-10,472.69,478.62,469.49,471.44,3572.0
2015-11-11,472.69,478.62,469.49,471.44,3572.0
2015-11-13,481.17,481.17,474.25,477.45,18502.0
2015-11-16,469.53,482.69,469.53,480.4,5552.0
2015-11-17,476.85,482.9,476.85,480.44,5225.0
2015-11-18,480.31,481.82,473.39,479.05,12804.0
2015-11-19,476.02,480.31,475.2,476.07,8855.0
2015-11-20,475.68,479.36,470.83,472.22,5593.0
2015-11-23,474.25,475.89,471.14,471.96,4195.0
2015-11-24,471.96,480.31,469.92,476.33,6697.0
2015-11-26,477.76,481.52,475.46,480.35,10140.0
2015-11-27,479.4,484.64,477.15,480.44,7617.0
2015-11-30,482.04,490.69,477.06,490.69,10980.0
2015-12-01,485.54,489.61,481.39,483.29,4953.0
2015-12-02,484.55,487.66,480.4,483.99,5095.0
2015-12-03,483.03,487.19,480.57,481.22,3960.0
2015-12-04,483.73,486.41,477.71,480.7,8174.0
2015-12-07,481.95,484.68,478.49,480.83,7671.0
2015-12-08,480.31,483.64,478.58,480.22,15378.0
2015-12-09,479.7,482.52,471.87,474.6,21598.0
2015-12-10,475.98,479.83,473.0,477.58,5413.0
2015-12-11,478.36,478.58,469.19,471.14,4475.0
2015-12-14,472.56,475.12,466.46,467.85,7174.0
2015-12-15,470.79,475.98,458.72,474.6,8401.0
2015-12-16,477.15,477.15,471.61,473.13,1818.0
2015-12-17,479.44,479.44,470.79,473.86,9361.0
2015-12-18,473.77,476.41,472.52,473.3,1383.0
2015-12-21,472.52,478.4,468.71,475.29,3223.0
2015-12-22,475.98,480.14,471.74,473.3,8965.0
2015-12-23,479.05,479.05,472.65,473.34,4482.0
2015-12-24,476.41,477.67,469.49,472.0,9894.0
2015-12-28,475.98,476.8,471.74,472.82,8574.0
2015-12-29,477.19,477.19,471.74,473.47,3886.0
2015-12-30,471.78,477.71,468.41,470.66,8285.0
2015-12-31,471.65,473.34,467.33,468.54,4259.0
2016-01-01,472.52,473.47,469.1,471.57,5744.0
2016-01-04,470.79,471.65,463.09,464.73,10240.0
2016-01-05,468.24,472.91,465.68,469.75,9369.0
2016-01-06,472.43,473.39,467.76,469.23,4987.0
2016-01-07,469.1,469.1,456.94,460.27,10661.0
2016-01-08,463.0,465.6,458.72,460.53,4832.0
2016-01-11,458.67,461.27,454.91,456.81,10776.0
2016-01-12,458.67,462.74,455.9,457.5,6136.0
2016-01-13,456.6,460.27,445.69,453.0,12220.0
2016-01-14,450.02,454.43,448.29,449.72,1870.0
2016-01-15,450.11,451.71,438.77,439.85,10031.0
2016-01-18,442.36,442.36,429.16,432.8,5579.0
2016-01-19,437.9,439.63,431.89,435.13,5283.0
2016-01-20,435.13,435.13,422.37,424.62,7548.0
2016-01-21,430.16,436.17,426.74,431.93,24238.0
2016-01-22,434.92,436.6,430.11,434.14,7704.0
2016-01-25,437.86,444.0,435.26,437.3,7093.0
2016-01-27,441.19,441.19,431.41,434.66,4380.0
2016-01-28,438.73,438.73,429.25,432.45,4131.0
2016-01-29,430.16,438.38,429.34,434.18,6047.0
2016-02-01,449.11,449.11,432.71,441.62,5355.0
2016-02-02,442.01,445.69,432.88,434.79,6052.0
2016-02-03,430.16,436.47,429.34,431.33,3689.0
2016-02-04,438.85,438.85,428.34,429.21,4318.0
2016-02-05,430.37,438.77,430.37,432.41,3643.0
2016-02-08,432.71,436.69,428.34,429.47,5602.0
2016-02-09,429.25,432.58,425.79,427.82,4974.0
2016-02-10,431.8,431.8,416.35,418.34,12756.0
2016-02-11,416.4,421.42,407.61,409.34,10684.0
2016-02-12,414.49,414.49,402.51,405.58,7477.0
2016-02-15,402.9,417.96,402.9,417.13,2241.0
2016-02-16,419.73,419.73,412.16,412.98,1953.0
2016-02-17,422.28,422.28,406.75,413.28,2272.0
2016-02-18,411.64,423.75,411.64,414.32,3755.0
2016-02-19,413.5,414.49,406.75,409.78,4308.0
2016-02-22,412.76,414.02,408.57,409.82,2600.0
2016-02-23,411.07,412.98,406.75,406.92,3179.0
2016-02-24,411.94,411.94,403.29,405.06,2799.0
2016-02-25,409.3,409.3,400.69,401.56,10811.0
2016-02-26,402.59,410.64,401.9,405.1,2686.0
2016-02-29,409.6,409.6,390.0,399.18,6291.0
2016-03-01,405.02,411.07,402.51,406.06,7774.0
2016-03-02,414.1,417.95,409.82,413.28,4733.0
2016-03-03,414.54,430.55,411.64,423.71,12071.0
2016-03-04,418.86,424.01,416.27,421.68,4826.0
2016-03-08,427.91,437.04,424.92,429.72,9995.0
2016-03-09,432.8,443.92,425.01,439.76,8210.0
2016-03-10,440.5,445.69,437.9,440.54,7924.0
2016-03-11,444.0,448.29,439.68,443.27,7412.0
2016-03-14,445.69,454.26,445.61,451.79,8066.0
2016-03-15,451.79,455.95,444.83,448.68,17482.0
2016-03-16,445.69,451.75,441.36,448.46,28047.0
2016-03-17,454.55,459.91,440.68,442.82,20289.0
2016-03-18,437.59,447.34,437.59,440.54,6020.0
2016-03-21,444.52,449.18,430.83,434.1,12521.0
2016-03-22,434.1,441.03,431.28,433.21,9370.0
2016-03-23,433.97,438.44,433.97,436.52,4882.0
2016-03-28,440.77,440.77,420.99,422.51,10637.0
2016-03-29,425.02,429.36,416.07,417.55,11752.0
2016-03-30,417.86,427.7,417.86,425.51,11241.0
2016-03-31,425.51,428.6,421.48,422.6,8005.0
2016-04-01,426.4,429.4,422.38,427.7,3591.0
2016-04-04,427.57,441.08,425.51,436.16,10084.0
2016-04-05,438.39,439.65,429.67,431.91,3607.0
2016-04-06,430.43,433.74,428.73,432.53,1734.0
2016-04-07,435.67,435.67,427.75,432.04,3144.0
2016-04-08,435.58,446.49,428.02,442.42,10034.0
2016-04-11,438.71,448.77,438.71,447.07,9305.0
2016-04-12,442.51,451.64,442.51,445.55,5833.0
2016-04-13,450.88,451.68,441.12,444.26,10098.0
2016-04-18,450.43,450.43,435.04,443.99,5247.0
2016-04-20,450.52,451.68,443.76,446.05,13687.0
2016-04-21,447.79,450.7,444.08,446.76,5840.0
2016-04-22,447.16,451.86,446.49,447.75,11712.0
2016-04-25,450.52,450.52,445.64,449.0,3752.0
2016-04-26,447.39,451.86,443.36,451.1,6954.0
2016-04-27,451.1,452.58,448.28,449.04,3161.0
2016-04-28,448.82,450.97,446.49,447.39,6514.0
2016-04-29,447.39,451.68,445.55,446.81,3566.0
2016-05-02,447.39,447.39,440.23,444.7,2548.0
2016-05-03,447.39,450.79,442.91,446.36,2810.0
2016-05-04,448.15,448.15,442.91,446.36,3510.0
2016-05-05,444.7,447.3,442.02,442.91,2557.0
2016-05-06,438.44,446.9,438.44,442.2,2522.0
2016-05-09,438.44,447.39,438.44,443.36,4384.0
2016-05-10,444.66,446.49,441.57,441.88,6808.0
2016-05-11,440.32,443.76,439.65,441.03,3571.0
2016-05-12,442.29,443.36,438.44,439.42,4775.0
2016-05-13,441.08,442.87,437.86,438.62,3671.0
2016-05-16,439.87,439.87,436.52,437.86,3548.0
2016-05-17,438.44,505.55,434.14,484.92,145751.0
2016-05-18,479.69,503.58,478.7,487.03,125140.0
2016-05-19,490.2,490.2,469.62,469.94,21654.0
2016-05-20,469.94,477.05,469.76,471.73,8602.0
2016-05-23,471.95,476.33,462.69,470.03,24623.0
2016-05-24,474.23,479.42,453.65,455.66,14523.0
2016-05-25,456.38,468.86,456.34,461.97,11105.0
2016-05-26,464.84,468.68,464.84,465.51,12727.0
2016-05-27,474.19,474.19,465.28,467.88,8832.0
2016-05-30,469.76,469.76,465.28,465.64,5274.0
2016-05-31,469.58,469.58,465.28,466.31,5579.0
2016-06-01,468.64,484.74,466.22,477.54,18317.0
2016-06-02,468.46,476.78,467.07,468.01,6824.0
2016-06-03,473.16,473.16,465.28,465.6,5438.0
2016-06-06,465.33,467.88,456.92,457.9,5677.0
2016-06-07,465.28,468.82,459.06,465.64,8098.0
2016-06-08,465.28,470.96,463.63,465.24,17485.0
2016-06-09,466.18,467.52,460.94,464.03,2969.0
2016-06-10,464.03,466.89,462.69,464.03,4331.0
2016-06-13,464.3,464.34,455.13,456.47,5859.0
2016-06-14,460.45,461.61,451.59,456.07,8617.0
2016-06-15,456.51,467.07,454.55,457.27,55563.0
2016-06-16,458.12,459.65,453.7,456.07,6097.0
2016-06-17,460.81,462.6,456.38,457.23,7101.0
2016-06-20,457.23,458.93,452.85,457.99,5838.0
2016-06-21,458.12,460.81,456.83,459.24,7348.0
2016-06-22,458.93,460.0,455.93,456.74,11466.0
