,open,high,low,close,volume
2015-05-15,518.79,524.29,516.84,519.69,4038816.0
2015-05-18,517.04,524.19,510.09,520.49,4363711.0
2015-05-19,516.69,518.54,508.49,509.59,5500642.0
2015-05-20,510.79,513.64,503.35,505.05,6385674.0
2015-05-21,506.29,512.29,504.8,510.99,4708702.0
2015-05-22,511.54,516.74,509.99,514.44,4744826.0
2015-05-25,512.79,513.79,502.8,505.1,3080546.0
2015-05-26,504.8,505.8,493.35,497.4,7389680.0
2015-05-27,473.41,474.76,463.36,471.56,15936377.0
2015-05-28,473.66,487.25,472.06,484.15,11792862.0
2015-05-29,485.0,490.05,479.21,481.46,7892019.0
2015-06-01,482.7,482.7,470.81,471.86,4610219.0
2015-06-02,472.91,478.21,464.81,466.76,6237231.0
2015-06-03,466.81,468.56,434.52,456.67,9702740.0
2015-06-04,456.67,458.26,445.27,451.02,8001049.0
2015-06-05,445.47,449.37,439.32,441.92,11195670.0
2015-06-08,435.12,437.82,428.88,435.42,7072020.0
2015-06-09,431.13,443.62,431.13,439.87,7741629.0
2015-06-10,439.72,449.22,435.82,446.42,9716102.0
2015-06-11,446.32,446.62,427.93,430.03,9668308.0
2015-06-12,426.38,429.33,417.08,421.63,10871836.0
2015-06-15,425.83,427.78,417.93,426.18,7287773.0
2015-06-16,426.88,435.62,421.08,432.62,6192559.0
2015-06-17,435.82,437.22,426.33,433.52,7034146.0
2015-06-18,434.72,447.32,431.23,445.27,8198142.0
2015-06-19,444.62,444.62,431.43,432.87,6891821.0
2015-06-22,434.82,443.82,434.82,440.32,5281379.0
2015-06-23,440.82,447.22,434.82,435.82,5762483.0
2015-06-24,438.52,438.52,427.93,430.43,7081258.0
2015-06-25,432.82,435.92,429.33,432.22,7745469.0
2015-06-26,434.82,438.62,431.03,437.42,5009173.0
2015-06-29,428.63,432.32,417.98,428.08,7143044.0
2015-06-30,427.83,436.07,422.53,433.97,6387312.0
2015-07-01,436.57,447.22,431.23,444.32,6054910.0
2015-07-02,444.82,444.82,434.82,436.22,4641851.0
2015-07-03,435.82,435.82,430.28,432.97,3709457.0
2015-07-06,427.83,433.32,420.53,430.93,4600687.0
2015-07-07,434.17,435.52,427.83,431.38,5667938.0
2015-07-08,423.83,423.83,399.84,404.79,15521757.0
2015-07-09,399.99,403.19,394.09,397.64,9351601.0
2015-07-10,400.09,405.64,397.89,401.74,13661389.0
2015-07-13,406.54,406.54,396.89,401.94,8047912.0
2015-07-14,403.34,403.34,380.8,385.79,11333562.0
2015-07-15,386.84,394.84,382.45,394.14,15561638.0
2015-07-16,394.74,398.49,392.29,395.09,5199913.0
2015-07-17,395.79,403.09,390.24,397.89,6590110.0
2015-07-20,398.84,401.74,389.14,390.59,5777196.0
2015-07-21,391.64,393.14,385.94,388.94,6461958.0
2015-07-22,387.84,392.64,385.79,389.39,5955109.0
2015-07-23,388.59,403.24,384.84,401.19,9510349.0
2015-07-24,397.39,399.19,388.84,390.09,7059848.0
2015-07-27,384.09,385.09,372.85,377.3,8450904.0
2015-07-28,372.85,374.75,365.95,369.95,10975840.0
2015-07-29,373.75,379.8,372.55,376.3,9532212.0
2015-07-30,381.5,382.35,375.85,377.3,6562559.0
2015-07-31,380.65,390.34,379.9,383.69,6947628.0
2015-08-03,386.19,394.24,381.85,388.04,6647982.0
2015-08-04,385.74,386.84,377.85,380.6,5621275.0
2015-08-05,378.6,388.34,374.95,376.25,8298929.0
2015-08-06,376.35,384.54,373.05,382.94,7976356.0
2015-08-07,382.25,395.84,382.25,393.24,10706804.0
2015-08-10,383.84,395.14,381.95,385.54,14494111.0
2015-08-11,386.94,387.84,367.4,369.0,9984809.0
2015-08-12,364.85,365.7,353.41,355.06,11107801.0
2015-08-13,356.76,360.8,347.86,349.26,11147702.0
2015-08-14,351.31,359.6,344.96,355.11,6400810.0
2015-08-17,354.26,362.15,345.11,355.96,5812093.0
