,open,high,low,close,volume
2015-05-15,317.49,317.79,312.3,313.55,1551686.0
2015-05-18,314.3,317.94,310.8,317.04,1724908.0
2015-05-19,316.49,316.49,311.9,313.35,854795.0
2015-05-20,315.5,315.75,307.7,309.6,2038038.0
2015-05-21,307.85,316.1,307.85,315.55,1006706.0
2015-05-22,316.15,318.49,313.75,315.05,1322347.0
2015-05-25,318.44,318.99,306.01,306.85,1154902.0
2015-05-26,307.6,309.7,300.71,308.1,1890323.0
2015-05-27,293.72,299.86,289.72,297.61,3146553.0
2015-05-28,299.51,303.71,297.11,298.66,1418312.0
2015-05-29,299.71,302.91,296.81,300.76,674090.0
2015-06-01,302.21,302.21,289.72,290.37,1726843.0
2015-06-02,292.22,294.62,285.62,286.52,1481417.0
2015-06-03,287.67,288.52,274.69,281.58,1985146.0
2015-06-04,282.63,284.58,275.48,281.88,1490882.0
2015-06-05,282.23,288.87,280.53,285.37,3365978.0
2015-06-08,284.63,284.63,278.43,279.83,1425333.0
2015-06-09,278.93,282.73,275.83,280.88,2106460.0
2015-06-10,280.73,285.82,278.73,281.63,1819952.0
2015-06-11,282.78,282.93,267.49,269.39,2514885.0
2015-06-12,267.34,268.24,260.4,265.74,2876676.0
2015-06-15,265.24,269.44,262.0,263.7,1940080.0
2015-06-16,265.34,272.29,262.75,268.74,1728400.0
2015-06-17,274.74,275.63,267.24,268.09,2507616.0
2015-06-18,270.99,273.94,267.74,272.29,2739015.0
2015-06-19,274.24,274.24,267.74,269.19,2309862.0
2015-06-22,272.44,275.48,270.74,272.74,2237706.0
2015-06-23,274.19,275.63,271.64,272.19,2070800.0
2015-06-24,272.69,273.49,268.64,269.99,1505794.0
2015-06-25,271.14,271.14,264.74,265.54,3144042.0
2015-06-26,265.74,269.74,265.74,268.34,1073767.0
2015-06-29,263.1,264.35,258.25,260.35,1596134.0
2015-06-30,260.25,261.4,254.75,260.45,2917580.0
2015-07-01,260.85,266.24,258.75,263.55,2511965.0
2015-07-02,267.74,267.74,258.75,259.8,1018260.0
2015-07-03,259.85,261.15,257.1,259.6,1412872.0
2015-07-06,255.75,256.75,251.01,254.65,1994335.0
2015-07-07,255.65,258.35,251.76,252.21,3442553.0
2015-07-08,250.21,250.21,236.77,239.22,3496396.0
2015-07-09,238.77,239.67,233.33,234.17,3186109.0
2015-07-10,237.87,240.47,236.07,238.32,2034432.0
2015-07-13,239.27,246.41,235.42,241.52,1770086.0
2015-07-14,242.77,243.27,227.83,231.88,2495603.0
2015-07-15,232.38,240.77,231.88,240.27,3075160.0
2015-07-16,241.77,242.67,235.32,236.02,2817212.0
2015-07-17,236.82,239.72,233.57,237.97,4270553.0
2015-07-20,239.82,240.07,233.03,234.67,2115767.0
2015-07-21,234.77,238.67,232.73,233.97,2725386.0
2015-07-22,232.78,240.77,232.78,239.77,2769141.0
2015-07-23,240.17,256.15,238.52,254.25,5514931.0
2015-07-24,254.95,256.7,244.76,245.31,3177332.0
2015-07-27,245.16,246.06,236.87,238.17,2362429.0
2015-07-28,239.17,240.27,233.28,236.77,2236053.0
2015-07-29,238.17,243.77,238.17,241.62,2047040.0
2015-07-30,244.11,250.76,243.27,249.56,2983781.0
2015-07-31,250.76,262.55,249.41,259.8,3252614.0
2015-08-03,260.75,265.04,257.1,261.6,3658864.0
2015-08-04,261.25,262.55,254.65,260.55,4053354.0
2015-08-05,261.75,267.74,258.75,260.1,2580186.0
2015-08-06,260.3,265.74,256.75,263.45,3372060.0
2015-08-07,265.24,272.19,263.75,267.59,4959082.0
2015-08-10,261.95,272.44,261.65,264.1,3235634.0
2015-08-11,264.69,265.74,248.66,249.71,4491491.0
2015-08-12,248.86,248.86,237.02,238.77,4200677.0
2015-08-13,240.97,244.71,230.88,235.02,3000003.0
2015-08-14,240.02,247.16,234.27,244.56,1969422.0
2015-08-17,244.41,245.76,235.87,239.97,2175051.0
2015-08-18,241.62,247.26,241.27,243.32,1736661.0
2015-08-19,243.42,250.16,240.32,247.66,2724217.0
2015-08-20,247.31,247.31,239.97,242.87,2325185.0
2015-08-21,237.77,239.02,234.37,237.07,2078211.0
2015-08-24,226.18,231.48,213.44,219.04,6086105.0
2015-08-25,222.54,225.68,205.3,222.24,6621089.0
2015-08-26,224.78,232.78,217.19,225.88,4307662.0
2015-08-27,233.72,242.47,226.68,240.42,4746030.0
2015-08-28,242.87,247.31,239.47,245.26,2734828.0
2015-08-31,242.87,247.26,236.02,237.52,1888682.0
2015-09-01,232.48,232.58,221.79,223.18,3315841.0
2015-09-02,223.78,226.43,218.34,220.09,2198232.0
2015-09-03,222.79,245.46,222.79,234.72,4868284.0
2015-09-04,233.52,233.52,220.89,223.58,3606590.0
2015-09-07,227.48,232.18,221.94,223.18,2371300.0
2015-09-08,226.18,235.97,219.24,234.82,2941220.0
2015-09-09,239.27,245.21,235.02,239.22,2483798.0
2015-09-10,234.07,246.76,229.88,245.21,2192715.0
2015-09-11,247.21,250.26,239.87,242.12,1695024.0
2015-09-14,243.42,249.41,240.57,248.41,2591725.0
2015-09-15,249.16,251.46,235.77,239.32,2644578.0
2015-09-16,241.77,242.77,235.07,240.27,2145694.0
2015-09-18,233.77,246.51,233.38,236.42,17540204.0
2015-09-21,233.62,240.67,232.73,236.87,1942093.0
