,open,high,low,close,volume
2015-05-15,62.76,63.06,61.58,61.96,1709357.0
2015-05-18,62.34,64.08,61.53,63.87,2663775.0
2015-05-19,64.25,65.27,63.23,64.38,8089446.0
2015-05-20,67.47,67.56,65.14,65.39,9937909.0
2015-05-21,65.78,65.86,64.29,64.67,2586311.0
2015-05-22,64.72,65.22,64.12,64.46,1980853.0
2015-05-25,64.25,64.29,63.19,63.48,3492569.0
2015-05-26,63.7,63.91,63.23,63.74,1557907.0
2015-05-27,63.32,64.5,63.15,64.38,2333746.0
2015-05-28,63.99,64.55,62.55,62.89,6131083.0
2015-05-29,62.93,63.95,62.59,63.27,8196956.0
2015-06-01,63.7,64.8,62.89,64.59,2732139.0
2015-06-02,64.16,64.67,63.23,63.7,2958395.0
2015-06-03,63.53,63.53,58.56,60.13,6074343.0
2015-06-04,60.09,60.17,58.01,59.54,4884209.0
2015-06-05,59.5,60.6,58.69,59.96,2612950.0
2015-06-08,60.01,61.02,59.67,60.6,2485596.0
2015-06-09,60.56,61.66,59.71,61.41,2864231.0
2015-06-10,61.87,63.32,61.66,62.68,4019510.0
2015-06-11,62.81,63.27,58.9,59.41,5389454.0
2015-06-12,59.41,61.96,59.16,61.66,4929775.0
2015-06-15,61.91,62.55,60.43,61.15,5738366.0
2015-06-16,61.11,63.23,60.77,62.89,4089658.0
2015-06-17,62.89,62.93,61.53,61.75,2194377.0
2015-06-18,61.62,62.38,61.02,62.04,2860807.0
2015-06-19,62.04,62.42,61.19,61.36,3897925.0
2015-06-22,61.53,63.44,60.73,63.23,2835299.0
2015-06-23,62.81,63.4,62.04,62.93,3045780.0
2015-06-24,62.81,63.61,62.17,62.64,1408455.0
2015-06-25,62.04,64.33,61.79,63.65,4048264.0
2015-06-26,63.65,63.65,62.25,62.68,1366790.0
2015-06-29,62.38,62.47,61.02,61.83,2006949.0
2015-06-30,61.96,63.1,61.96,62.93,2226284.0
2015-07-01,62.93,63.87,62.38,63.44,1730442.0
2015-07-02,63.65,64.08,63.23,63.57,1558746.0
2015-07-03,63.23,63.87,62.81,63.06,1118064.0
2015-07-06,62.21,63.44,61.66,63.19,1379039.0
2015-07-07,63.65,63.95,62.38,62.59,1519519.0
2015-07-08,61.96,62.21,61.19,61.53,2119540.0
2015-07-09,61.53,62.13,61.28,61.49,1491726.0
2015-07-10,61.49,61.7,60.3,60.68,8725027.0
2015-07-13,60.81,61.96,60.68,61.75,2062761.0
2015-07-14,61.96,62.34,61.41,61.91,1117660.0
2015-07-15,61.53,63.53,61.53,63.02,2339626.0
2015-07-16,63.61,64.67,62.98,64.5,1977357.0
2015-07-17,64.72,65.22,64.21,64.42,2361802.0
2015-07-20,64.59,64.72,63.9,64.33,1908650.0
2015-07-21,64.07,64.42,62.17,62.3,1792346.0
2015-07-22,62.17,63.56,61.7,63.04,2257135.0
2015-07-23,63.21,63.38,61.91,62.09,2138940.0
2015-07-24,62.35,62.48,61.66,62.0,2110460.0
2015-07-27,61.91,62.35,60.66,61.53,3130774.0
2015-07-28,61.31,61.96,60.45,61.27,2122680.0
2015-07-29,61.31,61.48,57.9,58.98,5818545.0
