,open,high,low,close,volume
2015-05-15,1083.89,1091.39,1077.86,1082.23,1461454.0
2015-05-18,1083.5,1088.31,1076.18,1086.22,4507752.0
2015-05-19,1085.79,1090.36,1076.03,1082.9,1957722.0
2015-05-20,1086.05,1107.55,1084.71,1102.02,1897814.0
2015-05-21,1101.99,1111.9,1098.17,1101.35,1579578.0
2015-05-22,1098.98,1132.92,1094.34,1128.24,2691632.0
2015-05-25,1129.14,1136.43,1114.36,1120.96,982978.0
2015-05-26,1122.68,1130.54,1115.74,1124.34,1961740.0
2015-05-27,1123.97,1134.81,1117.08,1127.09,1620690.0
2015-05-28,1122.21,1130.44,1112.87,1124.62,2763608.0
2015-05-29,1127.85,1141.47,1119.33,1124.96,4423532.0
2015-06-01,1124.59,1140.82,1124.13,1128.18,882264.0
2015-06-02,1127.42,1133.45,1116.43,1120.48,3935820.0
2015-06-03,1122.25,1131.56,1116.43,1125.22,1804684.0
2015-06-04,1127.89,1130.35,1115.57,1122.96,4131468.0
2015-06-05,1138.04,1145.51,1128.38,1130.95,2308534.0
2015-06-08,1137.16,1137.16,1124.71,1131.65,1570320.0
2015-06-09,1134.97,1137.16,1120.04,1124.71,2578914.0
2015-06-10,1126.63,1145.94,1125.66,1141.89,2763350.0
2015-06-11,1143.97,1147.26,1122.57,1128.95,1847336.0
2015-06-12,1129.22,1136.7,1087.46,1100.19,2571456.0
2015-06-15,1099.97,1106.62,1089.31,1099.76,2525176.0
2015-06-16,1097.65,1106.12,1095.21,1102.92,1267396.0
2015-06-17,1106.87,1110.44,1098.44,1103.71,1975720.0
2015-06-18,1104.23,1117.98,1101.16,1110.85,2165046.0
2015-06-19,1113.02,1121.8,1109.55,1119.41,1999610.0
2015-06-22,1118.28,1141.55,1118.28,1137.82,1102002.0
2015-06-23,1141.55,1145.07,1127.15,1130.4,898318.0
2015-06-24,1132.77,1136.24,1123.49,1128.51,1170246.0
2015-06-25,1124.87,1129.7,1117.03,1119.6,1930992.0
2015-06-26,1119.69,1139.96,1119.69,1138.39,1290102.0
2015-06-29,1129.26,1143.31,1116.7,1138.44,1372756.0
2015-06-30,1134.97,1136.62,1115.21,1120.01,1549952.0
2015-07-01,1125.7,1145.07,1122.57,1138.52,1279708.0
2015-07-02,1141.55,1142.84,1128.85,1131.79,1445880.0
2015-07-03,1129.73,1145.94,1128.38,1143.27,963470.0
2015-07-06,1132.9,1161.31,1132.9,1156.17,1182338.0
2015-07-07,1155.94,1162.15,1142.87,1148.68,1642836.0
2015-07-08,1140.65,1151.08,1132.99,1139.4,2667850.0
2015-07-09,1139.36,1140.78,1100.56,1107.53,3934122.0
2015-07-10,1123.55,1123.55,1077.89,1086.39,8263654.0
2015-07-13,1086.85,1105.81,1086.85,1101.85,2280308.0
2015-07-14,1102.48,1104.23,1093.26,1097.43,1703274.0
2015-07-15,1098.09,1119.57,1097.65,1117.74,2003660.0
2015-07-16,1116.83,1123.49,1109.33,1115.3,1456608.0
2015-07-17,1118.2,1128.43,1116.66,1125.92,1070526.0
2015-07-20,1130.6,1139.37,1125.26,1137.27,853786.0
2015-07-21,1135.89,1146.63,1126.67,1129.45,1274500.0
2015-07-22,1129.27,1132.8,1111.66,1114.75,1320628.0
2015-07-23,1110.09,1119.07,1094.88,1097.35,1496780.0
2015-07-24,1101.27,1109.65,1098.89,1104.64,1574972.0
2015-07-27,1097.09,1104.58,1094.06,1101.08,2003738.0
2015-07-28,1102.16,1110.75,1098.91,1103.28,1891188.0
2015-07-29,1107.23,1109.02,1095.1,1105.36,2413318.0
2015-07-30,1109.46,1109.78,1090.38,1093.84,2770574.0
2015-07-31,1097.92,1110.75,1096.64,1107.12,1963776.0
2015-08-03,1103.88,1113.4,1102.77,1106.61,1179324.0
2015-08-04,1106.96,1112.52,1096.2,1106.3,2342692.0
2015-08-05,1111.2,1124.42,1107.23,1123.16,988994.0
2015-08-06,1131.04,1138.97,1124.47,1134.7,2211366.0
2015-08-07,1134.57,1134.57,1123.1,1125.33,1188506.0
2015-08-10,1134.12,1141.62,1127.33,1134.17,1431182.0
2015-08-11,1136.77,1150.88,1120.94,1148.32,2200306.0
2015-08-12,1147.84,1186.77,1147.35,1178.09,3479784.0
2015-08-13,1177.34,1183.51,1127.07,1162.17,1406426.0
2015-08-14,1163.23,1199.1,1162.83,1191.98,2293964.0
2015-08-17,1186.2,1189.16,1170.72,1183.85,773644.0
2015-08-18,1193.61,1212.57,1186.16,1208.6,1916926.0
2015-08-19,1212.61,1213.88,1200.22,1205.38,1690070.0
2015-08-20,1210.41,1210.41,1178.22,1184.77,2349298.0
2015-08-21,1195.86,1203.75,1170.77,1180.05,3536080.0
2015-08-24,1163.67,1166.31,1132.85,1137.05,4692344.0
2015-08-25,1141.14,1156.17,1118.03,1131.98,3925800.0
2015-08-26,1127.98,1163.67,1107.64,1136.22,3216158.0
2015-08-27,1153.04,1153.04,1122.57,1135.29,5264798.0
2015-08-28,1150.44,1150.44,1127.82,1133.62,2744152.0
2015-08-31,1142.06,1142.06,1116.07,1130.62,3692044.0
2015-09-01,1127.07,1151.41,1115.6,1118.87,2987602.0
2015-09-02,1128.7,1155.48,1123.54,1142.86,3765950.0
2015-09-03,1144.75,1153.09,1135.99,1148.94,2265074.0
2015-09-04,1151.5,1153.04,1119.64,1123.3,2426396.0
2015-09-07,1125.75,1128.81,1116.8,1119.91,1759184.0
2015-09-08,1122.22,1130.64,1112.74,1120.15,1787746.0
2015-09-09,1130.13,1135.01,1121.78,1124.32,2045076.0
2015-09-10,1120.9,1136.99,1114.28,1122.4,2665818.0
2015-09-11,1122.88,1132.54,1120.28,1125.31,1592672.0
2015-09-14,1131.04,1131.04,1121.34,1125.15,1589318.0
2015-09-15,1125.15,1128.35,1118.25,1118.8,1379900.0
2015-09-16,1126.63,1131.04,1120.48,1124.58,1756816.0
2015-09-18,1131.04,1140.3,1119.57,1124.97,2455294.0
2015-09-21,1124.42,1127.55,1117.02,1124.89,1108840.0
2015-09-22,1127.73,1134.3,1097.97,1114.19,2081246.0
2015-09-23,1117.5,1127.85,1107.93,1116.77,1228352.0
2015-09-24,1118.03,1142.06,1115.56,1137.83,2354254.0
2015-09-28,1143.83,1154.85,1137.43,1143.69,2366812.0
2015-09-29,1139.13,1161.46,1133.18,1141.29,3325952.0
2015-09-30,1165.74,1165.74,1133.66,1141.21,3368336.0
2015-10-01,1146.03,1168.49,1143.03,1166.14,2834408.0
2015-10-05,1169.71,1221.43,1169.71,1195.7,4807306.0
2015-10-06,1201.59,1202.03,1183.51,1190.57,3979590.0
2015-10-07,1187.89,1198.06,1167.17,1170.26,2065530.0
2015-10-08,1177.34,1181.02,1155.29,1161.38,2357550.0
2015-10-09,1168.74,1168.78,1150.0,1159.54,2249724.0
2015-10-12,1170.72,1173.09,1140.74,1143.21,2455912.0
2015-10-13,1147.71,1151.76,1132.18,1145.84,6179712.0
2015-10-14,1123.54,1123.54,1093.56,1095.19,8337128.0
2015-10-15,1097.97,1103.92,1086.94,1088.16,3215710.0
2015-10-16,1093.95,1098.85,1089.15,1090.03,2333828.0
2015-10-19,1097.97,1100.15,1082.91,1097.42,3130642.0
2015-10-20,1100.72,1115.6,1100.44,1114.18,2695084.0
2015-10-21,1122.7,1125.8,1117.05,1120.48,1929688.0
2015-10-23,1133.38,1133.38,1124.17,1128.55,2335398.0
2015-10-26,1133.83,1133.83,1118.75,1128.29,1414630.0
2015-10-27,1125.4,1132.0,1121.09,1125.86,1530420.0
2015-10-28,1116.51,1126.96,1116.51,1124.98,1255342.0
2015-10-29,1126.96,1127.78,1107.61,1109.97,3130316.0
2015-10-30,1112.03,1117.32,1105.36,1109.9,1516696.0
2015-11-02,1112.03,1122.17,1106.5,1119.75,1319294.0
2015-11-03,1124.49,1133.29,1120.26,1131.35,1364906.0
2015-11-04,1132.05,1133.03,1120.93,1127.07,991434.0
2015-11-05,1125.73,1127.57,1103.14,1104.31,1596098.0
2015-11-06,1108.47,1120.14,1104.67,1114.59,908024.0
2015-11-09,1109.81,1113.26,1098.06,1099.29,2021556.0
2015-11-10,1099.99,1101.8,1089.79,1093.41,1361920.0
2015-11-11,1099.99,1101.8,1089.79,1093.41,1361920.0
2015-11-13,1084.48,1084.48,1061.57,1066.39,2743232.0
2015-11-16,1063.1,1063.1,1047.98,1056.25,2043528.0
2015-11-17,1058.88,1066.86,1056.43,1063.35,1985028.0
2015-11-18,1062.61,1062.61,1043.53,1045.95,1520352.0
2015-11-19,1052.14,1059.37,1046.2,1050.9,1866906.0
2015-11-20,1052.65,1078.03,1050.62,1066.82,2012126.0
2015-11-23,1069.91,1073.51,1059.65,1063.57,1088082.0
2015-11-24,1058.68,1064.19,1052.2,1053.29,998640.0
2015-11-26,1057.72,1059.72,1039.91,1043.33,2915292.0
2015-11-27,1044.42,1049.51,1037.53,1046.8,1737206.0
2015-11-30,1051.98,1063.65,1045.37,1055.79,4100048.0
2015-12-01,1051.05,1057.79,1048.45,1050.6,1721994.0
2015-12-02,1057.76,1057.81,1043.75,1052.07,1640296.0
2015-12-03,1049.76,1055.54,1043.97,1045.65,2283358.0
2015-12-04,1040.86,1044.11,1032.45,1035.7,1246092.0
2015-12-07,1037.39,1042.6,1029.85,1031.88,1382604.0
2015-12-08,1031.7,1044.86,1030.76,1035.97,1139964.0
2015-12-09,1039.93,1055.45,1031.97,1053.16,5282806.0
2015-12-10,1053.76,1063.64,1046.2,1060.68,1723988.0
2015-12-11,1059.99,1063.96,1051.2,1061.32,1652378.0
2015-12-14,1038.73,1061.77,1036.68,1057.96,2718532.0
2015-12-15,1057.96,1060.88,1051.12,1056.81,1135868.0
2015-12-16,1060.43,1074.0,1060.43,1071.29,1435934.0
2015-12-17,1074.22,1087.57,1064.6,1085.24,1618844.0
2015-12-18,1076.45,1082.76,1067.83,1075.02,3024970.0
2015-12-21,1076.42,1089.79,1070.6,1088.19,1610104.0
2015-12-22,1085.34,1085.34,1067.55,1069.8,1560858.0
2015-12-23,1074.22,1083.12,1072.25,1079.03,849834.0
2015-12-24,1076.89,1084.54,1069.33,1082.78,843160.0
2015-12-28,1080.0,1097.09,1076.54,1095.44,3704198.0
2015-12-29,1093.51,1096.6,1087.9,1092.37,1708524.0
2015-12-30,1091.15,1093.79,1073.02,1075.69,1605762.0
2015-12-31,1074.56,1089.12,1070.89,1083.95,1240318.0
2016-01-01,1084.9,1084.9,1072.99,1074.85,712262.0
2016-01-04,1072.06,1073.78,1052.45,1054.03,1870184.0
2016-01-05,1060.88,1061.59,1041.31,1044.84,2678020.0
2016-01-06,1045.4,1061.38,1045.4,1059.37,2653228.0
2016-01-07,1054.21,1059.94,1049.76,1054.76,3199580.0
2016-01-08,1060.88,1070.82,1055.32,1066.48,1907544.0
2016-01-11,1059.77,1060.43,1044.8,1050.81,2930228.0
2016-01-12,1050.96,1051.98,1023.78,1035.11,3482594.0
2016-01-13,1030.63,1035.08,1003.1,1013.82,4746092.0
2016-01-14,1011.06,1022.58,1000.83,1013.64,2742052.0
2016-01-15,1018.11,1019.38,1003.05,1005.77,3269408.0
2016-01-18,1006.17,1019.47,1005.28,1013.12,2213922.0
2016-01-19,1012.84,1023.07,1008.97,1013.86,967910.0
2016-01-20,1011.41,1016.4,997.71,1014.22,1615954.0
2016-01-21,1021.32,1023.51,1003.78,1007.69,2675536.0
2016-01-22,1015.96,1028.95,1010.15,1026.13,1343178.0
2016-01-25,1028.88,1045.46,1024.23,1030.1,1397560.0
2016-01-27,1028.92,1041.41,1019.94,1036.86,1626986.0
2016-01-28,1034.96,1049.88,1031.63,1041.97,3106660.0
2016-01-29,1054.27,1072.73,1043.7,1068.84,2235744.0
2016-02-01,1068.75,1078.51,1054.4,1073.93,1495274.0
2016-02-02,1076.75,1087.48,1063.65,1071.88,1475588.0
2016-02-03,1067.14,1086.09,1054.98,1080.01,1308692.0
2016-02-04,1082.51,1090.6,1073.62,1081.69,1250046.0
2016-02-05,1076.35,1090.58,1076.35,1082.53,1402996.0
2016-02-08,1072.73,1078.12,1049.04,1056.16,1063658.0
2016-02-09,1043.05,1043.05,1008.18,1019.71,2489610.0
2016-02-10,1016.85,1023.51,1009.3,1014.08,1890732.0
2016-02-11,1019.09,1023.11,970.66,982.41,1962408.0
2016-02-12,983.33,1002.73,967.24,995.22,2172568.0
2016-02-15,1005.68,1031.09,1001.21,1014.23,2479712.0
2016-02-16,1012.83,1019.98,1002.55,1012.63,1588702.0
2016-02-17,1012.38,1018.93,1004.07,1017.1,1585178.0
2016-02-18,1021.32,1036.86,1018.2,1035.12,1529140.0
2016-02-19,1031.32,1040.1,1030.46,1036.81,879012.0
2016-02-22,1037.08,1047.25,1030.26,1035.14,1324884.0
2016-02-23,1032.61,1036.92,1008.7,1011.94,1306852.0
2016-02-24,1011.24,1011.24,983.87,988.22,1659328.0
2016-02-25,992.18,995.85,976.91,989.08,1830556.0
2016-02-26,996.61,1008.76,983.15,988.02,1537536.0
2016-02-29,999.87,999.87,945.34,972.96,2191718.0
2016-03-01,980.2,1021.37,966.35,1017.59,1999760.0
