,open,high,low,close,volume
2015-05-15,196.98,211.66,196.98,205.37,29728.0
2015-05-18,202.93,208.3,199.1,205.51,78864.0
2015-05-19,202.93,207.27,200.25,205.22,10346.0
2015-05-20,204.88,209.76,201.42,206.66,174932.0
2015-05-21,206.34,206.37,199.3,199.95,6020.0
2015-05-22,200.49,220.95,200.49,211.83,277166.0
2015-05-25,207.27,211.71,200.0,206.32,151360.0
2015-05-26,202.93,209.76,198.54,208.76,1685826.0
2015-05-27,206.34,214.56,200.98,206.22,817092.0
2015-05-28,203.91,211.71,198.25,206.98,21554.0
2015-05-29,205.49,229.76,203.95,220.91,107810.0
2015-06-01,220.91,222.93,218.15,219.81,23096.0
2015-06-02,219.03,222.93,218.54,219.88,24566.0
2015-06-03,217.61,224.22,204.88,215.0,25916.0
2015-06-04,214.64,219.03,209.93,214.54,24512.0
2015-06-05,212.2,222.17,210.25,212.42,16006.0
2015-06-08,210.25,215.12,208.78,212.12,7540.0
2015-06-09,215.49,227.3,207.86,210.03,16224.0
2015-06-10,207.86,224.05,207.86,210.81,8152.0
2015-06-11,210.81,212.12,207.81,209.98,9178.0
2015-06-12,207.88,212.1,202.22,205.03,4478.0
2015-06-15,202.98,206.34,200.98,204.34,2372.0
2015-06-16,201.0,203.91,199.86,201.86,1458.0
2015-06-17,200.0,218.73,195.61,215.76,25630.0
2015-06-18,218.54,225.32,209.88,221.69,16034.0
2015-06-19,223.98,227.32,214.49,226.2,544626.0
2015-06-22,222.44,238.39,221.98,232.81,71894.0
2015-06-23,235.12,237.86,231.59,236.66,17934.0
2015-06-24,235.2,239.03,231.47,237.81,20880.0
2015-06-25,230.52,239.03,227.56,238.76,16818.0
2015-06-26,238.12,243.42,233.54,238.86,175502.0
2015-06-29,234.15,236.1,223.88,231.05,15170.0
2015-06-30,231.08,236.1,230.98,234.12,2636.0
2015-07-01,238.73,250.25,234.71,248.27,35662.0
2015-07-02,248.78,253.15,239.03,240.3,1053450.0
2015-07-03,240.0,242.88,236.78,239.2,5386.0
2015-07-06,236.59,246.59,229.76,244.17,21048.0
2015-07-07,248.78,249.05,242.47,245.91,13576.0
2015-07-08,248.78,248.78,240.83,247.76,13130.0
2015-07-09,248.78,252.66,245.13,249.81,11582.0
2015-07-10,253.64,253.66,248.78,251.03,6096.0
2015-07-13,251.15,251.15,246.3,248.93,10296.0
2015-07-14,253.86,253.86,241.61,251.13,4264.0
2015-07-15,251.32,252.13,248.78,249.86,405276.0
2015-07-16,251.44,253.66,250.3,253.08,5894.0
2015-07-17,252.95,260.88,251.03,255.49,13300.0
2015-07-20,255.25,255.81,249.86,252.52,6952.0
2015-07-21,252.54,256.59,248.78,254.15,420728.0
2015-07-22,251.22,255.56,245.86,253.47,515008.0
2015-07-23,254.64,264.39,250.3,258.37,9800.0
2015-07-24,256.59,260.95,250.98,253.88,416670.0
2015-07-27,255.17,258.44,248.05,254.37,13146.0
2015-07-28,251.71,263.39,251.71,261.54,37774.0
2015-07-29,261.0,267.81,258.59,264.74,18426.0
2015-07-30,268.32,272.24,260.52,264.81,18614.0
2015-07-31,266.3,269.25,257.57,261.82,6832.0
2015-08-03,261.03,261.03,256.13,259.44,13570.0
2015-08-04,261.84,261.94,254.58,255.64,43562.0
2015-08-05,257.5,264.39,256.54,261.33,8758.0
2015-08-06,262.43,262.43,255.24,256.79,11622.0
2015-08-07,262.43,266.84,255.12,263.34,8806.0
2015-08-10,270.28,273.96,267.33,269.84,17218.0
2015-08-11,269.91,272.73,255.64,258.01,10426.0
2015-08-12,262.43,262.43,250.56,256.54,234290.0
2015-08-13,257.57,259.44,255.56,256.72,5460.0
2015-08-14,256.0,273.15,255.07,262.94,6458.0
2015-08-17,261.42,278.37,258.01,272.58,465400.0
2015-08-18,275.55,278.13,269.79,276.97,21676.0
2015-08-19,278.03,278.03,269.91,271.53,7662.0
2015-08-20,279.11,279.11,260.76,264.51,8322.0
