,open,high,low,close,volume
2015-05-15,924.65,933.76,915.54,922.54,8975.0
2015-05-18,922.54,935.67,917.65,927.72,34032.0
2015-05-19,928.1,944.3,923.26,937.3,77187.0
2015-05-20,934.71,1011.41,934.71,992.52,69403.0
2015-05-21,996.98,1004.65,946.89,979.44,50199.0
2015-05-22,963.57,997.03,963.57,994.68,20719.0
2015-05-25,978.05,1000.81,975.46,992.04,48070.0
2015-05-26,1006.62,1015.24,958.68,972.44,101439.0
2015-05-27,973.01,997.03,939.51,946.41,66855.0
2015-05-28,949.72,955.81,913.14,919.61,88268.0
2015-05-29,924.17,974.98,913.62,923.79,86253.0
2015-06-01,939.46,948.14,924.22,934.67,28035.0
2015-06-02,945.16,945.16,927.04,933.08,52794.0
2015-06-03,930.4,947.61,922.25,937.88,30027.0
2015-06-04,937.59,940.32,906.15,912.71,20564.0
2015-06-05,912.57,912.66,892.68,896.03,25944.0
2015-06-08,896.99,916.5,863.34,871.63,92147.0
2015-06-09,885.82,908.83,862.91,898.14,28598.0
2015-06-10,901.16,928.48,892.53,917.55,38036.0
2015-06-11,929.87,939.46,902.31,911.37,14444.0
2015-06-12,914.05,920.33,892.53,908.06,8919.0
2015-06-15,910.46,910.99,892.58,898.38,9667.0
2015-06-16,910.65,910.65,880.64,886.06,15589.0
2015-06-17,898.96,909.12,887.74,903.32,22308.0
2015-06-18,903.32,916.02,894.45,907.1,84230.0
2015-06-19,898.19,916.02,892.1,908.69,25073.0
2015-06-22,914.58,974.31,909.79,958.01,68470.0
2015-06-23,964.43,1033.46,964.0,1007.86,206255.0
2015-06-24,1005.61,1014.28,988.5,1007.09,91065.0
2015-06-25,1008.53,1011.84,985.62,1008.53,29038.0
2015-06-26,1008.29,1028.86,989.22,1005.85,25094.0
2015-06-29,978.81,1008.96,957.72,994.3,46689.0
2015-06-30,989.12,1010.35,982.89,1002.44,22204.0
2015-07-01,1010.4,1043.24,1000.72,1016.35,49237.0
2015-07-02,1016.2,1051.67,1014.24,1046.35,58811.0
2015-07-03,1041.13,1057.43,1011.41,1017.59,32119.0
2015-07-06,1015.05,1020.71,997.32,1002.73,15508.0
2015-07-07,1003.74,1008.68,992.33,997.08,15092.0
2015-07-08,998.95,1030.58,988.4,1013.42,55362.0
2015-07-09,1013.42,1039.88,994.15,1024.11,30499.0
2015-07-10,1029.58,1043.05,1008.1,1016.92,10209.0
2015-07-13,1023.39,1032.5,1003.74,1009.2,17739.0
2015-07-14,1004.7,1027.66,993.19,1000.14,33368.0
2015-07-15,1006.62,1019.08,991.28,997.8,23676.0
2015-07-16,1020.19,1048.13,1018.26,1023.28,87642.0
2015-07-17,1027.91,1036.4,1023.28,1026.8,20301.0
2015-07-20,1025.06,1095.18,1025.01,1086.3,102056.0
2015-07-21,1098.66,1108.02,1016.91,1036.21,55927.0
2015-07-22,1036.6,1047.21,1015.07,1024.1,25346.0
2015-07-23,1024.1,1040.46,1014.4,1026.12,25453.0
2015-07-24,1032.73,1038.53,1009.14,1018.88,15962.0
2015-07-27,1018.93,1037.46,1008.65,1023.85,61390.0
2015-07-28,1032.73,1051.07,985.44,994.95,398414.0
2015-07-29,1002.81,1019.22,994.27,1005.23,56968.0
2015-07-30,1005.23,1025.01,1005.23,1010.34,30469.0
2015-07-31,1013.43,1019.27,994.13,1009.14,30800.0
2015-08-03,1009.57,1024.92,1005.71,1009.91,21377.0
2015-08-04,1022.89,1023.08,985.54,989.16,31860.0
2015-08-05,997.75,1007.88,990.27,996.78,23293.0
2015-08-06,1005.23,1032.73,997.26,1016.28,43432.0
2015-08-07,1016.33,1030.71,999.24,1006.29,27775.0
2015-08-10,1013.43,1023.08,986.41,993.55,22643.0
2015-08-11,1002.77,1018.21,995.14,1002.86,13327.0
2015-08-12,998.76,1007.54,966.19,976.9,18000.0
2015-08-13,976.75,1005.66,974.92,981.1,14759.0
