,open,high,low,close,volume
2015-05-15,41.81,43.64,40.56,43.21,176557.0
2015-05-18,43.11,44.42,42.58,43.69,82905.0
2015-05-19,44.37,46.25,44.27,45.67,186692.0
2015-05-20,46.01,47.5,46.01,47.02,135253.0
2015-05-21,47.11,47.21,45.28,45.86,47068.0
2015-05-22,46.05,46.25,45.04,46.01,55070.0
2015-05-25,48.17,48.17,46.29,47.21,65815.0
2015-05-26,47.5,48.65,47.21,48.37,142213.0
2015-05-27,47.79,48.41,47.69,47.79,58678.0
2015-05-28,47.69,48.37,47.26,47.59,56898.0
2015-05-29,48.08,50.1,47.55,49.18,288493.0
2015-06-01,50.0,51.64,49.14,49.38,170582.0
2015-06-02,49.57,50.1,47.21,47.55,118354.0
2015-06-03,47.21,48.56,46.25,47.74,128556.0
2015-06-04,47.74,51.3,47.21,50.24,293969.0
2015-06-05,50.05,51.93,50.05,50.82,293449.0
2015-06-08,51.3,51.83,49.81,50.34,139499.0
2015-06-09,49.91,51.06,48.65,48.99,152723.0
2015-06-10,49.04,49.47,47.45,47.64,105782.0
2015-06-11,47.93,47.93,45.04,45.48,70516.0
2015-06-12,46.2,46.2,44.66,45.04,130614.0
2015-06-15,44.66,45.67,44.13,44.37,59045.0
2015-06-16,44.8,45.72,43.69,45.19,85335.0
2015-06-17,44.7,46.1,44.51,44.7,22253.0
2015-06-18,45.81,47.4,45.23,46.78,134823.0
2015-06-19,46.29,47.88,46.29,47.4,41439.0
2015-06-22,47.35,48.56,47.35,48.22,49049.0
2015-06-23,49.33,49.38,47.35,48.12,50481.0
2015-06-24,48.7,48.7,47.21,47.74,55760.0
2015-06-25,46.49,48.17,46.49,47.31,18133.0
2015-06-26,47.31,48.75,46.54,48.22,65023.0
2015-06-29,47.93,48.37,46.39,47.35,94086.0
2015-06-30,48.22,50.82,46.87,49.71,201155.0
2015-07-01,51.69,51.69,49.33,49.38,121278.0
2015-07-02,49.71,49.71,48.17,48.41,43189.0
2015-07-03,48.8,51.06,47.98,49.52,194198.0
2015-07-06,49.14,50.1,48.17,49.71,401731.0
2015-07-07,49.81,51.55,49.81,50.34,892295.0
2015-07-08,50.1,52.94,49.86,52.46,384709.0
2015-07-09,52.99,59.64,52.7,56.7,2625965.0
2015-07-10,57.61,60.12,55.45,56.65,1154206.0
2015-07-13,56.84,59.93,56.36,59.16,836849.0
2015-07-14,59.69,59.69,56.84,57.18,310675.0
2015-07-15,57.52,59.16,57.08,57.47,431126.0
2015-07-16,57.76,57.9,56.17,56.6,165078.0
2015-07-17,56.8,60.6,56.51,58.19,1131961.0
2015-07-20,58.58,59.73,57.37,59.11,433054.0
2015-07-21,59.54,60.22,57.81,58.63,441027.0
2015-07-22,58.87,59.25,57.81,58.0,502800.0
2015-07-23,58.34,59.45,57.76,58.39,248398.0
2015-07-24,58.19,59.2,57.86,58.34,219523.0
2015-07-27,58.19,60.65,57.81,58.58,575456.0
2015-07-28,58.82,63.68,58.48,62.58,1479728.0
2015-07-29,63.4,66.38,63.3,64.84,1299617.0
2015-07-30,65.13,66.09,61.66,62.38,558675.0
2015-07-31,62.72,66.0,62.62,63.68,739472.0
2015-08-03,64.5,67.35,63.68,66.24,1029628.0
2015-08-04,66.67,67.25,64.07,65.85,346897.0
2015-08-05,66.29,66.91,63.78,64.41,385634.0
2015-08-06,64.6,65.71,62.72,63.4,260259.0
2015-08-07,62.72,66.24,62.72,64.65,325070.0
2015-08-10,64.99,65.08,63.3,63.83,176370.0
2015-08-11,64.99,64.99,59.73,59.98,421437.0
2015-08-12,59.69,60.22,57.71,58.34,248011.0
2015-08-13,58.29,59.35,57.23,58.39,291108.0
2015-08-14,58.72,60.17,57.57,57.9,369281.0
2015-08-17,58.58,61.18,57.23,60.22,878068.0
2015-08-18,60.7,61.66,59.83,60.7,447255.0
2015-08-19,60.65,60.65,58.1,58.72,181035.0
2015-08-20,58.39,59.98,57.9,58.19,213366.0
2015-08-21,57.42,58.72,57.13,58.14,301233.0
2015-08-24,56.84,57.66,49.14,50.39,409071.0
2015-08-25,51.06,53.66,48.17,52.22,428401.0
2015-08-26,51.83,51.88,49.18,49.62,197713.0
2015-08-27,50.53,51.55,50.44,50.58,139023.0
2015-08-28,51.45,52.99,51.26,52.07,291117.0
2015-08-31,52.51,52.51,51.06,51.35,132161.0
2015-09-01,50.58,52.46,50.1,50.92,198013.0
2015-09-02,51.5,51.5,49.62,49.86,92365.0
2015-09-03,51.45,51.69,50.29,51.45,234913.0
2015-09-04,51.5,51.5,49.14,49.86,144368.0
2015-09-07,51.35,51.35,48.22,48.56,131808.0
2015-09-08,48.65,49.52,47.5,48.17,148100.0
2015-09-09,48.7,50.1,48.65,49.23,84047.0
2015-09-10,48.46,48.75,48.17,48.46,62566.0
2015-09-11,48.46,49.23,48.17,48.41,91371.0
2015-09-14,48.9,49.04,48.41,48.61,38383.0
2015-09-15,48.75,49.14,48.27,48.99,43720.0
2015-09-16,49.67,50.11,48.99,49.58,55925.0
2015-09-18,50.5,51.52,49.72,50.4,78514.0
2015-09-21,50.6,51.33,49.67,51.08,57328.0
2015-09-22,51.33,52.06,50.11,50.21,90889.0
2015-09-23,49.87,51.38,49.72,50.35,133245.0
2015-09-24,50.5,51.08,49.62,50.4,36951.0
2015-09-28,50.99,51.91,49.92,50.21,62993.0
2015-09-29,50.06,51.23,49.14,50.79,36501.0
2015-09-30,51.18,51.57,50.16,51.23,35982.0
2015-10-01,51.04,51.67,51.04,51.52,73692.0
2015-10-05,52.06,53.52,52.06,53.13,111974.0
2015-10-06,53.03,55.61,53.03,54.44,147185.0
2015-10-07,54.15,54.54,53.42,53.95,37794.0
2015-10-08,53.57,54.34,52.45,52.74,78617.0
2015-10-09,53.22,53.86,52.59,53.18,57166.0
2015-10-12,53.18,54.88,52.93,53.27,36266.0
2015-10-13,53.61,54.49,53.03,54.0,27043.0
2015-10-14,54.44,54.78,53.61,53.81,27353.0
2015-10-15,53.32,54.78,53.32,53.66,56450.0
2015-10-16,53.57,54.49,53.52,53.76,38884.0
2015-10-19,53.86,54.98,53.81,54.54,52444.0
2015-10-20,54.49,55.66,54.49,55.27,95620.0
2015-10-21,55.22,60.33,55.22,59.26,801715.0
2015-10-23,59.79,60.23,56.68,57.21,243047.0
2015-10-26,56.82,57.65,55.37,55.9,83034.0
2015-10-27,55.51,56.19,54.98,55.12,153622.0
2015-10-28,55.9,57.21,55.37,56.19,59569.0
