,open,high,low,close,volume
2015-05-15,590.37,601.31,586.69,588.53,26577.0
2015-05-18,594.5,595.84,575.56,578.54,73738.0
2015-05-19,580.43,601.21,579.54,595.59,60603.0
2015-05-20,597.28,606.38,596.43,602.2,42412.0
2015-05-21,604.39,619.99,590.07,611.35,79221.0
2015-05-22,614.33,621.09,597.43,611.54,69373.0
2015-05-25,614.87,614.87,587.69,596.53,105344.0
2015-05-26,600.16,605.38,595.44,597.58,31802.0
2015-05-27,593.8,598.87,589.43,591.71,185792.0
2015-05-28,598.42,602.85,587.54,589.53,34879.0
2015-05-29,592.96,631.03,588.48,619.89,180581.0
2015-06-01,621.29,641.12,621.29,632.32,122343.0
2015-06-02,645.69,647.83,608.51,613.53,103904.0
2015-06-03,614.82,616.32,579.04,590.07,72024.0
2015-06-04,595.29,603.39,584.01,598.62,29420.0
2015-06-05,598.42,610.95,592.66,598.17,29508.0
2015-06-08,605.33,605.33,586.49,589.33,31089.0
2015-06-09,586.54,596.43,581.62,584.75,37264.0
2015-06-10,592.91,596.38,579.04,581.42,41274.0
2015-06-11,589.13,590.07,564.72,572.88,26346.0
2015-06-12,573.57,573.57,551.75,559.6,31875.0
2015-06-15,561.74,565.87,556.77,561.44,23361.0
2015-06-16,560.65,571.38,555.08,561.99,25050.0
2015-06-17,566.51,585.25,563.63,575.66,34268.0
2015-06-18,576.65,588.48,573.57,578.59,23406.0
2015-06-19,578.69,601.16,578.69,582.57,65611.0
2015-06-22,585.5,591.46,581.52,585.8,24973.0
2015-06-23,587.49,591.46,581.62,583.11,23600.0
2015-06-24,583.06,589.48,572.58,575.76,26228.0
2015-06-25,575.41,581.28,568.15,573.27,19945.0
2015-06-26,571.58,577.95,566.61,575.71,19439.0
2015-06-29,569.55,569.55,557.96,563.23,17884.0
2015-06-30,564.62,578.94,558.71,573.67,20285.0
2015-07-01,580.03,586.99,572.08,579.83,37863.0
2015-07-02,590.47,590.47,572.08,573.12,23489.0
2015-07-03,574.37,578.54,561.89,563.38,41777.0
2015-07-06,562.64,568.6,554.98,563.48,28494.0
2015-07-07,564.53,576.55,563.78,568.55,26210.0
2015-07-08,566.71,569.59,552.8,563.68,32009.0
2015-07-09,566.71,569.89,558.66,561.49,17117.0
2015-07-10,566.61,569.59,558.66,565.07,22157.0
2015-07-13,566.71,591.46,566.71,586.2,72894.0
2015-07-14,589.43,589.48,576.65,581.77,48838.0
2015-07-15,584.41,589.03,576.55,578.09,43233.0
2015-07-16,586.49,586.49,577.55,578.99,13426.0
2015-07-17,581.52,588.03,577.15,579.09,46421.0
2015-07-20,584.51,586.3,576.65,578.04,19552.0
2015-07-21,581.28,605.38,573.57,586.25,102009.0
2015-07-22,581.52,594.6,580.58,587.98,27140.0
2015-07-23,586.64,592.46,572.68,574.12,32076.0
2015-07-24,573.62,586.49,572.68,579.09,27470.0
2015-07-27,581.62,592.31,569.89,584.9,46459.0
2015-07-28,584.61,586.0,576.8,582.17,21218.0
2015-07-29,582.17,592.06,582.17,589.38,20696.0
2015-07-30,586.54,596.24,583.36,588.13,18695.0
2015-07-31,587.54,603.09,586.49,598.82,52239.0
2015-08-03,600.41,614.33,600.41,602.8,61105.0
2015-08-04,602.7,620.29,600.66,611.94,73285.0
2015-08-05,616.22,640.67,600.66,614.48,190056.0
2015-08-06,620.29,622.98,607.62,610.9,38767.0
2015-08-07,607.62,620.49,607.62,611.94,27941.0
2015-08-10,615.32,626.06,611.94,619.6,56184.0
2015-08-11,620.39,622.78,604.39,609.31,26935.0
2015-08-12,606.82,608.41,591.56,595.84,29486.0
2015-08-13,597.23,598.67,569.1,574.22,56819.0
2015-08-14,574.57,581.28,564.62,573.07,31454.0
2015-08-17,567.61,580.03,566.61,574.86,14051.0
2015-08-18,574.52,596.24,570.19,586.89,45308.0
2015-08-19,590.47,599.81,583.71,597.23,28271.0
2015-08-20,601.31,609.71,587.49,597.83,78180.0
2015-08-21,603.74,603.74,578.14,582.77,19842.0
2015-08-24,573.97,573.97,522.38,538.03,63720.0
2015-08-25,541.76,550.71,493.4,530.33,81047.0
2015-08-26,536.79,541.51,522.53,537.98,22366.0
2015-08-27,542.01,571.48,542.01,563.18,23566.0
2015-08-28,566.71,580.93,562.14,567.31,29248.0
2015-08-31,569.59,576.55,560.95,573.67,27623.0
2015-09-01,568.8,572.58,550.01,562.93,14572.0
2015-09-02,568.5,574.07,554.68,562.04,30421.0
2015-09-03,570.59,580.53,563.43,572.28,21270.0
2015-09-04,567.61,568.9,542.26,565.22,36002.0
2015-09-07,573.57,573.57,542.26,556.57,54786.0
2015-09-08,557.62,557.67,546.58,549.42,21538.0
2015-09-09,556.37,569.55,551.7,565.17,30579.0
2015-09-10,562.54,565.42,552.89,559.06,11663.0
2015-09-11,561.74,568.55,558.66,563.38,19067.0
2015-09-14,561.79,578.79,551.7,568.45,15580.0
2015-09-15,570.09,571.68,558.86,560.15,8053.0
2015-09-16,562.84,582.52,560.25,579.29,18504.0
2015-09-18,579.29,594.45,571.58,574.96,27042.0
2015-09-21,573.57,600.41,571.98,597.48,31438.0
2015-09-22,601.36,601.36,582.92,590.17,16352.0
2015-09-23,589.97,596.43,577.65,591.81,14991.0
2015-09-24,586.79,594.4,585.45,588.73,6855.0
2015-09-28,578.54,595.44,578.54,592.81,13645.0
2015-09-29,592.46,595.34,577.55,585.0,12563.0
