,open,high,low,close,volume
2015-05-15,351.89,359.54,351.89,356.59,557137.0
2015-05-18,356.39,368.17,353.78,367.05,796620.0
2015-05-19,367.05,370.1,362.06,367.83,711652.0
2015-05-20,369.23,371.95,363.42,364.53,476821.0
2015-05-21,361.09,369.23,361.09,364.39,351909.0
2015-05-22,362.59,366.76,357.6,359.01,438670.0
2015-05-25,355.71,361.0,353.39,359.54,406302.0
2015-05-26,361.48,362.06,355.18,359.15,251010.0
2015-05-27,356.68,363.9,355.57,360.7,215459.0
2015-05-28,363.42,373.88,354.21,368.51,1467589.0
2015-05-29,369.23,369.23,360.7,366.62,312544.0
2015-06-01,363.51,367.88,361.53,364.68,232939.0
2015-06-02,366.76,366.76,355.86,357.55,322834.0
2015-06-03,358.48,359.49,344.52,356.29,407702.0
2015-06-04,354.55,355.28,344.91,350.33,331402.0
2015-06-05,346.51,359.4,343.31,352.52,513150.0
2015-06-08,353.24,354.99,340.35,342.05,275247.0
2015-06-09,339.24,349.75,339.24,348.44,400693.0
2015-06-10,348.15,355.18,347.91,353.44,423122.0
2015-06-11,354.02,356.63,341.08,342.78,402824.0
2015-06-12,342.53,345.0,334.44,337.2,306206.0
2015-06-15,334.34,341.47,332.41,333.62,502073.0
2015-06-16,335.31,338.85,327.08,336.43,794358.0
2015-06-17,339.09,344.52,334.54,343.02,554088.0
2015-06-18,342.24,349.37,339.29,347.72,375925.0
2015-06-19,349.51,350.04,341.32,347.14,499477.0
2015-06-22,346.31,357.51,345.0,354.94,503127.0
2015-06-23,356.44,356.63,344.86,346.22,581280.0
2015-06-24,346.56,350.72,343.11,345.59,1036071.0
2015-06-25,342.1,344.96,338.17,341.95,2374867.0
2015-06-26,342.0,350.33,339.43,349.03,972326.0
2015-06-29,343.7,348.88,339.34,347.77,521388.0
2015-06-30,347.77,358.81,344.13,354.99,928099.0
2015-07-01,353.73,355.62,349.41,350.72,581426.0
2015-07-02,351.06,352.03,341.47,344.28,1301446.0
2015-07-03,338.71,348.4,338.71,346.26,640953.0
2015-07-06,341.18,346.89,341.13,344.86,606970.0
2015-07-07,345.0,351.74,344.62,349.9,622813.0
2015-07-08,345.1,348.88,340.4,343.99,743184.0
2015-07-09,344.47,350.72,343.07,348.59,492767.0
2015-07-10,349.07,353.19,343.5,344.81,675678.0
2015-07-13,345.49,347.43,341.52,346.26,349986.0
2015-07-14,346.75,352.42,345.0,348.74,483292.0
2015-07-15,347.62,347.62,337.59,339.92,597184.0
2015-07-16,339.19,342.92,337.74,339.82,330307.0
2015-07-17,339.97,344.94,338.6,340.41,557575.0
2015-07-20,340.45,342.7,335.58,336.7,808216.0
2015-07-21,337.53,338.41,329.77,331.43,475068.0
2015-07-22,330.7,331.67,325.19,329.72,810073.0
2015-07-23,330.7,336.55,327.09,328.8,672679.0
2015-07-24,328.75,335.48,327.14,331.77,709976.0
2015-07-27,331.19,332.99,323.09,327.67,487372.0
2015-07-28,328.26,336.45,328.26,332.75,1107079.0
2015-07-29,334.45,335.33,325.14,330.26,801921.0
2015-07-30,330.21,336.8,327.77,330.5,1117699.0
2015-07-31,330.7,333.24,312.51,315.72,3631818.0
2015-08-03,315.09,316.07,307.73,309.48,2457661.0
2015-08-04,309.92,311.58,306.8,308.21,1300131.0
2015-08-05,309.19,314.94,308.31,312.65,1990552.0
2015-08-06,316.51,320.7,313.14,319.72,1355010.0
2015-08-07,319.97,326.94,316.55,325.82,1020332.0
2015-08-10,326.26,326.31,319.97,321.29,527219.0
2015-08-11,322.41,329.72,315.19,320.36,1135585.0
2015-08-12,319.87,325.82,315.29,322.02,628727.0
2015-08-13,323.09,330.31,312.75,320.11,1800158.0
2015-08-14,323.77,328.75,318.02,326.85,349444.0
2015-08-17,327.87,331.67,322.07,328.36,590909.0
2015-08-18,329.72,330.31,323.48,327.92,219001.0
2015-08-19,327.63,334.5,326.07,332.11,336368.0
2015-08-20,336.16,337.33,330.06,332.84,758875.0
2015-08-21,329.82,337.04,325.92,335.87,603152.0
2015-08-24,326.31,330.55,320.5,324.46,802619.0
2015-08-25,326.85,329.43,313.63,318.99,635497.0
2015-08-26,319.97,324.94,312.65,316.8,795875.0
2015-08-27,312.16,344.45,312.16,338.55,3735076.0
2015-08-28,337.63,339.48,330.11,333.24,742569.0
2015-08-31,333.53,336.55,327.92,329.53,561975.0
2015-09-01,327.53,330.99,319.97,326.75,423225.0
2015-09-02,327.77,327.77,313.24,315.19,909066.0
2015-09-03,316.9,321.92,315.09,319.19,351699.0
2015-09-04,319.72,326.21,310.55,324.8,854711.0
2015-09-07,324.85,329.43,321.04,324.26,366587.0
2015-09-08,324.94,326.75,308.31,314.12,842521.0
2015-09-09,317.29,324.36,316.41,322.46,903800.0
2015-09-10,318.36,321.72,313.38,317.97,756925.0
2015-09-11,318.26,322.89,317.19,318.46,481787.0
2015-09-14,321.82,322.89,317.24,320.94,324466.0
2015-09-15,322.89,322.89,315.09,318.02,231855.0
2015-09-16,322.02,323.14,318.41,319.72,179163.0
2015-09-18,318.31,321.72,311.82,314.02,1000353.0
2015-09-21,312.16,315.48,309.53,310.9,430092.0
2015-09-22,311.68,315.72,308.55,311.04,457865.0
2015-09-23,309.24,313.63,303.58,312.07,635557.0
2015-09-24,311.63,318.9,310.21,316.9,1692883.0
2015-09-28,316.99,320.65,313.33,318.11,484788.0
2015-09-29,315.87,316.99,310.7,313.33,589238.0
2015-09-30,315.09,316.65,308.65,310.07,697606.0
2015-10-01,306.31,321.63,295.34,319.24,1842510.0
2015-10-05,323.77,326.26,317.82,322.75,473457.0
2015-10-06,325.04,341.38,321.38,339.97,1592362.0
2015-10-07,335.58,339.19,334.02,336.7,398156.0
2015-10-08,336.6,340.55,331.67,332.7,353672.0
2015-10-09,334.36,338.75,332.02,334.8,521299.0
2015-10-12,332.36,340.89,332.36,334.26,731079.0
2015-10-13,334.11,337.62,333.92,335.04,222643.0
2015-10-14,336.55,343.19,333.58,339.92,775139.0
2015-10-15,341.62,346.31,334.89,344.31,830753.0
2015-10-16,345.97,347.09,342.21,345.28,592163.0
2015-10-19,337.53,348.01,337.53,342.36,535865.0
2015-10-20,342.7,349.18,341.19,343.48,440519.0
2015-10-21,344.94,345.33,335.28,339.28,397954.0
2015-10-23,346.94,346.94,334.31,335.28,336286.0
2015-10-26,335.97,340.45,334.7,336.36,475118.0
2015-10-27,336.36,337.77,329.97,332.06,265056.0
2015-10-28,332.65,346.79,332.6,342.21,670732.0
2015-10-29,342.7,347.77,339.67,343.67,880195.0
2015-10-30,337.53,346.31,334.5,341.38,1191629.0
2015-11-02,326.8,350.11,321.29,347.87,4413018.0
2015-11-03,346.21,355.57,339.09,339.87,1697686.0
2015-11-04,340.55,345.87,338.45,339.48,774920.0
2015-11-05,338.55,345.33,337.53,340.21,476785.0
2015-11-06,340.41,344.36,337.67,341.48,495582.0
2015-11-09,332.16,352.16,332.16,345.72,714356.0
2015-11-10,345.33,349.23,340.31,344.16,347269.0
2015-11-11,345.33,349.23,340.31,344.16,347269.0
2015-11-13,343.09,350.21,341.62,345.97,567501.0
2015-11-16,342.45,353.72,342.45,350.89,655262.0
2015-11-17,351.38,352.4,347.28,349.62,506095.0
2015-11-18,347.48,355.87,347.48,351.96,409990.0
2015-11-19,354.79,362.89,350.01,360.84,802938.0
2015-11-20,363.04,365.28,357.67,362.6,724817.0
2015-11-23,362.6,373.52,361.13,370.99,869178.0
2015-11-24,374.6,374.89,367.13,368.79,813490.0
2015-11-26,366.89,382.79,366.89,379.04,2068604.0
2015-11-27,380.21,380.21,369.38,370.6,638174.0
2015-11-30,368.74,376.45,368.5,372.16,315528.0
2015-12-01,372.79,373.13,367.43,368.65,400194.0
2015-12-02,368.79,374.55,366.16,367.48,377398.0
2015-12-03,364.35,369.72,360.99,362.89,411070.0
2015-12-04,361.09,366.4,356.79,357.77,263031.0
2015-12-07,359.18,363.62,355.57,358.84,463510.0
2015-12-08,357.04,362.16,354.99,356.84,414619.0
2015-12-09,356.75,358.99,349.92,350.99,419161.0
2015-12-10,352.06,355.33,349.38,353.87,236817.0
2015-12-11,361.77,369.09,341.14,343.92,3053855.0
2015-12-14,340.26,349.53,339.53,344.55,1503832.0
2015-12-15,345.28,356.45,341.43,355.14,1385795.0
2015-12-16,355.53,356.99,343.77,346.75,1158158.0
2015-12-17,347.43,348.11,341.43,344.5,1160421.0
2015-12-18,344.26,354.11,341.92,352.94,2133764.0
2015-12-21,352.11,352.11,344.16,346.4,893057.0
2015-12-22,347.28,354.01,345.77,352.5,1122747.0
2015-12-23,353.33,355.48,347.04,349.43,751759.0
2015-12-24,351.18,355.77,334.8,342.06,1477723.0
2015-12-28,342.06,344.75,340.75,341.92,647834.0
2015-12-29,340.94,343.87,335.38,342.7,1612905.0
2015-12-30,342.41,343.87,339.97,341.28,312305.0
2015-12-31,341.62,346.16,331.48,338.65,4706175.0
2016-01-01,338.65,345.14,338.02,343.43,452823.0
2016-01-04,341.43,344.84,339.33,342.8,687951.0
2016-01-05,343.28,346.31,337.33,339.19,1494306.0
2016-01-06,339.19,342.31,334.8,339.33,1000140.0
2016-01-07,338.21,339.19,328.31,335.63,1423390.0
2016-01-08,339.19,341.92,329.92,339.48,1341603.0
2016-01-11,336.55,341.43,335.23,336.6,705294.0
2016-01-12,338.02,340.45,336.26,338.41,638269.0
2016-01-13,340.94,342.65,336.55,341.38,735198.0
2016-01-14,338.5,351.14,331.67,333.33,2007294.0
2016-01-15,333.63,334.11,324.41,327.63,1570462.0
2016-01-18,326.8,335.38,324.46,326.07,2640407.0
2016-01-19,325.92,332.11,318.94,330.89,1222626.0
2016-01-20,327.67,335.48,325.77,332.5,1530254.0
2016-01-21,335.48,339.09,328.94,334.99,1015243.0
2016-01-22,337.53,340.45,328.55,339.09,1027422.0
2016-01-25,342.31,349.18,338.06,345.77,801820.0
