,open,high,low,close,volume
2015-05-15,1169.21,1184.73,1152.06,1172.19,115242.0
2015-05-18,1102.33,1160.49,1096.41,1143.2,367779.0
2015-05-19,1146.51,1202.44,1146.51,1188.36,173972.0
2015-05-20,1189.39,1194.75,1146.74,1161.05,85861.0
2015-05-21,1169.81,1169.81,1150.7,1161.14,58075.0
2015-05-22,1152.1,1169.72,1150.98,1154.9,61454.0
2015-05-25,1159.42,1160.68,1146.51,1152.47,16655.0
2015-05-26,1163.29,1165.48,1152.1,1155.64,12608.0
2015-05-27,1155.64,1156.81,1148.56,1155.18,35393.0
2015-05-28,1155.78,1160.49,1146.51,1154.76,145661.0
2015-05-29,1149.31,1152.99,1118.45,1122.97,280506.0
2015-06-01,1137.19,1157.69,1089.7,1139.66,89522.0
2015-06-02,1139.66,1157.23,1123.21,1127.91,177357.0
2015-06-03,1136.26,1147.49,1109.22,1121.9,139748.0
2015-06-04,1130.15,1145.72,1111.09,1128.01,523355.0
2015-06-05,1118.55,1159.47,1118.55,1147.95,79634.0
2015-06-08,1159.56,1164.87,1126.66,1145.58,40209.0
2015-06-09,1151.87,1163.29,1137.14,1156.81,37464.0
2015-06-10,1160.49,1193.12,1155.92,1183.56,75589.0
2015-06-11,1197.4,1220.15,1185.98,1199.97,86776.0
2015-06-12,1202.44,1202.58,1170.98,1193.67,40721.0
2015-06-15,1208.33,1208.33,1188.66,1197.98,26911.0
2015-06-16,1183.04,1189.41,1164.36,1176.81,23344.0
2015-06-17,1187.73,1240.88,1175.6,1215.13,126613.0
2015-06-18,1258.35,1281.86,1244.87,1253.01,357051.0
2015-06-19,1262.66,1262.66,1231.75,1250.16,144518.0
2015-06-22,1254.14,1273.9,1251.42,1261.02,67204.0
2015-06-23,1255.17,1272.03,1250.49,1258.63,135376.0
2015-06-24,1265.0,1269.22,1257.0,1261.07,135738.0
2015-06-25,1268.28,1283.27,1247.68,1259.1,167311.0
2015-06-26,1255.17,1262.47,1241.26,1255.22,49755.0
2015-06-29,1248.56,1248.56,1196.16,1212.08,68939.0
2015-06-30,1210.21,1231.75,1199.9,1219.06,185441.0
2015-07-01,1234.09,1251.42,1233.91,1239.15,98446.0
2015-07-02,1257.04,1269.13,1228.0,1233.11,90752.0
2015-07-03,1243.46,1245.61,1228.0,1238.03,166080.0
2015-07-06,1236.43,1264.07,1212.97,1236.34,220141.0
2015-07-07,1245.8,1245.85,1236.25,1240.98,124365.0
2015-07-08,1245.76,1245.8,1224.26,1233.62,67492.0
2015-07-09,1231.75,1245.75,1204.59,1210.11,66745.0
2015-07-10,1222.2,1245.85,1217.7,1244.58,188994.0
2015-07-13,1247.68,1247.68,1240.56,1245.52,78531.0
2015-07-14,1250.49,1250.49,1242.05,1244.26,86818.0
2015-07-15,1249.45,1250.67,1225.19,1238.31,365299.0
2015-07-16,1245.75,1246.27,1228.05,1242.52,81578.0
2015-07-17,1246.74,1270.16,1241.12,1249.03,171443.0
2015-07-20,1254.98,1259.85,1245.9,1251.75,79574.0
2015-07-21,1258.92,1258.92,1222.38,1237.79,51033.0
2015-07-22,1248.61,1255.22,1240.32,1245.05,105097.0
2015-07-23,1257.79,1257.79,1236.48,1243.6,180690.0
2015-07-24,1243.93,1292.59,1243.93,1278.63,271883.0
2015-07-27,1279.43,1320.74,1279.43,1302.38,428649.0
2015-07-28,1419.0,1419.09,1294.14,1308.93,1068630.0
2015-07-29,1328.04,1339.47,1311.37,1331.32,411583.0
2015-07-30,1339.24,1358.16,1332.91,1345.09,241846.0
2015-07-31,1356.33,1358.2,1343.22,1350.38,121033.0
2015-08-03,1350.71,1358.11,1330.1,1336.1,144519.0
2015-08-04,1336.94,1350.62,1322.14,1334.6,146036.0
2015-08-05,1342.47,1394.74,1339.47,1386.35,243025.0
2015-08-06,1395.67,1399.42,1382.61,1391.41,128578.0
2015-08-07,1399.42,1403.12,1384.43,1390.05,77335.0
2015-08-10,1396.61,1403.45,1385.42,1397.55,81705.0
2015-08-11,1403.4,1410.29,1392.96,1399.04,104967.0
2015-08-12,1399.04,1399.04,1399.04,1399.04,0.0
2015-08-13,1433.42,1442.51,1393.0,1420.4,102107.0
2015-08-14,1446.25,1504.14,1444.38,1466.67,290480.0
2015-08-17,1466.39,1519.36,1452.2,1497.91,125266.0
2015-08-18,1539.92,1539.92,1494.26,1501.43,135279.0
2015-08-19,1510.79,1524.94,1484.85,1506.16,101795.0
2015-08-20,1507.14,1568.73,1494.03,1503.44,240573.0
2015-08-21,1511.82,1563.34,1483.72,1537.53,189026.0
2015-08-24,1489.34,1508.08,1358.2,1381.76,221177.0
2015-08-25,1416.28,1462.18,1302.05,1446.35,380466.0
2015-08-26,1447.1,1502.46,1425.83,1470.66,161750.0
2015-08-27,1508.08,1551.16,1494.03,1503.53,191463.0
2015-08-28,1527.56,1542.97,1496.41,1512.43,151974.0
2015-08-31,1501.71,1517.44,1494.59,1505.27,98185.0
2015-09-01,1498.71,1609.61,1482.93,1532.24,498744.0
2015-09-02,1540.58,1569.1,1518.52,1522.59,181067.0
2015-09-03,1540.53,1568.96,1525.03,1545.54,410694.0
2015-09-04,1554.86,1554.86,1464.19,1488.73,143138.0
2015-09-07,1494.03,1494.03,1419.04,1431.92,139770.0
2015-09-08,1435.86,1470.61,1380.36,1437.26,189917.0
2015-09-09,1460.77,1474.73,1388.18,1394.83,147422.0
2015-09-10,1358.53,1367.57,1317.83,1326.03,226913.0
