,open,high,low,close,volume
2015-05-15,3125.08,3222.81,3115.1,3204.81,10339.0
2015-05-18,3197.3,3231.46,3176.59,3187.45,2749.0
2015-05-19,3188.57,3230.82,3180.54,3193.56,3570.0
2015-05-20,3172.56,3217.26,3144.62,3191.55,2972.0
2015-05-21,3194.11,3208.52,3122.44,3173.48,3547.0
2015-05-22,3175.71,3175.71,3120.68,3147.98,1552.0
2015-05-25,3148.62,3180.54,3108.83,3153.45,2534.0
2015-05-26,3116.7,3160.51,3099.22,3138.6,1830.0
2015-05-27,3112.7,3256.37,2850.11,2998.89,266242.0
2015-05-28,2941.91,3152.61,2933.12,3100.09,86290.0
2015-05-29,3032.89,3232.42,3023.63,3165.7,21807.0
2015-06-01,3192.47,3192.47,3112.7,3156.08,3067.0
2015-06-02,3171.77,3582.8,3083.13,3408.57,24285.0
2015-06-03,3471.86,3472.66,3128.67,3170.76,22962.0
2015-06-04,3172.56,3196.51,3090.27,3144.79,13284.0
2015-06-05,3143.83,3186.13,3108.15,3131.01,4222.0
2015-06-08,3113.1,3151.81,3045.26,3071.2,4740.0
2015-06-09,3072.75,3080.78,2969.04,3029.97,5152.0
2015-06-10,2996.98,3072.79,2981.81,3004.59,8205.0
2015-06-11,3036.88,3036.88,2913.17,2942.15,5236.0
2015-06-12,2949.09,2953.48,2876.45,2905.46,4159.0
2015-06-15,2952.92,2952.92,2906.82,2919.72,1772.0
2015-06-16,2929.01,2929.01,2865.29,2902.64,4932.0
2015-06-17,2897.21,2917.16,2841.34,2902.36,14386.0
2015-06-18,2905.19,3032.89,2881.29,2938.55,18226.0
2015-06-19,2941.1,2969.04,2893.21,2930.36,9643.0
2015-06-22,2881.24,3112.63,2881.24,3033.93,19164.0
2015-06-23,3089.16,3120.68,3024.95,3090.2,7699.0
2015-06-24,3089.16,3150.22,3052.84,3088.84,4602.0
2015-06-25,3092.95,3093.55,3039.27,3057.11,3128.0
2015-06-26,3049.93,3176.56,3041.11,3160.55,11432.0
2015-06-29,3168.41,3312.23,2845.85,3116.81,7404.0
2015-06-30,3120.68,3191.68,3085.57,3095.22,3034.0
2015-07-01,3088.76,3128.67,3057.63,3091.59,3471.0
2015-07-02,3080.78,3120.68,3070.01,3104.6,1735.0
2015-07-03,3096.74,3144.62,3072.88,3092.47,2584.0
2015-07-06,3080.78,3080.78,2996.22,3021.27,4226.0
2015-07-07,3006.15,3089.16,3006.15,3036.45,3727.0
2015-07-08,3048.85,3063.18,3008.99,3037.28,3926.0
2015-07-09,3033.25,3060.82,3031.29,3036.6,2247.0
2015-07-10,3035.29,3080.69,3035.29,3060.54,3685.0
2015-07-13,3065.22,3102.89,3049.77,3081.5,60907.0
2015-07-14,3089.16,3152.61,3085.48,3123.12,4316.0
2015-07-15,3117.29,3152.61,3114.66,3137.24,6844.0
2015-07-16,3112.7,3156.6,3112.7,3152.33,1956.0
2015-07-17,3133.65,3212.47,3125.62,3199.45,41340.0
2015-07-20,3133.65,3250.15,3133.65,3219.66,4875.0
2015-07-21,3221.23,3573.97,3151.04,3475.74,30021.0
2015-07-22,3440.58,3455.04,3258.27,3280.04,21205.0
2015-07-23,3294.35,3348.35,3069.36,3196.56,61162.0
2015-07-24,3157.75,3260.6,3157.75,3211.79,33639.0
