,open,high,low,close,volume
2015-05-15,33.5,33.7,33.1,33.45,1113295.0
2015-05-18,33.45,34.15,33.15,33.95,1286123.0
2015-05-19,34.0,34.75,33.65,34.15,2013779.0
2015-05-20,34.45,34.45,33.3,33.8,1501912.0
2015-05-21,33.8,34.05,33.25,33.65,1154101.0
2015-05-22,33.95,33.95,33.0,33.2,1122611.0
2015-05-25,33.4,33.4,32.6,32.75,994874.0
2015-05-26,32.8,33.0,32.5,32.7,475165.0
2015-05-27,32.7,32.7,32.1,32.2,784358.0
2015-05-28,32.6,32.85,31.85,32.0,1091078.0
2015-05-29,32.2,32.4,31.8,32.05,1619458.0
2015-06-01,32.05,34.7,31.95,33.6,4090604.0
2015-06-02,33.6,33.8,32.5,32.8,1234324.0
2015-06-03,32.7,32.85,30.1,31.95,2642108.0
2015-06-04,32.2,32.7,31.55,32.35,1430187.0
2015-06-05,32.15,33.9,31.95,33.4,2323122.0
2015-06-08,33.3,33.8,32.4,33.0,1302678.0
2015-06-09,33.4,33.4,32.45,32.65,618979.0
2015-06-10,32.75,33.3,32.4,32.65,1084982.0
2015-06-11,33.25,33.35,32.4,32.55,1459285.0
2015-06-12,32.55,33.65,30.5,32.9,1579659.0
2015-06-15,32.9,35.5,32.85,34.55,3173363.0
2015-06-16,34.4,35.0,33.7,34.75,1637805.0
2015-06-17,34.95,34.95,34.15,34.35,5756728.0
2015-06-18,34.3,36.35,34.1,35.3,4098997.0
2015-06-19,35.7,36.9,35.4,35.95,2319809.0
2015-06-22,36.1,36.8,35.7,36.0,1410548.0
2015-06-23,36.2,36.65,35.65,36.0,2826038.0
2015-06-24,36.1,36.25,34.6,35.05,1080743.0
2015-06-25,35.1,35.75,34.55,35.5,987155.0
2015-06-26,35.9,38.2,34.15,37.65,16288483.0
2015-06-29,36.0,36.8,35.0,36.45,3856810.0
2015-06-30,36.05,37.6,36.05,36.9,4120327.0
2015-07-01,37.0,38.15,36.1,36.5,3502954.0
2015-07-02,36.5,38.9,36.2,38.6,8340136.0
2015-07-03,38.7,39.5,37.6,37.8,3571674.0
2015-07-06,37.1,41.4,37.1,41.1,9856323.0
2015-07-07,41.05,43.0,40.15,41.95,11089666.0
2015-07-08,41.4,41.4,39.3,39.6,4660808.0
2015-07-09,39.95,40.9,38.85,39.1,2037453.0
2015-07-10,39.45,40.0,39.1,39.4,1870910.0
2015-07-13,39.55,41.15,39.35,40.7,2103433.0
2015-07-14,40.6,41.45,39.7,39.9,1662782.0
2015-07-15,40.1,40.8,39.5,39.7,1617256.0
2015-07-16,39.9,40.35,39.4,39.75,1427240.0
2015-07-17,40.05,40.8,39.8,40.2,1503906.0
2015-07-20,40.55,42.7,40.35,42.3,4681116.0
2015-07-21,42.55,44.4,41.6,42.2,8146543.0
2015-07-22,42.25,43.5,36.0,37.05,32597595.0
2015-07-23,37.1,37.6,33.8,34.05,11208402.0
2015-07-24,34.5,35.4,33.6,33.8,5951426.0
2015-07-27,34.0,35.45,33.75,34.95,5611043.0
2015-07-28,35.4,35.65,34.55,35.3,3567566.0
2015-07-29,35.45,36.75,35.0,36.45,4715296.0
2015-07-30,36.5,36.6,35.9,36.15,3070388.0
2015-07-31,36.4,37.25,36.15,37.05,3424602.0
2015-08-03,37.2,37.5,36.55,37.25,2859268.0
2015-08-04,37.3,37.4,35.55,36.3,1793114.0
2015-08-05,36.35,37.25,35.9,36.15,2250946.0
2015-08-06,36.25,36.4,35.55,36.05,1352352.0
2015-08-07,36.0,36.95,35.75,36.1,1334963.0
2015-08-10,36.4,36.9,35.85,36.2,1189643.0
2015-08-11,36.35,36.45,34.8,34.9,1417636.0
2015-08-12,34.5,35.55,34.45,34.7,1554067.0
2015-08-13,35.0,35.65,34.0,34.1,1904402.0
2015-08-14,34.3,34.95,34.0,34.75,956022.0
2015-08-17,34.75,35.5,34.15,35.0,906145.0
2015-08-18,35.35,35.65,34.7,34.9,802341.0
2015-08-19,35.25,35.6,35.0,35.45,1453804.0
2015-08-20,35.4,35.6,34.1,34.4,1588949.0
2015-08-21,34.0,34.55,33.5,33.95,1725930.0
2015-08-24,33.0,33.35,30.55,31.25,3106044.0
2015-08-25,31.6,31.7,29.5,30.1,5796619.0
2015-08-26,30.4,31.85,29.65,31.0,2893548.0
2015-08-27,31.55,33.4,30.85,33.0,4261387.0
2015-08-28,33.45,33.45,31.45,31.7,1421025.0
2015-08-31,32.4,32.45,31.15,32.15,1120072.0
2015-09-01,32.3,32.3,29.9,30.05,1404797.0
2015-09-02,30.45,31.2,29.8,30.05,1740709.0
2015-09-03,30.4,30.55,30.15,30.4,1363717.0
2015-09-04,30.15,30.35,29.55,29.9,1127915.0
2015-09-07,30.2,30.2,28.95,29.1,864485.0
2015-09-08,29.25,30.55,29.0,30.15,1795830.0
2015-09-09,30.3,31.4,30.3,31.0,1444908.0
2015-09-10,30.75,31.45,29.8,31.1,703343.0
2015-09-11,31.1,32.2,31.1,31.6,1288277.0
2015-09-14,31.1,32.15,30.8,30.95,954534.0
2015-09-15,31.05,32.25,30.55,31.7,913876.0
2015-09-16,32.0,32.05,31.15,31.55,396648.0
2015-09-18,31.8,32.2,31.25,31.55,853912.0
2015-09-21,31.55,32.95,31.55,32.75,1501074.0
2015-09-22,32.9,33.5,30.95,31.75,1751280.0
2015-09-23,31.65,33.15,31.25,32.75,1458292.0
2015-09-24,33.8,35.2,33.45,34.85,6335580.0
2015-09-28,35.15,35.85,33.3,33.55,6920939.0
