,open,high,low,close,volume
2015-05-15,217.74,219.29,212.04,213.78,1084375.0
2015-05-18,215.13,217.36,211.66,216.53,1229626.0
2015-05-19,216.2,218.13,213.49,214.51,1658986.0
2015-05-20,215.42,216.68,211.95,212.86,1097207.0
2015-05-21,214.07,224.89,210.59,221.85,3140021.0
2015-05-22,222.86,223.39,217.45,219.48,1602898.0
2015-05-25,219.77,225.37,218.42,222.43,1310422.0
2015-05-26,222.76,227.74,221.99,227.06,2134624.0
2015-05-27,223.49,231.36,223.49,228.17,1515556.0
2015-05-28,228.27,233.29,226.53,227.79,2349545.0
2015-05-29,228.95,231.8,225.95,230.06,1068596.0
2015-06-01,227.02,232.23,227.02,228.61,910187.0
2015-06-02,228.95,230.78,210.25,216.92,2469444.0
2015-06-03,216.39,218.71,207.6,214.12,2248021.0
2015-06-04,214.17,220.16,210.35,218.56,1617317.0
2015-06-05,217.31,219.58,214.26,215.57,1025840.0
2015-06-08,215.91,216.78,209.05,211.37,1316073.0
2015-06-09,209.53,212.81,207.21,211.32,1115650.0
2015-06-10,211.56,218.03,210.69,216.39,848524.0
2015-06-11,219.29,225.37,217.36,219.34,2461454.0
2015-06-12,219.14,220.74,211.61,216.97,1323415.0
2015-06-15,218.08,220.2,215.23,219.0,868874.0
2015-06-16,218.42,221.12,215.18,220.35,889606.0
2015-06-17,220.88,225.32,220.25,223.63,1180154.0
2015-06-18,222.91,228.42,222.43,223.83,1169734.0
2015-06-19,224.6,232.91,224.6,231.31,1246683.0
2015-06-22,232.81,238.46,232.76,236.72,1200444.0
2015-06-23,237.98,239.57,233.58,234.7,1012795.0
2015-06-24,235.23,235.47,227.79,231.7,1391070.0
2015-06-25,231.6,235.18,229.33,230.49,2133914.0
2015-06-26,230.49,238.99,228.51,236.87,1310125.0
2015-06-29,231.85,234.94,227.02,233.44,1129446.0
2015-06-30,234.74,237.3,231.22,235.81,1237069.0
2015-07-01,236.92,239.53,234.7,237.59,910674.0
2015-07-02,242.47,250.88,240.59,248.56,3674989.0
2015-07-03,249.67,253.48,247.3,248.9,2072543.0
2015-07-06,247.25,256.82,243.73,255.75,2088781.0
2015-07-07,256.96,262.76,255.9,261.07,2130307.0
2015-07-08,257.93,263.48,253.39,255.37,1609598.0
2015-07-09,255.9,256.67,248.46,249.62,978448.0
2015-07-10,250.2,250.59,245.76,248.41,791249.0
2015-07-13,248.27,263.24,248.03,261.5,1765710.0
2015-07-14,263.1,263.1,257.01,257.45,829584.0
2015-07-15,257.45,263.14,256.38,258.7,1430294.0
2015-07-16,259.76,260.44,256.04,257.64,761018.0
2015-07-17,259.38,260.83,252.57,254.31,1051770.0
2015-07-20,256.0,259.47,250.97,254.84,1278798.0
2015-07-21,256.29,257.35,247.4,249.62,914013.0
2015-07-22,249.72,256.48,246.72,254.74,1184053.0
2015-07-23,255.95,262.32,253.19,254.16,2244281.0
2015-07-24,254.98,258.41,241.07,243.0,4173349.0
2015-07-27,242.95,242.95,231.02,232.91,4121860.0
2015-07-28,234.55,234.74,220.64,224.46,3326656.0
2015-07-29,227.4,230.3,224.12,227.11,1824345.0
2015-07-30,230.54,231.31,226.29,228.17,4168436.0
2015-07-31,227.64,233.1,225.57,229.91,1355682.0
2015-08-03,227.98,229.72,221.41,222.28,1573588.0
2015-08-04,221.03,226.44,219.38,225.37,1611404.0
2015-08-05,227.5,228.95,224.26,227.02,1451994.0
2015-08-06,227.5,232.14,225.57,229.72,1337074.0
2015-08-07,229.77,233.39,228.71,231.46,1247676.0
2015-08-10,230.25,231.6,224.55,226.0,995722.0
2015-08-11,226.82,227.02,214.75,215.66,2238455.0
2015-08-12,213.1,219.53,212.53,215.81,1906887.0
2015-08-13,215.81,221.22,215.81,217.89,982107.0
2015-08-14,218.85,223.1,217.16,222.38,934036.0
2015-08-17,223.39,226.53,220.3,222.43,896480.0
2015-08-18,221.94,225.9,221.85,223.01,1106748.0
2015-08-19,223.05,227.02,221.03,222.09,870703.0
2015-08-20,221.7,224.84,219.72,223.83,1326677.0
2015-08-21,222.19,223.2,215.04,221.7,849388.0
2015-08-24,212.53,215.18,194.17,208.42,2556175.0
2015-08-25,209.24,222.19,206.73,216.15,1507013.0
2015-08-26,215.91,222.14,214.46,220.59,823734.0
2015-08-27,224.12,224.89,215.42,218.8,1018074.0
