,open,high,low,close,volume
2015-05-15,929.14,951.58,926.22,947.16,222843.0
2015-05-18,945.03,962.3,943.59,958.88,164504.0
2015-05-19,958.92,972.82,948.05,959.12,111094.0
2015-05-20,959.92,1006.77,959.92,999.92,281836.0
2015-05-21,995.85,1022.36,995.85,1006.23,232700.0
2015-05-22,1006.62,1016.5,983.64,989.1,116622.0
2015-05-25,996.65,998.63,965.63,974.96,116931.0
2015-05-26,986.62,986.62,967.86,978.53,149926.0
2015-05-27,969.94,972.82,945.77,954.01,135158.0
2015-05-28,957.83,958.88,915.74,945.23,251499.0
2015-05-29,945.03,965.87,940.51,946.27,325587.0
2015-06-01,948.01,962.9,923.83,947.06,197641.0
2015-06-02,953.86,954.85,923.19,928.25,114409.0
2015-06-03,925.17,948.01,875.84,915.84,149153.0
2015-06-04,925.22,932.07,893.76,911.52,75741.0
2015-06-05,918.22,946.02,912.91,917.53,52594.0
2015-06-08,917.23,923.19,888.44,893.9,86901.0
2015-06-09,888.44,910.28,888.44,892.12,98602.0
2015-06-10,898.27,912.27,888.44,902.74,99297.0
2015-06-11,911.28,923.59,883.48,888.0,124681.0
2015-06-12,893.41,893.41,874.15,884.82,204452.0
2015-06-15,884.47,902.34,878.52,888.59,100958.0
2015-06-16,882.49,908.3,845.16,870.53,169111.0
2015-06-17,880.45,897.43,876.04,888.89,104755.0
2015-06-18,890.43,901.15,878.87,894.85,92911.0
2015-06-19,905.22,906.31,880.5,887.95,269517.0
2015-06-22,893.31,905.32,874.3,902.79,186382.0
2015-06-23,899.36,908.25,883.48,891.67,129869.0
2015-06-24,897.38,903.83,885.96,894.85,99889.0
2015-06-25,896.29,909.29,886.46,901.65,231512.0
2015-06-26,901.3,903.29,885.47,889.09,57789.0
2015-06-29,878.52,884.37,850.52,872.71,105464.0
2015-06-30,872.56,938.08,867.8,927.41,382404.0
2015-07-01,928.15,936.04,907.45,915.69,174958.0
2015-07-02,921.2,946.42,919.71,928.55,293684.0
2015-07-03,927.16,1037.05,926.81,1011.78,823321.0
2015-07-06,1002.6,1030.1,984.73,1017.69,344802.0
2015-07-07,1022.46,1054.12,991.78,1006.28,892833.0
2015-07-08,1017.39,1032.33,994.61,1002.6,328259.0
2015-07-09,1010.54,1017.39,970.94,975.35,263676.0
2015-07-10,982.55,989.65,962.9,980.42,240182.0
2015-07-13,986.67,1001.61,970.44,991.43,139619.0
2015-07-14,996.2,1016.15,982.8,1003.0,242531.0
2015-07-15,997.69,1018.83,992.68,1005.23,154906.0
2015-07-16,1008.56,1022.46,1005.33,1015.8,117005.0
2015-07-17,1017.49,1022.36,995.75,1007.17,105595.0
2015-07-20,1007.57,1032.38,1004.69,1021.02,146053.0
2015-07-21,1019.48,1029.06,981.66,984.78,94333.0
2015-07-22,989.7,1008.66,973.81,1001.91,104947.0
2015-07-23,989.5,1016.5,955.75,990.94,151614.0
